,FedExCup_Bonus_Money_RANK THIS WEEK,FedExCup_Bonus_Money_RANK LAST WEEK,FedExCup_Bonus_Money_PLAYER NAME,FedExCup_Bonus_Money_EVENTS,FedExCup_Bonus_Money_MONEY
68,69,69,Andres Romero,19,110000
69,70,70,Scott Verplank,22,110000
70,71,71,Kris Blanks,26,80000
71,72,72,Steve Marino,21,80000
72,73,73,Padraig Harrington,18,80000
73,74,74,Lucas Glover,22,80000
74,75,75,Charles Howell III,24,80000
75,76,76,Josh Teater,27,80000
76,77,77,John Rollins,23,80000
77,78,78,Ryuji Imada,24,80000
78,79,79,Chris Couch,22,80000
79,80,80,Davis Love III,21,80000
80,81,81,Spencer Levin,26,75000
81,82,82,D.A. Points,25,75000
82,83,83,J.P. Hayes,21,75000
83,84,84,Jimmy Walker,25,75000
84,85,85,Webb Simpson,26,75000
85,86,86,J.J. Henry,27,75000
86,87,87,Paul Goydos,23,75000
87,88,88,Shaun Micheel,17,75000
88,89,89,Chad Campbell,24,75000
89,90,90,Pat Perez,23,75000
90,91,91,Troy Matteson,23,75000
91,92,92,Steve Elkington,21,75000
92,93,93,Kenny Perry,20,75000
93,94,94,Aaron Baddeley,21,75000
94,95,95,Blake Adams,24,75000
95,96,96,Chad Collins,25,75000
96,97,97,Alex Prugh,26,75000
97,98,98,Boo Weekley,25,75000
98,99,99,Garrett Willis,21,75000
99,100,100,Chris Riley,20,75000
100,101,101,Kevin Sutherland,21,70000
101,102,102,Jerry Kelly,24,70000
102,103,103,Alex Cejka,24,70000
103,104,104,Derek Lamely,25,70000
104,105,105,Jonathan Byrd,22,70000
105,106,106,Matt Bettencourt,28,70000
106,107,107,Robert Garrigus,17,70000
107,108,108,Jeff Maggert,23,70000
108,109,109,Sergio Garcia,15,70000
109,110,110,John Merrick,26,70000
110,111,111,Briny Baird,23,70000
111,112,112,Joe Ogilvie,27,70000
112,113,113,Bill Lunde,25,70000
113,114,114,Dean Wilson,13,70000
114,115,115,Corey Pavin,8,70000
115,116,116,Bob Estes,21,70000
116,117,117,David Duval,20,70000
117,118,118,Cameron Beckman,21,70000
118,119,119,Ben Curtis,20,70000
119,120,120,Michael Letzig,22,70000
120,121,121,Nathan Green,23,70000
121,122,122,Kevin Stadler,24,70000
122,123,123,Woody Austin,24,70000
123,124,124,Graham DeLaet,24,70000
124,125,125,Scott Piercy,23,70000
125,126,126,Jeff Quinney,24,32000
126,127,127,Chris Stroud,22,32000
127,128,128,Mike Weir,19,32000
128,129,129,Aron Price,17,32000
129,130,130,Scott McCarron,24,32000
130,131,131,Mark Wilson,23,32000
131,132,132,John Mallinger,24,32000
132,133,133,James Driscoll,21,32000
133,134,134,James Nitties,25,32000
134,135,135,George McNeill,23,32000
135,136,136,Brett Quigley,24,32000
136,137,137,Tom Pernice Jr.,18,32000
137,138,138,Troy Merritt,24,32000
138,139,139,Richard Johnson,22,32000
139,140,140,Matt Every,17,32000
140,141,141,Henrik Stenson,12,32000
141,142,142,Joe Durant,15,32000
142,143,143,Billy Mayfair,22,32000
143,144,144,Michael Connell,20,32000
144,145,145,Michael Bradley,20,32000
145,146,146,Paul Stankowski,13,32000
146,147,147,Chris DiMarco,20,32000
147,148,148,Nicholas Thompson,25,32000
148,149,149,Jay Williamson,19,32000
149,150,150,Lee Janzen,21,32000
