,Ryder_Cup_Points_RANK THIS WEEK,Ryder_Cup_Points_RANK LAST WEEK,Ryder_Cup_Points_PLAYER NAME,Ryder_Cup_Points_EVENTS,Ryder_Cup_Points_POINTS
132,133,133,Rich Barcelo,19,149.495
133,134,134,Charles Warren,15,133.886
134,135,135,Kent Jones,8,132.808
135,136,136,Gary Woodland,9,123.22399999999999
136,137,137,Craig Barlow,8,121.48100000000001
137,138,138,Cliff Kresge,12,114.102
138,139,139,Chez Reavie,16,108.25299999999999
139,140,140,Cameron Tringale,17,107.01799999999999
140,141,141,Craig Bowden,19,104.444
141,142,142,Glen Day,11,101.052
142,143,143,Ken Duke,7,100.522
143,144,144,Fred Funk,6,99.913
144,145,145,Steve Lowery,21,96.536
145,146,146,Vance Veazey,17,88.704
146,147,147,Matt Weibring,10,85.12799999999999
147,148,148,Jerod Turner,20,84.15799999999999
148,149,149,Jason Gore,9,78.758
149,150,150,Jeff Gove,16,69.476
150,151,151,Bobby Gates,2,69.444
151,152,152,Marco Dawson,9,64.8
152,153,153,Shane Bertsch,3,57.108000000000004
153,154,154,Chris Wilson,20,56.167
154,155,155,Kevin Johnson,21,55.158
155,156,156,Parker McLachlin,15,53.291000000000004
156,157,157,Frank Lickliter II,5,52.067
157,158,158,John Huston,12,50.919
158,159,159,Robert Gamez,7,50.85
159,160,160,Jim Herman,1,46.77
160,161,161,Brad Faxon,18,46.756
161,162,162,Larry Mize,2,46.575
162,163,163,Brent Delahoussaye,15,46.403999999999996
163,164,164,Dicky Pride,5,37.105
164,165,165,Brandt Jobe,1,35.317
165,166,166,Guy Boros,6,34.035
166,167,167,Eric Axley,6,33.344
167,168,168,Mike Small,7,30.015
168,169,169,Fran Quinn,7,29.076
169,170,170,Tag Ridings,1,28.594
170,171,171,Rob Labritz,1,28.3
171,172,172,Justin Bolli,18,26.951999999999998
172,173,173,Dudley Hart,1,25.5
173,174,174,Mark Brooks,12,24.405
174,175,175,Jason Preeo,1,23.414
175,176,176,Chris Smith,9,23.4
176,177,177,Jeff Brehaut,1,20.63
177,178,178,John Morse,5,20.538
178,179,179,Jim Carter,5,20.225
179,180,180,Jonathan Kaye,6,19.495
180,181,181,Greg Kraft,17,17.923
181,182,182,Robert Damron,4,17.445999999999998
182,183,183,Michael Clark II,6,16.57
183,184,184,Mark O'Meara,5,15.547
184,185,185,Bob Tway,1,15.525
185,186,186,Gregory Bisconti,1,13.6
186,187,187,Tom Byrum,3,13.42
187,188,188,Grant Sturgeon,1,13.3
188,189,189,Jamie Lovemark,3,12.9
189,190,190,Phil Schmitt,1,12.544
190,191,191,Brad Adamonis,4,12.06
191,192,192,Casey Wittenberg,2,11.2
192,193,193,Tommy Armour III,4,11.13
193,194,194,Len Mattiace,5,11.1
194,195,195,Aaron Goldberg,2,10.615
195,196,196,Kevin Hayashi,1,9.9
196,197,197,Paul Azinger,2,9.486
197,198,198,Robin Freeman,4,6.531000000000001
198,199,199,J.L. Lewis,4,6.48
199,200,200,Spike McRoy,4,3.42
200,201,201,Willie Wood,1,3.27
