,FedExCup_Playoffs_Points_RANK THIS WEEK,FedExCup_Playoffs_Points_RANK LAST WEEK,FedExCup_Playoffs_Points_PLAYER NAME,FedExCup_Playoffs_Points_EVENTS,FedExCup_Playoffs_Points_POINTS,FedExCup_Playoffs_Points_# OF WINS,FedExCup_Playoffs_Points_# OF TOP 10'S,FedExCup_Playoffs_Points_POINTS BEHIND LEAD,FedExCup_Playoffs_Points_RESET POINTS
118,119,119,Ben Curtis,20,416,,1.0,4519.0,
119,120,120,Michael Letzig,22,415,,1.0,4520.0,
120,121,121,Nathan Green,23,414,,1.0,4521.0,
121,122,122,Kevin Stadler,24,394,,4.0,4541.0,
122,123,123,Woody Austin,24,394,,3.0,4541.0,
123,124,124,Graham DeLaet,24,393,,1.0,4542.0,
124,125,125,Scott Piercy,23,380,,2.0,4555.0,
125,126,126,Jeff Quinney,24,378,,1.0,4557.0,
126,127,127,Chris Stroud,22,369,,2.0,4566.0,
127,128,128,Mike Weir,19,360,,1.0,4575.0,
128,129,129,Aron Price,17,358,,2.0,4577.0,
129,130,130,Scott McCarron,24,354,,1.0,4581.0,
130,131,131,Mark Wilson,23,343,,1.0,4592.0,
131,132,132,John Mallinger,24,342,,1.0,4593.0,
132,133,133,James Driscoll,21,340,,1.0,4595.0,
133,134,134,James Nitties,25,338,,1.0,4597.0,
134,135,135,George McNeill,23,338,,1.0,4597.0,
135,136,136,Brett Quigley,24,336,,1.0,4599.0,
136,137,137,Tom Pernice Jr.,18,331,,1.0,4604.0,
137,138,138,Troy Merritt,24,331,,1.0,4604.0,
138,139,139,Richard Johnson,22,323,,2.0,4612.0,
139,140,140,Matt Every,17,322,,1.0,4613.0,
140,141,141,Henrik Stenson,12,321,,1.0,4614.0,
141,142,142,Joe Durant,15,321,,1.0,4614.0,
142,143,143,Billy Mayfair,22,314,,2.0,4621.0,
143,144,144,Michael Connell,20,314,,1.0,4621.0,
144,145,145,Michael Bradley,20,306,,,4629.0,
145,146,146,Paul Stankowski,13,296,,2.0,4639.0,
146,147,147,Chris DiMarco,20,286,,1.0,4649.0,
147,148,148,Nicholas Thompson,25,284,,1.0,4651.0,
148,149,149,Jay Williamson,19,280,,1.0,4655.0,
149,150,150,Lee Janzen,21,280,,1.0,4655.0,
