,PGA_Championship_Points_RANK THIS WEEK,PGA_Championship_Points_RANK LAST WEEK,PGA_Championship_Points_PLAYER NAME,PGA_Championship_Points_EVENTS,PGA_Championship_Points_POINTS
107,108,108,Davis Love III,7,180705
108,109,109,Alex Cejka,7,180400
109,110,110,Paul Stankowski,7,179170
110,111,111,Simon Dyson,2,175800
111,112,112,Troy Matteson,10,172739
112,113,113,Cameron Tringale,7,172700
113,114,114,Garrett Willis,7,170590
114,115,115,Cameron Beckman,7,169169
115,116,116,Dean Wilson,8,168610
116,117,117,Tom Pernice Jr.,6,159599
117,118,118,Ken Duke,2,158880
118,119,119,Pat Perez,6,157271
119,120,120,Jeev Milkha Singh,6,155239
120,121,121,Robert Karlsson,2,150800
121,122,122,Greg Chalmers,7,150065
122,123,123,Woody Austin,8,147947
123,124,124,George McNeill,8,146561
124,125,125,Padraig Harrington,4,145663
125,126,126,Troy Merritt,7,139189
126,127,127,Ben Curtis,7,137599
127,128,128,Brett Quigley,7,130092
128,129,129,Charl Schwartzel,2,128733
129,130,130,Jason Bohn,8,128272
130,131,131,Louis Oosthuizen,2,125833
131,132,132,Stephen Ames,7,125134
132,133,133,Martin Flores,7,122125
133,134,134,Mathew Goggin,7,120022
134,135,135,Kevin Sutherland,6,118950
135,136,136,Stuart Appleby,7,118063
136,137,137,Carl Pettersson,7,116491
137,138,138,Michael Letzig,8,111355
138,139,139,Brian Stuard,7,109788
139,140,140,Chris Couch,5,107618
140,141,141,Y.E. Yang,5,105419
141,142,142,Kris Blanks,9,100229
142,143,143,Matt Jones,6,99833
143,144,144,Kenny Perry,3,96483
144,145,145,John Merrick,9,95505
145,146,146,Francesco Molinari,2,95133
146,147,147,J.P. Hayes,7,94975
147,148,148,Nathan Green,7,91280
148,149,149,Scott Verplank,5,88525
149,150,150,Briny Baird,8,87048
150,151,151,Lee Janzen,6,85669
151,152,152,Stephen Gallacher,1,84733
152,153,153,David Horsey,2,84450
153,154,154,Chris DiMarco,7,84118
154,155,155,Edoardo Molinari,2,83133
155,156,156,James Driscoll,7,82953
156,157,157,Cliff Kresge,6,82348
157,158,158,Boo Weekley,7,78238
158,159,159,Tom Lehman,3,74735
159,160,160,Ricky Barnes,6,73353
160,T161,T161,Sergio Garcia,2,72000
161,T161,T161,Miguel Angel Jiménez,2,72000
162,T161,T161,Graeme McDowell,2,72000
163,164,164,Bob Estes,8,70505
164,165,165,Shaun Micheel,8,68912
165,166,166,Chad Collins,5,68157
166,T167,T167,Katsumasa Miyamoto,1,63500
167,T167,T167,Oliver Wilson,2,63500
168,169,169,Paul Goydos,4,62159
169,170,170,Ross McGowan,2,60000
170,171,171,James Nitties,7,58777
171,T172,T172,Craig Bowden,3,58000
172,T172,T172,Alvaro Quiros,2,58000
173,174,174,Henrik Stenson,6,56500
174,175,175,Anthony Kim,6,56400
175,176,176,Nicholas Thompson,6,56077
176,T177,T177,Chris Kirk,1,54480
177,T177,T177,Jarrod Lyle,5,54480
178,179,179,Grégory Bourdy,2,54475
179,180,180,Rhys Davies,2,52467
180,181,181,Matt Bettencourt,8,52343
181,182,182,Ross Fisher,2,50214
182,183,183,Brenden Pappas,7,48951
183,T184,T184,Ryo Ishikawa,2,47250
184,T184,T184,Alex Noren,1,47250
185,186,186,Seung-Yul Noh,2,46700
186,187,187,Mike Weir,3,46000
187,188,188,Carlos Franco,3,45938
188,189,189,Blake Adams,5,45125
189,T190,T190,Kevin Chappell,1,44000
190,T190,T190,John Ellis,1,44000
191,T190,T190,Marcus Fraser,1,44000
192,193,193,Justin Bolli,6,43240
193,194,194,James Kingston,1,42250
194,195,195,Kirk Triplett,3,41727
195,196,196,Hennie Otto,1,40750
196,197,197,Yuta Ikeda,2,39250
197,198,198,Daniel Chopra,7,38736
198,199,199,Garth Mulroy,3,37616
199,200,200,Gonzalo Fernandez-Castaño,1,37133
200,201,201,Soren Hansen,2,36750
201,202,202,Michael Jonzon,1,35875
202,203,203,John Daly,5,35658
203,204,204,Derek Lamely,6,33728
204,205,205,Jamie Lovemark,1,32500
205,206,206,Mathias Grönberg,7,31381
206,207,207,Rich Barcelo,7,29250
207,208,208,Henrik Bjornstad,7,28561
208,209,209,Andrew McLardy,7,27160
209,210,210,Greg Kraft,6,26803
210,211,211,Glen Day,3,26725
211,212,212,Jay Williamson,7,26530
212,213,213,Steve Wheatcroft,7,26508
213,214,214,Ted Purdy,7,26179
214,215,215,Michael Bradley,6,22600
215,216,216,Craig Barlow,3,22311
216,217,217,Greg Owen,7,21773
217,218,218,David Lutterus,7,21043
218,219,219,Tim Wilkinson,1,20250
219,220,220,Omar Uresti,7,19735
220,221,221,Joe Ogilvie,8,18909
221,222,222,Todd Hamilton,6,18750
222,223,223,Jeff Gove,7,18672
223,224,224,Steve Lowery,5,18567
224,225,225,Steve Flesch,5,18469
225,T226,T226,Matt Every,1,18330
226,T226,T226,John Huston,1,18330
227,228,228,Skip Kendall,5,18267
228,229,229,Jeff Maggert,7,18225
229,230,230,Jimmy Walker,6,17588
230,T231,T231,Jason Gore,1,17366
231,T231,T231,Drew Weaver,1,17366
232,T233,T233,Darren Clarke,1,16971
233,T233,T233,K.T. Kim,1,16971
234,235,235,Brent Delahoussaye,7,16482
235,236,236,Chris Wilson,7,16408
236,237,237,Fredrik Andersson Hed,1,14717
237,238,238,Danny Wax,1,14450
238,239,239,Rob Labritz,1,14150
239,240,240,Fred Funk,1,12732
240,241,241,"Jerry Richardson, Jr.",1,12725
241,T242,T242,Trevor Immelman,6,11433
242,T242,T242,Kent Jones,2,11433
243,T242,T242,Frank Lickliter II,1,11433
244,245,245,Alex Hamilton,1,10836
245,246,246,Marc Turnesa,1,10159
246,247,247,Roger Tambellini,7,10105
247,248,248,Mark Brooks,4,10090
248,249,249,Mike Small,4,9635
249,250,250,Brad Faxon,6,9280
250,251,251,Jesper Parnevik,1,9165
251,T252,T252,Marco Dawson,2,8880
252,T252,T252,Rod Pampling,7,8880
253,254,254,Billy Hurley III,1,8560
254,255,255,Warren Schutte,1,8471
255,256,256,Vance Veazey,7,8311
256,257,257,Michael O'Neal,1,8120
257,258,258,Eric Axley,1,7452
258,259,259,Kevin Johnson,6,6948
259,260,260,"Jim Gallagher, Jr.",1,6552
