,FedExCup_Season_Points_RANK THIS WEEK,FedExCup_Season_Points_RANK LAST WEEK,FedExCup_Season_Points_PLAYER NAME,FedExCup_Season_Points_EVENTS,FedExCup_Season_Points_POINTS,FedExCup_Season_Points_# OF WINS,FedExCup_Season_Points_# OF TOP 10'S,FedExCup_Season_Points_POINTS BEHIND LEAD,FedExCup_Season_Points_RESET POINTS
31,32,32,Adam Scott,16,940.0,1.0,2.0,906.0,
32,33,33,Jason Bohn,19,926.0,1.0,2.0,920.0,
33,34,34,K.J. Choi,18,922.0,,2.0,924.0,
34,35,35,Ryan Moore,20,893.0,,4.0,953.0,
35,36,36,Sean O'Hair,20,858.0,,3.0,988.0,
36,37,37,Freddie Jacobson,18,826.0,,3.0,1020.0,
37,38,38,Vaughn Taylor,20,824.0,,5.0,1022.0,
38,39,39,Geoff Ogilvy,15,815.0,1.0,1.0,1031.0,
39,40,40,Brandt Snedeker,23,813.0,,4.0,1033.0,
40,41,41,Kevin Na,21,804.0,,3.0,1042.0,
41,42,42,Scott Verplank,19,786.0,,3.0,1060.0,
42,43,43,Brian Davis,24,781.0,,2.0,1065.0,
43,44,44,David Toms,20,748.0,,1.0,1098.0,
44,45,45,Bryce Molder,21,748.0,,6.0,1098.0,
45,46,46,Charles Howell III,22,746.0,,4.0,1100.0,
46,47,47,Lucas Glover,20,743.0,,3.0,1103.0,
47,48,48,Marc Leishman,21,738.0,,2.0,1108.0,
48,49,49,Ian Poulter,12,733.0,1.0,2.0,1113.0,
49,50,50,Heath Slocum,19,722.0,,3.0,1124.0,
50,51,51,Brian Gay,23,714.0,,2.0,1132.0,
51,52,52,Charlie Wi,20,690.0,,3.0,1156.0,
52,53,53,Y.E. Yang,18,678.0,,2.0,1168.0,
53,54,54,Stewart Cink,19,678.0,,3.0,1168.0,
54,55,55,Padraig Harrington,16,662.0,,5.0,1184.0,
55,56,56,Matt Jones,22,647.0,,5.0,1199.0,
56,57,57,Spencer Levin,24,646.0,,1.0,1200.0,
57,58,58,Steve Marino,19,636.0,,2.0,1210.0,
58,59,59,John Rollins,21,634.0,,2.0,1212.0,
59,60,60,Rory Sabbatini,20,618.0,,2.0,1228.0,
60,61,61,Jason Dufner,22,617.0,,2.0,1229.0,
61,62,62,J.J. Henry,25,598.0,,2.0,1248.0,
62,63,63,Paul Goydos,22,597.0,,3.0,1249.0,
63,64,64,Shaun Micheel,15,595.0,,3.0,1251.0,
64,65,65,Vijay Singh,20,588.0,,2.0,1258.0,
65,66,66,D.J. Trahan,21,577.0,,5.0,1269.0,
66,67,67,Michael Sim,17,573.0,,3.0,1273.0,
67,68,68,Steve Elkington,19,571.0,,3.0,1275.0,
68,69,69,Greg Chalmers,22,558.0,,2.0,1288.0,
69,70,70,Justin Leonard,21,556.0,,1.0,1290.0,
70,71,71,Kenny Perry,19,555.0,,1.0,1291.0,
71,72,72,Jimmy Walker,23,554.0,,2.0,1292.0,
72,73,73,Kris Blanks,24,554.0,,3.0,1292.0,
73,74,74,Tom Gillis,21,554.0,,2.0,1292.0,
74,75,75,Chad Campbell,22,551.0,,2.0,1295.0,
75,76,76,Stephen Ames,18,548.0,,1.0,1298.0,
76,77,77,Charley Hoffman,19,546.0,,3.0,1300.0,
77,78,78,D.A. Points,23,544.0,,3.0,1302.0,
78,79,79,Pat Perez,21,534.0,,3.0,1312.0,
79,80,80,Tim Petrovic,24,532.0,,2.0,1314.0,
80,81,81,Alex Prugh,24,526.0,,3.0,1320.0,
81,82,82,Boo Weekley,23,526.0,,3.0,1320.0,
82,83,83,Ángel Cabrera,16,524.0,,2.0,1322.0,
83,84,84,Garrett Willis,19,517.0,,1.0,1329.0,
84,85,85,Blake Adams,22,514.0,,2.0,1332.0,
85,86,86,Chad Collins,23,512.0,,3.0,1334.0,
86,87,87,Chris Riley,18,512.0,,3.0,1334.0,
87,88,88,Josh Teater,25,502.0,,2.0,1344.0,
88,89,89,Kevin Sutherland,20,499.0,,1.0,1347.0,
89,90,90,Jerry Kelly,23,493.0,,1.0,1353.0,
90,91,91,Alex Cejka,23,489.0,,4.0,1357.0,
91,92,92,Derek Lamely,24,487.0,1.0,1.0,1359.0,
92,93,93,Aaron Baddeley,19,481.0,,1.0,1365.0,
93,94,94,Webb Simpson,24,478.0,,1.0,1368.0,
94,95,95,Martin Laird,21,477.0,,2.0,1369.0,
95,96,96,Davis Love III,19,475.0,,3.0,1371.0,
96,97,97,Matt Bettencourt,27,472.0,1.0,1.0,1374.0,
97,98,98,Chris Couch,20,472.0,,2.0,1374.0,
98,99,99,John Senden,23,467.0,,,1379.0,
99,100,100,Jeff Maggert,22,463.0,,2.0,1383.0,
100,101,101,Sergio Garcia,15,461.0,,1.0,1385.0,
101,102,102,Kevin Streelman,23,460.0,,3.0,1386.0,
102,103,103,Briny Baird,22,458.0,,1.0,1388.0,
103,104,104,Joe Ogilvie,26,454.0,,1.0,1392.0,
104,105,105,John Merrick,25,449.0,,1.0,1397.0,
105,106,106,Bill Lunde,24,449.0,1.0,3.0,1397.0,
106,107,107,Ryuji Imada,22,445.0,,2.0,1401.0,
107,108,108,J.P. Hayes,19,439.0,,3.0,1407.0,
108,109,109,Dean Wilson,12,434.0,,1.0,1412.0,
109,110,110,Corey Pavin,8,433.0,,2.0,1413.0,
110,111,111,Bob Estes,20,432.0,,2.0,1414.0,
111,112,112,Tiger Woods,9,431.0,,2.0,1415.0,
112,113,113,Cameron Beckman,20,427.0,1.0,2.0,1419.0,
113,114,114,Troy Matteson,21,425.0,,2.0,1421.0,
114,115,115,Andres Romero,16,418.0,,2.0,1428.0,
115,116,116,Ben Curtis,19,416.0,,1.0,1430.0,
116,117,117,Jonathan Byrd,21,415.0,,2.0,1431.0,
117,118,118,Michael Letzig,21,415.0,,1.0,1431.0,
118,119,119,Nathan Green,22,414.0,,1.0,1432.0,
119,120,120,David Duval,19,404.0,,1.0,1442.0,
120,121,121,Kevin Stadler,23,394.0,,4.0,1452.0,
121,122,122,Woody Austin,23,394.0,,3.0,1452.0,
122,123,123,Graham DeLaet,23,393.0,,1.0,1453.0,
123,124,124,Robert Garrigus,16,382.0,,2.0,1464.0,
124,125,125,Scott Piercy,22,380.0,,2.0,1466.0,
125,126,126,Jeff Quinney,24,378.0,,1.0,1468.0,
126,127,127,Chris Stroud,22,369.0,,2.0,1477.0,
127,128,128,Mike Weir,19,360.0,,1.0,1486.0,
128,129,129,Aron Price,17,358.0,,2.0,1488.0,
129,130,130,Scott McCarron,24,354.0,,1.0,1492.0,
130,131,131,Mark Wilson,23,343.0,,1.0,1503.0,
131,132,132,John Mallinger,24,342.0,,1.0,1504.0,
132,133,133,James Driscoll,21,340.0,,1.0,1506.0,
133,134,134,James Nitties,25,338.0,,1.0,1508.0,
134,135,135,George McNeill,23,338.0,,1.0,1508.0,
135,136,136,Brett Quigley,24,336.0,,1.0,1510.0,
136,137,137,Tom Pernice Jr.,18,331.0,,1.0,1515.0,
137,138,138,Troy Merritt,24,331.0,,1.0,1515.0,
138,139,139,Richard Johnson,22,323.0,,2.0,1523.0,
139,140,140,Matt Every,17,322.0,,1.0,1524.0,
140,141,141,Henrik Stenson,12,321.0,,1.0,1525.0,
141,142,142,Joe Durant,15,321.0,,1.0,1525.0,
142,143,143,Billy Mayfair,22,314.0,,2.0,1532.0,
143,144,144,Michael Connell,20,314.0,,1.0,1532.0,
144,145,145,Michael Bradley,20,306.0,,,1540.0,
145,146,146,Paul Stankowski,13,296.0,,2.0,1550.0,
146,147,147,Chris DiMarco,20,286.0,,1.0,1560.0,
147,148,148,Nicholas Thompson,25,284.0,,1.0,1562.0,
148,149,149,Jay Williamson,19,280.0,,1.0,1566.0,
149,150,150,Lee Janzen,21,280.0,,1.0,1566.0,
150,151,151,Rod Pampling,21,275.0,,,1571.0,
151,152,152,Steve Flesch,22,272.0,,1.0,1574.0,
152,153,153,Chris Tidland,19,271.0,,1.0,1575.0,
153,154,154,Will MacKenzie,18,267.0,,,1579.0,
154,155,155,Mathew Goggin,23,267.0,,1.0,1579.0,
155,156,156,Trevor Immelman,15,266.0,,,1580.0,
156,157,157,Jeev Milkha Singh,15,253.0,,1.0,1593.0,
157,158,158,Brett Wetterich,12,248.0,,,1598.0,
158,159,159,Nick O'Hern,11,247.0,,2.0,1599.0,
159,160,160,Ted Purdy,25,244.0,,,1602.0,
160,161,161,Michael Allen,13,243.0,,1.0,1603.0,
161,162,162,Tim Herron,19,234.0,,,1612.0,
162,163,163,Jarrod Lyle,15,227.0,,2.0,1619.0,
163,164,164,Brian Stuard,23,226.0,,1.0,1620.0,
164,165,165,Roger Tambellini,21,219.0,,1.0,1627.0,
165,166,166,Steve Wheatcroft,22,213.0,,1.0,1633.0,
166,167,167,Fred Couples,7,208.0,,1.0,1638.0,
167,168,168,Cameron Percy,20,206.0,,,1640.0,
168,169,169,Tom Lehman,7,204.0,,,1642.0,
169,170,170,Kirk Triplett,10,199.0,,,1647.0,
170,171,171,Mathias Grönberg,17,198.0,,1.0,1648.0,
171,172,172,Johnson Wagner,23,197.0,,,1649.0,
172,173,173,Omar Uresti,22,192.0,,1.0,1654.0,
173,174,174,Arjun Atwal,10,192.0,1.0,2.0,1654.0,
174,175,175,Henrik Bjornstad,21,188.0,,,1658.0,
175,176,176,Rich Barcelo,20,187.0,,,1659.0,
176,177,177,Greg Owen,22,184.0,,,1662.0,
177,178,178,Garth Mulroy,18,160.0,,1.0,1686.0,
178,179,179,Skip Kendall,15,159.0,,1.0,1687.0,
179,180,180,Rocco Mediate,21,150.0,,,1696.0,
180,181,181,Jeff Klauk,13,148.0,,,1698.0,
181,182,182,Glen Day,12,144.0,,,1702.0,
182,183,183,Mark Hensby,12,142.0,,,1704.0,
183,184,184,Roland Thatcher,21,142.0,,1.0,1704.0,
184,185,185,Daniel Chopra,23,142.0,,,1704.0,
185,186,186,Martin Flores,21,137.0,,1.0,1709.0,
186,187,187,Tim Wilkinson,15,133.0,,,1713.0,
187,188,188,Chez Reavie,15,125.0,,,1721.0,
188,189,189,Kent Jones,9,117.0,,1.0,1729.0,
189,190,190,Harrison Frazar,17,116.0,,,1730.0,
190,191,191,Charles Warren,16,116.0,,1.0,1730.0,
191,192,192,Gary Woodland,8,110.0,,,1736.0,
192,193,193,Cameron Tringale,17,107.0,,,1739.0,
193,194,194,David Lutterus,20,103.0,,,1743.0,
194,195,195,Craig Barlow,9,100.0,,1.0,1746.0,
195,196,196,John Daly,17,97.0,,,1749.0,
196,T197,T197,Carlos Franco,10,92.0,,,1754.0,
197,T197,T197,Tom Watson,3,92.0,,,1754.0,
198,199,199,Cliff Kresge,13,91.0,,,1755.0,
199,200,200,Graeme McDowell,10,91.0,1.0,2.0,1755.0,
200,201,201,Brenden Pappas,19,89.0,,,1757.0,
201,202,202,Mark Calcavecchia,15,88.0,,,1758.0,
202,203,203,Matt Weibring,10,83.0,,,1763.0,
203,204,204,Marco Dawson,10,82.0,,,1764.0,
204,205,205,Jason Gore,10,81.0,,,1765.0,
205,206,206,Rich Beem,9,80.0,,,1766.0,
206,207,207,Craig Bowden,19,79.0,,,1767.0,
207,208,208,Jeff Gove,17,77.0,,,1769.0,
208,209,209,Vance Veazey,18,73.0,,,1773.0,
209,210,210,Frank Lickliter II,6,67.0,,,1779.0,
210,211,211,Steve Lowery,22,67.0,,,1779.0,
211,212,212,Todd Hamilton,16,64.0,,,1782.0,
212,213,213,Chris Wilson,21,58.0,,,1788.0,
213,214,214,Jerod Turner,21,57.0,,,1789.0,
214,215,215,Shane Bertsch,3,53.0,,,1793.0,
215,216,216,Kevin Johnson,22,53.0,,,1793.0,
216,217,217,Guy Boros,6,48.0,,,1798.0,
217,218,218,Robert Gamez,8,47.0,,1.0,1799.0,
218,219,219,Fred Funk,5,44.0,,,1802.0,
219,220,220,Brent Delahoussaye,16,43.0,,,1803.0,
220,221,221,John Huston,12,40.0,,,1806.0,
221,222,222,Brad Faxon,19,39.0,,,1807.0,
222,223,223,Dicky Pride,5,39.0,,,1807.0,
223,224,224,Jonathan Kaye,6,34.0,,,1812.0,
224,225,225,Parker McLachlin,15,32.0,,,1814.0,
225,226,226,Mark Brooks,12,29.0,,,1817.0,
226,227,227,Chris Smith,10,27.0,,,1819.0,
227,228,228,Fran Quinn,7,26.0,,,1820.0,
228,229,229,Robert Damron,4,24.0,,,1822.0,
229,230,230,Andrew McLardy,16,23.0,,,1823.0,
230,231,231,Len Mattiace,5,22.0,,,1824.0,
231,232,232,Shigeki Maruyama,4,20.0,,,1826.0,
232,233,233,Michael Clark II,6,19.0,,,1827.0,
233,234,234,John Morse,5,19.0,,,1827.0,
234,235,235,Jim Carter,5,18.0,,,1828.0,
235,236,236,Greg Kraft,17,14.0,,,1832.0,
236,237,237,J.L. Lewis,4,14.0,,,1832.0,
237,238,238,Phil Tataurangi,4,12.0,,,1834.0,
238,239,239,Tom Byrum,3,11.0,,,1835.0,
239,240,240,Chris Baryla,7,9.0,,,1837.0,
240,241,241,Justin Bolli,18,6.0,,,1840.0,
241,242,242,Tommy Armour III,4,6.0,,,1840.0,
242,243,243,Eric Axley,5,6.0,,,1840.0,
243,244,244,Willie Wood,1,5.0,,,1841.0,
244,245,245,Robin Freeman,4,2.0,,,1844.0,
245,246,246,Brad Adamonis,4,2.0,,,1844.0,
246,247,247,Paul Azinger,1,1.0,,,1845.0,
247,248,248,Spike McRoy,4,,,,1846.0,
