,Scrambling_Fringe_RTP_Score_RANK THIS WEEK,Scrambling_Fringe_RTP_Score_RANK LAST WEEK,Scrambling_Fringe_RTP_Score_PLAYER NAME,Scrambling_Fringe_RTP_Score_ROUNDS,Scrambling_Fringe_RTP_Score_AVG RTP,Scrambling_Fringe_RTP_Score_TOTAL HOLES,Scrambling_Fringe_RTP_Score_TOTAL RTP
106,107,107,Tommy Gainey,60,+.065,31,+2.00
107,T108,T108,Kent Jones,68,+.067,45,+3.00
108,T108,T108,Troy Matteson,94,+.067,75,+5.00
109,T108,T108,Tag Ridings,88,+.067,90,+6.00
110,T108,T108,Nicholas Thompson,113,+.067,104,+7.00
111,T112,T112,Brian Gay,102,+.068,74,+5.00
112,T112,T112,Vijay Singh,82,+.068,59,+4.00
113,114,114,Jim McGovern,75,+.069,58,+4.00
114,T115,T115,Tommy Armour III,77,+.070,43,+3.00
115,T115,T115,Jimmy Walker,73,+.070,43,+3.00
116,117,117,Greg Kraft,63,+.071,56,+4.00
117,T118,T118,Alex Cejka,75,+.072,69,+5.00
118,T118,T118,Omar Uresti,74,+.072,69,+5.00
119,120,120,Charley Hoffman,94,+.073,82,+6.00
120,121,121,Steve Flesch,95,+.074,81,+6.00
121,T122,T122,Pat Perez,93,+.075,80,+6.00
122,T122,T122,Tom Scherrer,56,+.075,40,+3.00
123,124,124,Daniel Chopra,84,+.077,65,+5.00
124,T125,T125,Ryan Armour,87,+.078,64,+5.00
125,T125,T125,Peter Lonard,92,+.078,64,+5.00
126,T127,T127,Alejandro Cañizares,52,+.081,37,+3.00
127,T127,T127,Trevor Immelman,70,+.081,37,+3.00
128,T129,T129,Jason Gore,94,+.082,97,+8.00
129,T129,T129,Hunter Mahan,87,+.082,61,+5.00
130,131,131,Steve Allan,58,+.083,36,+3.00
131,132,132,Tim Petrovic,97,+.085,71,+6.00
132,133,133,John Senden,93,+.086,58,+5.00
133,134,134,John Merrick,98,+.088,68,+6.00
134,T135,T135,Sean O'Hair,81,+.089,45,+4.00
135,T135,T135,Johnson Wagner,83,+.089,79,+7.00
136,T137,T137,Tim Clark,90,+.091,77,+7.00
137,T137,T137,Brandt Jobe,52,+.091,33,+3.00
138,T137,T137,Craig Kanada,65,+.091,55,+5.00
139,T137,T137,Bubba Watson,97,+.091,77,+7.00
140,141,141,Jason Day,81,+.092,65,+6.00
141,142,142,Steve Marino,119,+.093,86,+8.00
142,143,143,Robert Garrigus,90,+.094,64,+6.00
143,T144,T144,Jason Allred,63,+.095,63,+6.00
144,T144,T144,Lucas Glover,91,+.095,63,+6.00
145,T144,T144,Nick Watney,96,+.095,84,+8.00
146,147,147,Mathias Grönberg,87,+.096,73,+7.00
147,148,148,Bob Tway,70,+.097,62,+6.00
148,T149,T149,Justin Bolli,87,+.098,61,+6.00
149,T149,T149,Paul Claxton,63,+.098,51,+5.00
150,T149,T149,Travis Perkins,53,+.098,41,+4.00
151,152,152,Cody Freeman,66,+.100,50,+5.00
152,153,153,Tim Wilkinson,95,+.101,69,+7.00
153,154,154,Ted Purdy,68,+.102,59,+6.00
154,155,155,J.B. Holmes,86,+.103,58,+6.00
155,156,156,Jeff Maggert,86,+.104,77,+8.00
156,T157,T157,David Toms,70,+.105,57,+6.00
157,T157,T157,Jay Williamson,96,+.105,86,+9.00
158,159,159,Mark Calcavecchia,67,+.106,47,+5.00
159,T160,T160,Bart Bryant,81,+.107,75,+8.00
160,T160,T160,George McNeill,97,+.107,56,+6.00
161,162,162,Jim Furyk,95,+.108,74,+8.00
162,T163,T163,Ryan Palmer,69,+.111,63,+7.00
163,T163,T163,Kevin Stadler,90,+.111,72,+8.00
164,165,165,Matt Jones,95,+.113,80,+9.00
165,T166,T166,Billy Mayfair,103,+.116,69,+8.00
166,T166,T166,Y.E. Yang,89,+.116,69,+8.00
167,168,168,Boo Weekley,86,+.117,60,+7.00
168,169,169,Michael Letzig,88,+.120,75,+9.00
169,170,170,Briny Baird,113,+.123,81,+10.00
170,171,171,Brett Quigley,80,+.125,64,+8.00
171,T172,T172,Brian Davis,108,+.127,110,+14.00
172,T172,T172,Kenneth Ferrie,72,+.127,55,+7.00
173,174,174,John Riegger,73,+.129,62,+8.00
174,T175,T175,Robert Allenby,108,+.130,69,+9.00
175,T175,T175,Rory Sabbatini,77,+.130,54,+7.00
176,177,177,Dean Wilson,109,+.134,82,+11.00
177,178,178,Cameron Beckman,87,+.136,66,+9.00
178,179,179,Chris Riley,51,+.140,43,+6.00
179,180,180,Rich Beem,90,+.141,64,+9.00
180,181,181,Ron Whittaker,54,+.143,49,+7.00
181,182,182,Chad Campbell,94,+.148,61,+9.00
182,183,183,Charles Warren,79,+.149,67,+10.00
183,184,184,Chris Stroud,81,+.153,59,+9.00
184,185,185,Brad Adamonis,87,+.157,70,+11.00
185,186,186,Martin Laird,98,+.159,69,+11.00
186,T187,T187,Mathew Goggin,91,+.162,68,+11.00
187,T187,T187,J.J. Henry,108,+.162,74,+12.00
188,189,189,David Lutterus,59,+.163,49,+8.00
189,190,190,Rod Pampling,83,+.164,67,+11.00
190,191,191,Nick Flanagan,89,+.167,72,+12.00
191,192,192,Joe Ogilvie,100,+.169,77,+13.00
192,T193,T193,Ian Poulter,51,+.172,29,+5.00
193,T193,T193,Adam Scott,51,+.172,29,+5.00
194,195,195,K.J. Choi,74,+.178,45,+8.00
195,196,196,Richard Johnson,60,+.184,49,+9.00
196,197,197,Joe Durant,92,+.185,54,+10.00
