,Scrambling_from_the_Sand_RANK THIS WEEK,Scrambling_from_the_Sand_RANK LAST WEEK,Scrambling_from_the_Sand_PLAYER NAME,Scrambling_from_the_Sand_ROUNDS,Scrambling_from_the_Sand_%,Scrambling_from_the_Sand_SUCCESSES,Scrambling_from_the_Sand_ATTEMPTS
101,T102,T102,Lee Janzen,89,51.43,54,105
102,T102,T102,Doug LaBelle II,65,51.43,36,70
103,104,104,John Rollins,94,51.38,56,109
104,105,105,Mark Hensby,71,51.11,46,90
105,106,106,Mathias Grönberg,87,51.04,49,96
106,107,107,Marc Turnesa,87,51.02,50,98
107,108,108,Brad Adamonis,87,50.94,54,106
108,109,109,Paul Goydos,78,50.91,56,110
109,110,110,Bo Van Pelt,101,50.83,61,120
110,111,111,Chris DiMarco,87,50.82,62,122
111,112,112,Carl Pettersson,110,50.76,67,132
112,113,113,Scott Sterling,89,50.62,41,81
113,114,114,Tag Ridings,88,50.47,54,107
114,115,115,Vaughn Taylor,103,50.39,65,129
115,T116,T116,Steve Allan,58,50.0,27,54
116,T116,T116,David Duval,51,50.0,28,56
117,T116,T116,Kent Jones,68,50.0,38,76
118,T116,T116,Camilo Villegas,79,50.0,38,76
119,T116,T116,Boo Weekley,86,50.0,39,78
120,T116,T116,Y.E. Yang,89,50.0,55,110
121,122,122,Shane Bertsch,96,49.62,65,131
122,123,123,Bill Haas,99,49.59,61,123
123,124,124,Tim Herron,97,49.56,56,113
124,125,125,Brandt Snedeker,85,49.51,51,103
125,126,126,Trevor Immelman,70,49.3,35,71
126,127,127,Scott McCarron,63,49.18,30,61
127,128,128,Shigeki Maruyama,50,49.15,29,59
128,129,129,Alejandro Cañizares,52,49.09,27,55
129,130,130,John Senden,93,48.98,48,98
130,T131,T131,Lucas Glover,91,48.96,47,96
131,T131,T131,Martin Laird,98,48.96,47,96
132,T131,T131,Kenny Perry,97,48.96,47,96
133,T134,T134,Billy Andrade,71,48.94,46,94
134,T134,T134,Todd Hamilton,92,48.94,46,94
135,T134,T134,Jeff Overton,103,48.94,46,94
136,137,137,Troy Matteson,94,48.89,44,90
137,138,138,Ryan Moore,72,48.86,43,88
138,139,139,John Merrick,98,48.81,41,84
139,140,140,Davis Love III,78,48.75,39,80
140,T141,T141,J.J. Henry,108,48.65,54,111
141,T141,T141,Andres Romero,69,48.65,36,74
142,143,143,Nicholas Thompson,113,48.63,71,146
143,144,144,Stephen Leaney,53,48.57,34,70
144,145,145,Jeff Quinney,87,48.35,44,91
145,146,146,Kenneth Ferrie,72,48.15,39,81
146,147,147,Will MacKenzie,62,47.76,32,67
147,148,148,James Driscoll,85,47.67,41,86
148,149,149,Bob Estes,90,47.62,50,105
149,150,150,George McNeill,97,47.57,49,103
150,151,151,Dean Wilson,109,47.54,58,122
151,152,152,Tom Pernice Jr.,104,47.45,65,137
152,153,153,Robert Allenby,108,47.37,45,95
153,154,154,Nick Watney,96,47.31,44,93
154,155,155,Steve Marino,119,46.72,57,122
155,T156,T156,Cody Freeman,66,46.51,40,86
156,T156,T156,Jimmy Walker,73,46.51,40,86
157,158,158,Mark Calcavecchia,67,46.38,32,69
158,159,159,Jason Day,81,46.0,46,100
159,160,160,David Lutterus,59,45.88,39,85
160,161,161,Johnson Wagner,83,45.74,43,94
161,162,162,Jason Gore,94,45.61,52,114
162,T163,T163,Paul Casey,55,45.45,15,33
163,T163,T163,Zach Johnson,85,45.45,30,66
164,T163,T163,John Riegger,73,45.45,25,55
165,T163,T163,D.J. Trahan,94,45.45,45,99
166,167,167,Jay Williamson,96,45.35,39,86
167,168,168,Travis Perkins,53,45.28,24,53
168,T169,T169,Woody Austin,109,45.0,36,80
169,T169,T169,Fred Couples,60,45.0,27,60
170,171,171,Ryan Palmer,69,44.87,35,78
171,172,172,Chez Reavie,102,44.86,48,107
172,173,173,David Toms,70,44.78,30,67
173,174,174,Chad Campbell,94,44.57,41,92
174,175,175,Ron Whittaker,54,44.23,23,52
175,176,176,Alex Cejka,75,44.19,38,86
176,177,177,Kevin Stadler,90,44.05,37,84
177,178,178,Chris Stroud,81,43.9,36,82
178,179,179,Jesper Parnevik,88,43.81,46,105
179,180,180,Tommy Armour III,77,43.66,31,71
180,T181,T181,Steve Elkington,84,43.48,40,92
181,T181,T181,Bob Sowards,61,43.48,30,69
182,183,183,Peter Lonard,92,43.3,42,97
183,184,184,Robert Garrigus,90,42.72,44,103
184,185,185,Joe Durant,92,42.55,40,94
185,186,186,Vijay Singh,82,42.03,29,69
186,187,187,Kyle Thompson,70,41.98,34,81
187,188,188,Ángel Cabrera,55,41.46,17,41
188,189,189,Patrick Sheehan,124,41.13,51,124
189,190,190,Nick Flanagan,89,40.63,39,96
190,191,191,Greg Kraft,63,39.47,30,76
191,192,192,Bubba Watson,97,39.36,37,94
192,193,193,Ryan Armour,87,39.25,42,107
193,194,194,Dustin Johnson,92,38.38,38,99
194,195,195,Brandt Jobe,52,38.0,19,50
195,196,196,Justin Bolli,87,35.23,31,88
196,197,197,Charles Warren,79,34.31,35,102
