,Scrambling__30_yds_RTP_Score_RANK THIS WEEK,Scrambling__30_yds_RTP_Score_RANK LAST WEEK,Scrambling__30_yds_RTP_Score_PLAYER NAME,Scrambling__30_yds_RTP_Score_ROUNDS,Scrambling__30_yds_RTP_Score_AVG RTP,Scrambling__30_yds_RTP_Score_TOTAL HOLES,Scrambling__30_yds_RTP_Score_TOTAL RTP
145,146,146,Padraig Harrington,52,0.943,35,33.0
146,T147,T147,Todd Demsey,80,0.946,74,70.0
147,T147,T147,David Duval,51,0.946,93,88.0
148,149,149,Richard Johnson,77,0.9470000000000001,94,89.0
149,150,150,Fred Couples,60,0.95,60,57.0
150,T151,T151,Jason Day,81,0.951,82,78.0
151,T151,T151,Phil Mickelson,80,0.951,61,58.0
152,153,153,Charles Warren,79,0.9520000000000001,62,59.0
153,154,154,Cody Freeman,66,0.956,68,65.0
154,T155,T155,Troy Matteson,94,0.9570000000000001,93,89.0
155,T155,T155,Boo Weekley,86,0.9570000000000001,47,45.0
156,157,157,Robert Gamez,79,0.958,71,68.0
157,158,158,Mathias Grönberg,87,0.96,100,96.0
158,159,159,John Merrick,98,0.9640000000000001,84,81.0
159,160,160,Tom Scherrer,56,0.966,58,56.0
160,161,161,Jason Allred,63,0.9690000000000001,64,62.0
161,162,162,Bo Van Pelt,101,0.971,104,101.0
162,163,163,David Lutterus,59,0.973,74,72.0
163,164,164,Scott McCarron,63,0.9790000000000001,47,46.0
164,T165,T165,Alejandro Cañizares,52,0.98,50,49.0
165,T165,T165,Jon Mills,95,0.98,100,98.0
166,167,167,Travis Perkins,53,0.9840000000000001,62,61.0
167,168,168,Dudley Hart,74,0.986,74,73.0
168,T169,T169,Nick Flanagan,89,0.987,78,77.0
169,T169,T169,Kevin Stadler,90,0.987,76,75.0
170,T171,T171,Nicholas Thompson,113,0.9890000000000001,95,94.0
171,T171,T171,Y.E. Yang,89,0.9890000000000001,94,93.0
172,T173,T173,James Driscoll,85,1.0,93,93.0
173,T173,T173,Harrison Frazar,73,1.0,64,64.0
174,T173,T173,Steve Marino,119,1.0,97,97.0
175,T173,T173,Ryan Palmer,69,1.0,53,53.0
176,T173,T173,Rory Sabbatini,77,1.0,65,65.0
177,T173,T173,Bob Sowards,61,1.0,68,68.0
178,T173,T173,D.J. Trahan,94,1.0,68,68.0
179,180,180,Frank Lickliter II,107,1.0090000000000001,108,109.0
180,181,181,Andres Romero,69,1.0170000000000001,60,61.0
181,182,182,John Riegger,73,1.018,55,56.0
182,183,183,Ryan Armour,87,1.023,88,90.0
183,184,184,Nick Watney,96,1.024,84,86.0
184,185,185,Craig Kanada,65,1.0290000000000001,68,70.0
185,186,186,Tag Ridings,88,1.032,94,97.0
186,187,187,Marc Turnesa,87,1.034,87,90.0
187,188,188,Dustin Johnson,92,1.05,100,105.0
188,189,189,Kyle Thompson,70,1.061,82,87.0
189,T190,T190,Mark Hensby,71,1.084,83,90.0
190,T190,T190,Charley Hoffman,94,1.084,83,90.0
191,192,192,Ángel Cabrera,55,1.1540000000000001,52,60.0
192,193,193,Robert Garrigus,90,1.163,86,100.0
193,194,194,Jason Gore,94,1.188,69,82.0
194,195,195,Paul Casey,55,1.219,32,39.0
195,196,196,Tommy Gainey,60,1.237,76,94.0
196,197,197,Steve Allan,58,1.2790000000000001,61,78.0
