,Scrambling_Fringe_RTP_Score_RANK THIS WEEK,Scrambling_Fringe_RTP_Score_RANK LAST WEEK,Scrambling_Fringe_RTP_Score_PLAYER NAME,Scrambling_Fringe_RTP_Score_ROUNDS,Scrambling_Fringe_RTP_Score_AVG RTP,Scrambling_Fringe_RTP_Score_TOTAL HOLES,Scrambling_Fringe_RTP_Score_TOTAL RTP
135,T135,T135,James Hahn,82,+.083,72,+6.00
136,T135,T135,Justin Hicks,103,+.083,72,+6.00
137,T138,T138,Charlie Beljan,76,+.085,59,+5.00
138,T138,T138,Jonathan Byrd,76,+.085,59,+5.00
139,T138,T138,Spencer Levin,59,+.085,47,+4.00
140,T138,T138,"Ted Potter, Jr.",68,+.085,59,+5.00
141,T142,T142,Rory McIlroy,66,+.088,34,+3.00
142,T142,T142,Brian Stuard,91,+.088,80,+7.00
143,144,144,Shawn Stefani,60,+.089,56,+5.00
144,145,145,Michael Putnam,106,+.090,78,+7.00
145,T146,T146,Trevor Immelman,84,+.091,55,+5.00
146,T146,T146,Carl Pettersson,91,+.091,66,+6.00
147,T146,T146,Bo Van Pelt,83,+.091,55,+5.00
148,149,149,Steven Bowditch,93,+.093,75,+7.00
149,T150,T150,Woody Austin,63,+.105,57,+6.00
150,T150,T150,Martin Flores,85,+.105,57,+6.00
151,152,152,Willy Wilcox,51,+.108,37,+4.00
152,T153,T153,Ken Duke,80,+.109,64,+7.00
153,T153,T153,Tommy Gainey,73,+.109,64,+7.00
154,T153,T153,Billy Hurley III,86,+.109,64,+7.00
155,T153,T153,Heath Slocum,71,+.109,55,+6.00
156,T153,T153,Jhonattan Vegas,77,+.109,64,+7.00
157,T158,T158,Will MacKenzie,82,+.111,63,+7.00
158,T158,T158,John Peterson,62,+.111,63,+7.00
159,T158,T158,Ian Poulter,57,+.111,36,+4.00
160,T161,T161,Jamie Lovemark,64,+.114,44,+5.00
161,T161,T161,Jeff Maggert,54,+.114,44,+5.00
162,T163,T163,K.J. Choi,80,+.115,52,+6.00
163,T163,T163,Ryo Ishikawa,75,+.115,52,+6.00
164,165,165,Sean O'Hair,77,+.119,59,+7.00
165,166,166,Chad Collins,78,+.122,49,+6.00
166,167,167,Nicholas Thompson,85,+.125,56,+7.00
167,168,168,John Rollins,84,+.132,53,+7.00
168,T169,T169,Richard Lee,80,+.136,66,+9.00
169,T169,T169,John Merrick,87,+.136,59,+8.00
170,171,171,Henrik Stenson,56,+.138,29,+4.00
171,172,172,Troy Merritt,62,+.140,50,+7.00
172,173,173,John Huh,87,+.141,64,+9.00
173,174,174,Derek Ernst,80,+.143,56,+8.00
174,175,175,Lucas Glover,68,+.149,47,+7.00
175,176,176,Louis Oosthuizen,50,+.158,19,+3.00
176,177,177,Kyle Stanley,87,+.203,59,+12.00
