,Scrambling_RANK THIS WEEK,Scrambling_RANK LAST WEEK,Scrambling_PLAYER NAME,Scrambling_ROUNDS,Scrambling_%,Scrambling_PAR OR BETTER,Scrambling_MISSED GIR
59,T60,T60,Chad Collins,78,59.66,318,533
60,T60,T60,Brian Harman,111,59.66,426,714
61,62,62,Brice Garnett,92,59.6,329,552
62,63,63,Sean O'Hair,77,59.57,302,507
63,64,64,Charley Hoffman,93,59.53,328,551
64,65,65,Greg Chalmers,85,59.49,348,585
65,66,66,Brandt Snedeker,89,59.48,342,575
66,T67,T67,Brendan Steele,89,59.45,305,513
67,T67,T67,Shawn Stefani,60,59.45,217,365
68,69,69,Patrick Reed,92,59.42,350,589
69,T70,T70,Tim Clark,75,59.34,286,482
70,T70,T70,Cameron Tringale,111,59.34,394,664
71,72,72,Jhonattan Vegas,77,59.23,247,417
72,73,73,Vijay Singh,83,59.19,306,517
73,74,74,Bubba Watson,76,59.14,249,421
74,T75,T75,Ben Crane,81,59.1,315,533
75,T75,T75,Ben Martin,80,59.1,289,489
76,T77,T77,Webb Simpson,87,59.05,310,525
77,T77,T77,Andrew Svoboda,77,59.05,261,442
78,79,79,William McGirt,96,59.02,363,615
79,80,80,Robert Streb,75,59.0,259,439
80,81,81,Willy Wilcox,51,58.9,172,292
81,82,82,Matt Every,85,58.82,330,561
82,83,83,Erik Compton,88,58.8,344,585
83,84,84,Jonas Blixt,64,58.76,255,434
84,85,85,Graham DeLaet,80,58.75,245,417
85,T86,T86,Scott Brown,100,58.73,370,630
86,T86,T86,D.H. Lee,54,58.73,212,361
87,88,88,Rory McIlroy,66,58.52,206,352
88,89,89,J.B. Holmes,86,58.51,354,605
89,90,90,Michael Thompson,74,58.42,267,457
90,91,91,Jimmy Walker,98,58.39,327,560
91,92,92,Johnson Wagner,69,58.33,245,420
92,93,93,Jeff Maggert,54,58.26,194,333
93,94,94,Tyrone Van Aswegen,79,58.25,293,503
94,95,95,Ryan Palmer,85,58.24,297,510
95,96,96,Daniel Summerhays,98,58.22,340,584
96,97,97,George McNeill,79,58.21,280,481
97,98,98,Ian Poulter,57,58.05,220,379
98,99,99,Jonathan Byrd,76,58.02,264,455
99,100,100,Gonzalo Fernandez-Castaño,83,57.79,334,578
100,101,101,Bo Van Pelt,83,57.78,271,469
101,102,102,Josh Teater,90,57.69,319,553
102,T103,T103,Ryan Moore,86,57.64,279,484
103,T103,T103,Wes Roach,67,57.64,234,406
104,105,105,Danny Lee,84,57.62,295,512
105,106,106,Morgan Hoffmann,103,57.53,382,664
106,107,107,John Huh,87,57.52,306,532
107,108,108,Brooks Koepka,56,57.51,203,353
108,109,109,Ken Duke,80,57.48,265,461
109,110,110,Harris English,95,57.44,301,524
110,111,111,Martin Flores,85,57.42,294,512
111,112,112,Sangmoon Bae,76,57.4,291,507
112,113,113,Carl Pettersson,91,57.33,313,546
113,114,114,Kevin Chappell,100,57.32,321,560
114,115,115,Marc Leishman,81,57.29,287,501
115,116,116,Robert Garrigus,80,57.17,287,502
116,117,117,Brendon de Jonge,109,57.1,398,697
117,118,118,Briny Baird,50,56.84,187,329
118,119,119,K.J. Choi,80,56.78,310,546
119,120,120,Steven Bowditch,93,56.77,348,613
120,121,121,J.J. Henry,91,56.72,270,476
121,T122,T122,Kevin Kisner,85,56.69,301,531
122,T122,T122,Michael Putnam,106,56.69,343,605
123,T122,T122,Y.E. Yang,79,56.69,305,538
124,125,125,Camilo Villegas,95,56.64,320,565
125,126,126,Ben Curtis,77,56.62,278,491
126,127,127,Lee Westwood,57,56.28,206,366
127,128,128,Paul Casey,56,56.23,194,345
128,129,129,Jamie Lovemark,64,56.2,213,379
129,130,130,Troy Merritt,62,56.15,219,390
130,131,131,Jason Bohn,81,56.03,288,514
131,132,132,Nick Watney,80,56.01,247,441
132,133,133,Matt Jones,83,55.92,307,549
133,T134,T134,Will MacKenzie,82,55.91,284,508
134,T134,T134,John Peterson,62,55.91,208,372
135,136,136,Roberto Castro,76,55.79,294,527
136,137,137,Geoff Ogilvy,84,55.77,285,511
137,138,138,Mark Wilson,69,55.58,239,430
138,139,139,Andrew Loupe,65,55.56,225,405
139,140,140,Davis Love III,74,55.43,255,460
140,141,141,James Driscoll,71,55.4,277,500
141,T142,T142,Stewart Cink,91,55.35,305,551
142,T142,T142,Rory Sabbatini,82,55.35,269,486
143,144,144,Billy Horschel,92,55.32,265,479
144,145,145,James Hahn,82,55.11,286,519
145,T146,T146,Woody Austin,63,54.81,228,416
146,T146,T146,Justin Hicks,103,54.81,279,509
147,148,148,Hunter Mahan,88,54.71,279,510
148,149,149,Jim Herman,62,54.7,192,351
149,150,150,Trevor Immelman,84,54.6,273,500
150,151,151,David Lingmerth,80,54.58,274,502
151,152,152,Ryo Ishikawa,75,54.55,258,473
152,153,153,Chesson Hadley,84,54.2,303,559
153,154,154,Scott Stallings,77,54.17,273,504
154,155,155,Kevin Streelman,79,54.07,279,516
155,156,156,D.A. Points,75,53.88,264,490
156,157,157,Martin Laird,66,53.72,202,376
157,158,158,Martin Kaymer,65,53.43,218,408
158,159,159,Kevin Stadler,90,53.41,266,498
159,160,160,Boo Weekley,73,53.14,220,414
160,161,161,Ángel Cabrera,69,53.1,231,435
161,T162,T162,Charlie Beljan,76,52.99,239,451
162,T162,T162,Kevin Tway,64,52.99,204,385
163,164,164,Nicholas Thompson,85,52.88,257,486
164,165,165,John Rollins,84,52.77,267,506
165,166,166,Jason Dufner,57,52.74,173,328
166,167,167,Kyle Stanley,87,52.73,261,495
167,168,168,Troy Matteson,62,52.64,209,397
168,169,169,Hudson Swafford,75,52.63,210,399
169,170,170,Russell Henley,92,52.37,331,632
170,171,171,Henrik Stenson,56,51.83,156,301
171,172,172,Louis Oosthuizen,50,51.8,144,278
172,173,173,Derek Ernst,80,51.3,256,499
173,174,174,Tommy Gainey,73,50.56,226,447
174,175,175,John Merrick,87,50.31,240,477
175,176,176,Lucas Glover,68,49.74,195,392
176,177,177,Jim Renner,61,47.98,190,396
