,Scrambling_from_Other_Locations_RANK THIS WEEK,Scrambling_from_Other_Locations_RANK LAST WEEK,Scrambling_from_Other_Locations_PLAYER NAME,Scrambling_from_Other_Locations_ROUNDS,Scrambling_from_Other_Locations_%,Scrambling_from_Other_Locations_SUCCESSES,Scrambling_from_Other_Locations_ATTEMPTS
67,68,68,Jonas Blixt,64,60.22,56,93
68,T69,T69,Paul Casey,56,60.0,51,85
69,T69,T69,Matt Every,85,60.0,78,130
70,T69,T69,Boo Weekley,73,60.0,54,90
71,T72,T72,Ben Curtis,77,59.87,94,157
72,T72,T72,Justin Leonard,75,59.87,94,157
73,74,74,Russell Henley,92,59.85,82,137
74,75,75,Kevin Stadler,90,59.66,71,119
75,76,76,Pat Perez,84,59.64,99,166
76,77,77,Jeff Maggert,54,59.6,59,99
77,78,78,Bryce Molder,77,59.4,79,133
78,T79,T79,John Rollins,84,59.38,95,160
79,T79,T79,Chris Stroud,88,59.38,95,160
80,81,81,Chad Campbell,57,59.34,54,91
81,82,82,Sean O'Hair,77,59.31,86,145
82,83,83,Retief Goosen,94,59.17,100,169
83,84,84,Bronson La'Cassie,51,59.05,62,105
84,85,85,Ben Martin,80,58.99,82,139
85,86,86,Lee Westwood,57,58.97,46,78
86,87,87,Louis Oosthuizen,50,58.93,33,56
87,88,88,Tim Clark,75,58.9,86,146
88,89,89,Bud Cauley,56,58.88,63,107
89,90,90,Brooks Koepka,56,58.82,60,102
90,91,91,Zach Johnson,97,58.7,81,138
91,92,92,Bo Van Pelt,83,58.65,78,133
92,T93,T93,Russell Knox,92,58.52,79,135
93,T93,T93,Michael Thompson,74,58.52,79,135
94,95,95,Aaron Baddeley,74,58.39,87,149
95,96,96,K.J. Choi,80,58.33,77,132
96,T97,T97,Carl Pettersson,91,58.28,88,151
97,T97,T97,Camilo Villegas,95,58.28,95,163
98,99,99,Troy Merritt,62,58.26,67,115
99,100,100,Ben Crane,81,58.1,104,179
100,101,101,Trevor Immelman,84,58.0,87,150
101,102,102,Jimmy Walker,98,57.89,77,133
102,T103,T103,Robert Allenby,83,57.86,81,140
103,T103,T103,James Driscoll,71,57.86,81,140
104,105,105,Ryo Ishikawa,75,57.82,85,147
105,T106,T106,Jason Dufner,57,57.69,30,52
106,T106,T106,Richard Lee,80,57.69,90,156
107,108,108,Martin Laird,66,57.5,69,120
108,109,109,John Huh,87,57.45,81,141
109,110,110,Matt Kuchar,91,57.39,66,115
110,111,111,Geoff Ogilvy,84,57.36,74,129
111,112,112,Charlie Wi,72,57.23,95,166
112,113,113,Woody Austin,63,57.02,69,121
113,114,114,Morgan Hoffmann,103,56.92,111,195
114,115,115,Andrew Loupe,65,56.91,70,123
115,116,116,Rickie Fowler,91,56.88,62,109
116,T117,T117,Jason Bohn,81,56.67,85,150
117,T117,T117,Bubba Watson,76,56.67,51,90
118,119,119,Stewart Cink,91,56.64,64,113
119,120,120,Hunter Mahan,88,56.6,60,106
120,121,121,Vijay Singh,83,56.46,83,147
121,122,122,Andres Romero,81,56.42,101,179
122,123,123,Robert Garrigus,80,56.25,81,144
123,124,124,Wes Roach,67,56.15,73,130
124,T125,T125,Jim Herman,62,56.14,64,114
125,T125,T125,John Peterson,62,56.14,64,114
126,127,127,Brian Harman,111,56.0,126,225
127,128,128,Gonzalo Fernandez-Castaño,83,55.84,86,154
128,129,129,Mike Weir,69,55.76,92,165
129,130,130,Brendon de Jonge,109,55.69,93,167
130,131,131,Adam Scott,68,55.42,46,83
131,132,132,Harris English,95,55.41,82,148
132,133,133,Hudson Swafford,75,55.37,67,121
133,134,134,Josh Teater,90,55.36,93,168
134,135,135,James Hahn,82,55.26,84,152
135,T136,T136,Matt Jones,83,55.17,64,116
136,T136,T136,George McNeill,79,55.17,80,145
137,138,138,John Merrick,87,55.0,77,140
138,139,139,Seung-Yul Noh,92,54.97,83,151
139,140,140,Brandt Snedeker,89,54.96,72,131
140,141,141,Graham DeLaet,80,54.92,67,122
141,142,142,Derek Ernst,80,54.74,75,137
142,143,143,Sangmoon Bae,76,54.73,81,148
143,144,144,Rory Sabbatini,82,54.55,66,121
144,145,145,Roberto Castro,76,54.47,67,123
145,146,146,Steven Bowditch,93,54.44,92,169
146,147,147,Michael Putnam,106,54.12,92,170
147,148,148,Will MacKenzie,82,54.11,79,146
148,149,149,Davis Love III,74,54.01,74,137
149,150,150,Justin Hicks,103,53.74,79,147
150,151,151,Tyrone Van Aswegen,79,53.7,87,162
151,152,152,Brendan Steele,89,53.59,82,153
152,153,153,Tommy Gainey,73,53.47,77,144
153,154,154,Ken Duke,80,53.08,69,130
154,155,155,J.J. Henry,91,53.04,96,181
155,156,156,Danny Lee,84,53.02,79,149
156,157,157,Mark Wilson,69,52.74,77,146
157,158,158,Kevin Streelman,79,52.43,54,103
158,159,159,Charlie Beljan,76,52.21,71,136
159,160,160,Troy Matteson,62,51.88,69,133
160,161,161,Kevin Chappell,100,51.79,87,168
161,162,162,Marc Leishman,81,51.55,50,97
162,163,163,Briny Baird,50,51.33,58,113
163,164,164,David Lingmerth,80,51.09,70,137
164,T165,T165,Jim Renner,61,50.0,56,112
165,T165,T165,Scott Stallings,77,50.0,59,118
166,T165,T165,Nicholas Thompson,85,50.0,69,138
167,T165,T165,Nick Watney,80,50.0,53,106
168,169,169,Kyle Stanley,87,49.67,75,151
169,170,170,Ángel Cabrera,69,49.43,43,87
170,171,171,Rory McIlroy,66,47.54,29,61
171,172,172,Henrik Stenson,56,47.46,28,59
172,173,173,D.A. Points,75,45.67,58,127
173,174,174,Dustin Johnson,58,45.45,30,66
174,175,175,Lucas Glover,68,43.69,45,103
175,176,176,Martin Kaymer,65,42.68,35,82
176,177,177,Chesson Hadley,84,42.47,62,146
