,Ryder_Cup_Points_RANK THIS WEEK,Ryder_Cup_Points_RANK LAST WEEK,Ryder_Cup_Points_PLAYER NAME,Ryder_Cup_Points_EVENTS,Ryder_Cup_Points_POINTS
130,T130,T130,Steve Stricker,43,11.25
131,132,132,Marco Dawson,32,10.714
132,T133,T133,David Sutherland,36,10.0
133,T133,T133,Tom Watson,8,10.0
134,T135,T135,Robin Freeman,39,8.75
135,T135,T135,Corey Pavin,50,8.75
136,137,137,Russ Cochran,28,6.355
137,138,138,Brandel Chamblee,45,5.357
138,T139,T139,John Riegger,46,5.0
139,T139,T139,Brett Wetterich,33,5.0
140,141,141,Greg Kraft,40,4.688
141,142,142,Kent Jones,56,3.75
142,T143,T143,Bart Bryant,26,1.875
143,T143,T143,Donnie Hammond,44,1.875
144,145,145,Bryce Molder,25,1.5
145,146,146,Guy Boros,17,0.8340000000000001
146,T147,T147,Jeff Gove,31,0.833
147,T147,T147,Dicky Pride,39,0.833
148,T149,T149,Scott Dunlap,31,0.625
149,T149,T149,Matt Peterson,29,0.625
150,T149,T149,Ty Tryon,27,0.625
