,Total_Birdies_RANK THIS WEEK,Total_Birdies_RANK LAST WEEK,Total_Birdies_PLAYER NAME,Total_Birdies_ROUNDS,Total_Birdies_TOTAL
50,T49,T49,Chesson Hadley,84,308
51,52,52,Robert Garrigus,80,307
52,53,53,Brendan Steele,89,306
53,T54,T54,Stewart Cink,91,303
54,T54,T54,Brandt Snedeker,89,303
55,56,56,Graham DeLaet,80,298
56,T57,T57,Retief Goosen,94,297
57,T57,T57,Danny Lee,84,297
58,59,59,Hunter Mahan,88,295
59,T60,T60,Erik Compton,88,294
60,T60,T60,George McNeill,79,294
61,T62,T62,Brice Garnett,92,293
62,T62,T62,Jerry Kelly,80,293
63,T62,T62,Will MacKenzie,82,293
64,T62,T62,Rory McIlroy,66,293
65,66,66,Ryo Ishikawa,75,292
66,67,67,Bubba Watson,76,289
67,68,68,Adam Scott,68,288
68,69,69,Pat Perez,84,286
69,70,70,Martin Flores,85,284
70,T71,T71,Matt Jones,83,283
71,T71,T71,Marc Leishman,81,283
72,T71,T71,Josh Teater,90,283
73,T71,T71,Bo Van Pelt,83,283
74,75,75,Kevin Streelman,79,281
75,T76,T76,Sangmoon Bae,76,280
76,T76,T76,Ben Martin,80,280
77,T78,T78,Jason Bohn,81,277
78,T78,T78,Greg Chalmers,85,277
79,80,80,Rory Sabbatini,82,276
80,T81,T81,Gonzalo Fernandez-Castaño,83,275
81,T81,T81,Jim Furyk,84,275
82,T83,T83,Jeff Overton,80,273
83,T83,T83,Kyle Stanley,87,273
84,85,85,Billy Hurley III,86,272
85,T86,T86,Andres Romero,81,271
86,T86,T86,Michael Thompson,74,271
87,T86,T86,Tyrone Van Aswegen,79,271
88,T89,T89,John Merrick,87,269
89,T89,T89,Vijay Singh,83,269
90,91,91,K.J. Choi,80,268
91,T92,T92,Phil Mickelson,71,266
92,T92,T92,Nick Watney,80,266
93,T94,T94,Robert Allenby,83,264
94,T94,T94,Ben Crane,81,264
95,T94,T94,Geoff Ogilvy,84,264
96,T94,T94,Andrew Svoboda,77,264
97,98,98,John Huh,87,263
98,99,99,J.J. Henry,91,262
99,100,100,Robert Streb,75,261
100,101,101,Ken Duke,80,260
101,T102,T102,Ernie Els,85,259
102,T102,T102,Jhonattan Vegas,77,259
103,T102,T102,Tim Wilkinson,86,259
104,105,105,Justin Rose,70,256
105,T106,T106,Aaron Baddeley,74,255
106,T106,T106,Richard Lee,80,255
107,T106,T106,David Lingmerth,80,255
108,109,109,Ángel Cabrera,69,254
109,110,110,James Hahn,82,251
110,T111,T111,Charlie Beljan,76,250
111,T111,T111,Tim Clark,75,250
112,113,113,Charl Schwartzel,64,249
113,114,114,Jason Kokrak,65,246
114,115,115,Tommy Gainey,73,245
115,116,116,Jonathan Byrd,76,243
116,T117,T117,Trevor Immelman,84,242
117,T117,T117,Sean O'Hair,77,242
118,T117,T117,Nicholas Thompson,85,242
119,T120,T120,Brian Gay,81,241
120,T120,T120,Y.E. Yang,79,241
121,122,122,Scott Stallings,77,240
122,T123,T123,Justin Leonard,75,239
123,T123,T123,Bryce Molder,77,239
124,T125,T125,Ben Curtis,77,238
125,T125,T125,Davis Love III,74,238
126,127,127,Hudson Swafford,75,237
127,T128,T128,James Driscoll,71,236
128,T128,T128,Martin Kaymer,65,236
129,T130,T130,Wes Roach,67,235
130,T130,T130,John Rollins,84,235
131,132,132,Chad Collins,78,234
132,133,133,Derek Ernst,80,232
133,134,134,Dustin Johnson,58,231
134,135,135,Andrew Loupe,65,227
135,T136,T136,Sergio Garcia,61,224
136,T136,T136,Graeme McDowell,66,224
137,138,138,Heath Slocum,71,223
138,T139,T139,D.A. Points,75,221
139,T139,T139,David Toms,64,221
140,T139,T139,Charlie Wi,72,221
141,142,142,Roberto Castro,76,220
142,143,143,Boo Weekley,73,218
143,144,144,Martin Laird,66,216
144,145,145,Brooks Koepka,56,215
145,146,146,Henrik Stenson,56,214
146,147,147,Lucas Glover,68,213
147,148,148,Jamie Lovemark,64,212
148,T149,T149,Jonas Blixt,64,211
149,T149,T149,Troy Merritt,62,211
150,151,151,Paul Casey,56,208
151,T152,T152,"Ted Potter, Jr.",68,207
152,T152,T152,Lee Westwood,57,207
153,154,154,Ian Poulter,57,203
154,155,155,Shawn Stefani,60,197
155,156,156,Jason Dufner,57,196
156,T157,T157,Bud Cauley,56,192
157,T157,T157,Luke Donald,57,192
158,T157,T157,Spencer Levin,59,192
159,T157,T157,Mike Weir,69,192
160,T161,T161,Woody Austin,63,191
161,T161,T161,Troy Matteson,62,191
162,163,163,Jim Renner,61,190
163,T164,T164,John Peterson,62,187
164,T164,T164,Johnson Wagner,69,187
165,166,166,Jim Herman,62,184
166,167,167,Kevin Tway,64,182
167,168,168,Mark Wilson,69,179
168,169,169,Jason Day,54,172
169,170,170,Brad Fritsch,50,169
170,171,171,Chad Campbell,57,168
171,172,172,Jeff Maggert,54,161
172,173,173,Willy Wilcox,51,160
173,174,174,Briny Baird,50,158
174,175,175,Louis Oosthuizen,50,157
175,176,176,Bronson La'Cassie,51,144
176,177,177,D.H. Lee,54,134
