,Late_Scoring_Average_RANK THIS WEEK,Late_Scoring_Average_RANK LAST WEEK,Late_Scoring_Average_PLAYER NAME,Late_Scoring_Average_ROUNDS,Late_Scoring_Average_AVG,Late_Scoring_Average_TOTAL STROKES,Late_Scoring_Average_TOTAL LATE ROUNDS
61,T62,T62,Martin Kaymer,65,70.64,2331,33
62,T62,T62,Kevin Kisner,85,70.64,3179,45
63,64,64,Seung-Yul Noh,92,70.67,2968,42
64,T65,T65,Ángel Cabrera,69,70.71,2192,31
65,T65,T65,David Hearn,97,70.71,2970,42
66,T67,T67,Paul Casey,56,70.72,1768,25
67,T67,T67,Davis Love III,74,70.72,2051,29
68,69,69,Camilo Villegas,95,70.73,2900,41
69,70,70,Billy Hurley III,86,70.74,2971,42
70,71,71,Jamie Lovemark,64,70.75,1981,28
71,72,72,Stuart Appleby,92,70.77,2760,39
72,73,73,Russell Knox,92,70.81,2974,42
73,74,74,Wes Roach,67,70.82,1983,28
74,75,75,Will MacKenzie,82,70.83,2975,42
75,T76,T76,Luke Guthrie,85,70.85,2834,40
76,T76,T76,Gary Woodland,93,70.85,3259,46
77,78,78,Troy Merritt,62,70.86,1984,28
78,79,79,Ben Crane,81,70.87,2764,39
79,80,80,Scott Langley,95,70.89,3332,47
80,81,81,Jeff Overton,80,70.94,2199,31
81,T82,T82,Briny Baird,50,70.95,1348,19
82,T82,T82,Brice Garnett,92,70.95,2838,40
83,T82,T82,Bo Van Pelt,83,70.95,3051,43
84,85,85,Brooks Koepka,56,70.96,1632,23
85,T86,T86,James Hahn,82,70.97,2768,39
86,T86,T86,Phil Mickelson,71,70.97,2484,35
87,T86,T86,Henrik Stenson,56,70.97,2413,34
88,89,89,Nick Watney,80,70.98,2910,41
89,T90,T90,Brendon de Jonge,109,71.0,3479,49
90,T90,T90,Matt Every,85,71.0,3124,44
91,T90,T90,Spencer Levin,59,71.0,1704,24
92,T93,T93,Robert Allenby,83,71.03,2699,38
93,T93,T93,Jonathan Byrd,76,71.03,2557,36
94,T93,T93,Charlie Wi,72,71.03,2486,35
95,T96,T96,Morgan Hoffmann,103,71.06,3624,51
96,T96,T96,Brandt Snedeker,89,71.06,3340,47
97,T98,T98,Kevin Chappell,100,71.09,3270,46
98,T98,T98,Tim Wilkinson,86,71.09,3199,45
99,100,100,Danny Lee,84,71.12,2916,41
100,101,101,Tyrone Van Aswegen,79,71.14,2490,35
101,102,102,Jeff Maggert,54,71.15,1850,26
102,103,103,Andres Romero,81,71.16,2277,32
103,104,104,Lee Westwood,57,71.17,1708,24
104,105,105,Bud Cauley,56,71.19,2278,32
105,106,106,Brad Fritsch,50,71.2,1780,25
106,T107,T107,Ryo Ishikawa,75,71.21,2777,39
107,T107,T107,Cameron Tringale,111,71.21,3418,48
108,T109,T109,Brian Davis,93,71.22,3205,45
109,T109,T109,Ernie Els,85,71.22,2635,37
110,T109,T109,Hunter Mahan,88,71.22,3205,45
111,112,112,Chesson Hadley,84,71.26,3349,47
112,T113,T113,J.J. Henry,91,71.27,2637,37
113,T113,T113,Michael Putnam,106,71.27,3421,48
114,T115,T115,Ken Duke,80,71.3,2353,33
115,T115,T115,Justin Leonard,75,71.3,2353,33
116,T117,T117,Sangmoon Bae,76,71.31,2567,36
117,T117,T117,J.B. Holmes,86,71.31,3494,49
118,T119,T119,Sean O'Hair,77,71.32,2211,31
119,T119,T119,Josh Teater,90,71.32,2924,41
120,T119,T119,Johnson Wagner,69,71.32,2211,31
121,122,122,"Ted Potter, Jr.",68,71.34,2283,32
122,123,123,Geoff Ogilvy,84,71.35,2640,37
123,124,124,Richard Lee,80,71.37,2712,38
124,T125,T125,Matt Jones,83,71.38,2855,40
125,T125,T125,Ian Poulter,57,71.38,1856,26
126,T127,T127,Tommy Gainey,73,71.39,2570,36
127,T127,T127,Brendan Steele,89,71.39,2570,36
128,T129,T129,John Huh,87,71.4,2499,35
129,T129,T129,Kyle Stanley,87,71.4,2499,35
130,T131,T131,Retief Goosen,94,71.41,3142,44
131,T131,T131,Martin Laird,66,71.41,1928,27
132,133,133,Martin Flores,85,71.43,2857,40
133,134,134,Pat Perez,84,71.44,3215,45
134,T135,T135,Patrick Reed,92,71.45,3144,44
135,T135,T135,Vijay Singh,83,71.45,2715,38
136,T137,T137,Bronson La'Cassie,51,71.5,1573,22
137,T137,T137,David Lingmerth,80,71.5,2431,34
138,T139,T139,Luke Donald,57,71.52,1645,23
139,T139,T139,Brian Gay,81,71.52,2217,31
140,T141,T141,James Driscoll,71,71.53,2432,34
141,T141,T141,John Merrick,87,71.53,2289,32
142,143,143,Louis Oosthuizen,50,71.54,1717,24
143,T144,T144,Charlie Beljan,76,71.55,2719,38
144,T144,T144,Mike Weir,69,71.55,2361,33
145,146,146,Erik Compton,88,71.56,3220,45
146,147,147,Greg Chalmers,85,71.57,3006,42
147,T148,T148,Steven Bowditch,93,71.58,3221,45
148,T148,T148,John Peterson,62,71.58,2219,31
149,T150,T150,Stewart Cink,91,71.6,3079,43
150,T150,T150,Jim Renner,61,71.6,2148,30
151,152,152,Roberto Castro,76,71.63,2507,35
152,T153,T153,Andrew Loupe,65,71.65,2221,31
153,T153,T153,Rory Sabbatini,82,71.65,2651,37
154,155,155,Aaron Baddeley,74,71.68,2724,38
155,156,156,Troy Matteson,62,71.7,1936,27
156,T157,T157,Chad Collins,78,71.72,2582,36
157,T157,T157,Mark Wilson,69,71.72,2080,29
158,159,159,Russell Henley,92,71.8,2872,40
159,160,160,Y.E. Yang,79,71.82,2442,34
160,161,161,Kevin Tway,64,71.83,2083,29
161,T162,T162,Gonzalo Fernandez-Castaño,83,71.84,2658,37
162,T162,T162,Nicholas Thompson,85,71.84,2730,38
163,164,164,Trevor Immelman,84,71.86,2084,29
164,165,165,K.J. Choi,80,71.91,2517,35
165,166,166,Jonas Blixt,64,71.93,1942,27
166,167,167,D.H. Lee,54,71.95,1511,21
167,168,168,Woody Austin,63,71.96,1871,26
168,T169,T169,Scott Stallings,77,72.09,2451,34
169,T169,T169,Kevin Streelman,79,72.09,3100,43
170,171,171,Hudson Swafford,75,72.23,2528,35
171,172,172,D.A. Points,75,72.31,2314,32
172,173,173,John Rollins,84,72.51,2538,35
173,174,174,Ben Curtis,77,72.53,2466,34
174,T175,T175,Lucas Glover,68,72.56,2322,32
175,T175,T175,Michael Thompson,74,72.56,2322,32
176,177,177,Derek Ernst,80,72.69,2544,35
