,Scoring_Average_Before_Cut_RANK THIS WEEK,Scoring_Average_Before_Cut_RANK LAST WEEK,Scoring_Average_Before_Cut_PLAYER NAME,Scoring_Average_Before_Cut_AVG,Scoring_Average_Before_Cut_TOTAL STROKES,Scoring_Average_Before_Cut_TOTAL ROUNDS
155,T155,T155,Lee Westwood,71.74,2439,34
156,T157,T157,Ángel Cabrera,71.78,3230,45
157,T157,T157,Kevin Streelman,71.78,3302,46
158,159,159,Trevor Immelman,71.8,4021,56
159,160,160,Kevin Tway,71.83,3304,46
160,161,161,Gonzalo Fernandez-Castaño,71.85,3449,48
161,162,162,Y.E. Yang,71.89,3954,55
162,163,163,Louis Oosthuizen,71.93,2014,28
163,164,164,Mike Weir,71.94,3525,49
164,165,165,Mark Wilson,71.96,3598,50
165,T166,T166,John Rollins,71.98,3959,55
166,T166,T166,Nicholas Thompson,71.98,4319,60
167,168,168,D.H. Lee,72.11,2668,37
168,169,169,Woody Austin,72.12,3101,43
169,170,170,Jonas Blixt,72.15,2958,41
170,171,171,Scott Stallings,72.24,3973,55
171,T172,T172,Roberto Castro,72.31,3905,54
172,T172,T172,Jim Renner,72.31,3471,48
173,174,174,Lucas Glover,72.38,3764,52
174,175,175,D.A. Points,72.44,3622,50
175,176,176,Troy Matteson,72.5,3335,46
176,177,177,Derek Ernst,72.58,3992,55
