,Scoring_Average_Actual_RANK THIS WEEK,Scoring_Average_Actual_RANK LAST WEEK,Scoring_Average_Actual_PLAYER NAME,Scoring_Average_Actual_ROUNDS,Scoring_Average_Actual_AVG,Scoring_Average_Actual_TOTAL STROKES,Scoring_Average_Actual_TOTAL ROUNDS
98,T99,T99,Bryce Molder,77,70.99,5182,73
99,T99,T99,Andres Romero,81,70.99,5466,77
100,T101,T101,Erik Compton,88,71.03,6251,88
101,T101,T101,Jamie Lovemark,64,71.03,4262,60
102,T101,T101,Nick Watney,80,71.03,5327,75
103,T104,T104,Ángel Cabrera,69,71.04,4902,69
104,T104,T104,Matt Jones,83,71.04,5896,83
105,T104,T104,Charlie Wi,72,71.04,4973,70
106,107,107,Michael Thompson,74,71.05,5258,74
107,T108,T108,Brendon de Jonge,109,71.07,7747,109
108,T108,T108,Hunter Mahan,88,71.07,6041,85
109,T108,T108,Vijay Singh,83,71.07,5899,83
110,111,111,Sangmoon Bae,76,71.08,5402,76
111,112,112,Wes Roach,67,71.1,4479,63
112,T113,T113,Stewart Cink,91,71.11,6471,91
113,T113,T113,Pat Perez,84,71.11,5973,84
114,T113,T113,Hudson Swafford,75,71.11,5049,71
115,116,116,"Ted Potter, Jr.",68,71.12,4836,68
116,T117,T117,Ernie Els,85,71.13,5619,79
117,T117,T117,Martin Flores,85,71.13,6046,85
118,T117,T117,Justin Leonard,75,71.13,5335,75
119,120,120,Aaron Baddeley,74,71.14,5122,72
120,121,121,Andrew Loupe,65,71.15,4340,61
121,122,122,Brian Davis,93,71.16,6618,93
122,T123,T123,Jason Dufner,57,71.17,3843,54
123,T123,T123,Sean O'Hair,77,71.17,5480,77
124,T125,T125,Steven Bowditch,93,71.2,6622,93
125,T125,T125,Greg Chalmers,85,71.2,5767,81
126,127,127,Charlie Beljan,76,71.21,5127,72
127,T128,T128,Luke Donald,57,71.23,3989,56
128,T128,T128,James Hahn,82,71.23,5698,80
129,T128,T128,J.B. Holmes,86,71.23,6126,86
130,T131,T131,Martin Laird,66,71.24,4417,62
131,T131,T131,Josh Teater,90,71.24,6269,88
132,133,133,K.J. Choi,80,71.26,5701,80
133,134,134,Lee Westwood,57,71.29,3992,56
134,135,135,Ian Poulter,57,71.3,3993,56
135,T136,T136,Chad Collins,78,71.31,5277,74
136,T136,T136,Johnson Wagner,69,71.31,4635,65
137,138,138,Chesson Hadley,84,71.32,5991,84
138,139,139,John Huh,87,71.33,5920,83
139,140,140,Jim Herman,62,71.34,4138,58
140,141,141,Davis Love III,74,71.36,5138,72
141,142,142,James Driscoll,71,71.37,5067,71
142,143,143,Brian Gay,81,71.38,5639,79
143,144,144,Tommy Gainey,73,71.39,4926,69
144,145,145,Rory Sabbatini,82,71.4,5569,78
145,T146,T146,Richard Lee,80,71.45,5573,78
146,T146,T146,David Lingmerth,80,71.45,5430,76
147,148,148,Ben Curtis,77,71.47,5217,73
148,149,149,John Peterson,62,71.48,4289,60
149,T150,T150,Trevor Immelman,84,71.54,5723,80
150,T150,T150,Geoff Ogilvy,84,71.54,5723,80
151,152,152,Kevin Streelman,79,71.55,5581,78
152,153,153,Louis Oosthuizen,50,71.57,3292,46
153,T154,T154,Briny Baird,50,71.6,3580,50
154,T154,T154,Boo Weekley,73,71.6,5155,72
155,T156,T156,Gonzalo Fernandez-Castaño,83,71.61,5872,82
156,T156,T156,Jeff Maggert,54,71.61,3867,54
157,158,158,Bronson La'Cassie,51,71.64,3367,47
158,T159,T159,Jonas Blixt,64,71.66,4443,62
159,T159,T159,John Merrick,87,71.66,5948,83
160,161,161,Russell Henley,92,71.67,6594,92
161,162,162,Y.E. Yang,79,71.68,5591,78
162,163,163,Mark Wilson,69,71.72,4662,65
163,164,164,Nicholas Thompson,85,71.74,5811,81
164,165,165,Kyle Stanley,87,71.76,5956,83
165,166,166,John Rollins,84,71.89,5751,80
166,167,167,Mike Weir,69,71.91,4674,65
167,168,168,Woody Austin,63,71.93,4244,59
168,169,169,Kevin Tway,64,71.95,4317,60
169,170,170,Scott Stallings,77,71.96,5469,76
170,171,171,Roberto Castro,76,71.97,5326,74
171,172,172,Troy Matteson,62,72.05,4179,58
172,173,173,D.H. Lee,54,72.12,3606,50
173,174,174,Jim Renner,61,72.24,4262,59
174,175,175,Derek Ernst,80,72.26,5492,76
175,176,176,D.A. Points,75,72.29,5277,73
176,177,177,Lucas Glover,68,72.35,4775,66
