,Average_Distance_to_Hole_After_Tee_Shot_RANK THIS WEEK,Average_Distance_to_Hole_After_Tee_Shot_RANK LAST WEEK,Average_Distance_to_Hole_After_Tee_Shot_PLAYER NAME,Average_Distance_to_Hole_After_Tee_Shot_ROUNDS,Average_Distance_to_Hole_After_Tee_Shot_AVG,Average_Distance_to_Hole_After_Tee_Shot_TOTAL DIST AFTER TEE SHOT,Average_Distance_to_Hole_After_Tee_Shot_TOTAL TEE SHOTS
34,T34,T34,Martin Laird,77,170.8,6129759.0,997
35,T36,T36,Lucas Glover,79,170.9,6086412.0,989
36,T36,T36,Bill Lunde,50,170.9,3070091.0,499
37,T36,T36,Hunter Mahan,88,170.9,5536296.0,900
38,T36,T36,Boo Weekley,79,170.9,5677824.0,923
39,T40,T40,Max Homa,78,171.0,5232131.0,850
40,T40,T40,Justin Rose,69,171.0,4142031.0,673
41,T42,T42,Davis Love III,51,171.1,3609352.0,586
42,T42,T42,Charl Schwartzel,67,171.1,3492597.0,567
43,44,44,Matt Jones,89,171.2,5726672.0,929
44,45,45,Roger Sloan,56,171.3,3366569.0,546
45,T46,T46,Keegan Bradley,87,171.4,5447757.0,883
46,T46,T46,Byron Smith,59,171.4,3664297.0,594
47,T48,T48,Louis Oosthuizen,68,171.5,4000041.0,648
48,T48,T48,Jhonattan Vegas,90,171.5,6101076.0,988
49,50,50,Nick Taylor,91,171.6,7037050.0,1139
50,51,51,Harris English,105,171.7,7483629.0,1211
51,52,52,Shawn Stefani,94,171.9,7474837.0,1208
52,53,53,Hudson Swafford,97,172.0,7078124.0,1143
53,T54,T54,Graham DeLaet,65,172.2,4612380.0,744
54,T54,T54,Hideki Matsuyama,95,172.2,6050076.0,976
55,T54,T54,Brendan Steele,88,172.2,6476307.0,1045
56,57,57,Oscar Fraustro,58,172.3,3405885.0,549
57,58,58,Seung-Yul Noh,65,172.5,4558016.0,734
58,59,59,Phil Mickelson,70,172.7,4699329.0,756
59,T60,T60,Jason Gore,76,172.8,4969123.0,799
60,T60,T60,Carl Pettersson,106,172.8,8135563.0,1308
61,T60,T60,Patrick Reed,103,172.8,6512719.0,1047
62,T60,T60,Nick Watney,91,172.8,6942828.0,1116
63,64,64,Eric Axley,57,172.9,3641911.0,585
64,T65,T65,David Lingmerth,90,173.0,6378461.0,1024
65,T65,T65,Sean O'Hair,86,173.0,6930035.0,1113
66,67,67,Kevin Streelman,95,173.1,6329494.0,1016
67,68,68,James Hahn,94,173.2,6738882.0,1081
68,69,69,Rory Sabbatini,81,173.3,5689839.0,912
69,70,70,Johnson Wagner,68,173.4,4923876.0,789
70,T71,T71,Marc Leishman,74,173.5,4652737.0,745
71,T71,T71,Alex Prugh,84,173.5,6226775.0,997
72,73,73,Scott Pinckney,88,173.7,6360339.0,1017
73,T74,T74,Kevin Chappell,86,173.8,6469593.0,1034
74,T74,T74,Greg Owen,58,173.8,3440277.0,550
75,T74,T74,Webb Simpson,81,173.8,5543584.0,886
76,T77,T77,Aaron Baddeley,76,173.9,5645728.0,902
77,T77,T77,Jordan Spieth,91,173.9,5698331.0,910
78,79,79,Jeff Overton,94,174.1,6481880.0,1034
79,T80,T80,Andres Gonzales,90,174.2,6486029.0,1034
80,T80,T80,Sam Saunders,83,174.2,5400780.0,861
81,T82,T82,Scott Brown,97,174.3,7046095.0,1123
82,T82,T82,Stewart Cink,77,174.3,5684970.0,906
83,T82,T82,Matt Kuchar,97,174.3,6677906.0,1064
84,T85,T85,Jim Herman,88,174.4,6704561.0,1068
85,T85,T85,Vijay Singh,78,174.4,5984826.0,953
86,87,87,Ernie Els,57,174.6,3350815.0,533
87,T88,T88,Chesson Hadley,101,174.8,7703329.0,1224
88,T88,T88,Chez Reavie,56,174.8,4341415.0,690
89,T90,T90,Sangmoon Bae,98,175.0,7702973.0,1223
90,T90,T90,J.J. Henry,94,175.0,6621398.0,1051
91,T90,T90,Ben Martin,93,175.0,6753995.0,1072
92,93,93,Kyle Reifers,96,175.1,6977705.0,1107
93,94,94,Camilo Villegas,83,175.3,6486673.0,1028
94,95,95,Rickie Fowler,76,175.4,4912625.0,778
95,96,96,Lee Westwood,56,175.7,2790143.0,441
96,T97,T97,Geoff Ogilvy,50,175.8,3107141.0,491
97,T97,T97,Scott Stallings,60,175.8,4235131.0,669
98,T97,T97,Steve Wheatcroft,87,175.8,6276508.0,992
99,100,100,Matt Every,73,175.9,4787906.0,756
100,T101,T101,Roberto Castro,54,176.1,3170191.0,500
101,T101,T101,Derek Fathauer,81,176.1,5711067.0,901
102,T101,T101,Ryo Ishikawa,90,176.1,6486329.0,1023
103,T101,T101,Brandt Snedeker,98,176.1,6529070.0,1030
104,T105,T105,Gonzalo Fernandez-Castaño,81,176.4,5505743.0,867
105,T105,T105,Bo Van Pelt,81,176.4,5652121.0,890
106,T107,T107,John Senden,80,176.5,4516561.0,711
107,T107,T107,Michael Thompson,83,176.5,6539821.0,1029
108,T109,T109,Bill Haas,89,176.6,6260491.0,985
109,T109,T109,Andres Romero,69,176.6,4684955.0,737
110,111,111,Chris Kirk,76,176.8,4907850.0,771
111,T112,T112,Brice Garnett,81,177.1,5609326.0,880
112,T112,T112,Zach Johnson,90,177.1,6234417.0,978
113,114,114,Kevin Kisner,104,177.2,8311928.0,1303
114,115,115,Blayne Barber,76,177.3,5559294.0,871
115,116,116,Adam Hadwin,95,177.4,7106825.0,1113
116,117,117,Jonathan Randolph,72,177.6,4916679.0,769
117,118,118,Tyrone Van Aswegen,58,177.7,3640426.0,569
118,T119,T119,Fabián Gómez,83,177.9,6076779.0,949
119,T119,T119,Daniel Summerhays,101,177.9,7909224.0,1235
120,T119,T119,Nicholas Thompson,90,177.9,6191635.0,967
121,T122,T122,Robert Allenby,63,178.0,4452406.0,695
122,T122,T122,Jonas Blixt,78,178.0,4575204.0,714
123,T122,T122,John Peterson,84,178.0,6811979.0,1063
124,T125,T125,Spencer Levin,99,178.1,7367470.0,1149
125,T125,T125,Andrew Svoboda,80,178.1,6214506.0,969
126,127,127,Sung Joon Park,79,178.3,5553093.0,865
127,T128,T128,Erik Compton,86,178.5,6180900.0,962
128,T128,T128,Jason Dufner,76,178.5,4248716.0,661
129,130,130,Brendon de Jonge,106,178.7,8213631.0,1277
130,131,131,Padraig Harrington,60,178.8,4318635.0,671
131,132,132,Jim Renner,68,179.1,4989065.0,774
132,133,133,Russell Knox,96,179.5,7753586.0,1200
133,T134,T134,Retief Goosen,81,179.7,5303626.0,820
134,T134,T134,Michael Putnam,87,179.7,6034226.0,933
135,T136,T136,John Merrick,78,179.9,5174936.0,799
136,T136,T136,Henrik Stenson,63,179.9,3943588.0,609
137,138,138,William McGirt,103,180.2,8745048.0,1348
138,T139,T139,Steven Alker,62,180.3,4479386.0,690
139,T139,T139,Jonathan Byrd,69,180.3,4562348.0,703
140,T139,T139,Chad Campbell,97,180.3,8172818.0,1259
141,T139,T139,Whee Kim,71,180.3,5042469.0,777
142,143,143,Danny Lee,120,180.5,8910474.0,1371
143,144,144,Jerry Kelly,79,180.6,5974521.0,919
144,T145,T145,Ken Duke,93,180.9,7025588.0,1079
145,T145,T145,George McNeill,93,180.9,7996523.0,1228
146,147,147,Luke Guthrie,84,181.0,6099083.0,936
147,T148,T148,Mark Hubbard,79,181.1,5517065.0,846
148,T148,T148,Scott Langley,94,181.1,7086361.0,1087
149,T148,T148,Chris Stroud,84,181.1,6088921.0,934
150,151,151,Pat Perez,96,181.2,7510242.0,1151
151,T152,T152,Troy Merritt,91,181.3,7364218.0,1128
152,T152,T152,Brendon Todd,96,181.3,6905907.0,1058
153,154,154,Alex Cejka,94,181.5,7097257.0,1086
154,T155,T155,Ricky Barnes,82,181.7,5578407.0,853
155,T155,T155,Ian Poulter,68,181.7,4317571.0,660
156,157,157,Jason Bohn,95,182.2,7885453.0,1202
157,158,158,Mark Wilson,89,182.3,7339056.0,1118
158,159,159,Greg Chalmers,58,182.5,3239616.0,493
159,160,160,Tim Wilkinson,73,182.6,5226926.0,795
160,161,161,Jamie Donaldson,50,182.7,2900583.0,441
161,162,162,Heath Slocum,57,182.8,3567155.0,542
162,163,163,David Hearn,97,183.6,7780867.0,1177
163,164,164,Chad Collins,79,184.0,5770855.0,871
164,165,165,Brian Stuard,97,184.2,7261672.0,1095
165,166,166,Colt Knost,90,184.3,6813132.0,1027
166,167,167,Bryce Molder,91,184.4,7077692.0,1066
167,T168,T168,Ryan Moore,81,184.5,5605638.0,844
168,T168,T168,Cameron Tringale,96,184.5,7213262.0,1086
169,170,170,Kevin Na,98,184.7,6503224.0,978
170,171,171,Luke Donald,71,184.8,4909952.0,738
171,T172,T172,Brian Davis,86,185.5,6550102.0,981
172,T172,T172,Jim Furyk,71,185.5,4814441.0,721
173,174,174,Zac Blair,108,185.6,8179106.0,1224
174,T175,T175,Francesco Molinari,56,185.8,3973331.0,594
175,T175,T175,Andrew Putnam,68,185.8,4861890.0,727
176,177,177,John Huh,102,186.1,8262293.0,1233
177,178,178,D.A. Points,72,186.7,5377113.0,800
178,179,179,Ben Crane,62,187.3,4874096.0,723
179,180,180,Jon Curran,83,187.4,6065044.0,899
180,181,181,Billy Hurley III,83,188.6,5866708.0,864
181,182,182,David Toms,62,188.9,5189225.0,763
182,183,183,Justin Leonard,61,189.2,5066928.0,744
183,184,184,K.J. Choi,66,190.1,5378950.0,786
