,Approaches_from_100-125_yards_RANK THIS WEEK,Approaches_from_100-125_yards_RANK LAST WEEK,Approaches_from_100-125_yards_PLAYER NAME,Approaches_from_100-125_yards_ROUNDS,Approaches_from_100-125_yards_AVG,Approaches_from_100-125_yards_TOTAL DISTANCE (FEET),Approaches_from_100-125_yards_# OF ATTEMPTS,Approaches_from_100-125_yards_RELATIVE TO PAR
151,T151,T151,Kevin Chappell,86,"21' 1""",2736.25,130,-17
152,T151,T151,Michael Thompson,83,"21' 1""",2384.917,113,-13
153,T151,T151,Jhonattan Vegas,90,"21' 1""",2109.917,100,-4
154,T155,T155,Bill Haas,89,"21' 2""",2311.083,109,-9
155,T155,T155,Spencer Levin,99,"21' 2""",2683.167,127,-17
156,157,157,Michael Putnam,87,"21' 3""",1850.9170000000001,87,-21
157,T158,T158,Adam Hadwin,95,"21' 4""",2559.5,120,E
158,T158,T158,Bryce Molder,91,"21' 4""",2491.417,117,-17
159,160,160,Graham DeLaet,65,"21' 5""",2058.583,96,-2
160,161,161,Martin Flores,95,"21' 6""",2771.833,129,-23
161,T162,T162,Hunter Mahan,88,"21' 7""",1788.75,83,-7
162,T162,T162,Louis Oosthuizen,68,"21' 7""",1163.5,54,-1
163,T162,T162,Patrick Rodgers,57,"21' 7""",1469.4170000000001,68,-7
164,T165,T165,Alex Cejka,94,"21' 9""",2563.583,118,-6
165,T165,T165,Andrew Putnam,68,"21' 9""",1629.0,75,+1
166,T165,T165,Henrik Stenson,63,"21' 9""",1304.833,60,-18
167,T168,T168,Cameron Percy,72,"21' 10""",2357.917,108,-23
168,T168,T168,Nick Taylor,91,"21' 10""",2903.5,133,-13
169,170,170,Sangmoon Bae,98,"21' 11""",2808.583,128,-12
170,171,171,Padraig Harrington,60,"22' 0""",1498.5,68,+3
171,172,172,Gonzalo Fernandez-Castaño,81,"22' 4""",1966.75,88,-14
172,173,173,Andres Gonzales,90,"22' 6""",3195.167,142,-10
173,174,174,Ken Duke,93,"22' 7""",2709.667,120,-20
174,T175,T175,Max Homa,78,"22' 9""",1821.5829999999999,80,-6
175,T175,T175,Jerry Kelly,79,"22' 9""",2206.583,97,-10
176,177,177,Shawn Stefani,94,"22' 10""",2645.583,116,-13
177,T178,T178,Tony Finau,106,"22' 11""",2751.583,120,-3
178,T178,T178,Brice Garnett,81,"22' 11""",2318.417,101,-1
179,T178,T178,Retief Goosen,81,"22' 11""",2019.0,88,-2
180,181,181,Robert Streb,110,"23' 3""",3459.75,149,-19
181,182,182,Charl Schwartzel,67,"23' 7""",1225.75,52,-3
182,T183,T183,Phil Mickelson,70,"23' 11""",1627.1670000000001,68,-8
183,T183,T183,Geoff Ogilvy,50,"23' 11""",860.4169999999999,36,-2
