,Average_Approach_Distance_-_Par_RANK THIS WEEK,Average_Approach_Distance_-_Par_RANK LAST WEEK,Average_Approach_Distance_-_Par_PLAYER NAME,Average_Approach_Distance_-_Par_ROUNDS,Average_Approach_Distance_-_Par_AVG (YARDS),Average_Approach_Distance_-_Par_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Par_NUMBER OF APPROACH SHOTS
37,T36,T36,Jim Herman,88,1610,52214590.0,9.01
38,T36,T36,Matt Kuchar,97,1610,51591050.0,8.9
39,T40,T40,Fabián Gómez,83,1611,44544760.0,7.68
40,T40,T40,Charles Howell III,105,1611,67397130.0,11.62
41,42,42,Jeff Overton,94,1612,49739850.0,8.57
42,43,43,Jordan Spieth,91,1613,42849590.0,7.38
43,T44,T44,Kyle Reifers,96,1614,53819410.0,9.26
44,T44,T44,Jimmy Walker,89,1614,40335680.0,6.94
45,46,46,Bo Van Pelt,81,1615,42550020.0,7.32
46,T47,T47,Chesson Hadley,101,1616,56844340.0,9.77
47,T47,T47,William McGirt,103,1616,67196450.0,11.55
48,T49,T49,Jason Bohn,95,1617,58158250.0,9.99
49,T49,T49,Ernie Els,57,1617,25038170.0,4.3
50,T49,T49,Andres Gonzales,90,1617,49997130.0,8.59
51,T49,T49,Jason Gore,76,1617,36612140.0,6.29
52,T49,T49,Robert Streb,110,1617,63026890.0,10.83
53,T54,T54,Bubba Watson,71,1618,36573960.0,6.28
54,T54,T54,Willy Wilcox,58,1618,27429190.0,4.71
55,T56,T56,Kevin Chappell,86,1619,48723710.0,8.36
56,T56,T56,Stewart Cink,77,1619,43959440.0,7.54
57,T56,T56,Brian Davis,86,1619,47391430.0,8.13
58,T56,T56,Whee Kim,71,1619,37417340.0,6.42
59,T56,T56,Russell Knox,96,1619,59499010.0,10.21
60,T61,T61,Lucas Glover,79,1620,47252890.0,8.1
61,T61,T61,Chez Reavie,56,1620,33366070.0,5.72
62,T63,T63,Luke Guthrie,84,1621,44338580.0,7.6
63,T63,T63,Jason Kokrak,88,1621,52174320.0,8.94
64,T65,T65,David Hearn,97,1622,56450570.0,9.67
65,T65,T65,Ben Martin,93,1622,49580090.0,8.49
66,T65,T65,Alex Prugh,84,1622,48228600.0,8.26
67,68,68,Martin Flores,95,1623,54286950.0,9.29
68,T69,T69,Justin Leonard,61,1624,37474270.0,6.41
69,T69,T69,Carl Pettersson,106,1624,64358000.0,11.01
70,T71,T71,Scott Langley,94,1625,53834260.0,9.2
71,T71,T71,Sam Saunders,83,1625,40535190.0,6.93
72,T73,T73,Chad Collins,79,1626,44257790.0,7.56
73,T73,T73,Ken Duke,93,1626,51164610.0,8.74
74,T73,T73,Jim Furyk,71,1626,36110460.0,6.17
75,T73,T73,Russell Henley,87,1626,44084450.0,7.53
76,T73,T73,Byron Smith,59,1626,29509250.0,5.04
77,T73,T73,Kevin Streelman,95,1626,50528620.0,8.63
78,T73,T73,Brian Stuard,97,1626,54389480.0,9.29
79,T80,T80,Sangmoon Bae,98,1627,57768590.0,9.86
80,T80,T80,Scott Brown,97,1627,54222200.0,9.26
81,T80,T80,Erik Compton,86,1627,45333390.0,7.74
82,T80,T80,Jon Curran,83,1627,46040640.0,7.86
83,T80,T80,Tony Finau,106,1627,58681330.0,10.02
84,T80,T80,Zach Johnson,90,1627,48315380.0,8.25
85,T80,T80,Bill Lunde,50,1627,24426530.0,4.17
86,T80,T80,Pat Perez,96,1627,55278410.0,9.44
87,T80,T80,Jim Renner,68,1627,38315100.0,6.54
88,T80,T80,David Toms,62,1627,39128540.0,6.68
89,T80,T80,Nick Watney,91,1627,53058060.0,9.06
90,T91,T91,Steven Alker,62,1628,34232220.0,5.84
91,T91,T91,Ben Crane,62,1628,35697570.0,6.09
92,T91,T91,Graham DeLaet,65,1628,36460970.0,6.22
93,T91,T91,Max Homa,78,1628,40556160.0,6.92
94,T91,T91,Brendon Todd,96,1628,52392900.0,8.94
95,T96,T96,Morgan Hoffmann,85,1629,44987400.0,7.67
96,T96,T96,Michael Thompson,83,1629,47908250.0,8.17
97,T98,T98,Alex Cejka,94,1630,53753430.0,9.16
98,T98,T98,Bryce Molder,91,1630,53221850.0,9.07
99,100,100,Scott Stallings,60,1631,31355090.0,5.34
100,T101,T101,Steven Bowditch,103,1632,59442080.0,10.12
101,T101,T101,Camilo Villegas,83,1632,47890020.0,8.15
102,T103,T103,Paul Casey,87,1633,41858840.0,7.12
103,T103,T103,Greg Chalmers,58,1633,23162520.0,3.94
104,T103,T103,Mark Hubbard,79,1633,41803170.0,7.11
105,T103,T103,Justin Rose,69,1633,31576350.0,5.37
106,T103,T103,Hudson Swafford,97,1633,54155970.0,9.21
107,T108,T108,Shawn Stefani,94,1634,57823280.0,9.83
108,T108,T108,Chris Stroud,84,1634,44525060.0,7.57
109,T110,T110,Carlos Ortiz,100,1635,53154830.0,9.03
110,T110,T110,Patrick Reed,103,1635,49613120.0,8.43
111,T110,T110,Vijay Singh,78,1635,46788460.0,7.95
112,T113,T113,Matt Every,73,1637,36722910.0,6.23
113,T113,T113,Charl Schwartzel,67,1637,26821740.0,4.55
114,115,115,Andrew Svoboda,80,1638,43865870.0,7.44
115,T116,T116,Chris Kirk,76,1639,37515640.0,6.36
116,T116,T116,Kevin Kisner,104,1639,65742120.0,11.14
117,T116,T116,Hunter Mahan,88,1639,44560830.0,7.55
118,T116,T116,Troy Merritt,91,1639,57288460.0,9.71
119,T116,T116,Scott Piercy,90,1639,54513900.0,9.24
120,T116,T116,Steve Wheatcroft,87,1639,46541970.0,7.89
121,T122,T122,Harris English,105,1640,60048240.0,10.17
122,T122,T122,Padraig Harrington,60,1640,32580600.0,5.52
123,T122,T122,Jerry Kelly,79,1640,45153200.0,7.65
124,T122,T122,Martin Laird,77,1640,49121660.0,8.32
125,T122,T122,Jonathan Randolph,72,1640,38377290.0,6.5
126,T122,T122,Webb Simpson,81,1640,44042550.0,7.46
127,T122,T122,Mark Wilson,89,1640,56044170.0,9.49
128,T129,T129,Chad Campbell,97,1641,63314810.0,10.72
129,T129,T129,Matt Jones,89,1641,43726270.0,7.4
130,T129,T129,John Merrick,78,1641,38169600.0,6.46
131,T132,T132,Zac Blair,108,1642,62969910.0,10.65
132,T132,T132,Adam Hadwin,95,1642,54687380.0,9.25
133,T134,T134,Aaron Baddeley,76,1643,44182580.0,7.47
134,T134,T134,Brendon de Jonge,106,1643,62385950.0,10.55
135,T134,T134,Billy Horschel,99,1643,48213160.0,8.15
136,T137,T137,Colt Knost,90,1645,50585030.0,8.54
137,T137,T137,Phil Mickelson,70,1645,34933920.0,5.9
138,T137,T137,Louis Oosthuizen,68,1645,31981190.0,5.4
139,T137,T137,Tyrone Van Aswegen,58,1645,29617030.0,5.0
140,141,141,Ian Poulter,68,1648,32636400.0,5.5
141,T142,T142,Daniel Berger,97,1649,56106640.0,9.45
142,T142,T142,Bill Haas,89,1649,50586460.0,8.52
143,T144,T144,Jonathan Byrd,69,1650,34745820.0,5.85
144,T144,T144,Hideki Matsuyama,95,1650,46082930.0,7.76
145,T144,T144,Daniel Summerhays,101,1650,60656810.0,10.21
146,T144,T144,Lee Westwood,56,1650,19963760.0,3.36
147,T148,T148,Marc Leishman,74,1651,35310040.0,5.94
148,T148,T148,Spencer Levin,99,1651,58477150.0,9.84
149,T148,T148,Rory Sabbatini,81,1651,44165570.0,7.43
150,T151,T151,Gonzalo Fernandez-Castaño,81,1652,42392710.0,7.13
151,T151,T151,Billy Hurley III,83,1652,46688070.0,7.85
152,153,153,Andrew Putnam,68,1653,35223700.0,5.92
153,T154,T154,Jason Dufner,76,1654,32567550.0,5.47
154,T154,T154,Brandt Snedeker,98,1654,50899350.0,8.55
155,156,156,George McNeill,93,1655,61195100.0,10.27
156,157,157,Sean O'Hair,86,1656,53960470.0,9.05
157,T158,T158,Ricky Barnes,82,1657,43010230.0,7.21
158,T158,T158,Ryo Ishikawa,90,1657,48971210.0,8.21
159,T158,T158,Danny Lee,120,1657,66518210.0,11.15
160,T158,T158,Jhonattan Vegas,90,1657,49020080.0,8.22
161,T162,T162,Robert Allenby,63,1658,34907710.0,5.85
162,T162,T162,Andres Romero,69,1658,34675920.0,5.81
163,T164,T164,Kevin Na,98,1659,48905870.0,8.19
164,T164,T164,John Peterson,84,1659,56127800.0,9.4
165,166,166,Geoff Ogilvy,50,1660,23309120.0,3.9
166,T167,T167,Michael Putnam,87,1662,48288500.0,8.07
167,T167,T167,John Senden,80,1662,33735620.0,5.64
168,T169,T169,Brendan Steele,88,1663,51236020.0,8.56
169,T169,T169,Cameron Tringale,96,1663,54660560.0,9.13
170,171,171,K.J. Choi,66,1665,39811450.0,6.64
171,172,172,Jamie Donaldson,50,1666,23572450.0,3.93
172,173,173,D.A. Points,72,1667,40200400.0,6.7
173,T174,T174,Luke Donald,71,1668,38438960.0,6.4
174,T174,T174,Rickie Fowler,76,1668,38423290.0,6.4
175,176,176,Retief Goosen,81,1669,40248060.0,6.7
176,177,177,Ryan Moore,81,1672,41530350.0,6.9
177,178,178,Gary Woodland,81,1674,37364850.0,6.2
178,179,179,Keegan Bradley,87,1676,42776810.0,7.09
179,180,180,Francesco Molinari,56,1679,31679280.0,5.24
180,181,181,Ángel Cabrera,53,1683,27929580.0,4.61
181,182,182,John Huh,102,1693,63984740.0,10.5
182,183,183,Sergio Garcia,59,1702,24512020.0,4.0
183,184,184,Henrik Stenson,63,1723,31699040.0,5.11
