,GIR_Percentage_from_Other_than_Fairway_RANK THIS WEEK,GIR_Percentage_from_Other_than_Fairway_RANK LAST WEEK,GIR_Percentage_from_Other_than_Fairway_PLAYER NAME,GIR_Percentage_from_Other_than_Fairway_ROUNDS,GIR_Percentage_from_Other_than_Fairway_%,GIR_Percentage_from_Other_than_Fairway_GREENS HIT,GIR_Percentage_from_Other_than_Fairway_# OF HOLES
45,46,46,J.J. Henry,94,52.81,263,498
46,47,47,Charlie Beljan,76,52.8,198,375
47,48,48,Kevin Chappell,86,52.76,229,434
48,49,49,Gary Woodland,81,52.75,240,455
49,50,50,Bryce Molder,91,52.49,211,402
50,51,51,Alex Prugh,84,52.48,222,423
51,52,52,Daniel Summerhays,101,52.42,282,538
52,53,53,Pat Perez,96,52.39,241,460
53,54,54,Bill Lunde,50,52.36,122,233
54,55,55,Max Homa,78,52.34,235,449
55,56,56,Robert Streb,110,52.31,329,629
56,57,57,Kevin Streelman,95,52.25,209,400
57,T58,T58,Cameron Percy,72,52.2,202,387
58,T58,T58,Patrick Rodgers,57,52.2,166,318
59,60,60,Sergio Garcia,59,52.02,167,321
60,61,61,Jimmy Walker,89,51.99,301,579
61,62,62,Whee Kim,71,51.97,198,381
62,63,63,George McNeill,93,51.93,242,466
63,64,64,Gonzalo Fernandez-Castaño,81,51.91,217,418
64,65,65,Ernie Els,57,51.87,180,347
65,66,66,Zac Blair,108,51.83,241,465
66,67,67,Geoff Ogilvy,50,51.81,143,276
67,68,68,D.A. Points,72,51.76,220,425
68,69,69,Francesco Molinari,56,51.74,89,172
69,70,70,Ryan Palmer,80,51.57,246,477
70,71,71,Matt Kuchar,97,51.55,250,485
71,T72,T72,Tom Hoge,83,51.54,234,454
72,T72,T72,Hideki Matsuyama,95,51.54,235,456
73,74,74,Scott Brown,97,51.49,259,503
74,75,75,Scott Pinckney,88,51.46,246,478
75,76,76,Marc Leishman,74,51.44,232,451
76,77,77,Andres Gonzales,90,51.39,258,502
77,78,78,Ben Martin,93,51.35,228,444
78,79,79,Sean O'Hair,86,51.28,241,470
79,80,80,Robert Garrigus,70,51.26,203,396
80,81,81,Davis Love III,51,51.2,128,250
81,82,82,Lee Westwood,56,51.19,151,295
82,83,83,Carl Pettersson,106,50.99,309,606
83,84,84,Michael Thompson,83,50.96,240,471
84,85,85,Jonathan Randolph,72,50.92,222,436
85,86,86,Jhonattan Vegas,90,50.85,268,527
86,87,87,Kevin Kisner,104,50.83,245,482
87,88,88,David Hearn,97,50.82,247,486
88,89,89,Jason Bohn,95,50.8,191,376
89,90,90,Jim Renner,68,50.77,199,392
90,91,91,Tyrone Van Aswegen,58,50.71,178,351
91,92,92,Chez Reavie,56,50.68,111,219
92,93,93,Brian Harman,90,50.67,228,450
93,94,94,Billy Horschel,99,50.59,257,508
94,95,95,Andres Romero,69,50.57,220,435
95,96,96,Eric Axley,57,50.44,172,341
96,97,97,Scott Langley,94,50.41,246,488
97,98,98,Sam Saunders,83,50.37,204,405
98,99,99,Brice Garnett,81,50.35,215,427
99,100,100,Billy Hurley III,83,50.27,188,374
100,101,101,Seung-Yul Noh,65,50.24,207,412
101,102,102,Kyle Reifers,96,50.2,247,492
102,103,103,Jamie Donaldson,50,50.19,133,265
103,104,104,J.B. Holmes,89,50.18,276,550
104,105,105,Webb Simpson,81,50.14,177,353
105,106,106,Jordan Spieth,91,50.11,229,457
106,107,107,Hunter Mahan,88,50.1,252,503
107,108,108,Nick Taylor,91,50.09,280,559
108,T109,T109,Daniel Berger,97,50.0,266,532
109,T109,T109,Greg Chalmers,58,50.0,143,286
110,T109,T109,Matt Jones,89,50.0,248,496
111,112,112,Brandt Snedeker,98,49.9,258,517
112,113,113,Chad Campbell,97,49.89,231,463
113,T114,T114,Keegan Bradley,87,49.88,206,413
114,T114,T114,Russell Knox,96,49.88,216,433
115,116,116,Jon Curran,83,49.86,178,357
116,117,117,Graham DeLaet,65,49.84,157,315
117,118,118,Jeff Overton,94,49.81,262,526
118,119,119,Spencer Levin,99,49.64,207,417
119,120,120,Scott Piercy,90,49.61,254,512
120,121,121,John Huh,102,49.42,212,429
121,122,122,Ken Duke,93,49.37,196,397
122,123,123,Russell Henley,87,49.29,208,422
123,124,124,Jerry Kelly,79,49.23,160,325
124,125,125,Steve Wheatcroft,87,49.18,210,427
125,T126,T126,Harris English,105,49.16,291,592
126,T126,T126,Camilo Villegas,83,49.16,263,535
127,128,128,Patrick Reed,103,49.14,316,643
128,129,129,Steven Bowditch,103,49.02,326,665
129,130,130,Scott Stallings,60,49.01,174,355
130,131,131,Sung Joon Park,79,48.91,179,366
131,132,132,Chris Stroud,84,48.81,205,420
132,133,133,Adam Hadwin,95,48.77,218,447
133,134,134,Andrew Svoboda,80,48.76,216,443
134,T135,T135,Rickie Fowler,76,48.73,192,394
135,T135,T135,Adam Scott,51,48.73,134,275
136,137,137,Jason Dufner,76,48.63,160,329
137,138,138,Phil Mickelson,70,48.62,211,434
138,139,139,Bo Van Pelt,81,48.61,210,432
139,140,140,Cameron Tringale,96,48.58,206,424
140,141,141,Tim Wilkinson,73,48.49,177,365
141,142,142,David Lingmerth,90,48.39,211,436
142,143,143,Mark Hubbard,79,48.2,174,361
143,144,144,Retief Goosen,81,48.19,226,469
144,145,145,Alex Cejka,94,48.06,223,464
145,146,146,Colt Knost,90,47.97,165,344
146,147,147,Zach Johnson,90,47.88,169,353
147,148,148,John Merrick,78,47.85,156,326
148,149,149,Jim Furyk,71,47.84,133,278
149,150,150,Sangmoon Bae,98,47.81,262,548
150,T151,T151,Martin Laird,77,47.52,211,444
151,T151,T151,Danny Lee,120,47.52,287,604
152,153,153,Chad Collins,79,47.49,189,398
153,154,154,Derek Fathauer,81,47.4,246,519
154,155,155,Mark Wilson,89,47.38,199,420
155,156,156,Chris Kirk,76,47.3,184,389
156,157,157,Brian Stuard,97,47.24,188,398
157,158,158,Luke Guthrie,84,47.12,221,469
158,T159,T159,Robert Allenby,63,47.04,143,304
159,T159,T159,Luke Donald,71,47.04,191,406
160,161,161,Chesson Hadley,101,46.96,286,609
161,162,162,Steven Alker,62,46.86,112,239
162,163,163,Brendon Todd,96,46.79,182,389
163,164,164,Ian Poulter,68,46.76,159,340
164,165,165,Morgan Hoffmann,85,46.65,251,538
165,166,166,David Toms,62,46.6,96,206
166,167,167,Ben Crane,62,46.59,123,264
167,168,168,Padraig Harrington,60,46.57,190,408
168,169,169,Aaron Baddeley,76,46.3,238,514
169,170,170,Matt Every,73,45.61,218,478
170,171,171,Kevin Na,98,45.29,226,499
171,172,172,Ricky Barnes,82,45.18,225,498
172,173,173,Fabián Gómez,83,45.03,204,453
173,174,174,Brian Davis,86,44.99,166,369
174,175,175,Roberto Castro,54,44.96,107,238
175,176,176,Troy Merritt,91,44.8,211,471
176,177,177,Erik Compton,86,44.56,217,487
177,178,178,Heath Slocum,57,44.44,100,225
178,179,179,K.J. Choi,66,44.05,137,311
179,180,180,Jonas Blixt,78,43.91,184,419
180,181,181,Ryan Moore,81,43.9,144,328
181,182,182,Justin Leonard,61,43.8,106,242
182,183,183,Roger Sloan,56,42.52,125,294
183,184,184,Andrew Putnam,68,41.79,168,402
