,Hit_Fairway_Percentage_RANK THIS WEEK,Hit_Fairway_Percentage_RANK LAST WEEK,Hit_Fairway_Percentage_PLAYER NAME,Hit_Fairway_Percentage_ROUNDS,Hit_Fairway_Percentage_%,Hit_Fairway_Percentage_FAIRWAYS HIT,Hit_Fairway_Percentage_POSSIBLE FAIRWAYS,Hit_Fairway_Percentage_RELATIVE TO PAR
87,88,88,Ted Purdy,122,63.97,964,1507,-0.15
88,T89,T89,D.A. Points,94,63.82,801,1255,-0.15
89,T89,T89,Bob Tway,87,63.82,649,1017,-0.21
90,T89,T89,Lee Westwood,50,63.82,321,503,-0.12
91,92,92,Matt Gogel,78,63.77,676,1060,-0.12
92,93,93,Chris Anderson,66,63.7,551,865,-0.12
93,94,94,D.J. Brigman,76,63.65,604,949,-0.08
94,95,95,Mark Hensby,70,63.52,465,732,-0.17
95,96,96,Harrison Frazar,105,63.49,894,1408,-0.23
96,97,97,Frank Lickliter II,100,63.36,811,1280,-0.2
97,T98,T98,Ben Curtis,65,63.32,485,766,-0.1
98,T98,T98,Mathias Grönberg,60,63.32,511,807,-0.19
99,100,100,Tom Pernice Jr.,111,63.29,855,1351,-0.18
100,101,101,Robert Allenby,95,63.28,698,1103,-0.18
101,102,102,Marco Dawson,82,63.07,719,1140,-0.19
102,103,103,Joe Ogilvie,103,63.06,746,1183,-0.17
103,104,104,Arjun Atwal,65,62.83,551,877,-0.22
104,105,105,Greg Owen,84,62.8,665,1059,-0.17
105,106,106,Steve Lowery,100,62.78,823,1311,-0.19
106,107,107,Shaun Micheel,81,62.72,619,987,-0.16
107,108,108,Peter Lonard,85,62.67,628,1002,-0.17
108,109,109,Todd Hamilton,94,62.6,693,1107,-0.16
109,T110,T110,Glen Day,80,62.56,680,1087,-0.12
110,T110,T110,Kevin Na,88,62.56,732,1170,-0.13
111,112,112,John Huston,90,62.51,747,1195,-0.18
112,113,113,Glen Hnatiuk,59,62.48,478,765,-0.12
113,114,114,Jason Bohn,91,62.37,754,1209,-0.2
114,T115,T115,Dudley Hart,84,62.34,697,1118,-0.19
115,T115,T115,Bo Van Pelt,112,62.34,884,1418,-0.21
116,117,117,Bill Glasson,54,62.33,417,669,-0.12
117,118,118,Tim Herron,100,62.26,734,1179,-0.21
118,119,119,Will MacKenzie,75,62.24,633,1017,-0.17
119,120,120,Charlie Wi,67,62.18,564,907,-0.13
120,T121,T121,Brian Bateman,98,62.15,811,1305,-0.16
121,T121,T121,Michael Long,72,62.15,606,975,-0.14
122,123,123,D.J. Trahan,81,62.14,668,1075,-0.19
123,124,124,Sean O'Hair,103,62.1,788,1269,-0.18
124,125,125,J.P. Hayes,63,62.0,509,821,-0.18
125,126,126,Hunter Mahan,103,61.95,853,1377,-0.19
126,127,127,Shigeki Maruyama,99,61.81,759,1228,-0.19
127,128,128,Chad Campbell,95,61.76,672,1088,-0.21
128,129,129,J.J. Henry,102,61.65,823,1335,-0.2
129,130,130,Stephen Ames,82,61.45,558,908,-0.18
130,131,131,Carl Pettersson,109,61.38,879,1432,-0.2
131,132,132,Hideto Tanihara,50,61.32,409,667,-0.12
132,133,133,Paul Azinger,66,61.25,547,893,-0.18
133,T134,T134,Stewart Cink,98,61.11,649,1062,-0.2
134,T134,T134,Ian Poulter,62,61.11,341,558,-0.12
135,136,136,Stuart Appleby,84,61.04,564,924,-0.2
136,137,137,Vijay Singh,111,61.01,795,1303,-0.26
137,138,138,Woody Austin,100,61.0,818,1341,-0.16
138,139,139,Lucas Glover,88,60.97,714,1171,-0.2
139,140,140,Pat Perez,89,60.83,688,1131,-0.15
140,141,141,Kevin Stadler,96,60.81,779,1281,-0.2
141,142,142,Patrick Sheehan,114,60.72,895,1474,-0.16
142,143,143,Geoff Ogilvy,97,60.71,686,1130,-0.2
143,144,144,Mark O'Meara,66,60.65,507,836,-0.07
144,145,145,Rob Rashell,65,60.59,515,850,-0.1
145,146,146,Chris DiMarco,83,60.57,533,880,-0.2
146,147,147,Brad Faxon,75,60.51,547,904,-0.12
147,148,148,Chris Smith,93,60.45,781,1292,-0.22
148,149,149,Rod Pampling,89,60.3,609,1010,-0.22
149,150,150,Len Mattiace,86,60.21,687,1141,-0.05
150,151,151,Scott McCarron,78,60.06,570,949,-0.17
151,152,152,Jonathan Byrd,103,59.93,830,1385,-0.2
152,153,153,Ryan Palmer,101,59.87,746,1246,-0.23
153,154,154,Justin Bolli,65,59.86,525,877,-0.17
154,155,155,Nick Watney,91,59.77,743,1243,-0.2
155,156,156,Steve Allan,102,59.53,778,1307,-0.14
156,157,157,Neal Lancaster,95,59.47,788,1325,-0.17
157,158,158,José María Olazábal,55,59.4,357,601,-0.2
158,159,159,Retief Goosen,71,59.21,373,630,-0.22
159,160,160,Hunter Haas,83,59.11,652,1103,-0.15
160,161,161,Ryuji Imada,78,58.99,610,1034,-0.18
161,162,162,Phil Mickelson,81,58.59,474,809,-0.25
162,163,163,Davis Love III,80,58.51,512,875,-0.23
163,164,164,Scott Gutschewski,86,58.49,637,1089,-0.23
164,165,165,Dan Forsman,52,58.47,404,691,-0.23
165,166,166,Charles Howell III,95,58.42,635,1087,-0.22
166,167,167,Lee Janzen,75,58.28,542,930,-0.17
167,168,168,Carlos Franco,78,58.21,553,950,-0.2
168,T169,T169,Brett Quigley,96,58.1,728,1253,-0.23
169,T169,T169,Adam Scott,72,58.1,423,728,-0.19
170,171,171,Rich Beem,66,58.03,437,753,-0.17
171,172,172,Bob Heintz,67,57.97,542,935,-0.15
172,173,173,Jesper Parnevik,84,57.9,612,1057,-0.18
173,174,174,Thomas Levet,54,57.8,315,545,-0.06
174,175,175,Sergio Garcia,73,57.76,439,760,-0.21
175,176,176,Franklin Langham,91,57.67,684,1186,-0.14
176,177,177,Brandt Jobe,96,57.62,707,1227,-0.22
177,178,178,Bernhard Langer,67,57.34,406,708,-0.15
178,179,179,Ben Crane,78,57.32,556,970,-0.21
179,180,180,Andrew Magee,82,57.22,622,1087,-0.17
180,181,181,Brett Wetterich,76,57.03,588,1031,-0.19
181,182,182,Tim Petrovic,97,56.97,707,1241,-0.22
182,183,183,Freddie Jacobson,72,56.69,483,852,-0.2
183,184,184,Daniel Chopra,108,56.06,795,1418,-0.15
184,185,185,Brendan Jones,81,56.02,619,1105,-0.14
185,186,186,Fred Couples,72,56.0,406,725,-0.23
186,T187,T187,Dennis Paulson,63,55.37,485,876,-0.13
187,T187,T187,Rory Sabbatini,81,55.37,510,921,-0.16
188,189,189,Tag Ridings,93,55.24,701,1269,-0.25
189,190,190,Michael Allen,90,54.99,645,1173,-0.2
190,191,191,Padraig Harrington,50,54.93,323,588,-0.23
191,192,192,Craig Perks,67,54.24,492,907,-0.11
192,193,193,Tiger Woods,76,53.8,439,816,-0.35
193,194,194,John Elliott,58,53.66,418,779,-0.15
194,195,195,James Driscoll,73,53.6,514,959,-0.18
195,196,196,Aaron Baddeley,84,53.41,611,1144,-0.21
196,197,197,Steve Stricker,62,52.25,452,865,-0.21
197,198,198,John Daly,78,51.38,446,868,-0.2
198,199,199,Brenden Pappas,51,50.91,363,713,-0.31
199,200,200,Hank Kuehne,84,50.13,560,1117,-0.17
200,201,201,Jason Allred,75,46.9,462,985,-0.13
201,202,202,Scott Hend,75,45.11,447,991,-0.17
