,Percentage_of_Yardage_covered_by_Tee_Shots_RANK THIS WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_RANK LAST WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_PLAYER NAME,Percentage_of_Yardage_covered_by_Tee_Shots_ROUNDS,Percentage_of_Yardage_covered_by_Tee_Shots_AVG (%),Percentage_of_Yardage_covered_by_Tee_Shots_TOTAL SHOT DISTANCE,Percentage_of_Yardage_covered_by_Tee_Shots_TOTAL DISTANCE
111,T111,T111,Billy Mayfair,114,61.35,395765.7,645075
112,113,113,Tjaart van der Walt,56,61.33,210377.3,343002
113,114,114,Shigeki Maruyama,99,61.31,332063.0,541644
114,115,115,Tim Clark,92,61.3,249630.1,407213
115,116,116,Darron Stiles,78,61.28,270842.8,441998
116,T117,T117,Tommy Armour III,103,61.27,355230.5,579762
117,T117,T117,Matt Davidson,53,61.27,193700.0,316130
118,T117,T117,Shaun Micheel,81,61.27,248463.1,405551
119,120,120,Justin Leonard,78,61.26,211516.3,345303
120,121,121,José María Olazábal,55,61.24,160465.9,262031
121,122,122,Tom Gillis,77,61.23,265506.4,433595
122,123,123,Richard Johnson,50,61.22,178184.6,291062
123,124,124,Kevin Sutherland,89,61.2,289142.6,472426
124,125,125,Brent Geiberger,61,61.17,200990.8,328554
125,T126,T126,Stephen Ames,82,61.12,237434.1,388448
126,T126,T126,Arron Oberholser,65,61.12,196308.2,321206
127,128,128,Tom Lehman,69,61.1,194557.4,318426
128,T129,T129,Aaron Baddeley,84,61.04,292474.2,479132
129,T129,T129,Bill Glasson,54,61.04,171183.8,280424
130,131,131,Scott McCarron,78,61.02,236941.9,388312
131,T132,T132,Paul Azinger,66,61.01,226454.6,371181
132,T132,T132,Steve Stricker,62,61.01,228726.9,374893
133,134,134,Steve Elkington,67,61.0,211667.4,346979
134,135,135,Stewart Cink,98,60.98,275330.7,451494
135,T136,T136,Steve Flesch,90,60.95,246030.7,403627
136,T136,T136,Phillip Price,77,60.95,245635.3,403006
137,138,138,Kent Jones,99,60.93,340868.3,559449
138,139,139,Heath Slocum,103,60.92,347620.6,570638
139,140,140,Cameron Beckman,96,60.9,325471.0,534396
140,141,141,Alex Cejka,84,60.89,267528.5,439378
141,142,142,Luke Donald,67,60.87,155328.1,255177
142,143,143,Lee Janzen,75,60.86,227801.6,374295
143,144,144,Bob Tway,87,60.85,254545.4,418323
144,145,145,J.P. Hayes,63,60.84,204031.4,335357
145,146,146,Hidemichi Tanaka,106,60.82,364523.2,599394
146,147,147,Glen Hnatiuk,59,60.79,193317.6,318007
147,148,148,Dudley Hart,84,60.78,280088.5,460817
148,149,149,Bernhard Langer,67,60.75,174165.8,286710
149,T150,T150,Mike Weir,71,60.74,182253.1,300059
150,T150,T150,Charlie Wi,67,60.74,234915.0,386758
151,T152,T152,Chris DiMarco,83,60.71,228509.1,376404
152,T152,T152,Matt Gogel,78,60.71,259870.4,428036
153,154,154,Jerry Kelly,101,60.7,292142.6,481303
154,155,155,Billy Andrade,83,60.68,282352.0,465303
155,T156,T156,Jim Furyk,94,60.64,274161.6,452082
156,T156,T156,Robert Gamez,91,60.64,306057.3,504679
157,158,158,Matt Kuchar,60,60.62,211480.1,348883
158,T159,T159,Paul Gow,78,60.58,258840.6,427271
159,T159,T159,Jay Williamson,53,60.58,178370.7,294430
160,161,161,Brian Davis,75,60.56,244365.3,403523
161,162,162,Ian Poulter,62,60.49,138734.8,229344
162,163,163,Rob Rashell,65,60.45,208630.2,345117
163,164,164,Doug Barron,70,60.44,247997.1,410306
164,165,165,Franklin Langham,91,60.42,292562.9,484226
165,166,166,Larry Mize,54,60.35,174247.5,288751
166,167,167,Paul Claxton,79,60.32,253054.1,419501
167,T168,T168,Steve Jones,56,60.31,174948.3,290077
168,T168,T168,Duffy Waldorf,86,60.31,273355.8,453265
169,170,170,Dean Wilson,86,60.29,303553.0,503515
170,171,171,Scott Verplank,87,60.28,251137.6,416626
171,172,172,Chris Anderson,66,60.25,223042.7,370170
172,T173,T173,Bob Estes,92,60.23,302604.4,502455
173,T173,T173,Jeff Sluman,94,60.23,320290.9,531768
174,175,175,Ben Curtis,65,60.19,189803.1,315317
175,176,176,Kirk Triplett,55,60.08,168891.0,281093
176,177,177,Omar Uresti,84,60.07,279006.9,464436
177,T178,T178,Todd Fischer,99,60.03,332782.9,554394
178,T178,T178,Thomas Levet,54,60.03,138988.5,231538
179,180,180,Len Mattiace,86,59.93,289927.9,483754
180,181,181,Robert Damron,89,59.88,302191.8,504668
181,182,182,Olin Browne,99,59.85,316727.7,529230
182,183,183,Kevin Na,88,59.83,302082.3,504930
183,184,184,Danny Briggs,70,59.82,233630.0,390570
184,185,185,Mark Wilson,74,59.74,240869.9,403174
185,186,186,Brian Gay,101,59.69,348279.3,583494
186,187,187,José Coceres,56,59.64,201241.9,337438
187,188,188,Skip Kendall,80,59.63,266445.8,446822
188,189,189,Stephen Leaney,89,59.5,284520.3,478204
189,190,190,Tom Byrum,83,59.39,285671.1,481015
190,191,191,Jim Carter,62,59.37,204749.7,344887
191,192,192,Mark O'Meara,66,59.33,195823.4,330071
192,193,193,Brad Faxon,75,59.3,214357.1,361504
193,T194,T194,Jay Haas,54,59.22,147397.2,248894
194,T194,T194,Chris Riley,67,59.22,158363.2,267393
195,196,196,John Cook,72,59.19,218930.4,369890
196,197,197,Fred Funk,102,59.0,304886.4,516737
197,198,198,Mark Brooks,72,58.62,230403.8,393026
198,199,199,Loren Roberts,54,58.46,177126.4,302989
199,200,200,Gavin Coles,70,58.38,235919.7,404098
200,201,201,Jeff Hart,63,57.9,209657.6,362104
201,202,202,Corey Pavin,77,56.94,218171.3,383192
