,Money_per_Event_Leaders_RANK THIS WEEK,Money_per_Event_Leaders_RANK LAST WEEK,Money_per_Event_Leaders_PLAYER NAME,Money_per_Event_Leaders_EVENTS,Money_per_Event_Leaders_MONEY PER EVENT,Money_per_Event_Leaders_TOTAL MONEY
296,297,297,Troy Kelly,9,"$7,505","$67,546"
297,298,298,D.J. Trahan,5,"$7,371","$36,855"
298,299,299,Bernhard Langer,3,"$7,360","$22,082"
299,300,300,Byron Smith,21,"$7,330","$153,930"
300,301,301,Josh Teater,11,"$7,305","$80,358"
301,302,302,Bill Lunde,18,"$7,154","$128,787"
302,303,303,Chris Riley,2,"$7,108","$14,216"
303,304,304,Antonio Lascuna,2,"$6,895","$13,790"
304,305,305,Glen Day,8,"$6,863","$54,908"
305,306,306,Richy Werenski,1,"$6,825","$6,825"
306,307,307,Roger Sloan,20,"$6,652","$133,048"
307,308,308,Jarrod Lyle,10,"$6,614","$66,145"
308,309,309,Seuk-hyun Baek,2,"$6,580","$13,160"
309,310,310,Tom Johnson,2,"$6,483","$12,967"
310,311,311,Patton Kizzire,2,"$6,272","$12,544"
311,312,312,John Chin,1,"$6,262","$6,262"
312,313,313,Carlos Sainz Jr,20,"$6,205","$124,115"
313,314,314,Stephen Gallacher,11,"$6,162","$67,790"
314,315,315,David Duval,6,"$6,139","$36,839"
315,316,316,Tim Wilkinson,28,"$6,130","$171,654"
316,317,317,Michael McCabe,1,"$6,014","$6,014"
317,318,318,James Driscoll,1,"$5,820","$5,820"
318,319,319,Matt Bettencourt,8,"$5,813","$46,505"
319,320,320,Chris Naegel,2,"$5,668","$11,336"
320,321,321,Heath Slocum,22,"$5,567","$122,480"
321,322,322,Harrison Frazar,7,"$5,364","$37,550"
322,323,323,Zack Sucher,18,"$4,756","$85,613"
323,324,324,Troy Matteson,9,"$4,716","$42,450"
324,325,325,Thongchai Jaidee,10,"$4,695","$46,955"
325,326,326,Michael Bradley,4,"$4,684","$18,736"
326,327,327,Koumei Oda,4,"$4,425","$17,700"
327,328,328,Charlie Wi,9,"$4,386","$39,480"
328,329,329,Ben Curtis,14,"$4,215","$59,018"
329,330,330,Cameron Beckman,8,"$4,124","$32,994"
330,331,331,Mike Weir,18,"$4,044","$72,800"
331,332,332,Darren Clarke,6,"$3,966","$23,800"
332,333,333,Trevor Immelman,19,"$3,929","$74,659"
333,334,334,Tom Watson,3,"$3,874","$11,623"
334,335,335,Kent Jones,2,"$3,813","$7,626"
335,336,336,Parker McLachlin,2,"$3,780","$7,560"
336,337,337,Thomas Bjørn,7,"$3,678","$25,750"
337,338,338,Dudley Hart,8,"$3,626","$29,013"
338,339,339,Smylie Kaufman,2,"$3,605","$7,210"
339,340,340,Benjamín Alvarado,8,"$3,600","$28,800"
340,341,341,Jim Renner,27,"$3,358","$90,668"
341,342,342,Robert Karlsson,2,"$3,345","$6,690"
342,343,343,Billy Mayfair,6,"$3,285","$19,710"
343,344,344,Shaun Micheel,5,"$3,264","$16,320"
344,345,345,Guy Boros,2,"$3,135","$6,270"
345,346,346,Justin Hicks,14,"$3,012","$42,171"
346,347,347,Bobby Wyatt,2,"$3,000","$6,000"
347,348,348,Mikko Ilonen,8,"$2,812","$22,500"
348,349,349,Woody Austin,11,"$2,524","$27,774"
349,350,350,Michael Block,6,"$2,493","$14,960"
350,351,351,WC Liang,5,"$2,352","$11,760"
351,352,352,Daniel Chopra,5,"$2,340","$11,700"
352,353,353,Steve Lowery,3,"$2,216","$6,650"
353,354,354,Brandt Jobe,6,"$2,137","$12,825"
354,355,355,Ted Purdy,3,"$2,128","$6,386"
355,356,356,Scott Verplank,13,"$1,975","$25,682"
356,357,357,Richard Sterne,18,"$1,538","$27,690"
357,358,358,Scott McCarron,7,"$1,268","$8,880"
358,359,359,Len Mattiace,6,"$1,079","$6,479"
359,360,360,Tim Herron,7,$831,"$5,820"
