,Right_Tendency_RANK THIS WEEK,Right_Tendency_RANK LAST WEEK,Right_Tendency_PLAYER NAME,Right_Tendency_EVENTS,Right_Tendency_%,Right_Tendency_NUMBER OF TIMES,Right_Tendency_ATTEMPTS,Right_Tendency_AVG RTP SCORE
87,T88,T88,Jamie Lovemark,26,51.2,236,461,0.59
88,T88,T88,Adam Schenk,28,51.2,193,377,2.18
89,T90,T90,Scott Brown,32,51.3,222,433,2.39
90,T90,T90,Dustin Johnson,20,51.3,158,308,0.63
91,T90,T90,Kevin Tway,31,51.3,283,552,0.95
92,T93,T93,Ricky Barnes,22,51.4,163,317,0.67
93,T93,T93,Tom Hoge,31,51.4,215,418,1.07
94,95,95,Beau Hossler,28,51.5,237,460,0.84
95,T96,T96,Jason Day,20,51.6,144,279,0.83
96,T96,T96,Tony Finau,28,51.6,237,459,0.17
97,T96,T96,Nick Taylor,30,51.6,208,403,1.73
98,99,99,Jordan Spieth,23,51.7,165,319,0.24
99,100,100,Patton Kizzire,29,51.8,241,465,1.7
100,T101,T101,C.T. Pan,30,51.9,180,347,1.28
101,T101,T101,J.J. Spaun,27,51.9,163,314,1.66
102,T101,T101,Hudson Swafford,22,51.9,126,243,1.75
103,104,104,Louis Oosthuizen,17,52.0,103,198,1.46
104,105,105,Rafa Cabrera Bello,20,52.1,99,190,1.52
105,106,106,Justin Rose,18,52.2,117,224,0.94
106,T107,T107,Lanto Griffin,26,52.3,185,354,0.11
107,T107,T107,Emiliano Grillo,25,52.3,150,287,1.13
108,T107,T107,Danny Lee,30,52.3,184,352,1.14
109,T107,T107,Johnson Wagner,21,52.3,139,266,1.15
110,T111,T111,Charles Howell III,28,52.4,194,370,0.57
111,T111,T111,Matt Jones,23,52.4,130,248,2.23
112,113,113,Robert Garrigus,27,52.5,210,400,1.1
113,T114,T114,Jimmy Walker,23,52.6,195,371,0.62
114,T114,T114,Xinjun Zhang,28,52.6,141,268,2.41
115,116,116,Gary Woodland,27,52.7,165,313,0.42
116,T117,T117,Matt Atkins,21,52.8,123,233,1.79
117,T117,T117,Brian Gay,30,52.8,188,356,1.65
118,T119,T119,Troy Merritt,27,53.1,191,360,1.05
119,T119,T119,Kyle Thompson,22,53.1,102,192,1.76
120,121,121,Harold Varner III,27,53.2,215,404,1.77
121,T122,T122,William McGirt,26,53.3,217,407,1.71
122,T122,T122,Justin Thomas,23,53.3,192,360,0.31
123,124,124,Conrad Shindler,20,53.5,107,200,2.24
124,T125,T125,Brice Garnett,30,53.6,222,414,1.94
125,T125,T125,Brandon Harkins,30,53.6,277,517,1.84
126,T125,T125,Jon Rahm,20,53.6,133,248,1.05
127,128,128,Graeme McDowell,20,53.7,117,218,1.2
128,129,129,Andrew Putnam,28,53.9,226,419,1.15
129,T130,T130,Mackenzie Hughes,28,54.2,193,356,1.87
130,T130,T130,Sung Kang,29,54.2,207,382,1.3
131,132,132,Sam Saunders,26,54.3,196,361,1.17
132,133,133,Russell Knox,27,54.5,169,310,1.89
133,T134,T134,Greg Chalmers,20,54.6,125,229,2.96
134,T134,T134,Shawn Stefani,25,54.6,190,348,1.26
135,136,136,Jhonattan Vegas,27,54.7,187,342,1.28
136,T137,T137,Roberto Díaz,25,54.9,156,284,2.63
137,T137,T137,Si Woo Kim,31,54.9,219,399,0.68
138,T137,T137,Jason Kokrak,29,54.9,270,492,0.7
139,T137,T137,Chris Stroud,27,54.9,167,304,1.5
140,T141,T141,Cody Gribble,25,55.0,182,331,2.31
141,T141,T141,Hunter Mahan,21,55.0,138,251,1.16
142,T141,T141,Charl Schwartzel,20,55.0,127,231,2.13
143,144,144,Jonas Blixt,23,55.1,147,267,1.56
144,145,145,Rod Pampling,20,55.2,123,223,2.68
145,T146,T146,Ben Martin,20,55.4,160,289,2.13
146,T146,T146,Bubba Watson,24,55.4,205,370,1.46
147,T148,T148,Peter Malnati,28,55.6,245,441,1.02
148,T148,T148,Peter Uihlein,26,55.6,212,381,1.32
149,T150,T150,Joel Dahmen,28,55.9,185,331,0.86
150,T150,T150,Derek Fathauer,28,55.9,242,433,2.6
151,T150,T150,Aaron Wise,29,55.9,207,370,1.64
152,T153,T153,Byeong Hun An,24,56.0,202,361,0.74
153,T153,T153,James Hahn,26,56.0,181,323,1.44
154,155,155,Dominic Bozzelli,20,56.2,200,356,1.15
155,T156,T156,Adam Hadwin,25,56.3,160,284,1.0
156,T156,T156,Kyle Stanley,26,56.3,135,240,2.15
157,158,158,Patrick Reed,26,56.5,196,347,0.66
158,T159,T159,Talor Gooch,27,56.6,206,364,1.65
159,T159,T159,Rory Sabbatini,27,56.6,224,396,1.12
160,161,161,Stewart Cink,25,56.8,214,377,1.17
161,162,162,Rory McIlroy,18,56.9,161,283,1.12
162,163,163,Francesco Molinari,20,57.0,135,237,1.48
163,164,164,Daniel Berger,23,57.2,154,269,1.62
164,165,165,Rob Oppenheim,26,57.3,185,323,2.27
165,T166,T166,Tyler Duncan,31,57.9,205,354,2.1
166,T166,T166,Marc Leishman,25,57.9,206,356,1.07
167,168,168,Xander Schauffele,27,58.0,207,357,1.55
168,T169,T169,Scott Stallings,30,58.1,261,449,1.23
169,T169,T169,Ethan Tracy,23,58.1,172,296,1.98
170,171,171,Adam Scott,21,58.2,159,273,0.75
171,T172,T172,Abraham Ancer,30,58.5,240,410,1.88
172,T172,T172,Corey Conners,28,58.5,233,398,1.59
173,T172,T172,Nicholas Lindheim,26,58.5,192,328,1.51
174,T172,T172,Sam Ryder,26,58.5,185,316,1.24
175,176,176,Rickie Fowler,20,58.6,154,263,0.91
176,177,177,Tom Lovelady,28,58.8,243,413,1.69
177,178,178,Steve Wheatcroft,20,58.9,116,197,2.16
178,179,179,Bronson Burgoon,24,59.3,163,275,2.02
179,180,180,Kevin Streelman,27,59.5,203,341,0.94
180,T181,T181,Lucas Glover,18,59.8,134,224,1.04
181,T181,T181,Tyrrell Hatton,16,59.8,116,194,-0.09
182,183,183,Bill Haas,25,60.5,225,372,0.71
183,184,184,Ian Poulter,20,60.9,134,220,0.15
184,185,185,Michael Kim,27,61.6,205,333,1.85
185,T186,T186,Zac Blair,20,61.7,153,248,1.18
186,T186,T186,Branden Grace,18,61.7,132,214,1.59
187,188,188,Andrew Landry,27,62.1,218,351,1.47
188,189,189,Ryan Moore,22,62.4,151,242,1.19
189,190,190,Alex Noren,18,62.7,146,233,0.75
190,191,191,Charley Hoffman,25,63.1,226,358,1.06
191,192,192,Martin Laird,22,65.3,194,297,1.13
192,193,193,Scott Piercy,26,65.8,200,304,1.4
