,Apex_Height_RANK THIS WEEK,Apex_Height_RANK LAST WEEK,Apex_Height_PLAYER NAME,Apex_Height_ROUNDS,Apex_Height_AVG.,Apex_Height_TOTAL APEX HEIGHT,Apex_Height_TOTAL ATTEMPTS,Apex_Height_HIGHEST APEX POINT,Apex_Height_LOWEST APEX POINT
62,T62,T62,Hunter Mahan,67,"111' 3""","5450' 6""",49,"134' 6""","83' 9"""
63,T62,T62,C.T. Pan,104,"111' 3""",7455',67,"153' 1""","70' 4"""
64,65,65,Marc Leishman,93,"110' 10""","6318' 3""",57,"147' 6""","67' 6"""
65,66,66,Jordan Spieth,81,"110' 9""",6312',57,"148' 2""","79' 10"""
66,67,67,Anirban Lahiri,82,"110' 5""","6848' 2""",62,"162' 4""","82' 7"""
67,68,68,Grayson Murray,72,"110' 2""",5839',53,"150' 11""","58' 6"""
68,69,69,Jamie Lovemark,92,"109' 11""","7362' 7""",67,"147' 1""","74' 2"""
69,T70,T70,Jonathan Byrd,70,"109' 7""",4711',43,"161' 0""","79' 3"""
70,T70,T70,Austin Cook,107,"109' 7""","8769' 1""",80,"144' 0""","64' 3"""
71,T70,T70,Michael Kim,74,"109' 7""","5042' 7""",46,"149' 3""","22' 8"""
72,T73,T73,Ryan Palmer,69,"109' 2""","5678' 9""",52,"143' 1""","69' 10"""
73,T73,T73,Michael Thompson,62,"109' 2""","5786' 3""",53,"137' 9""","78' 5"""
74,T73,T73,Aaron Wise,90,"109' 2""","6985' 7""",64,"143' 6""","69' 1"""
75,76,76,Xinjun Zhang,81,"109' 0""","5230' 4""",48,"149' 3""","68' 3"""
76,T77,T77,Charley Hoffman,87,"108' 10""","5878' 4""",54,"138' 11""","84' 0"""
77,T77,T77,Scott Stallings,96,"108' 10""",7837',72,"172' 4""","65' 10"""
78,T79,T79,Bill Haas,76,"108' 9""","5110' 3""",47,"156' 10""","77' 5"""
79,T79,T79,J.J. Spaun,85,"108' 9""","6417' 8""",59,"137' 6""","77' 11"""
80,81,81,Whee Kim,93,"108' 8""","6196' 4""",57,"136' 6""","62' 11"""
81,82,82,Blayne Barber,69,"108' 4""",5523',51,"135' 3""","82' 11"""
82,83,83,Bronson Burgoon,69,"108' 1""","5189' 7""",48,"131' 7""","74' 11"""
83,84,84,Jimmy Walker,81,"107' 9""","5280' 4""",49,"157' 8""","33' 6"""
84,85,85,Graeme McDowell,67,"107' 6""",4406',41,"142' 3""","78' 9"""
85,86,86,Patton Kizzire,92,"107' 4""","7298' 3""",68,"147' 7""","78' 0"""
86,87,87,Rory Sabbatini,91,"107' 1""","7388' 9""",69,"146' 1""","58' 5"""
87,88,88,J.J. Henry,81,"107' 0""","5563' 3""",52,"128' 11""","68' 2"""
88,T89,T89,Abraham Ancer,98,"106' 7""","8529' 6""",80,"156' 11""","53' 6"""
89,T89,T89,Brett Stegmaier,67,"106' 7""","4689' 2""",44,"137' 0""","86' 2"""
90,91,91,Zac Blair,64,"106' 5""","4575' 9""",43,"131' 1""","72' 4"""
91,92,92,Kelly Kraft,94,"106' 3""","7121' 1""",67,"131' 2""","73' 4"""
92,93,93,Chesson Hadley,103,"106' 1""","8487' 3""",80,"152' 3""","55' 2"""
93,94,94,Kiradech Aphibarnrat,51,"106' 0""","2861' 3""",27,"133' 1""","62' 8"""
94,95,95,Brian Gay,103,"105' 11""","8475' 1""",80,"136' 5""","77' 8"""
95,96,96,Peter Uihlein,83,"105' 8""","5282' 0""",50,"132' 9""","65' 3"""
96,97,97,Martin Piller,79,"105' 7""","6439' 9""",61,"139' 7""","69' 8"""
97,98,98,Mackenzie Hughes,80,"105' 5""","6640' 7""",63,"126' 2""","77' 10"""
98,T99,T99,Daniel Berger,81,"105' 4""","5581' 5""",53,"147' 7""","59' 11"""
99,T99,T99,Brice Garnett,99,"105' 4""","7056' 0""",67,"139' 4""","55' 9"""
100,101,101,Tom Hoge,101,"104' 11""","8291' 0""",79,"133' 7""","65' 10"""
101,102,102,Adam Scott,78,"104' 10""",5241',50,"136' 5""","72' 4"""
102,103,103,Scott Piercy,84,"104' 9""","5131' 4""",49,"143' 3""","71' 10"""
103,104,104,Hudson Swafford,73,"104' 6""","4598' 0""",44,"129' 0""","76' 5"""
104,105,105,Zecheng Dou,53,"104' 4""","3233' 9""",31,"132' 3""","74' 6"""
105,106,106,Webb Simpson,95,"104' 3""","7192' 9""",69,"126' 0""","76' 6"""
106,107,107,Tiger Woods,68,"104' 2""","3959' 0""",38,"175' 3""","57' 9"""
107,T108,T108,Brian Harman,94,"104' 1""",5931',57,"130' 9""","81' 10"""
108,T108,T108,Peter Malnati,87,"104' 1""","7080' 3""",68,"140' 4""","65' 6"""
109,T110,T110,Matt Every,79,"104' 0""",5509',53,"130' 0""","72' 0"""
110,T110,T110,Nick Taylor,94,"104' 0""","6969' 2""",67,"135' 3""","70' 7"""
111,112,112,Jhonattan Vegas,92,"103' 11""","5298' 4""",51,"147' 10""","69' 8"""
112,113,113,Charl Schwartzel,65,"103' 10""",3219',31,"152' 3""","71' 10"""
113,114,114,Shawn Stefani,76,"103' 7""","5281' 7""",51,"130' 4""","71' 10"""
114,115,115,Richy Werenski,98,"103' 3""","6608' 1""",64,"137' 1""","69' 11"""
115,T116,T116,Zach Johnson,94,"103' 2""","6192' 6""",60,"132' 2""","60' 3"""
116,T116,T116,David Lingmerth,82,"103' 2""","6397' 0""",62,"141' 3""","70' 4"""
117,T116,T116,D.A. Points,63,"103' 2""","4128' 4""",40,"139' 11""","68' 7"""
118,119,119,Paul Casey,74,"102' 11""","3498' 4""",34,"137' 9""","75' 7"""
119,T120,T120,Kevin Kisner,89,"102' 2""","5822' 8""",57,"131' 8""","78' 9"""
120,T120,T120,Patrick Reed,94,"102' 2""","5208' 7""",51,"139' 6""","72' 5"""
121,122,122,Brendan Steele,74,"102' 1""","4493' 2""",44,"154' 1""","56' 2"""
122,123,123,Kyle Stanley,93,"101' 10""","5908' 7""",58,"134' 11""","47' 7"""
123,124,124,Vaughn Taylor,83,"101' 9""","6817' 4""",67,"133' 4""","71' 2"""
124,125,125,Jason Dufner,71,"101' 8""","4370' 8""",43,"135' 6""","65' 2"""
125,T126,T126,Martin Flores,92,"101' 7""","6501' 4""",64,"131' 4""","68' 9"""
126,T126,T126,Kevin Streelman,94,"101' 7""","7515' 9""",74,"135' 3""","70' 10"""
127,128,128,Chris Stroud,81,"101' 6""","5076' 1""",50,"146' 4""","63' 2"""
128,129,129,Brian Stuard,103,"101' 2""","7993' 6""",79,"136' 2""","56' 7"""
129,130,130,Corey Conners,97,"100' 11""","7668' 3""",76,"144' 1""","68' 6"""
130,131,131,Nate Lashley,51,"100' 8""","3322' 7""",33,"122' 3""","76' 1"""
131,132,132,Andrew Landry,82,"100' 2""","6512' 3""",65,"148' 4""","66' 11"""
132,T133,T133,Matt Kuchar,88,"100' 1""","5604' 7""",56,"137' 2""","60' 1"""
133,T133,T133,Cameron Percy,56,"100' 1""","3802' 7""",38,"127' 3""","71' 3"""
134,T133,T133,Chez Reavie,93,"100' 1""","4403' 4""",44,"129' 8""","73' 0"""
135,T136,T136,Harris English,84,"100' 0""","6398' 7""",64,"128' 7""","77' 4"""
136,T136,T136,Kevin Tway,110,"100' 0""","7299' 6""",73,"137' 5""","70' 4"""
137,138,138,Aaron Baddeley,84,"99' 11""","5993' 5""",60,"141' 3""","57' 8"""
138,139,139,Brandt Snedeker,84,"99' 9""","5887' 5""",59,"131' 4""","68' 6"""
139,140,140,Emiliano Grillo,94,"99' 8""","6775' 6""",68,"132' 4""","66' 2"""
140,141,141,J.T. Poston,73,"99' 7""","5577' 7""",56,"129' 8""","63' 10"""
141,142,142,Johnson Wagner,75,"99' 6""","4577' 2""",46,"133' 2""","40' 10"""
142,T143,T143,"Ted Potter, Jr.",87,"99' 2""",6839',69,"125' 8""","55' 0"""
143,T143,T143,Ben Silverman,90,"99' 2""","6546' 9""",66,"134' 7""","69' 9"""
144,145,145,Andrew Putnam,97,"99' 0""",6730',68,"130' 0""","78' 7"""
145,146,146,Matt Jones,70,"98' 7""","4043' 0""",41,"147' 3""","42' 5"""
146,147,147,Stewart Cink,87,"98' 6""","6206' 6""",63,"131' 9""","69' 1"""
147,T148,T148,Scott Brown,102,"97' 11""",6660',68,"131' 8""","61' 0"""
148,T148,T148,Wesley Bryan,69,"97' 11""",3719',38,"145' 10""","67' 3"""
149,150,150,Nick Watney,94,"97' 8""","7324' 4""",75,"135' 1""","61' 9"""
150,151,151,Conrad Shindler,60,"97' 7""","2829' 5""",29,"124' 10""","73' 11"""
151,152,152,John Huh,94,"97' 4""","7009' 7""",72,"139' 8""","73' 9"""
152,153,153,Adam Schenk,86,"97' 0""","6207' 0""",64,"167' 2""","62' 8"""
153,154,154,Billy Hurley III,70,"96' 5""","5303' 4""",55,"135' 0""","58' 3"""
154,155,155,Seamus Power,86,"96' 2""","5769' 7""",60,"139' 11""","50' 5"""
155,T156,T156,Ben Martin,64,"95' 10""","5367' 9""",56,"124' 10""","65' 6"""
156,T156,T156,Sam Ryder,82,"95' 10""",5557',58,"126' 3""","66' 7"""
157,T158,T158,Chris Kirk,108,"95' 6""","8500' 6""",89,"134' 2""","64' 6"""
158,T158,T158,Tyrone Van Aswegen,101,"95' 6""","6495' 2""",68,"129' 4""","48' 9"""
159,T160,T160,Ben Crane,65,"95' 5""","4196' 9""",44,"130' 11""","64' 6"""
160,T160,T160,Tyler Duncan,97,"95' 5""","6201' 6""",65,"136' 11""","65' 1"""
161,162,162,Si Woo Kim,108,"95' 4""","6389' 2""",67,"134' 8""","41' 8"""
162,T163,T163,Lucas Glover,65,"94' 11""","3892' 4""",41,"153' 2""","49' 2"""
163,T163,T163,Talor Gooch,78,"94' 11""",4459',47,"129' 9""","63' 7"""
164,T163,T163,Ethan Tracy,72,"94' 11""","4269' 5""",45,"132' 4""","63' 4"""
165,166,166,William McGirt,84,"94' 10""","6637' 2""",70,"120' 3""","64' 4"""
166,167,167,Branden Grace,67,"94' 8""","3030' 5""",32,"129' 5""","58' 8"""
167,T168,T168,Rafa Cabrera Bello,75,"94' 7""","3498' 8""",37,"124' 3""","64' 7"""
168,T168,T168,Chad Campbell,87,"94' 7""","4539' 5""",48,"125' 9""","64' 5"""
169,T168,T168,Russell Knox,94,"94' 7""","6146' 6""",65,"135' 2""","54' 9"""
170,171,171,Steve Wheatcroft,60,"93' 7""","3836' 6""",41,"120' 3""","58' 7"""
171,172,172,Fabián Gómez,88,"93' 3""","5781' 7""",62,"145' 2""","65' 7"""
172,173,173,Kevin Na,91,"93' 0""","5580' 9""",60,"137' 6""","53' 1"""
173,174,174,Rob Oppenheim,74,"91' 3""","4472' 4""",49,"131' 9""","56' 1"""
174,175,175,Charles Howell III,104,"90' 3""","5956' 8""",66,"118' 3""","48' 5"""
175,176,176,Ryan Moore,78,"89' 11""","5304' 2""",59,"126' 5""","54' 11"""
176,177,177,Kyle Thompson,50,"89' 5""","2951' 2""",33,"119' 0""","50' 3"""
177,178,178,Greg Chalmers,56,"88' 8""",3547',40,"119' 4""","65' 11"""
178,T179,T179,Derek Fathauer,84,"88' 6""","5221' 7""",59,"120' 2""","53' 2"""
179,T179,T179,Andrew Yun,51,"88' 6""","2565' 4""",29,"125' 10""","62' 7"""
180,181,181,Roberto Díaz,72,"88' 3""","4590' 6""",52,"146' 7""","52' 5"""
181,182,182,Jonathan Randolph,71,"88' 1""","5197' 8""",59,"119' 4""","52' 9"""
182,183,183,Daniel Summerhays,51,"87' 11""","2901' 7""",33,"132' 10""","38' 9"""
183,184,184,Ryan Armour,109,"87' 6""","7787' 2""",89,"128' 10""","50' 0"""
184,185,185,Nicholas Lindheim,77,"86' 0""","4386' 3""",51,"120' 5""","46' 10"""
185,T186,T186,Ollie Schniederjans,91,"85' 11""","5155' 3""",60,"143' 2""","26' 1"""
186,T186,T186,Robert Streb,78,"85' 11""","4812' 3""",56,"116' 11""","56' 4"""
187,188,188,Russell Henley,77,"85' 8""",3683',43,"113' 10""","44' 4"""
188,189,189,Ian Poulter,73,"85' 3""","3496' 5""",41,"109' 4""","54' 8"""
189,190,190,Jim Furyk,50,"84' 4""","2782' 3""",33,"119' 8""","57' 5"""
190,191,191,Rod Pampling,62,"83' 3""",3578',43,"114' 7""","34' 8"""
191,192,192,Lanto Griffin,80,"82' 1""","4024' 1""",49,"141' 4""","12' 9"""
192,193,193,Ricky Barnes,65,"71' 10""","2369' 7""",33,"107' 9""","45' 6"""
