,Total_Driving_Efficiency_RANK THIS WEEK,Total_Driving_Efficiency_RANK LAST WEEK,Total_Driving_Efficiency_PLAYER NAME,Total_Driving_Efficiency_ROUNDS,Total_Driving_Efficiency_COMBINED RANK,Total_Driving_Efficiency_CARRY EFFICIENCY RANK,Total_Driving_Efficiency_TOTAL DIST. EFFIC. RANK
134,T135,T135,Paul Casey,74,260,132,128
135,T135,T135,Si Woo Kim,108,260,139,121
136,137,137,Ben Crane,65,261,137,124
137,138,138,Daniel Berger,81,262,152,110
138,139,139,Matt Jones,70,268,144,124
139,140,140,Lucas Glover,65,270,139,131
140,141,141,Greg Chalmers,56,272,164,108
141,142,142,Dominic Bozzelli,65,273,120,153
142,143,143,Roberto Díaz,72,274,160,114
143,144,144,Russell Henley,77,275,163,112
144,145,145,Derek Fathauer,84,276,148,128
145,146,146,Jamie Lovemark,92,279,129,150
146,147,147,Talor Gooch,78,281,145,136
147,148,148,Bubba Watson,90,282,113,169
148,149,149,Branden Grace,67,283,143,140
149,150,150,Ian Poulter,73,285,175,110
150,151,151,J.J. Spaun,85,288,152,136
151,152,152,Tiger Woods,68,289,129,160
152,153,153,Andrew Putnam,97,290,154,136
153,154,154,Mackenzie Hughes,80,292,124,168
154,155,155,Billy Hurley III,70,293,142,151
155,156,156,Kiradech Aphibarnrat,51,294,134,160
156,157,157,Seamus Power,86,299,154,145
157,158,158,Gary Woodland,96,302,129,173
158,159,159,Scott Brown,102,303,158,145
159,160,160,J.B. Holmes,77,310,134,176
160,161,161,Rob Oppenheim,74,312,170,142
161,T162,T162,Emiliano Grillo,94,313,150,163
162,T162,T162,Henrik Stenson,60,313,127,186
163,164,164,Charl Schwartzel,65,314,134,180
164,165,165,Russell Knox,94,317,162,155
165,166,166,Patrick Reed,94,319,145,174
166,167,167,Tyler Duncan,97,322,182,140
167,T168,T168,Kevin Kisner,89,327,161,166
168,T168,T168,Daniel Summerhays,51,327,165,162
169,T168,T168,Hudson Swafford,73,327,158,169
170,171,171,Charles Howell III,104,331,175,156
171,172,172,Stewart Cink,87,335,168,167
172,173,173,Ryan Armour,109,337,184,153
173,174,174,Ethan Tracy,72,341,170,171
174,T175,T175,Alex Noren,67,348,166,182
175,T175,T175,Jonathan Randolph,71,348,183,165
176,T177,T177,"Ted Potter, Jr.",87,349,168,181
177,T177,T177,Adam Schenk,86,349,186,163
178,179,179,Kevin Na,91,357,180,177
179,T180,T180,Sam Ryder,82,360,188,172
180,T180,T180,Kevin Tway,110,360,178,182
181,182,182,Jhonattan Vegas,92,363,173,190
182,183,183,Pat Perez,82,364,172,192
183,184,184,Robert Streb,78,365,187,178
184,T185,T185,Keith Mitchell,99,366,181,185
185,T185,T185,Adam Scott,78,366,175,191
186,T185,T185,Peter Uihlein,83,366,179,187
187,188,188,Ricky Barnes,65,367,193,174
188,189,189,Rod Pampling,62,370,191,179
189,T190,T190,Zecheng Dou,53,373,185,188
190,T190,T190,Ollie Schniederjans,91,373,189,184
191,192,192,Lanto Griffin,80,379,190,189
192,193,193,Conrad Shindler,60,385,192,193
