,Distance_from_Edge_of_Fairway_RANK THIS WEEK,Distance_from_Edge_of_Fairway_RANK LAST WEEK,Distance_from_Edge_of_Fairway_PLAYER NAME,Distance_from_Edge_of_Fairway_EVENTS,Distance_from_Edge_of_Fairway_AVG,Distance_from_Edge_of_Fairway_TOTAL DISTANCE (FEET),Distance_from_Edge_of_Fairway_TOTAL STROKES
46,T47,T47,Kiradech Aphibarnrat,14,"23' 9""",3253.167,137
47,T47,T47,Brice Garnett,30,"23' 9""",9683.0,408
48,T49,T49,Roberto Díaz,25,"23' 10""",6692.5830000000005,281
49,T49,T49,Charles Howell III,28,"23' 10""",8683.667,364
50,T49,T49,Kyle Thompson,22,"23' 10""",4486.083,188
51,T52,T52,Chris Kirk,29,"23' 11""",10960.667,458
52,T52,T52,Cameron Percy,16,"23' 11""",5068.5,212
53,T54,T54,Ben Martin,20,"24' 0""",6741.4169999999995,281
54,T54,T54,J.J. Spaun,27,"24' 0""",7371.3330000000005,307
55,56,56,John Huh,29,"24' 2""",9583.833,396
56,57,57,Francesco Molinari,20,"24' 3""",5824.9169999999995,240
57,58,58,Branden Grace,18,"24' 4""",5256.9169999999995,216
58,59,59,C.T. Pan,30,"24' 5""",8468.833,347
59,T60,T60,Chad Campbell,28,"24' 6""",8313.833,339
60,T60,T60,Satoshi Kodaira,18,"24' 6""",4190.167,171
61,T60,T60,Pat Perez,23,"24' 6""",5762.3330000000005,235
62,T60,T60,Conrad Shindler,20,"24' 6""",4902.75,200
63,T64,T64,Jonathan Randolph,25,"24' 8""",7584.0830000000005,307
64,T64,T64,Rory Sabbatini,27,"24' 8""",9703.5,394
65,T66,T66,Keegan Bradley,27,"24' 9""",8182.5,331
66,T66,T66,Tyrrell Hatton,16,"24' 9""",4721.0,191
67,T66,T66,Alex Noren,18,"24' 9""",5762.8330000000005,233
68,T69,T69,Kelly Kraft,31,"24' 10""",8278.583,333
69,T69,T69,Andrew Landry,27,"24' 10""",8701.583,350
70,71,71,Blayne Barber,22,"25' 0""",6776.5,271
71,T72,T72,Corey Conners,28,"25' 1""",9917.333,395
72,T72,T72,Joel Dahmen,28,"25' 1""",8167.75,326
73,T74,T74,Scott Brown,32,"25' 3""",10672.5,422
74,T74,T74,Rafa Cabrera Bello,20,"25' 3""",4845.5,192
75,T74,T74,Charley Hoffman,25,"25' 3""",8886.333,352
76,77,77,Nick Taylor,30,"25' 4""",10324.583,407
77,T78,T78,Brandt Snedeker,25,"25' 6""",8960.917,351
78,T78,T78,Richy Werenski,32,"25' 6""",8734.75,343
79,T80,T80,Kevin Na,26,"25' 7""",8962.0,350
80,T80,T80,Sam Ryder,26,"25' 7""",7806.1669999999995,305
81,82,82,Brendan Steele,22,"25' 8""",6715.0830000000005,262
82,T83,T83,Martin Laird,22,"25' 9""",7473.25,290
83,T83,T83,Danny Lee,30,"25' 9""",9038.75,351
84,85,85,Chris Stroud,27,"25' 10""",7672.6669999999995,297
85,T86,T86,Lucas Glover,18,"26' 1""",5781.3330000000005,222
86,T86,T86,Jordan Spieth,23,"26' 1""",8356.667,320
87,T88,T88,Rickie Fowler,20,"26' 2""",6912.0830000000005,264
88,T88,T88,Mackenzie Hughes,28,"26' 2""",9132.0,349
89,T90,T90,William McGirt,26,"26' 3""",10636.25,405
90,T90,T90,Troy Merritt,27,"26' 3""",9428.917,359
91,92,92,Hudson Swafford,22,"26' 4""",6238.1669999999995,237
92,93,93,Justin Rose,18,"26' 6""",5862.25,221
93,T94,T94,Matt Jones,23,"26' 7""",6453.5830000000005,243
94,T94,T94,Sam Saunders,26,"26' 7""",9634.5,362
95,96,96,Stewart Cink,25,"26' 8""",10014.167,376
96,T97,T97,Anirban Lahiri,24,"26' 9""",9487.25,355
97,T97,T97,Harold Varner III,27,"26' 9""",10682.917,399
98,99,99,J.J. Henry,28,"26' 11""",7939.5,295
99,100,100,Bronson Burgoon,24,"27' 0""",7360.6669999999995,273
100,101,101,Billy Hurley III,27,"27' 1""",8396.917,310
101,T102,T102,Daniel Berger,23,"27' 2""",7246.0830000000005,267
102,T102,T102,Shane Lowry,19,"27' 2""",6784.3330000000005,250
103,T102,T102,J.T. Poston,22,"27' 2""",8122.0830000000005,299
104,T102,T102,Andrew Putnam,28,"27' 2""",11295.833,416
105,T106,T106,Zecheng Dou,23,"27' 3""",5889.1669999999995,216
106,T106,T106,Ethan Tracy,23,"27' 3""",7994.25,293
107,108,108,Chesson Hadley,30,"27' 4""",12440.0,455
108,T109,T109,Bryson DeChambeau,26,"27' 5""",9609.167,351
109,T109,T109,Peter Malnati,28,"27' 5""",11827.75,431
110,T111,T111,Tom Hoge,31,"27' 6""",11297.417,411
111,T111,T111,Marc Leishman,25,"27' 6""",9699.0,353
112,T111,T111,Brett Stegmaier,21,"27' 6""",7070.25,257
113,114,114,Kevin Chappell,23,"27' 7""",8125.5,295
114,T115,T115,Nicholas Lindheim,26,"27' 8""",9031.583,326
115,T115,T115,Sean O'Hair,22,"27' 8""",8236.417,298
116,T117,T117,Jonas Blixt,23,"27' 9""",7100.4169999999995,256
117,T117,T117,Hideki Matsuyama,21,"27' 9""",7736.5,279
118,T119,T119,Whee Kim,30,"27' 10""",10644.167,382
119,T119,T119,Michael Thompson,19,"27' 10""",7268.8330000000005,261
120,121,121,D.A. Points,25,"28' 0""",7132.5,255
121,T122,T122,Dustin Johnson,20,"28' 1""",8710.583,310
122,T122,T122,Martin Piller,28,"28' 1""",10376.917,369
123,T122,T122,Xander Schauffele,27,"28' 1""",10144.333,361
124,T125,T125,James Hahn,26,"28' 2""",9071.333,322
125,T125,T125,Justin Thomas,23,"28' 2""",10316.75,366
126,127,127,Patton Kizzire,29,"28' 4""",13048.833,461
127,T128,T128,Martin Flores,29,"28' 5""",12491.917,440
128,T128,T128,Beau Hossler,28,"28' 5""",12899.917,454
129,T128,T128,Jason Kokrak,29,"28' 5""",13803.333,486
130,T131,T131,Patrick Reed,26,"28' 6""",9783.75,343
131,T131,T131,Nick Watney,26,"28' 6""",12649.0,444
132,T133,T133,Adam Schenk,28,"28' 7""",10616.0,371
133,T133,T133,Xinjun Zhang,28,"28' 7""",7781.5,272
134,T135,T135,Keith Mitchell,29,"28' 8""",13259.167,463
135,T135,T135,Aaron Wise,29,"28' 8""",10662.333,372
136,T137,T137,Brandon Harkins,30,"28' 9""",14550.083,506
137,T137,T137,Jon Rahm,20,"28' 9""",7367.0830000000005,256
138,T137,T137,Andrew Yun,22,"28' 9""",6611.25,230
139,T140,T140,Greg Chalmers,20,"28' 11""",6481.0,224
140,T140,T140,Talor Gooch,27,"28' 11""",10527.917,364
141,T140,T140,Rory McIlroy,18,"28' 11""",7844.5830000000005,271
142,T143,T143,Denny McCarthy,22,"29' 1""",6801.5,234
143,T143,T143,Ryan Palmer,22,"29' 1""",9280.25,319
144,T145,T145,Ollie Schniederjans,27,"29' 2""",14448.833,496
145,T145,T145,Shawn Stefani,25,"29' 2""",10118.083,347
146,147,147,Bill Haas,25,"29' 3""",10950.333,374
147,T148,T148,Tony Finau,28,"29' 4""",13359.5,455
148,T148,T148,Jhonattan Vegas,27,"29' 4""",10145.333,346
149,T150,T150,Bud Cauley,17,"29' 6""",6704.5830000000005,227
150,T150,T150,Rob Oppenheim,26,"29' 6""",9580.833,325
151,T150,T150,Adam Scott,21,"29' 6""",8230.167,279
152,T153,T153,Stephan Jaeger,26,"29' 7""",10603.75,358
153,T153,T153,Cameron Smith,24,"29' 7""",10395.083,351
154,T155,T155,Harris English,31,"29' 8""",10873.5,367
155,T155,T155,Bubba Watson,24,"29' 8""",11131.333,375
156,T155,T155,Gary Woodland,27,"29' 8""",9339.5,315
157,T158,T158,Jonathan Byrd,24,"29' 9""",7736.75,260
158,T158,T158,Seamus Power,28,"29' 9""",11391.583,383
159,160,160,Lanto Griffin,26,"29' 11""",10643.667,356
160,T161,T161,Aaron Baddeley,27,"30' 2""",13077.0,433
161,T161,T161,Derek Fathauer,28,"30' 2""",13030.583,432
162,T161,T161,Charl Schwartzel,20,"30' 2""",7061.4169999999995,234
163,T164,T164,Dominic Bozzelli,20,"30' 4""",10581.333,349
164,T164,T164,Tiger Woods,18,"30' 4""",9219.417,304
165,T166,T166,Jamie Lovemark,26,"30' 5""",14091.833,463
166,T166,T166,Tyrone Van Aswegen,31,"30' 5""",14768.0,485
167,168,168,Grayson Murray,22,"30' 6""",10400.083,341
168,169,169,Sung Kang,29,"30' 7""",11577.5,379
169,170,170,Matt Every,30,"30' 11""",11117.667,360
170,171,171,Brooks Koepka,17,"31' 0""",8616.667,278
171,172,172,Jason Day,20,"31' 1""",8599.333,277
172,T173,T173,Robert Garrigus,27,"31' 4""",12420.583,396
173,T173,T173,Michael Kim,27,"31' 4""",10320.083,329
174,T175,T175,Wesley Bryan,23,"31' 6""",9858.5,313
175,T175,T175,Kevin Tway,31,"31' 6""",17247.333,547
176,T177,T177,J.B. Holmes,24,"31' 7""",12080.25,382
177,T177,T177,Daniel Summerhays,19,"31' 7""",7548.75,239
178,179,179,Byeong Hun An,24,"31' 8""",11629.75,367
179,180,180,Phil Mickelson,24,"31' 9""",13544.333,427
180,T181,T181,Patrick Rodgers,30,"32' 1""",11642.667,363
181,T181,T181,Scott Stallings,30,"32' 1""",14564.917,454
182,183,183,Luke List,29,"32' 3""",14687.25,456
183,184,184,Robert Streb,29,"32' 4""",12307.667,381
184,185,185,Peter Uihlein,26,"32' 9""",12689.083,387
185,186,186,Matt Atkins,21,"32' 10""",7839.9169999999995,239
186,187,187,Ricky Barnes,22,"33' 4""",10773.75,323
187,T188,T188,Cody Gribble,25,"33' 11""",11093.583,327
188,T188,T188,Cameron Tringale,26,"33' 11""",10892.667,321
189,190,190,Trey Mullinax,24,"34' 9""",11706.333,337
190,191,191,Tom Lovelady,28,"35' 3""",14453.0,410
191,192,192,Retief Goosen,20,"35' 4""",8368.75,237
192,193,193,Jimmy Walker,23,"36' 1""",13852.5,384
