,Launch_Angle_RANK THIS WEEK,Launch_Angle_RANK LAST WEEK,Launch_Angle_PLAYER NAME,Launch_Angle_ROUNDS,Launch_Angle_AVG.,Launch_Angle_TOTAL VERT. LAUNCH ANGLE,Launch_Angle_TOTAL ATTEMPTS,Launch_Angle_LOWEST LAUNCH ANGLE,Launch_Angle_STEEPEST LAUNCH ANGLE
71,T72,T72,Chesson Hadley,103,11.6,962.6,83,7.02,14.86
72,T72,T72,Matt Kuchar,88,11.6,649.42,56,7.51,17.04
73,T74,T74,Keegan Bradley,98,11.56,832.13,72,8.09,13.3
74,T74,T74,Hunter Mahan,67,11.56,577.93,50,9.21,13.63
75,76,76,J.J. Henry,81,11.54,600.01,52,8.25,14.11
76,77,77,Jimmy Walker,81,11.5,563.26,49,7.18,14.79
77,T78,T78,C.T. Pan,104,11.48,792.39,69,7.93,14.82
78,T78,T78,J.J. Spaun,85,11.48,677.06,59,7.04,15.73
79,T78,T78,Justin Thomas,91,11.48,608.23,53,7.84,15.69
80,81,81,Abraham Ancer,98,11.46,916.55,80,6.41,16.26
81,82,82,Jon Rahm,71,11.41,456.21,40,6.13,17.98
82,83,83,Rory Sabbatini,91,11.4,786.37,69,5.8,14.97
83,84,84,Shane Lowry,64,11.39,489.83,43,6.97,14.3
84,85,85,Robert Garrigus,80,11.37,659.59,58,8.16,14.14
85,86,86,Tyrone Van Aswegen,101,11.34,793.96,70,7.21,14.59
86,87,87,Scott Stallings,96,11.3,813.54,72,6.71,15.18
87,88,88,Billy Horschel,86,11.29,813.14,72,6.76,15.32
88,89,89,Martin Flores,92,11.28,722.12,64,7.67,15.45
89,90,90,Patrick Cantlay,87,11.27,630.86,56,6.42,15.74
90,91,91,Ben Crane,65,11.26,506.48,45,7.7,16.45
91,92,92,Ryan Palmer,69,11.24,595.98,53,8.2,15.1
92,93,93,Kiradech Aphibarnrat,51,11.23,303.25,27,5.67,14.92
93,94,94,Peter Malnati,87,11.22,763.03,68,7.72,14.37
94,95,95,Kevin Kisner,89,11.19,637.59,57,7.74,14.09
95,96,96,Charley Hoffman,87,11.16,613.73,55,7.46,15.48
96,97,97,Dustin Johnson,77,11.15,490.64,44,7.64,16.04
97,98,98,Adam Hadwin,92,11.1,577.22,52,7.07,14.39
98,99,99,Hideki Matsuyama,75,11.09,454.77,41,9.08,13.45
99,T100,T100,Luke List,98,11.07,764.02,69,7.78,13.72
100,T100,T100,Xinjun Zhang,81,11.07,542.56,49,6.69,16.19
101,T102,T102,Greg Chalmers,56,11.06,442.35,40,7.63,14.42
102,T102,T102,Billy Hurley III,70,11.06,608.42,55,7.41,14.9
103,T104,T104,Daniel Berger,81,11.04,584.97,53,6.36,15.46
104,T104,T104,Zecheng Dou,53,11.04,342.27,31,8.01,14.43
105,106,106,Dominic Bozzelli,65,11.01,583.31,53,5.86,16.81
106,107,107,Ben Silverman,90,10.95,722.71,66,7.55,14.68
107,T108,T108,J.B. Holmes,77,10.89,642.62,59,6.83,14.99
108,T108,T108,Martin Laird,73,10.89,577.01,53,8.18,13.7
109,T110,T110,Jason Dufner,71,10.85,477.19,44,6.29,14.42
110,T110,T110,Gary Woodland,96,10.85,585.87,54,8.61,14.27
111,112,112,Brandt Snedeker,84,10.83,639.18,59,7.02,13.53
112,113,113,Trey Mullinax,75,10.82,540.77,50,7.16,16.61
113,114,114,Shawn Stefani,76,10.81,551.21,51,6.76,15.31
114,115,115,Andrew Landry,82,10.8,701.9,65,6.47,13.52
115,116,116,Daniel Summerhays,51,10.79,366.75,34,6.68,13.56
116,117,117,Bill Haas,76,10.78,506.87,47,6.95,15.42
117,118,118,Chris Kirk,108,10.77,969.57,90,5.7,15.82
118,119,119,Matt Every,79,10.73,568.73,53,7.52,14.1
119,120,120,Mackenzie Hughes,80,10.71,685.28,64,5.54,13.04
120,121,121,David Lingmerth,82,10.67,672.5,63,6.01,13.91
121,122,122,Tommy Fleetwood,73,10.65,457.77,43,8.24,13.44
122,123,123,Patton Kizzire,92,10.63,733.62,69,6.03,16.38
123,124,124,Si Woo Kim,108,10.62,721.99,68,4.89,14.29
124,125,125,Fabián Gómez,88,10.58,666.25,63,7.33,13.93
125,T126,T126,Ryan Moore,78,10.55,622.28,59,6.88,14.02
126,T126,T126,Grayson Murray,72,10.55,569.48,54,6.97,13.52
127,128,128,Kyle Stanley,93,10.53,610.82,58,5.68,15.07
128,T129,T129,Rafa Cabrera Bello,75,10.51,388.94,37,6.33,13.76
129,T129,T129,Aaron Wise,90,10.51,672.92,64,6.38,14.53
130,T131,T131,Brooks Koepka,64,10.47,450.17,43,7.33,13.33
131,T131,T131,Chris Stroud,81,10.47,533.82,51,5.34,14.76
132,133,133,Scott Brown,102,10.46,722.05,69,6.33,15.31
133,134,134,Keith Mitchell,99,10.45,731.78,70,6.1,14.19
134,135,135,Steve Wheatcroft,60,10.42,427.25,41,7.7,13.03
135,136,136,Brandon Harkins,101,10.4,727.71,70,6.22,14.38
136,T137,T137,Tyler Duncan,97,10.37,674.05,65,5.97,13.21
137,T137,T137,Henrik Stenson,60,10.37,176.34,17,7.85,12.69
138,139,139,Jim Furyk,50,10.36,341.77,33,7.46,13.43
139,140,140,Kevin Streelman,94,10.35,776.53,75,7.14,15.51
140,141,141,Marc Leishman,93,10.29,586.5,57,5.17,14.77
141,T142,T142,Tony Finau,105,10.24,675.81,66,5.96,14.12
142,T142,T142,Nate Lashley,51,10.24,337.97,33,6.79,13.66
143,144,144,Derek Fathauer,84,10.22,613.47,60,6.44,14.47
144,145,145,Roberto Díaz,72,10.13,526.69,52,6.12,13.9
145,146,146,Emiliano Grillo,94,10.12,688.12,68,7.18,14.49
146,T147,T147,Stewart Cink,87,10.1,646.46,64,6.45,14.79
147,T147,T147,Brendan Steele,74,10.1,454.33,45,4.71,14.8
148,149,149,Patrick Rodgers,97,10.09,575.18,57,4.59,14.51
149,150,150,Bubba Watson,90,10.07,533.66,53,4.32,16.73
150,151,151,Alex Noren,67,10.06,372.19,37,6.4,13.48
151,152,152,Jonathan Randolph,71,10.05,603.23,60,5.59,14.13
152,153,153,J.T. Poston,73,10.03,561.83,56,7.05,12.86
153,154,154,William McGirt,84,10.02,701.13,70,6.8,12.98
154,155,155,Patrick Reed,94,9.94,516.92,52,6.62,12.73
155,156,156,Charl Schwartzel,65,9.91,317.1,32,6.13,13.65
156,157,157,Branden Grace,67,9.87,315.83,32,5.36,15.95
157,158,158,Corey Conners,97,9.78,753.26,77,6.07,14.62
158,T159,T159,Russell Knox,94,9.77,654.51,67,4.63,14.58
159,T159,T159,Hudson Swafford,73,9.77,439.58,45,6.25,12.91
160,161,161,Ryan Armour,109,9.74,867.04,89,5.41,12.43
161,162,162,Tiger Woods,68,9.72,408.21,42,6.11,16.46
162,163,163,Ben Martin,64,9.67,541.71,56,2.23,14.11
163,164,164,Nicholas Lindheim,77,9.66,492.62,51,4.84,13.84
164,165,165,Andrew Putnam,97,9.57,660.16,69,5.78,13.38
165,166,166,Andrew Yun,51,9.54,286.16,30,5.71,12.04
166,167,167,"Ted Potter, Jr.",87,9.53,667.28,70,4.04,14.03
167,168,168,Rob Oppenheim,74,9.51,466.19,49,5.31,13.66
168,169,169,Aaron Baddeley,84,9.5,570.11,60,5.85,13.56
169,170,170,Talor Gooch,78,9.48,445.41,47,4.83,13.39
170,171,171,Paul Casey,74,9.47,331.3,35,6.62,14.47
171,172,172,Lucas Glover,65,9.26,379.79,41,4.94,12.19
172,173,173,Kevin Na,91,9.23,553.7,60,4.93,13.62
173,174,174,Sam Ryder,82,9.14,548.4,60,6.24,12.06
174,175,175,Seamus Power,86,9.06,543.63,60,4.62,13.72
175,176,176,Harris English,84,9.03,578.09,64,5.02,12.2
176,177,177,Kevin Tway,110,9.01,666.67,74,5.7,14.38
177,178,178,Charles Howell III,104,8.93,616.43,69,4.93,12.26
178,T179,T179,Russell Henley,77,8.8,378.2,43,4.43,12.77
179,T179,T179,Rod Pampling,62,8.8,378.61,43,4.68,13.58
180,181,181,Ian Poulter,73,8.77,368.35,42,5.98,11.23
181,182,182,Nick Watney,94,8.69,651.64,75,5.88,11.92
182,183,183,Ethan Tracy,72,8.68,399.41,46,4.08,11.25
183,184,184,Conrad Shindler,60,8.52,247.17,29,6.4,12.12
184,185,185,Jhonattan Vegas,92,8.47,432.19,51,4.73,12.99
185,186,186,Adam Scott,78,8.42,429.29,51,5.7,12.38
186,187,187,Peter Uihlein,83,8.21,418.93,51,4.22,12.22
187,188,188,Matt Jones,70,8.19,351.98,43,5.24,12.08
188,189,189,Lanto Griffin,80,8.08,387.92,48,5.52,11.46
189,T190,T190,Adam Schenk,86,7.72,493.85,64,4.71,10.7
190,T190,T190,Robert Streb,78,7.72,432.54,56,4.39,11.79
191,192,192,Ollie Schniederjans,91,7.52,435.96,58,1.25,12.97
192,193,193,Ricky Barnes,65,7.14,235.71,33,4.22,11.33
