,Left_Rough_Tendency_RANK THIS WEEK,Left_Rough_Tendency_RANK LAST WEEK,Left_Rough_Tendency_PLAYER NAME,Left_Rough_Tendency_ROUNDS,Left_Rough_Tendency_%,Left_Rough_Tendency_TOTAL LEFT ROUGH,Left_Rough_Tendency_POSSIBLE FWYS,Left_Rough_Tendency_RELATIVE TO PAR
43,T42,T42,J.J. Spaun,85,11.72,116,990,+0.09
44,45,45,Hudson Swafford,73,11.74,85,724,-0.09
45,T46,T46,Rafa Cabrera Bello,75,11.94,80,670,+0.19
46,T46,T46,Billy Horschel,86,11.94,129,1080,-0.07
47,48,48,David Lingmerth,82,11.98,115,960,+0.09
48,49,49,Mackenzie Hughes,80,12.08,114,944,+0.07
49,50,50,Conrad Shindler,60,12.09,74,612,+0.14
50,51,51,Zac Blair,64,12.13,78,643,+0.05
51,52,52,Austin Cook,107,12.18,156,1281,+0.01
52,53,53,Jon Rahm,71,12.32,87,706,+0.09
53,T54,T54,Marc Leishman,93,12.33,125,1014,+0.15
54,T54,T54,Kyle Thompson,50,12.33,62,503,+0.19
55,56,56,Rory Sabbatini,91,12.39,129,1041,-0.05
56,T57,T57,Roberto Díaz,72,12.42,97,781,+0.14
57,T57,T57,Nicholas Lindheim,77,12.42,102,821,+0.19
58,59,59,Scott Stallings,96,12.44,137,1101,+0.07
59,60,60,Rory McIlroy,64,12.45,88,707,-0.03
60,61,61,Xinjun Zhang,81,12.47,98,786,+0.14
61,T62,T62,Peter Malnati,87,12.48,130,1042,+0.09
62,T62,T62,Denny McCarthy,71,12.48,85,681,+0.07
63,64,64,Louis Oosthuizen,62,12.54,80,638,+0.15
64,65,65,Danny Lee,88,12.69,123,969,+0.12
65,T66,T66,Bryson DeChambeau,93,12.75,138,1082,+0.01
66,T66,T66,Chris Stroud,81,12.75,103,808,+0.04
67,68,68,Kevin Kisner,89,12.76,116,909,+0.16
68,69,69,Tom Hoge,101,12.77,147,1151,+0.07
69,T70,T70,Keegan Bradley,98,12.79,142,1110,+0.18
70,T70,T70,Johnson Wagner,75,12.79,98,766,+0.04
71,T72,T72,Greg Chalmers,56,12.87,73,567,+0.04
72,T72,T72,Gary Woodland,96,12.87,125,971,+0.03
73,74,74,Tommy Fleetwood,73,12.88,97,753,+0.12
74,75,75,Ben Crane,65,12.89,83,644,+0.22
75,76,76,Kelly Kraft,94,12.94,133,1028,+0.17
76,77,77,Brice Garnett,99,12.95,146,1127,+0.15
77,T78,T78,Paul Casey,74,12.96,88,679,-0.05
78,T78,T78,Nate Lashley,51,12.96,63,486,+0.10
79,T78,T78,Hunter Mahan,67,12.96,92,710,+0.01
80,81,81,Beau Hossler,104,12.98,162,1248,+0.02
81,T82,T82,Byeong Hun An,86,13.0,131,1008,+0.09
82,T82,T82,Michael Thompson,62,13.0,101,777,+0.17
83,T84,T84,Bill Haas,76,13.05,119,912,+0.04
84,T84,T84,Graeme McDowell,67,13.05,83,636,-0.01
85,86,86,Ethan Tracy,72,13.07,98,750,+0.04
86,87,87,Kiradech Aphibarnrat,51,13.08,62,474,+0.24
87,88,88,Jason Dufner,71,13.1,95,725,+0.01
88,T89,T89,Si Woo Kim,108,13.11,142,1083,+0.11
89,T89,T89,Kevin Na,91,13.11,128,976,+0.24
90,91,91,Troy Merritt,89,13.12,133,1014,+0.02
91,92,92,David Hearn,66,13.2,92,697,+0.15
92,93,93,Ryan Palmer,69,13.25,110,830,+0.12
93,94,94,John Huh,94,13.28,152,1145,+0.08
94,95,95,"Ted Potter, Jr.",87,13.3,142,1068,+0.06
95,96,96,Richy Werenski,98,13.31,137,1029,+0.15
96,97,97,Jhonattan Vegas,92,13.4,119,888,E
97,98,98,Sam Saunders,80,13.43,124,923,+0.04
98,99,99,Charles Howell III,104,13.46,146,1085,+0.05
99,100,100,Brian Harman,94,13.49,136,1008,+0.12
100,101,101,Ben Silverman,90,13.53,143,1057,+0.15
101,102,102,J.J. Henry,81,13.55,118,871,+0.13
102,103,103,Andrew Putnam,97,13.56,145,1069,+0.01
103,T104,T104,Jonathan Randolph,71,13.57,113,833,+0.08
104,T104,T104,Jordan Spieth,81,13.57,124,914,+0.03
105,106,106,Sung Kang,89,13.65,125,916,+0.26
106,107,107,Matt Jones,70,13.67,89,651,+0.07
107,108,108,Sean O'Hair,67,13.69,108,789,+0.06
108,T109,T109,Anirban Lahiri,82,13.73,128,932,+0.16
109,T109,T109,Tom Lovelady,87,13.73,130,947,+0.04
110,T111,T111,Jonas Blixt,67,13.84,93,672,+0.02
111,T111,T111,Robert Garrigus,80,13.84,130,939,+0.03
112,113,113,Stewart Cink,87,13.87,129,930,+0.02
113,114,114,Justin Thomas,91,13.88,131,944,-0.07
114,115,115,Fabián Gómez,88,13.89,137,986,+0.09
115,116,116,Whee Kim,93,13.97,141,1009,+0.13
116,117,117,Derek Fathauer,84,14.0,131,936,+0.11
117,118,118,Dominic Bozzelli,65,14.01,118,842,+0.03
118,119,119,Zach Johnson,94,14.04,140,997,+0.09
119,120,120,Tiger Woods,68,14.06,114,811,+0.08
120,121,121,Bud Cauley,55,14.08,80,568,+0.04
121,122,122,Brandt Snedeker,84,14.15,145,1025,-0.02
122,123,123,Jason Kokrak,99,14.23,173,1216,+0.02
123,124,124,Jonathan Byrd,70,14.29,95,665,+0.06
124,125,125,Nick Taylor,94,14.34,147,1025,+0.05
125,126,126,Hideki Matsuyama,75,14.38,114,793,+0.15
126,127,127,Patrick Cantlay,87,14.39,135,938,E
127,128,128,Chesson Hadley,103,14.45,178,1232,+0.04
128,129,129,Bubba Watson,90,14.47,136,940,-0.01
129,130,130,D.A. Points,63,14.52,97,668,+0.13
130,131,131,Peter Uihlein,83,14.53,130,895,-0.03
131,132,132,Scott Brown,102,14.54,163,1121,+0.11
132,133,133,Jimmy Walker,81,14.56,130,893,+0.10
133,134,134,Brandon Harkins,101,14.58,172,1180,+0.10
134,135,135,Charl Schwartzel,65,14.61,84,575,+0.02
135,136,136,Martin Flores,92,14.62,145,992,+0.12
136,137,137,William McGirt,84,14.66,152,1037,E
137,138,138,Jason Day,75,14.68,100,681,+0.11
138,139,139,Dustin Johnson,77,14.73,127,862,-0.10
139,140,140,J.T. Poston,73,14.75,117,793,+0.09
140,141,141,Talor Gooch,78,14.81,126,851,+0.13
141,142,142,Chad Campbell,87,14.85,138,929,+0.04
142,143,143,Stephan Jaeger,81,14.93,130,871,E
143,144,144,Alex Cejka,77,15.01,125,833,+0.06
144,145,145,Rob Oppenheim,74,15.03,112,745,+0.06
145,146,146,Shawn Stefani,76,15.06,125,830,+0.05
146,147,147,Cody Gribble,71,15.11,113,748,+0.06
147,T148,T148,Shane Lowry,64,15.13,107,707,+0.07
148,T148,T148,Pat Perez,82,15.13,108,714,+0.14
149,150,150,Patrick Reed,94,15.14,132,872,+0.05
150,151,151,Chris Kirk,108,15.19,203,1336,+0.05
151,152,152,Tyrone Van Aswegen,101,15.26,175,1147,+0.10
152,153,153,Patrick Rodgers,97,15.48,156,1008,+0.20
153,154,154,Jamie Lovemark,92,15.52,167,1076,+0.03
154,155,155,Harold Varner III,91,15.56,159,1022,+0.06
155,156,156,Blayne Barber,69,15.64,130,831,+0.06
156,157,157,Matt Kuchar,88,15.67,141,900,-0.04
157,158,158,Grayson Murray,72,15.81,129,816,+0.14
158,T159,T159,Harris English,84,15.88,149,938,+0.09
159,T159,T159,Webb Simpson,95,15.88,179,1127,+0.09
160,T161,T161,Martin Piller,79,15.93,148,929,+0.20
161,T161,T161,Adam Schenk,86,15.93,145,910,+0.06
162,T161,T161,Nick Watney,94,15.93,176,1105,+0.02
163,164,164,Ryan Blaum,81,15.95,160,1003,+0.14
164,165,165,Tony Finau,105,16.04,180,1122,+0.02
165,166,166,Matt Atkins,56,16.12,89,552,+0.10
166,167,167,Patton Kizzire,92,16.14,175,1084,+0.05
167,168,168,Kevin Tway,110,16.24,202,1244,+0.05
168,169,169,Keith Mitchell,99,16.28,188,1155,+0.06
169,170,170,Cameron Percy,56,16.38,94,574,-0.02
170,171,171,Luke List,98,16.54,178,1076,+0.08
171,172,172,Kevin Chappell,77,16.55,143,864,+0.08
172,173,173,Cameron Smith,85,16.75,141,842,+0.01
173,174,174,J.B. Holmes,77,16.77,157,936,-0.04
174,175,175,Brendan Steele,74,16.87,127,753,+0.17
175,176,176,Retief Goosen,60,16.91,93,550,+0.11
176,177,177,Trey Mullinax,75,17.04,137,804,-0.03
177,178,178,Matt Every,79,17.64,148,839,+0.11
178,179,179,Cameron Tringale,67,18.04,125,693,+0.12
179,180,180,Lanto Griffin,80,18.16,150,826,+0.10
180,181,181,Seamus Power,86,18.2,166,912,-0.06
181,182,182,Brooks Koepka,64,18.41,139,755,+0.10
182,183,183,Aaron Baddeley,84,18.6,180,968,+0.02
183,T184,T184,Zecheng Dou,53,18.71,93,497,+0.17
184,T184,T184,Brett Stegmaier,67,18.71,122,652,+0.15
185,186,186,Ollie Schniederjans,91,19.08,203,1064,+0.10
186,T187,T187,Wesley Bryan,69,19.27,137,711,+0.09
187,T187,T187,Daniel Summerhays,51,19.27,101,524,+0.27
188,189,189,Robert Streb,78,19.98,166,831,+0.06
189,190,190,Phil Mickelson,90,20.02,194,969,-0.04
190,191,191,Ricky Barnes,65,20.36,125,614,+0.03
191,192,192,Andrew Yun,51,20.47,96,469,+0.16
192,193,193,Billy Hurley III,70,20.53,162,789,+0.12
