,Left_Tendency_RANK THIS WEEK,Left_Tendency_RANK LAST WEEK,Left_Tendency_PLAYER NAME,Left_Tendency_EVENTS,Left_Tendency_%,Left_Tendency_NUMBER OF TIMES,Left_Tendency_ATTEMPTS,Left_Tendency_AVG RTP SCORE
118,T118,T118,Jim Furyk,15,49.5,91,184,+1.21
119,T118,T118,Chez Reavie,28,49.5,110,222,+2.00
120,T121,T121,David Hearn,21,49.6,116,234,+1.90
121,T121,T121,Tyrone Van Aswegen,31,49.6,244,492,+1.89
122,T123,T123,Ryan Armour,32,49.7,168,338,+1.31
123,T123,T123,Martin Flores,29,49.7,218,439,+1.97
124,T123,T123,J.T. Poston,22,49.7,151,304,+1.52
125,T126,T126,Nate Lashley,17,50.0,96,192,+1.77
126,T126,T126,Hideki Matsuyama,21,50.0,137,274,+1.75
127,T128,T128,Anirban Lahiri,24,50.1,181,361,+1.88
128,T128,T128,Kevin Na,26,50.1,177,353,+1.86
129,T130,T130,Luke List,29,50.2,226,450,+1.46
130,T130,T130,Tiger Woods,18,50.2,150,299,+0.93
131,132,132,Bryson DeChambeau,26,50.6,176,348,+0.34
132,T133,T133,Fabián Gómez,28,50.7,180,355,+1.67
133,T133,T133,Billy Horschel,27,50.7,170,335,E
134,T135,T135,Trey Mullinax,24,50.8,166,327,+0.54
135,T135,T135,Ben Silverman,28,50.8,180,354,+2.39
136,T135,T135,Daniel Summerhays,19,50.8,121,238,+3.22
137,T138,T138,Tommy Fleetwood,19,50.9,119,234,+2.52
138,T138,T138,Cameron Smith,24,50.9,177,348,+0.68
139,T138,T138,Brian Stuard,32,50.9,174,342,+1.49
140,T141,T141,Pat Perez,23,51.1,119,233,+1.01
141,T141,T141,Cameron Tringale,26,51.1,166,325,+2.59
142,143,143,Chad Campbell,28,51.2,173,338,+1.33
143,144,144,David Lingmerth,26,52.0,154,296,+1.75
144,T145,T145,Retief Goosen,20,52.1,125,240,+2.00
145,T145,T145,"Ted Potter, Jr.",28,52.1,176,338,+0.97
146,T147,T147,Kelly Kraft,31,52.2,180,345,+2.56
147,T147,T147,Richy Werenski,32,52.2,181,347,+2.10
148,149,149,D.A. Points,25,52.3,139,266,+3.31
149,T150,T150,Vaughn Taylor,25,52.4,165,315,+2.24
150,T150,T150,Nick Watney,26,52.4,233,445,+0.99
151,152,152,Shane Lowry,19,52.5,137,261,+1.61
152,153,153,Jason Dufner,22,52.6,122,232,+0.74
153,154,154,Zecheng Dou,23,52.8,115,218,+2.00
154,155,155,Grayson Murray,22,53.0,184,347,+2.88
155,T156,T156,Harris English,31,53.2,197,370,+1.88
156,T156,T156,Chesson Hadley,30,53.2,243,457,+1.40
157,T156,T156,Whee Kim,30,53.2,208,391,+1.92
158,T156,T156,Ollie Schniederjans,27,53.2,267,502,+1.09
159,160,160,Martin Piller,28,53.3,201,377,+2.49
160,T161,T161,Brooks Koepka,17,53.4,151,283,+1.19
161,T161,T161,Webb Simpson,26,53.4,214,401,+0.93
162,163,163,Denny McCarthy,22,53.6,125,233,+1.60
163,T164,T164,Austin Cook,29,53.8,217,403,+1.11
164,T164,T164,J.B. Holmes,24,53.8,203,377,+0.20
165,T164,T164,Brendan Steele,22,53.8,140,260,+1.79
166,167,167,Brandt Snedeker,25,54.0,190,352,+0.95
167,168,168,Kevin Kisner,25,54.2,154,284,+1.75
168,169,169,J.J. Henry,28,54.3,157,289,+1.97
169,170,170,Kiradech Aphibarnrat,14,54.4,74,136,+1.62
170,171,171,Aaron Baddeley,27,54.6,239,438,+0.71
171,172,172,Cameron Percy,16,54.8,120,219,+0.75
172,173,173,Brian Harman,25,55.2,170,308,+1.76
173,174,174,Keegan Bradley,27,55.3,184,333,+2.23
174,175,175,Henrik Stenson,16,55.5,71,128,+0.56
175,T176,T176,Zach Johnson,25,55.8,182,326,+1.04
176,T176,T176,Keith Mitchell,29,55.8,261,468,+1.34
177,178,178,Andrew Yun,22,55.9,127,227,+2.13
178,179,179,Alex Cejka,24,56.2,149,265,+1.34
179,180,180,Kevin Chappell,23,56.3,166,295,+1.63
180,181,181,Seamus Power,28,56.5,218,386,+0.32
181,182,182,Patrick Rodgers,30,56.6,209,369,+2.34
182,T183,T183,Chris Kirk,29,56.7,264,466,+1.25
183,T183,T183,Brett Stegmaier,21,56.7,148,261,+1.96
184,185,185,Matt Every,30,57.6,215,373,+2.60
185,186,186,Ryan Blaum,28,57.8,201,348,+1.99
186,187,187,Phil Mickelson,24,58.7,252,429,+1.07
187,188,188,Matt Kuchar,24,59.5,181,304,+0.17
188,189,189,Blayne Barber,22,59.6,168,282,+1.61
189,190,190,Wesley Bryan,23,61.0,197,323,+1.22
190,191,191,Michael Thompson,19,61.8,162,262,+2.78
191,192,192,Robert Streb,29,63.1,241,382,+1.58
192,193,193,Billy Hurley III,27,70.0,222,317,+2.61
