,Percentage_of_Yardage_covered_by_Tee_Shots_RANK THIS WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_RANK LAST WEEK,Percentage_of_Yardage_covered_by_Tee_Shots_PLAYER NAME,Percentage_of_Yardage_covered_by_Tee_Shots_ROUNDS,Percentage_of_Yardage_covered_by_Tee_Shots_AVG (%),Percentage_of_Yardage_covered_by_Tee_Shots_TOTAL SHOT DISTANCE,Percentage_of_Yardage_covered_by_Tee_Shots_TOTAL DISTANCE
57,T57,T57,Marc Leishman,93,63.26,298861.0,472435
58,59,59,Hunter Mahan,67,63.24,206049.3,325834
59,60,60,Justin Rose,70,63.22,215786.0,341352
60,61,61,Ethan Tracy,72,63.21,217286.7,343740
61,62,62,Joel Dahmen,93,63.19,286211.3,452955
62,63,63,Scott Stallings,96,63.18,321431.4,508785
63,64,64,Brian Harman,94,63.16,291287.9,461166
64,T65,T65,Abraham Ancer,98,63.15,334788.1,530179
65,T65,T65,Patrick Reed,94,63.15,256771.9,406616
66,67,67,Jamie Lovemark,92,63.13,314703.1,498533
67,68,68,Charles Howell III,104,63.1,315698.2,500351
68,69,69,Shane Lowry,64,63.09,207103.5,328251
69,T70,T70,Zecheng Dou,53,63.05,144099.4,228557
70,T70,T70,Branden Grace,67,63.05,178847.3,283674
71,72,72,James Hahn,85,63.04,279069.6,442691
72,73,73,Jason Dufner,71,63.03,210923.9,334646
73,74,74,J.J. Spaun,85,63.02,285080.6,452357
74,75,75,Charl Schwartzel,65,62.99,170626.6,270868
75,T76,T76,Matt Every,79,62.95,244374.7,388219
76,T76,T76,Rickie Fowler,74,62.95,249053.0,395627
77,T76,T76,Chesson Hadley,103,62.95,357753.4,568333
78,T76,T76,Billy Horschel,86,62.95,311258.9,494487
79,T80,T80,Jonas Blixt,67,62.9,193560.8,307748
80,T80,T80,Nate Lashley,51,62.9,140628.1,223576
81,82,82,Sean O'Hair,67,62.87,230250.6,366236
82,83,83,Adam Scott,78,62.86,242130.5,385205
83,T84,T84,Rory Sabbatini,91,62.84,300270.3,477807
84,T84,T84,Xinjun Zhang,81,62.84,227201.0,361581
85,86,86,Kyle Stanley,93,62.82,272383.6,433589
86,87,87,Daniel Berger,81,62.81,251576.7,400519
87,88,88,Stewart Cink,87,62.8,267262.6,425606
88,89,89,Harris English,84,62.79,271835.1,432936
89,T90,T90,Louis Oosthuizen,62,62.75,185146.2,295064
90,T90,T90,Ollie Schniederjans,91,62.75,308225.4,491204
91,T92,T92,Alex Noren,67,62.71,199126.3,317560
92,T92,T92,Sam Ryder,82,62.71,278948.8,444818
93,94,94,Cody Gribble,71,62.7,216770.8,345749
94,T95,T95,Blayne Barber,69,62.68,238158.4,379948
95,T95,T95,Dominic Bozzelli,65,62.68,242751.1,387312
96,97,97,Shawn Stefani,76,62.67,239865.2,382739
97,T98,T98,Keegan Bradley,98,62.63,321981.8,514072
98,T98,T98,Peter Malnati,87,62.63,298608.0,476799
99,T100,T100,Si Woo Kim,108,62.61,313235.5,500276
100,T100,T100,Anirban Lahiri,82,62.61,269179.1,429948
101,T102,T102,Brice Garnett,99,62.6,322647.3,515452
102,T102,T102,Andrew Landry,82,62.6,291853.9,466228
103,104,104,Scott Piercy,84,62.59,271191.9,433263
104,T105,T105,Retief Goosen,60,62.57,160090.2,255849
105,T105,T105,Tiger Woods,68,62.57,237977.0,380319
106,T107,T107,Aaron Baddeley,84,62.52,279300.0,446718
107,T107,T107,Mackenzie Hughes,80,62.52,270800.5,433122
108,109,109,Denny McCarthy,71,62.5,194663.3,311484
109,T110,T110,Kiradech Aphibarnrat,51,62.49,137165.2,219491
110,T110,T110,Conrad Shindler,60,62.49,174294.0,278909
111,T112,T112,Rafa Cabrera Bello,75,62.48,192510.6,308112
112,T112,T112,Austin Cook,107,62.48,367908.6,588861
113,114,114,Steve Wheatcroft,60,62.47,182649.5,292392
114,115,115,Chris Stroud,81,62.45,231802.7,371156
115,116,116,Nick Taylor,94,62.42,295225.5,472971
116,117,117,Kevin Streelman,94,62.38,326869.5,523980
117,118,118,Tyler Duncan,97,62.34,322108.0,516666
118,T119,T119,Talor Gooch,78,62.32,246674.2,395825
119,T119,T119,Martin Laird,73,62.32,242104.0,388474
120,121,121,Michael Thompson,62,62.26,221879.3,356361
121,122,122,Webb Simpson,95,62.25,321066.7,515808
122,123,123,Tom Hoge,101,62.22,329316.2,529317
123,T124,T124,Lucas Glover,65,62.2,184002.3,295829
124,T124,T124,Danny Lee,88,62.2,278330.2,447491
125,126,126,Adam Hadwin,92,62.19,264143.3,424741
126,127,127,Graeme McDowell,67,62.14,182000.5,292904
127,128,128,Troy Merritt,89,62.13,289884.4,466576
128,129,129,Russell Henley,77,62.11,231427.7,372608
129,T130,T130,Kevin Kisner,89,62.09,258899.0,416970
130,T130,T130,Jimmy Walker,81,62.09,262856.8,423362
131,T132,T132,Jonathan Byrd,70,62.08,189415.4,305108
132,T132,T132,C.T. Pan,104,62.08,324221.2,522257
133,T134,T134,Fabián Gómez,88,62.04,279271.4,450132
134,T134,T134,Emiliano Grillo,94,62.04,290586.7,468396
135,T134,T134,Andrew Yun,51,62.04,134278.7,216430
136,137,137,Bill Haas,76,62.03,261623.5,421803
137,138,138,Richy Werenski,98,62.02,291633.2,470199
138,139,139,Pat Perez,82,62.01,204421.9,329641
139,140,140,Satoshi Kodaira,51,61.97,158537.5,255849
140,141,141,Brandt Snedeker,84,61.9,291730.1,471301
141,142,142,Bud Cauley,55,61.87,163024.3,263502
142,143,143,Nicholas Lindheim,77,61.86,232176.0,375311
143,144,144,Ben Silverman,90,61.82,299812.6,484973
144,145,145,Zach Johnson,94,61.81,283928.9,459383
145,T146,T146,J.J. Henry,81,61.79,247132.6,399949
146,T146,T146,Andrew Putnam,97,61.79,304537.6,492861
147,148,148,Scott Brown,102,61.78,317727.2,514270
148,149,149,Ryan Blaum,81,61.75,281936.9,456582
149,150,150,Sung Kang,89,61.74,264277.7,428082
150,151,151,Martin Piller,79,61.69,263652.9,427396
151,152,152,Roberto Díaz,72,61.67,219913.6,356590
152,153,153,Tyrone Van Aswegen,101,61.62,325081.0,527570
153,154,154,Derek Fathauer,84,61.61,266356.9,432298
154,T155,T155,Russell Knox,94,61.6,290938.8,472310
155,T155,T155,David Lingmerth,82,61.6,269778.3,437957
156,T155,T155,Ben Martin,64,61.6,222036.2,360440
157,T158,T158,Chris Kirk,108,61.58,377092.5,612333
158,T158,T158,Vaughn Taylor,83,61.58,274103.3,445135
159,T158,T158,Cameron Tringale,67,61.58,200745.5,326009
160,161,161,William McGirt,84,61.5,292239.0,475195
161,T162,T162,Chad Campbell,87,61.48,261805.7,425827
162,T162,T162,Ian Poulter,73,61.48,197962.3,321999
163,T164,T164,Matt Kuchar,88,61.43,256149.8,416962
164,T164,T164,Robert Streb,78,61.43,235475.6,383304
165,166,166,Rod Pampling,62,61.42,175877.4,286355
166,167,167,Chez Reavie,93,61.41,235526.7,383513
167,168,168,Henrik Stenson,60,61.39,173458.2,282552
168,169,169,Kyle Thompson,50,61.36,140458.6,228924
169,170,170,Ryan Moore,78,61.32,258252.8,421149
170,171,171,Jonathan Randolph,71,61.29,234061.6,381885
171,172,172,Kevin Na,91,61.26,274646.4,448338
172,T173,T173,Ricky Barnes,65,61.23,175809.6,287121
173,T173,T173,Michael Kim,74,61.23,210825.4,344296
174,175,175,Kelly Kraft,94,61.18,287944.8,470680
175,176,176,Rob Oppenheim,74,61.11,210397.2,344300
176,T177,T177,"Ted Potter, Jr.",87,61.08,300325.3,491681
177,T177,T177,Johnson Wagner,75,61.08,214956.8,351927
178,179,179,David Hearn,66,61.06,193922.5,317589
179,180,180,Daniel Summerhays,51,61.01,147824.2,242303
180,181,181,Zac Blair,64,60.99,179198.4,293821
181,182,182,Alex Cejka,77,60.95,232697.5,381756
182,183,183,John Huh,94,60.86,318077.5,522652
183,184,184,Billy Hurley III,70,60.79,219877.7,361717
184,185,185,Brian Gay,103,60.71,356362.8,586986
185,186,186,Ryan Armour,109,60.65,370402.4,610712
186,187,187,Greg Chalmers,56,60.5,158569.9,262106
187,188,188,Whee Kim,93,60.4,281655.6,466305
188,189,189,Ben Crane,65,60.37,176634.2,292605
189,190,190,D.A. Points,63,60.19,184483.5,306517
190,191,191,Brian Stuard,103,60.14,338015.0,562012
191,192,192,Wesley Bryan,69,59.9,194737.6,325080
192,193,193,Jim Furyk,50,59.24,173090.3,292168
