,Spin_Rate_RANK THIS WEEK,Spin_Rate_RANK LAST WEEK,Spin_Rate_PLAYER NAME,Spin_Rate_ROUNDS,Spin_Rate_AVG.,Spin_Rate_TOTAL SPIN SPEED,Spin_Rate_TOTAL ATTEMPTS,Spin_Rate_HIGHEST SPIN RATE,Spin_Rate_LOWEST SPIN RATE
80,81,81,Paul Casey,74,2679.6,75029,28,5693,1442
81,82,82,Hudson Swafford,73,2674.9,109669,41,5852,1610
82,83,83,Tommy Fleetwood,73,2666.3,87987,33,3171,1662
83,84,84,Branden Grace,67,2664.6,77274,29,4593,1954
84,85,85,Brooks Koepka,64,2660.4,93115,35,6204,1849
85,86,86,Michael Kim,74,2659.4,106377,40,5715,1715
86,87,87,Lucas Glover,65,2658.0,87714,33,7939,1630
87,88,88,Kevin Chappell,77,2654.9,111505,42,5218,1506
88,89,89,Jonathan Randolph,71,2650.9,145798,55,5193,1900
89,90,90,Brian Stuard,103,2649.6,198718,75,4117,1887
90,91,91,Scott Brown,102,2649.5,174864,66,5935,1547
91,92,92,Hideki Matsuyama,75,2649.3,87427,33,6193,1668
92,93,93,Jonathan Byrd,70,2646.5,111153,42,4639,1622
93,94,94,Denny McCarthy,71,2641.6,100379,38,4182,2036
94,95,95,Patton Kizzire,92,2641.3,155835,59,4721,1530
95,96,96,Blayne Barber,69,2639.8,102952,39,5422,1766
96,97,97,Keegan Bradley,98,2638.8,147773,56,4931,1708
97,98,98,Tyrrell Hatton,58,2630.5,57871,22,3163,1919
98,99,99,Jim Furyk,50,2625.8,86653,33,4711,2074
99,100,100,Martin Piller,79,2624.3,136462,52,4435,1879
100,101,101,J.B. Holmes,77,2622.5,120636,46,4059,1642
101,102,102,Scott Piercy,84,2621.2,107468,41,5283,1431
102,103,103,Shane Lowry,64,2618.3,89022,34,4885,1515
103,104,104,Billy Horschel,86,2617.6,149206,57,5425,1845
104,105,105,Xander Schauffele,96,2612.5,143686,55,8131,1666
105,106,106,Harris English,84,2609.4,140910,54,3242,1823
106,107,107,Gary Woodland,96,2609.1,114801,44,4060,1528
107,108,108,Chad Campbell,87,2606.5,104259,40,4803,1588
108,109,109,Abraham Ancer,98,2599.9,176795,68,6085,1700
109,110,110,Martin Laird,73,2597.1,122066,47,6741,1540
110,111,111,Tom Lovelady,87,2592.5,111477,43,5812,1603
111,112,112,Daniel Berger,81,2590.2,119148,46,5925,1582
112,113,113,Jason Dufner,71,2587.9,106104,41,4925,1526
113,114,114,Brandt Snedeker,84,2584.6,126646,49,4138,1923
114,115,115,Peter Malnati,87,2583.2,154992,60,3649,1677
115,116,116,J.T. Poston,73,2581.3,126482,49,4764,1945
116,117,117,Aaron Wise,90,2580.3,149657,58,4507,1903
117,118,118,Kiradech Aphibarnrat,51,2579.8,67075,26,3442,1989
118,119,119,D.A. Points,63,2578.0,97964,38,3475,1701
119,120,120,Nick Taylor,94,2573.0,164674,64,3700,1959
120,121,121,Cameron Tringale,67,2570.7,102827,40,3848,1752
121,122,122,Webb Simpson,95,2570.6,172233,67,4898,1798
122,123,123,Chris Kirk,108,2570.5,208212,81,5103,1512
123,124,124,Sean O'Hair,67,2567.0,115516,45,5313,1855
124,125,125,Matt Every,79,2561.0,128048,50,3335,1958
125,126,126,Grayson Murray,72,2560.1,110084,43,6321,1739
126,127,127,Jason Kokrak,99,2559.8,168946,66,5431,1529
127,128,128,Bud Cauley,55,2552.7,81686,32,4894,1790
128,129,129,Rory Sabbatini,91,2551.6,168405,66,4388,1690
129,130,130,Zach Johnson,94,2548.7,112144,44,7582,1431
130,131,131,Daniel Summerhays,51,2547.8,71337,28,5154,1539
131,132,132,Andrew Landry,82,2545.6,155282,61,5012,1456
132,133,133,Tyler Duncan,97,2544.5,160305,63,3642,1825
133,134,134,Tiger Woods,68,2542.5,63562,25,4921,1892
134,135,135,Steve Wheatcroft,60,2541.4,104196,41,3543,1694
135,136,136,Patrick Cantlay,87,2535.0,124216,49,4377,1963
136,137,137,Matt Atkins,56,2527.8,70777,28,5118,1495
137,138,138,Jamie Lovemark,92,2525.1,128779,51,4610,1539
138,139,139,Cameron Smith,85,2523.8,98428,39,4190,1444
139,140,140,Brendan Steele,74,2521.7,83215,33,3437,1934
140,141,141,Brice Garnett,99,2520.8,131082,52,5731,1587
141,142,142,Austin Cook,107,2518.2,168722,67,3709,1481
142,143,143,Kevin Streelman,94,2517.9,153594,61,3302,1784
143,144,144,Anirban Lahiri,82,2515.2,140849,56,5127,1643
144,145,145,Ben Crane,65,2514.5,103093,41,6742,1455
145,146,146,Brian Harman,94,2509.7,115445,46,6055,1942
146,147,147,Sung Kang,89,2506.9,100275,40,3583,1674
147,148,148,Whee Kim,93,2504.3,120207,48,4427,1490
148,149,149,Scott Stallings,96,2500.5,135027,54,3463,1549
149,150,150,Chez Reavie,93,2500.0,92500,37,4870,1821
150,151,151,Jonas Blixt,67,2496.8,107363,43,3132,1992
151,152,152,Rafa Cabrera Bello,75,2488.3,84603,34,5116,1727
152,153,153,Nate Lashley,51,2484.4,77017,31,3122,2032
153,154,154,Byeong Hun An,86,2481.9,121613,49,4565,1888
154,155,155,Derek Fathauer,84,2479.8,116551,47,5132,1900
155,156,156,J.J. Spaun,85,2478.9,114030,46,3305,1555
156,157,157,Fabián Gómez,88,2475.7,133689,54,5721,1603
157,158,158,Ryan Moore,78,2472.9,116225,47,5065,1654
158,159,159,Graeme McDowell,67,2458.3,73750,30,3835,1476
159,160,160,Satoshi Kodaira,51,2458.1,56536,23,4203,1526
160,161,161,Lanto Griffin,80,2451.1,107850,44,4832,1633
161,162,162,Matt Kuchar,88,2447.8,105257,43,4808,1859
162,163,163,Ricky Barnes,65,2427.3,80101,33,3026,1914
163,164,164,Johnson Wagner,75,2421.0,108945,45,3431,1576
164,165,165,Chesson Hadley,103,2414.2,176240,73,5958,1659
165,166,166,Justin Rose,70,2411.9,77181,32,3179,1632
166,167,167,Jon Rahm,71,2398.8,86358,36,3644,1595
167,168,168,Bronson Burgoon,69,2390.6,107575,45,4025,1745
168,169,169,Wesley Bryan,69,2389.0,86004,36,4541,1427
169,170,170,Shawn Stefani,76,2384.9,112091,47,4206,1748
170,171,171,Tyrone Van Aswegen,101,2374.3,140082,59,6158,1607
171,172,172,Justin Thomas,91,2365.3,66229,28,4658,1402
172,173,173,Ryan Palmer,69,2360.6,92064,39,3138,1411
173,174,174,Jimmy Walker,81,2360.1,82604,35,4911,1794
174,175,175,Sam Saunders,80,2344.5,100815,43,4251,1658
175,176,176,James Hahn,85,2343.9,112509,48,4404,1486
176,177,177,Vaughn Taylor,83,2343.0,138237,59,2982,1447
177,178,178,Brian Gay,103,2339.9,175495,75,5462,1606
178,179,179,Jordan Spieth,81,2335.6,107439,46,3559,1569
179,180,180,Martin Flores,92,2317.8,127477,55,3441,1479
180,181,181,Harold Varner III,91,2311.1,117865,51,3936,1565
181,182,182,Robert Garrigus,80,2292.3,107739,47,3627,1425
182,183,183,Kyle Thompson,50,2286.4,61734,27,4369,1531
183,184,184,Nicholas Lindheim,77,2266.6,99732,44,4285,1433
184,185,185,Beau Hossler,104,2247.7,157336,70,5020,1692
185,186,186,Rory McIlroy,64,2239.7,69430,31,4320,1635
186,187,187,Brett Stegmaier,67,2219.9,91016,41,3524,1522
187,188,188,Retief Goosen,60,2218.2,73202,33,2932,1565
188,189,189,Cameron Percy,56,2216.1,84213,38,6179,1443
189,190,190,Greg Chalmers,56,2213.0,73030,33,3365,1610
190,191,191,John Huh,94,2197.1,149400,68,4659,1501
191,192,192,Jason Day,75,2144.0,66464,31,2819,1490
192,193,193,Cody Gribble,71,2127.3,89345,42,4271,1536
