,SG_Approach-the-Green_RANK THIS WEEK,SG_Approach-the-Green_RANK LAST WEEK,SG_Approach-the-Green_PLAYER NAME,SG_Approach-the-Green_ROUNDS,SG_Approach-the-Green_AVERAGE,SG_Approach-the-Green_TOTAL SG:APP,SG_Approach-the-Green_MEASURED ROUNDS
51,52,52,Jeff Sluman,94,0.35600000000000004,30.268,85
52,53,53,Retief Goosen,71,0.336,14.469000000000001,43
53,54,54,Dan Forsman,52,0.332,15.597000000000001,47
54,55,55,Stephen Leaney,89,0.331,25.144000000000002,76
55,56,56,Brandt Jobe,96,0.314,25.745,82
56,57,57,Vaughn Taylor,99,0.312,28.04,90
57,58,58,Billy Mayfair,114,0.304,30.98,102
58,59,59,Rod Pampling,89,0.302,21.111,70
59,60,60,Omar Uresti,84,0.294,21.747,74
60,61,61,Jerry Kelly,101,0.292,22.194000000000003,76
61,62,62,John Huston,90,0.29100000000000004,23.250999999999998,80
62,63,63,Tim Petrovic,97,0.268,21.445999999999998,80
63,64,64,Arjun Atwal,65,0.256,15.63,61
64,65,65,Lucas Glover,88,0.25,19.746,79
65,66,66,Lee Janzen,75,0.245,14.702,60
66,T67,T67,José María Olazábal,55,0.239,9.783999999999999,41
67,T67,T67,Craig Perks,67,0.239,14.118,59
68,69,69,Doug Barron,70,0.222,14.436,65
69,70,70,Harrison Frazar,105,0.21,19.754,94
70,71,71,Stuart Appleby,84,0.20600000000000002,12.949000000000002,63
71,72,72,Brenden Pappas,51,0.204,9.996,49
72,73,73,D.J. Trahan,81,0.203,14.448,71
73,74,74,Peter Lonard,85,0.198,13.049000000000001,66
74,75,75,Richard Johnson,50,0.19,8.759,46
75,76,76,Tim Herron,100,0.18899999999999997,14.715,78
76,77,77,Brian Bateman,98,0.179,15.374,86
77,78,78,Robert Gamez,91,0.17800000000000002,14.456,81
78,79,79,Joey Snyder III,102,0.177,16.262999999999998,92
79,80,80,Phillip Price,77,0.163,10.45,64
80,81,81,Hunter Haas,83,0.162,11.828,73
81,82,82,J.L. Lewis,98,0.161,13.194,82
82,83,83,Jonathan Kaye,77,0.155,9.951,64
83,84,84,Duffy Waldorf,86,0.154,10.943,71
84,T85,T85,Glen Hnatiuk,59,0.14400000000000002,7.329,51
85,T85,T85,Steve Stricker,62,0.14400000000000002,8.492,59
86,T87,T87,Shaun Micheel,81,0.14,8.971,64
87,T87,T87,Dean Wilson,86,0.14,11.225999999999999,80
88,89,89,David Hearn,68,0.139,8.476,61
89,90,90,Darron Stiles,78,0.128,8.977,70
90,91,91,D.A. Points,94,0.124,10.321,83
91,92,92,Brett Wetterich,76,0.122,8.298,68
92,93,93,Billy Andrade,83,0.12,8.865,74
93,94,94,Thomas Levet,54,0.11699999999999999,4.2139999999999995,36
94,95,95,Tom Pernice Jr.,111,0.11599999999999999,10.345999999999998,89
95,T96,T96,Scott Gutschewski,86,0.11199999999999999,8.062999999999999,72
96,T96,T96,Arron Oberholser,65,0.11199999999999999,5.712999999999999,51
97,98,98,Briny Baird,98,0.105,9.376,89
98,99,99,Steve Lowery,100,0.098,8.562000000000001,87
99,100,100,Freddie Jacobson,72,0.096,5.357,56
100,101,101,Lee Westwood,50,0.08900000000000001,2.937,33
101,102,102,Zach Johnson,96,0.08,6.669,83
102,103,103,Bob Tway,87,0.075,4.931,66
103,104,104,Tom Byrum,83,0.073,5.5760000000000005,76
104,105,105,Hidemichi Tanaka,106,0.071,6.752000000000001,95
105,106,106,Brendan Jones,81,0.063,4.574,73
