,GIR_Percentage_from_Other_than_Fairway_RANK THIS WEEK,GIR_Percentage_from_Other_than_Fairway_RANK LAST WEEK,GIR_Percentage_from_Other_than_Fairway_PLAYER NAME,GIR_Percentage_from_Other_than_Fairway_ROUNDS,GIR_Percentage_from_Other_than_Fairway_%,GIR_Percentage_from_Other_than_Fairway_GREENS HIT,GIR_Percentage_from_Other_than_Fairway_# OF HOLES
154,155,155,Duffy Waldorf,86,47.18,167,354
155,T156,T156,Bill Glasson,54,47.01,126,268
156,T156,T156,Rory Sabbatini,81,47.01,228,485
157,158,158,Jim Carter,62,46.99,125,266
158,159,159,Rich Beem,66,46.85,171,365
159,160,160,Bob Estes,92,46.72,214,458
160,161,161,José Coceres,56,46.7,99,212
161,162,162,Todd Fischer,99,46.67,224,480
162,163,163,Corey Pavin,77,46.43,156,336
163,164,164,Patrick Sheehan,114,46.41,278,599
164,T165,T165,Tom Byrum,83,46.38,160,345
165,T165,T165,Andrew Magee,82,46.38,218,470
166,167,167,Michael Long,72,46.32,170,367
167,168,168,Ian Poulter,62,46.31,138,298
168,169,169,John Cook,72,46.26,136,294
169,170,170,Shaun Micheel,81,46.17,193,418
170,171,171,Brad Faxon,75,46.04,180,391
171,172,172,Bradley Hughes,52,45.96,108,235
172,173,173,Justin Bolli,65,45.94,164,357
173,174,174,Mark Hensby,70,45.83,165,360
174,175,175,Steve Lowery,100,45.74,231,505
175,176,176,J.P. Hayes,63,45.66,158,346
176,177,177,Jeff Hart,63,45.59,93,204
177,178,178,Kirk Triplett,55,45.58,98,215
178,179,179,David Toms,87,45.5,167,367
179,180,180,Fred Funk,102,45.29,154,340
180,181,181,Paul Azinger,66,45.15,163,361
181,182,182,Jeff Maggert,79,45.07,137,304
182,183,183,Charlie Wi,67,45.06,155,344
183,184,184,Larry Mize,54,44.71,93,208
184,185,185,Lee Westwood,50,44.62,116,260
185,T186,T186,Kevin Na,88,44.54,204,458
186,T186,T186,Rob Rashell,65,44.54,163,366
187,188,188,Brian Gay,101,44.47,201,452
188,189,189,Craig Perks,67,44.26,185,418
189,T190,T190,Robert Gamez,91,43.88,183,417
190,T190,T190,Loren Roberts,54,43.88,104,237
191,192,192,Mike Weir,71,43.62,147,337
192,193,193,Chris Riley,67,43.39,128,295
193,194,194,Hideto Tanihara,50,43.02,111,258
194,195,195,Thomas Levet,54,42.11,136,323
195,196,196,Mark Brooks,72,42.06,135,321
196,197,197,Len Mattiace,86,42.0,197,469
197,198,198,Matt Davidson,53,41.54,108,260
198,199,199,Stephen Ames,82,41.44,179,432
199,200,200,Matt Kuchar,60,40.93,106,259
200,201,201,Steve Jones,56,40.86,105,257
201,202,202,Gavin Coles,70,40.38,105,260
