,Longest_Hole_Outs_in_yards_RANK THIS WEEK,Longest_Hole_Outs_in_yards_RANK LAST WEEK,Longest_Hole_Outs_in_yards_PLAYER NAME,Longest_Hole_Outs_in_yards_ROUNDS,Longest_Hole_Outs_in_yards_DISTANCE,Longest_Hole_Outs_in_yards_TOURNAMENT,Longest_Hole_Outs_in_yards_ROUND- COURSE,Longest_Hole_Outs_in_yards_HOLE
37,T37,37,Brendan Jones,81,165,Chrysler Classic of Tucson,1,4
38,T37,38,Billy Andrade,83,165,Deutsche Bank Championship,1,13
39,T40,39,Daniel Chopra,108,164,Buick Invitational,2,1
40,T40,28,Steve Lowery,100,164,FUNAI Classic at the WALT DISNEY WORLD Resort,3,16
41,T40,41,Steve Allan,102,164,Booz Allen Classic,1,13
42,T43,42,J.L. Lewis,98,163,U.S. Bank Championship in Milwaukee,2,2
43,T43,9,Darron Stiles,78,163,Zurich Classic of New Orleans,3,17
44,T45,22,Andrew Magee,82,162,Bank of America Colonial,3,5
45,T45,45,Omar Uresti,84,162,Southern Farm Bureau Classic,1,17
46,47,46,Craig Barlow,81,161,Bell Canadian Open,3,17
47,T48,8,Shigeki Maruyama,99,156,the Memorial Tournament,4,2
48,T48,48,Jim Furyk,94,156,Barclays Classic,2,8
49,T50,49,Jay Williamson,53,155,The Honda Classic,3,7
50,T50,20,Kevin Stadler,96,155,Michelin Championship at Las Vegas,1,14
51,T52,51,Franklin Langham,91,154,FUNAI Classic at the WALT DISNEY WORLD Resort,2,1
52,T52,52,Jonathan Kaye,77,154,Zurich Classic of New Orleans,1,4
53,54,53,Matt Gogel,78,153,FBR Open,3,18
54,T55,14,Vijay Singh,111,152,Bay Hill Invitational Presented by MasterCard,2,8
55,T55,4,Bill Glasson,54,152,Reno-Tahoe Open,2,10
56,57,56,Todd Hamilton,94,151,Reno-Tahoe Open,2,15
57,T58,57,Greg Owen,84,150,Nissan Open,1,13
58,T58,58,Robin Freeman,21,150,FedEx St. Jude Classic,4,13
59,T58,1,Marco Dawson,82,150,Chrysler Championship,1,12
60,61,60,Ryan Moore,48,149,Valero Texas Open,4,4
61,62,61,Rich Beem,66,148,Ford Championship at Doral,3,11
62,63,62,John Morgan,27,147,Valero Texas Open,4,10
63,64,63,John Maginnes,37,143,Valero Texas Open,2,18
64,T65,64,Tjaart van der Walt,56,141,Buick Championship,2,17
65,T65,65,Jim Carter,62,141,Deutsche Bank Championship,3,4
66,T65,66,Notah Begay III,30,141,Valero Texas Open,2,6
67,68,6,Jason Allred,75,140,Bank of America Colonial,4,17
68,T69,33,Hideto Tanihara,50,138,Nissan Open,2,5
69,T69,69,Richard Johnson,50,138,John Deere Classic,3,1
70,71,70,Jesper Parnevik,84,137,Ford Championship at Doral,1,5
71,72,71,Geoff Ogilvy,97,136,Shell Houston Open,1,18
72,73,72,Tom Kite,31,135,Valero Texas Open,1,1
73,T74,73,John Daly,78,134,Nissan Open,1,9
74,T74,74,Brenden Pappas,51,134,Zurich Classic of New Orleans,2,5
75,76,41,Steve Allan,102,133,Buick Open,2,10
76,T77,76,Arron Oberholser,65,131,AT&T Pebble Beach National Pro-Am,2,3
77,T77,77,Joey Snyder III,102,131,Chrysler Classic of Tucson,2,11
78,T79,78,Brad Faxon,75,129,Shell Houston Open,1,6
79,T79,26,José Coceres,56,129,Chrysler Classic of Greensboro,1,1
80,T79,17,Hidemichi Tanaka,106,129,Valero Texas Open,4,10
81,82,81,Billy McKay,2,127,Buick Open,1,16
82,T83,82,Patrick Sheehan,114,125,Reno-Tahoe Open,3,18
83,T83,83,Guy Boros,17,125,B.C. Open,1,18
84,T83,84,Steve Jones,56,125,MCI Heritage,2,13
85,T83,85,Cameron Beckman,96,125,Buick Championship,3,18
86,T87,86,Harrison Frazar,105,123,Reno-Tahoe Open,4,18
87,T87,87,Briny Baird,98,123,Michelin Championship at Las Vegas,4,12
88,89,88,Scott McCarron,78,122,Shell Houston Open,1,6
89,90,89,Paul Gow,78,120,Buick Championship,4,17
90,T91,90,Glen Day,80,117,B.C. Open,1,18
91,T91,49,Jay Williamson,53,117,Booz Allen Classic,1,9
92,T91,92,Mike Hulbert,11,117,B.C. Open,1,5
93,T91,2,Mathias Grönberg,60,117,Valero Texas Open,1,16
94,T91,94,Tom Pernice Jr.,111,117,THE PLAYERS Championship,2,11
95,T96,34,Darren Clarke,41,116,THE PLAYERS Championship,1,4
96,T96,96,Grant Waite,19,116,B.C. Open,4,15
97,T96,97,Mark Calcavecchia,92,116,U.S. Bank Championship in Milwaukee,2,9
98,T99,98,Frank Lickliter II,100,115,Ford Championship at Doral,4,12
99,T99,99,Thomas Bjørn,24,115,THE PLAYERS Championship,1,4
100,101,22,Andrew Magee,82,114,84 LUMBER Classic,2,10
101,T102,101,Josh Teater,2,112,Deutsche Bank Championship,1,13
102,T102,5,Dean Wilson,86,112,Reno-Tahoe Open,3,5
103,T104,88,Scott McCarron,78,111,Bay Hill Invitational Presented by MasterCard,1,3
104,T104,104,Hank Kuehne,84,111,FedEx St. Jude Classic,1,15
105,T104,105,Gavin Coles,70,111,Deutsche Bank Championship,1,2
106,T107,106,Sergio Garcia,73,110,World Golf Championships-American Express Championship,4,7
107,T107,31,Esteban Toledo,19,110,John Deere Classic,2,10
108,T109,108,Charles Howell III,95,109,Nissan Open,2,17
109,T109,109,Chris Anderson,66,109,Cialis Western Open,1,15
110,T109,8,Shigeki Maruyama,99,109,84 LUMBER Classic,3,4
111,T109,111,Jason Gore,28,109,84 LUMBER Classic,2,12
112,113,112,Ryan Palmer,101,108,B.C. Open,4,2
113,T114,113,Ángel Cabrera,32,105,Bay Hill Invitational Presented by MasterCard,2,13
114,T114,114,Roland Thatcher,75,105,John Deere Classic,3,6
115,T114,115,Bob Estes,92,105,THE PLAYERS Championship,1,12
116,T114,19,Tom Lehman,69,105,Sony Open in Hawaii,2,1
117,T118,117,Blaine McCallister,29,103,Southern Farm Bureau Classic,2,3
118,T118,118,Bradley Hughes,52,103,84 LUMBER Classic,1,4
119,T120,119,Mark O'Meara,66,102,Reno-Tahoe Open,3,5
120,T120,17,Hidemichi Tanaka,106,102,Michelin Championship at Las Vegas,3,7
121,T120,85,Cameron Beckman,96,102,84 LUMBER Classic,1,13
122,T120,122,Mike Springer,14,102,U.S. Bank Championship in Milwaukee,1,15
123,T120,86,Harrison Frazar,105,102,FBR Open,3,3
124,T125,18,Matt Kuchar,60,100,Deutsche Bank Championship,3,2
125,T125,125,Ryuji Imada,78,100,Booz Allen Classic,4,1
126,T125,126,Arjun Atwal,65,100,Reno-Tahoe Open,4,18
127,128,7,Peter Lonard,85,99,84 LUMBER Classic,1,4
128,129,35,Tag Ridings,93,97,FUNAI Classic at the WALT DISNEY WORLD Resort,2,8
129,130,129,Chris Smith,93,96,Chrysler Classic of Tucson,2,6
130,T131,130,Mark Brooks,72,94,Bank of America Colonial,3,2
131,T131,131,Vaughn Taylor,99,94,Wachovia Championship,4,11
132,T133,70,Jesper Parnevik,84,93,FBR Open,2,6
133,T133,133,Nick Watney,91,93,Ford Championship at Doral,3,12
134,T135,134,Woody Austin,100,92,Wachovia Championship,1,8
135,T135,135,Robert Gamez,91,92,Bob Hope Chrysler Classic,4,16
136,T137,4,Bill Glasson,54,91,Reno-Tahoe Open,4,11
137,T137,137,Glen Hnatiuk,59,91,Barclays Classic,2,7
138,T139,138,Danny Ellis,22,90,Southern Farm Bureau Classic,2,11
139,T139,66,Notah Begay III,30,90,The Honda Classic,2,17
140,T141,9,Darron Stiles,78,89,Chrysler Classic of Greensboro,1,15
141,T141,141,Kenny Perry,82,89,BellSouth Classic,1,6
142,143,142,Trevor Immelman,43,88,Bell Canadian Open,3,16
143,144,118,Bradley Hughes,52,86,Zurich Classic of New Orleans,4,13
144,T145,144,Justin Bolli,65,85,Shell Houston Open,4,1
145,T145,145,Kevin Sutherland,89,85,Shell Houston Open,2,16
146,T147,134,Woody Austin,100,84,Valero Texas Open,1,11
147,T147,147,Zach Johnson,96,84,Ford Championship at Doral,4,2
148,T149,148,Mark Hensby,70,82,Wachovia Championship,1,10
149,T149,61,Rich Beem,66,82,the Memorial Tournament,2,17
150,T151,150,Bob Tway,87,81,Cialis Western Open,4,18
151,T151,151,Adam Scott,72,81,World Golf Championships-American Express Championship,3,7
152,T153,105,Gavin Coles,70,79,World Golf Championships-American Express Championship,4,16
153,T153,134,Woody Austin,100,79,the Memorial Tournament,3,6
154,T153,53,Matt Gogel,78,79,The Honda Classic,2,7
155,156,8,Shigeki Maruyama,99,78,Buick Invitational,1,9
156,157,156,Paul Goydos,48,76,Buick Open,2,14
157,T158,157,Olin Browne,99,75,THE TOUR Championship presented by Coca-Cola,4,15
158,T158,158,Jeff Sluman,94,75,U.S. Bank Championship in Milwaukee,2,6
159,160,133,Nick Watney,91,74,Buick Open,4,6
160,161,160,Joe Affrunti,4,73,U.S. Bank Championship in Milwaukee,2,15
161,T162,161,Lee Westwood,50,72,THE PLAYERS Championship,4,12
162,T162,162,Jerry Kelly,101,72,the Memorial Tournament,3,11
163,T162,86,Harrison Frazar,105,72,84 LUMBER Classic,3,14
164,T165,164,Chad Campbell,95,70,The Honda Classic,1,17
165,T165,98,Frank Lickliter II,100,70,Southern Farm Bureau Classic,2,11
166,167,166,Ben Crane,78,67,Booz Allen Classic,2,8
167,T168,118,Bradley Hughes,52,64,Reno-Tahoe Open,1,15
168,T168,98,Frank Lickliter II,100,64,BellSouth Classic,3,4
169,T170,169,Mike Weir,71,62,Booz Allen Classic,1,10
170,T170,39,Daniel Chopra,108,62,Booz Allen Classic,1,6
171,172,171,Eric Axley,5,61,BellSouth Classic,2,5
172,173,172,Euan Walters,41,60,Valero Texas Open,2,1
173,174,119,Mark O'Meara,66,59,Zurich Classic of New Orleans,4,2
174,T175,174,Paul Azinger,66,57,FUNAI Classic at the WALT DISNEY WORLD Resort,2,10
175,T175,176,Steve Stricker,62,57,Buick Open,2,12
176,T175,21,Michael Long,72,57,BellSouth Classic,2,10
177,T175,158,Jeff Sluman,94,57,U.S. Bank Championship in Milwaukee,1,18
178,179,41,Steve Allan,102,56,Reno-Tahoe Open,2,13
179,180,179,Chris DiMarco,83,55,World Golf Championships-NEC Invitational,1,2
180,181,61,Rich Beem,66,54,FUNAI Classic at the WALT DISNEY WORLD Resort,2,13
181,182,181,John Lynch,2,52,Sony Open in Hawaii,2,10
182,183,21,Michael Long,72,50,Shell Houston Open,2,18
183,184,86,Harrison Frazar,105,48,THE PLAYERS Championship,2,2
184,185,125,Ryuji Imada,78,46,EDS Byron Nelson Championship,4,10
185,T186,185,Will MacKenzie,75,45,Barclays Classic,2,2
186,T186,186,Jason Bohn,91,45,Chrysler Classic of Greensboro,3,8
187,T186,166,Ben Crane,78,45,Bell Canadian Open,3,14
188,189,188,Justin Leonard,78,44,Deutsche Bank Championship,2,9
189,T190,189,Paul Claxton,79,43,Zurich Classic of New Orleans,2,8
190,T190,190,Rod Pampling,89,43,Booz Allen Classic,4,13
191,T190,77,Joey Snyder III,102,43,Zurich Classic of New Orleans,2,7
192,193,192,Aaron Baddeley,84,42,Nissan Open,2,11
193,T194,193,Bob Ford,6,41,84 LUMBER Classic,1,16
194,T194,194,John Huston,90,41,FedEx St. Jude Classic,1,3
195,T194,19,Tom Lehman,69,41,World Golf Championships-NEC Invitational,4,13
196,197,196,Shaun Micheel,81,40,84 LUMBER Classic,1,11
197,T198,87,Briny Baird,98,39,Bell Canadian Open,4,13
198,T198,174,Paul Azinger,66,39,Chrysler Classic of Greensboro,4,17
199,T198,199,Nick Price,49,39,John Deere Classic,2,5
