,Going_for_the_Green_-_Birdie_or_Better_RANK THIS WEEK,Going_for_the_Green_-_Birdie_or_Better_RANK LAST WEEK,Going_for_the_Green_-_Birdie_or_Better_PLAYER NAME,Going_for_the_Green_-_Birdie_or_Better_ROUNDS,Going_for_the_Green_-_Birdie_or_Better_%,Going_for_the_Green_-_Birdie_or_Better_# OF BIRDIE OR BETTER,Going_for_the_Green_-_Birdie_or_Better_ATTEMPTS,Going_for_the_Green_-_Birdie_or_Better_RTP-SUCCESSES,Going_for_the_Green_-_Birdie_or_Better_RTP-NOT GOING FOR THE GRN
82,T83,T83,J.L. Lewis,98,55.84,86,154,-88,-19.00
83,T83,T83,Charles Warren,89,55.84,110,197,-116,-2.00
84,85,85,Sean O'Hair,103,55.8,101,181,-110,E
85,86,86,Joe Ogilvie,103,55.78,82,147,-89,-19.00
86,87,87,Ian Poulter,62,55.74,34,61,-37,-10.00
87,88,88,Steve Lowery,100,55.71,117,210,-125,+7.00
88,89,89,Scott Gutschewski,86,55.67,108,194,-118,+12.00
89,90,90,Stuart Appleby,84,55.65,69,124,-72,-18.00
90,91,91,Arron Oberholser,65,55.56,50,90,-53,-13.00
91,92,92,Ryan Palmer,101,55.44,107,193,-111,-1.00
92,93,93,Dennis Paulson,63,55.3,73,132,-77,+4.00
93,94,94,Matt Kuchar,60,55.29,47,85,-47,-4.00
94,95,95,Mathias Grönberg,60,55.26,84,152,-94,+6.00
95,96,96,Fred Couples,72,55.17,48,87,-53,-6.00
96,97,97,J.J. Henry,102,55.1,108,196,-112,-9.00
97,T98,T98,Brian Bateman,98,54.88,90,164,-101,-4.00
98,T98,T98,Tom Byrum,83,54.88,45,82,-47,-33.00
99,T100,T100,Daniel Chopra,108,54.87,124,226,-129,-1.00
100,T100,T100,Rory Sabbatini,81,54.87,62,113,-68,-2.00
101,102,102,Tom Pernice Jr.,111,54.79,103,188,-111,-15.00
102,103,103,Bernhard Langer,67,54.67,41,75,-45,-10.00
103,104,104,Bob Tway,87,54.63,59,108,-63,-9.00
104,T105,T105,Craig Barlow,81,54.55,72,132,-79,-11.00
105,T105,T105,John Daly,78,54.55,84,154,-89,+5.00
106,107,107,Chris Smith,93,54.41,111,204,-115,+10.00
107,108,108,Mark Brooks,72,54.1,33,61,-35,-4.00
108,109,109,Carlos Franco,78,54.09,86,159,-95,-9.00
109,110,110,Jerry Kelly,101,54.07,73,135,-77,-17.00
110,111,111,Scott Hend,75,54.04,107,198,-114,+20.00
111,112,112,Steve Elkington,67,53.92,55,102,-56,-16.00
112,113,113,Heath Slocum,103,53.9,76,141,-79,-38.00
113,T114,T114,Dan Forsman,52,53.85,49,91,-52,-11.00
114,T114,T114,Freddie Jacobson,72,53.85,49,91,-53,+12.00
115,T114,T114,Hunter Mahan,103,53.85,112,208,-117,-17.00
116,117,117,Joey Sindelar,104,53.81,106,197,-107,-17.00
117,118,118,Hidemichi Tanaka,106,53.76,93,173,-95,-13.00
118,T119,T119,Andrew Magee,82,53.68,73,136,-78,-13.00
119,T119,T119,Joey Snyder III,102,53.68,102,190,-115,+8.00
120,121,121,Will MacKenzie,75,53.62,74,138,-77,-11.00
121,122,122,Robert Allenby,95,53.57,90,168,-99,-16.00
122,123,123,Scott McCarron,78,53.49,69,129,-74,-3.00
123,124,124,Jay Haas,54,53.45,31,58,-32,-4.00
124,125,125,Bart Bryant,91,53.44,70,131,-77,-20.00
125,126,126,Lucas Glover,88,53.27,114,214,-125,+3.00
126,127,127,Kenny Perry,82,53.17,67,126,-72,-1.00
127,128,128,Ryuji Imada,78,53.03,70,132,-73,-8.00
128,T129,T129,Jeff Hart,63,52.94,27,51,-29,-19.00
129,T129,T129,Franklin Langham,91,52.94,54,102,-56,-13.00
130,T129,T129,Shaun Micheel,81,52.94,63,119,-69,-9.00
131,T132,T132,Brent Geiberger,61,52.87,46,87,-53,-12.00
132,T132,T132,John Huston,90,52.87,92,174,-96,-17.00
133,134,134,Tim Herron,100,52.86,74,140,-78,-17.00
134,135,135,Rich Beem,66,52.75,48,91,-50,-10.00
135,T136,T136,Glen Hnatiuk,59,52.56,41,78,-42,-22.00
136,T136,T136,Jay Williamson,53,52.56,41,78,-45,-3.00
137,138,138,Hunter Haas,83,52.5,84,160,-94,-7.00
138,139,139,Michael Long,72,52.48,74,141,-83,+2.00
139,140,140,Lee Janzen,75,52.43,54,103,-55,-14.00
140,T141,T141,Richard Johnson,50,52.38,44,84,-45,-10.00
141,T141,T141,Jonathan Kaye,77,52.38,66,126,-69,-21.00
142,T143,T143,Bob Estes,92,52.14,61,117,-67,-20.00
143,T143,T143,Rocco Mediate,73,52.14,61,117,-66,-10.00
144,145,145,Lee Westwood,50,52.0,39,75,-42,+5.00
145,146,146,Paul Azinger,66,51.92,54,104,-55,-4.00
146,147,147,Tjaart van der Walt,56,51.89,55,106,-56,-11.00
147,148,148,Kevin Na,88,51.88,69,133,-73,-18.00
148,149,149,Patrick Sheehan,114,51.83,99,191,-103,-4.00
149,150,150,Doug Barron,70,51.82,57,110,-58,-20.00
150,151,151,D.A. Points,94,51.69,92,178,-100,-11.00
151,152,152,Jesper Parnevik,84,51.66,78,151,-85,+5.00
152,153,153,Jeff Brehaut,71,51.54,67,130,-71,-23.00
153,154,154,Corey Pavin,77,51.43,36,70,-39,-26.00
154,155,155,John Senden,101,51.26,102,199,-109,-8.00
155,156,156,Chris Anderson,66,51.22,42,82,-48,-16.00
156,157,157,Paul Gow,78,51.15,67,131,-69,-1.00
157,158,158,José Coceres,56,51.14,45,88,-46,+9.00
158,159,159,Bradley Hughes,52,50.96,53,104,-53,+10.00
159,160,160,John Elliott,58,50.83,61,120,-63,+11.00
160,161,161,Thomas Levet,54,50.82,31,61,-34,+15.00
161,162,162,Robert Damron,89,50.77,66,130,-68,-26.00
162,163,163,Todd Fischer,99,50.7,72,142,-75,-24.00
163,164,164,Fred Funk,102,50.53,48,95,-51,-45.00
164,165,165,Paul Claxton,79,50.43,59,117,-62,-22.00
165,166,166,Joe Durant,81,50.35,71,141,-73,-2.00
166,T167,T167,Jason Allred,75,50.0,65,130,-69,+14.00
167,T167,T167,Hank Kuehne,84,50.0,97,194,-101,+11.00
168,T167,T167,Tom Lehman,69,50.0,43,86,-44,-15.00
169,T167,T167,Craig Perks,67,50.0,51,102,-55,+7.00
170,T167,T167,Chris Riley,67,50.0,30,60,-31,+10.00
171,172,172,Steve Allan,102,49.76,105,211,-113,+7.00
172,173,173,Neal Lancaster,95,49.72,90,181,-94,-27.00
173,174,174,David Hearn,68,49.61,63,127,-70,-3.00
174,175,175,Glen Day,80,49.59,60,121,-64,-14.00
175,176,176,Charlie Wi,67,49.53,53,107,-59,-10.00
176,177,177,Tom Gillis,77,49.24,65,132,-69,-12.00
177,178,178,Roland Thatcher,75,49.01,74,151,-78,+7.00
178,179,179,Chris DiMarco,83,48.96,47,96,-51,-24.00
179,180,180,Steve Flesch,90,48.78,60,123,-66,-5.00
180,181,181,Rob Rashell,65,48.35,44,91,-45,+5.00
181,182,182,Jeff Maggert,79,48.25,55,114,-56,-8.00
182,183,183,Mario Tiziani,67,48.18,53,110,-57,-5.00
183,184,184,Matt Gogel,78,48.08,50,104,-53,-5.00
184,185,185,Brett Wetterich,76,47.64,91,191,-98,+4.00
185,186,186,John Cook,72,47.44,37,78,-39,-27.00
186,187,187,Peter Lonard,85,47.27,52,110,-56,-22.00
187,188,188,Hideto Tanihara,50,47.13,41,87,-45,+10.00
188,189,189,Skip Kendall,80,46.94,46,98,-48,-11.00
189,190,190,Mark Wilson,74,46.75,36,77,-39,-21.00
190,191,191,Len Mattiace,86,46.46,46,99,-49,-19.00
191,192,192,Stewart Cink,98,46.22,55,119,-57,-15.00
192,193,193,Danny Briggs,70,46.0,46,100,-47,-13.00
193,194,194,Pat Perez,89,45.81,71,155,-74,+7.00
194,195,195,Steve Jones,56,45.45,35,77,-38,-6.00
195,196,196,Brad Faxon,75,45.35,39,86,-43,-8.00
196,197,197,Alex Cejka,84,45.24,57,126,-61,-16.00
197,198,198,Ben Curtis,65,44.44,32,72,-35,+10.00
198,199,199,Bill Glasson,54,42.11,24,57,-25,-2.00
199,200,200,Larry Mize,54,41.94,26,62,-27,-19.00
200,201,201,Mark O'Meara,66,41.3,19,46,-19,-14.00
201,202,202,Jim Carter,62,39.34,24,61,-25,-11.00
