,Total_Putting_RANK THIS WEEK,Total_Putting_RANK LAST WEEK,Total_Putting_PLAYER NAME,Total_Putting_EVENTS,Total_Putting_TOTAL
92,93,,Trey Mullinax,28,204.8
93,94,,Lucas Glover,26,205.4
94,95,,Charley Hoffman,31,208.6
95,96,,Ben Crane,26,210.1
96,97,,Ryo Ishikawa,20,210.3
97,98,,Tag Ridings,20,211.0
98,99,,Troy Merritt,28,212.0
99,100,,Grayson Murray,30,212.7
100,101,,Spencer Levin,31,214.8
101,102,,Kelly Kraft,27,215.8
102,103,,Tim Wilkinson,22,216.1
103,104,,Ben Martin,27,216.9
104,105,,Jason Bohn,28,217.2
105,106,,Bud Cauley,28,218.2
106,107,,Ryan Moore,24,219.6
107,108,,Smylie Kaufman,26,221.8
108,109,,Brian Stuard,31,222.4
109,110,,Nicholas Lindheim,21,222.6
110,111,,C.T. Pan,29,223.1
111,112,,Seamus Power,25,224.4
112,113,,William McGirt,28,225.3
113,114,,Jon Rahm,23,225.9
114,115,,Ollie Schniederjans,28,227.1
115,116,,Julián Etulain,22,228.1
116,117,,Mark Anderson,20,228.2
117,118,,David Hearn,29,228.3
118,119,,Robert Streb,30,229.8
119,120,,Tom Hoge,17,230.4
120,121,,Jason Day,20,231.3
121,122,,Andres Gonzales,24,231.8
122,T123,,Ryan Armour,20,231.9
123,T123,,Jamie Lovemark,28,231.9
124,125,,Patton Kizzire,28,233.5
125,126,,Sam Saunders,24,233.8
126,127,,Jason Dufner,24,234.3
127,128,,Andrew Loupe,21,236.1
128,129,,Chris Stroud,22,236.3
129,130,,Nick Watney,23,236.9
130,131,,Justin Rose,18,241.1
131,132,,J.J. Spaun,29,242.7
132,133,,Steven Bowditch,27,244.7
133,134,,Kevin Na,26,248.6
134,135,,Dominic Bozzelli,24,248.9
135,136,,Rick Lamb,19,250.3
136,137,,Dustin Johnson,20,251.6
137,138,,Brendan Steele,25,252.7
138,139,,Rory Sabbatini,23,257.0
139,140,,Cameron Percy,23,258.3
140,141,,Emiliano Grillo,25,258.4
141,142,,Bryson DeChambeau,31,258.6
142,143,,Ryan Brehm,25,259.8
143,144,,Scott Stallings,27,263.1
144,145,,Branden Grace,20,263.2
145,146,,Chad Campbell,29,267.8
146,147,,Bill Haas,25,269.2
147,148,,Nick Taylor,29,269.5
148,149,,Gary Woodland,26,270.8
149,150,,Mark Hubbard,27,271.9
150,151,,Jimmy Walker,21,272.5
151,152,,Tyrone Van Aswegen,32,274.4
152,153,,Rory McIlroy,14,276.5
153,154,,Steven Alker,23,276.7
154,155,,Miguel Angel Carballo,22,280.6
155,156,,Tony Finau,29,287.2
156,157,,Patrick Rodgers,27,287.9
157,158,,Luke List,31,290.8
158,159,,Kyle Stanley,29,293.1
159,160,,Francesco Molinari,21,293.2
160,161,,Ken Duke,26,294.3
161,162,,Matt Every,30,294.5
162,163,,Retief Goosen,19,294.8
163,164,,Kevin Streelman,26,298.2
164,165,,Hideki Matsuyama,22,298.6
165,166,,J.J. Henry,29,298.8
166,T167,,Jason Kokrak,28,300.7
167,T167,,Anirban Lahiri,22,300.7
168,169,,Sergio Garcia,17,301.0
169,170,,Keegan Bradley,29,301.3
170,171,,D.A. Points,22,303.7
171,172,,Harold Varner III,31,303.8
172,173,,Brett Stegmaier,27,306.5
173,174,,Kyle Reifers,32,309.2
174,175,,Byeong Hun An,22,310.3
175,176,,Kevin Chappell,27,314.4
176,177,,J.B. Holmes,23,315.3
177,178,,Alex Cejka,28,315.5
178,T179,,Si Woo Kim,30,317.5
179,T179,,Bubba Watson,22,317.5
180,181,,Jhonattan Vegas,29,318.6
181,182,,Roberto Castro,25,321.8
182,183,,Russell Knox,24,328.4
183,184,,Brett Drewitt,19,330.3
184,185,,Robert Garrigus,26,330.6
185,186,,Rod Pampling,22,352.5
186,187,,Brad Fritsch,18,352.7
187,188,,Scott Piercy,22,353.3
188,189,,Boo Weekley,27,372.6
189,190,,Ryan Palmer,20,395.0
