,Putting_from_Inside_5_RANK THIS WEEK,Putting_from_Inside_5_RANK LAST WEEK,Putting_from_Inside_5_PLAYER NAME,Putting_from_Inside_5_ROUNDS,Putting_from_Inside_5_%,Putting_from_Inside_5_ATTEMPTS,Putting_from_Inside_5_PUTTS MADE
176,177,,Rick Lamb,54,95.23,545,519
177,178,,Hideki Matsuyama,83,95.13,821,781
178,179,,Si Woo Kim,80,95.11,818,778
179,180,,Adam Scott,58,95.1,572,544
180,181,,Camilo Villegas,76,95.04,867,824
181,182,,Zac Blair,105,95.03,1148,1091
182,183,,Smylie Kaufman,76,95.0,920,874
183,184,,Byeong Hun An,77,94.95,812,771
184,185,,Ryan Palmer,61,94.91,727,690
185,186,,Anirban Lahiri,72,94.86,876,831
186,187,,Tag Ridings,67,94.66,731,692
187,188,,Branden Grace,70,94.38,640,604
188,189,,Boo Weekley,75,93.98,913,858
189,190,,Jason Kokrak,95,93.92,1184,1112
