,One-Putt_Percentage_RANK THIS WEEK,One-Putt_Percentage_RANK LAST WEEK,One-Putt_Percentage_PLAYER NAME,One-Putt_Percentage_ROUNDS,One-Putt_Percentage_%,One-Putt_Percentage_# OF 1 PUTTS,One-Putt_Percentage_# OF HOLES
90,91,,Richy Werenski,81,38.44,512,1332
91,92,,Kelly Kraft,75,38.42,491,1278
92,T93,,Tony Finau,106,38.41,719,1872
93,T93,,Charles Howell III,86,38.41,567,1476
94,95,,Chris Kirk,89,38.35,573,1494
95,96,,Matt Kuchar,95,38.29,634,1656
96,97,,Steven Alker,69,38.27,434,1134
97,98,,Kevin Streelman,90,38.26,606,1584
98,99,,Ollie Schniederjans,92,38.25,599,1566
99,T100,,J.B. Holmes,83,38.23,523,1368
100,T100,,Sean O'Hair,84,38.23,578,1512
101,102,,Rory Sabbatini,71,38.21,447,1170
102,103,,Ben Crane,86,38.19,543,1422
103,T104,,Retief Goosen,52,38.16,316,828
104,T104,,Hideki Matsuyama,83,38.16,522,1368
105,106,,Kevin Na,86,38.14,563,1476
106,107,,Nick Taylor,97,38.13,652,1710
107,108,,Byeong Hun An,77,38.12,494,1296
108,109,,Ben Martin,86,38.05,541,1422
109,T110,,Kevin Kisner,105,38.04,671,1764
110,T110,,Francesco Molinari,75,38.04,493,1296
111,T110,,Xander Schauffele,96,38.04,630,1656
112,113,,Rick Lamb,54,38.0,342,900
113,114,,Tyrone Van Aswegen,105,37.97,663,1746
114,115,,Jamie Lovemark,98,37.96,656,1728
115,T116,,Ken Duke,77,37.95,485,1278
116,T116,,Chez Reavie,98,37.95,649,1710
117,118,,Brandt Snedeker,53,37.89,341,900
118,119,,Patrick Cantlay,52,37.85,327,864
119,120,,Bubba Watson,71,37.74,428,1134
120,T121,,Robert Garrigus,78,37.73,489,1296
121,T121,,Geoff Ogilvy,80,37.73,489,1296
122,123,,Brad Fritsch,56,37.71,353,936
123,124,,J.J. Spaun,92,37.66,583,1548
124,125,,James Hahn,96,37.62,650,1728
125,126,,Shawn Stefani,72,37.58,460,1224
126,127,,Trey Mullinax,88,37.53,554,1476
127,128,,Jimmy Walker,68,37.52,439,1170
128,129,,Roberto Castro,70,37.5,459,1224
129,130,,Adam Scott,58,37.45,391,1044
130,131,,Emiliano Grillo,90,37.42,586,1566
131,T132,,Rafa Cabrera Bello,63,37.41,404,1080
132,T132,,Si Woo Kim,80,37.41,505,1350
133,134,,Stewart Cink,93,37.4,626,1674
134,T135,,Bryson DeChambeau,91,37.39,599,1602
135,T135,,Andrew Loupe,55,37.39,350,936
136,137,,Miguel Angel Carballo,63,37.33,383,1026
137,138,,Charley Hoffman,112,37.29,725,1944
138,139,,Bud Cauley,92,37.25,590,1584
139,140,,Alex Cejka,85,37.23,516,1386
140,141,,Louis Oosthuizen,69,37.19,415,1116
141,142,,Daniel Summerhays,100,37.12,628,1692
142,143,,Cameron Percy,71,37.09,434,1170
143,T144,,Harris English,84,37.06,507,1368
144,T144,,Kyle Stanley,104,37.06,667,1800
145,T146,,Martin Laird,83,36.95,552,1494
146,T146,,Johnson Wagner,71,36.95,419,1134
147,148,,Russell Henley,99,36.94,645,1746
148,149,,Jason Bohn,75,36.93,472,1278
149,150,,Kevin Chappell,95,36.91,598,1620
150,151,,Luke List,102,36.9,651,1764
151,152,,Marc Leishman,94,36.85,597,1620
152,153,,Russell Knox,75,36.83,464,1260
153,154,,Hudson Swafford,94,36.79,596,1620
154,155,,Mark Hubbard,81,36.71,489,1332
155,T156,,Paul Casey,94,36.67,594,1620
156,T156,,Lucas Glover,93,36.67,594,1620
157,158,,Patrick Rodgers,76,36.64,488,1332
158,159,,C.T. Pan,88,36.63,567,1548
159,160,,Jonathan Randolph,68,36.6,415,1134
160,T161,,Keegan Bradley,104,36.55,671,1836
161,T161,,Nick Watney,75,36.55,454,1242
162,163,,Graham DeLaet,82,36.4,498,1368
163,164,,Chad Campbell,97,36.37,635,1746
164,T165,,Harold Varner III,101,36.36,648,1782
165,T165,,Jhonattan Vegas,95,36.36,589,1620
166,167,,Bill Haas,92,36.27,555,1530
167,168,,D.A. Points,68,36.19,443,1224
168,169,,Justin Rose,66,36.11,416,1152
169,170,,Brendan Steele,89,35.85,542,1512
170,171,,Scott Piercy,70,35.66,430,1206
171,172,,Sergio Garcia,65,35.57,397,1116
172,173,,Jim Herman,77,35.56,480,1350
173,174,,Rod Pampling,71,35.52,454,1278
174,175,,Kyle Reifers,96,35.48,562,1584
175,176,,Scott Stallings,81,35.43,491,1386
176,177,,William McGirt,89,35.41,529,1494
177,178,,Branden Grace,70,35.36,401,1134
178,179,,Brett Stegmaier,78,35.31,483,1368
179,180,,Ryan Brehm,83,35.06,486,1386
180,181,,Jason Kokrak,95,35.03,599,1710
181,182,,Martin Flores,88,34.98,510,1458
182,183,,Jim Furyk,54,34.86,320,918
183,184,,Gary Woodland,94,34.77,557,1602
184,185,,Ryan Armour,63,34.56,367,1062
185,186,,Shane Lowry,52,34.24,302,882
186,187,,Boo Weekley,75,33.94,446,1314
187,188,,Billy Horschel,88,33.79,523,1548
188,189,,J.J. Henry,92,32.95,510,1548
189,190,,Ryan Palmer,61,32.81,313,954
