,Longest_Putts_RANK THIS WEEK,Longest_Putts_RANK LAST WEEK,Longest_Putts_PLAYER NAME,Longest_Putts_ROUNDS,Longest_Putts_DISTANCE,Longest_Putts_YEAR/TOURN#,Longest_Putts_ROUND,Longest_Putts_HOLE
98,99,,Wyndham Clark,12,"53' 11""",Canadian Open,1,4
99,100,,Nick Taylor,97,"53' 10""",The RSM Classic,3,10
100,101,,Blayne Barber,77,"53' 10""",THE PLAYERS,4,11
101,102,,Rod Pampling,71,"53' 7""",NORTHERN TRUST,2,15
102,103,,Aaron Baddeley,61,"53' 6""",Valspar Champ,1,14
103,104,,Ollie Schniederjans,92,"53' 6""",Shell Houston,1,5
104,105,,Steve Flesch,2,"53' 5""",Sanderson Farms,2,16
105,106,,Michael Thompson,60,"53' 5""",DEAN & DELUCA,1,9
106,107,,Derek Fathauer,81,"53' 4""",AT&T Pebble,2,3
107,108,,Rafael Campos,14,"53' 4""",Shell Houston,4,9
108,109,,Brendan Steele,89,"53' 4""",Dell Tech Champ,1,5
109,110,,Keegan Bradley,104,"53' 3""",The Greenbrier,2,5
110,111,,Mark Hubbard,81,"52' 10""",Wells Fargo,1,7
111,112,,Tag Ridings,67,"52' 10""",John Deere,3,1
112,113,,Stuart Appleby,39,"52' 10""",Wyndham Champ,1,7
113,114,,Pat Perez,93,"52' 9""",Farmers Ins.,3,5
114,115,,Chris Stroud,67,"52' 8""",Barbasol Champ,4,18
115,116,,Harold Varner III,101,"52' 6""",NORTHERN TRUST,2,18
116,117,,Carter Jenkins,2,"52' 3""",Wells Fargo,2,10
117,118,,Wesley Bryan,95,"52' 3""",DEAN & DELUCA,1,6
118,119,,Byeong Hun An,77,"52' 0""",Byron Nelson,3,1
119,120,,Jordan Spieth,85,"51' 11""",WGC-Bridgestone,1,6
120,121,,Jimmy Walker,68,"51' 9""",AT&T Pebble,4,9
121,122,,J.T. Poston,95,"51' 8""",Farmers Ins.,1,16
122,123,,Hideto Tanihara,41,"51' 8""",WGC-Mexico,4,1
123,124,,Retief Goosen,52,"51' 6""",Sanderson Farms,1,12
124,125,,Jonathan Randolph,68,"51' 6""",The Greenbrier,3,12
125,126,,C.T. Pan,88,"51' 3""",The RSM Classic,4,12
126,127,,Patton Kizzire,84,"51' 3""",the Memorial,2,10
127,128,,Matt Kuchar,95,"50' 10""",Safeway Open,2,2
128,129,,Daniel Summerhays,100,"50' 10""",Canadian Open,4,6
129,130,,Andres Gonzales,73,"50' 5""",Shell Houston,2,11
130,131,,David Lipsky,6,"50' 4""",WGC-Mexico,1,6
131,132,,Eric Axley,10,"50' 0""",The RSM Classic,1,16
132,133,,Brian Gay,82,"49' 11""",Phoenix Open,4,14
133,134,,Dustin Johnson,77,"49' 11""",THE PLAYERS,4,2
134,135,,Rory McIlroy,51,"49' 10""",Dell Tech Champ,1,6
135,136,,Jason Dufner,89,"49' 9""",BMW Champ,2,4
136,137,,D.A. Points,68,"49' 8""",Texas Open,1,7
137,138,,Graeme McDowell,56,"49' 7""",DEAN & DELUCA,3,13
138,139,,Jason Kokrak,95,"49' 6""",NORTHERN TRUST,1,12
139,140,,Brad Adamonis,2,"49' 4""",The RSM Classic,2,15
140,141,,Henrik Stenson,46,"49' 4""",WGC-Bridgestone,3,4
141,142,,Dominic Bozzelli,69,"49' 1""",Texas Open,1,15
142,143,,Brian Campbell,55,"49' 1""",The Greenbrier,4,11
143,144,,Ben Martin,86,"49' 0""",THE PLAYERS,2,12
144,145,,Gregor Main,2,"48' 10""",Safeway Open,1,7
145,146,,Jeff Overton,2,"48' 8""",Honda Classic,2,6
146,147,,Hudson Swafford,94,"48' 8""",Valspar Champ,1,2
147,148,,Jon Rahm,90,"48' 8""",WGC-Bridgestone,4,6
148,149,,Ryan Moore,82,"48' 7""",BMW Champ,4,9
149,150,,Anirban Lahiri,72,"48' 6""",BMW Champ,4,6
150,151,,Ted Purdy,12,"48' 5""",Texas Open,1,12
151,152,,Ryan Blaum,100,"48' 4""",The Greenbrier,4,14
152,153,,Graham DeLaet,82,"48' 1""",Phoenix Open,3,11
153,154,,Keith Mitchell,4,"47' 11""",Valspar Champ,4,18
154,155,,Kevin Kisner,105,"47' 11""",DEAN & DELUCA,1,7
155,156,,Scott Piercy,70,"47' 10""",Travelers Champ,1,3
156,157,,Ian Poulter,72,"47' 9""",Canadian Open,4,12
157,158,,Justin Rose,66,"47' 8""",Shell Houston,2,9
158,159,,Tommy Fleetwood,35,"47' 8""",WGC-Bridgestone,3,8
159,160,,Tim Wilkinson,64,"47' 7""",The RSM Classic,3,15
160,161,,J.J. Henry,92,"47' 7""",Wells Fargo,4,17
161,162,,Brendon de Jonge,32,"47' 6""",Wyndham Champ,2,17
162,163,,Stewart Cink,93,"47' 4""",Honda Classic,3,15
163,164,,Rickie Fowler,78,"47' 3""",Shell Houston,3,7
164,165,,Gary Woodland,94,"47' 2""",AT&T Pebble,3,3
165,166,,Chesson Hadley,23,"47' 0""",The RSM Classic,3,10
166,167,,Brett Drewitt,57,"46' 11""",Safeway Open,3,6
167,168,,Jamie Lovemark,98,"46' 10""",Phoenix Open,2,10
168,169,,Oliver Peacock,2,"46' 9""",St. Jude,2,7
169,170,,Bubba Watson,71,"46' 9""",WGC-Bridgestone,2,8
170,171,,Luke Donald,50,"46' 8""",THE PLAYERS,1,15
171,172,,Trey Mullinax,88,"46' 7""",The Greenbrier,2,17
172,173,,Cameron Smith,86,"46' 5""",Safeway Open,2,5
173,174,,Whee Kim,74,"46' 4""",NORTHERN TRUST,1,17
174,175,,Scott Brown,95,"46' 3""",Shell Houston,1,9
175,176,,Arjun Atwal,18,"46' 2""",Sanderson Farms,2,11
176,177,,Chad Campbell,97,"45' 11""",Shriners Hosp.,4,5
177,178,,Hiroshi Iwata,25,"45' 11""",AT&T Pebble,2,10
178,179,,Davis Love III,39,"45' 11""",Wells Fargo,1,13
179,180,,David Duval,9,"45' 8""",Sanderson Farms,1,18
180,181,,Jon Curran,35,"45' 8""",The RSM Classic,4,3
181,182,,Max Homa,39,"45' 8""",St. Jude,1,5
182,183,,Jhonattan Vegas,95,"45' 7""",Honda Classic,2,8
183,184,,Smylie Kaufman,76,"45' 7""",THE PLAYERS,2,17
184,185,,Brad Fritsch,56,"45' 7""",Byron Nelson,2,3
185,186,,Hunter Mahan,73,"45' 7""",DEAN & DELUCA,2,15
186,187,,Scott Langley,10,"45' 6""",The RSM Classic,1,6
187,188,,Michael Putnam,21,"45' 6""",St. Jude,3,13
188,189,,Ben Curtis,4,"45' 4""",Sanderson Farms,2,16
189,190,,Si Woo Kim,80,"45' 4""",Genesis Open,1,15
190,191,,Andrew Loupe,55,"45' 3""",Byron Nelson,2,18
191,192,,Braden Thornberry,6,"45' 3""",St. Jude,4,3
192,193,,Tom Hoge,54,"45' 3""",Canadian Open,4,4
193,194,,Brandt Snedeker,53,"45' 2""",Arnold Palmer,2,3
194,195,,Ricky Barnes,100,"45' 2""",RBC Heritage,1,15
195,196,,Yuta Ikeda,29,"44' 9""",RBC Heritage,1,16
196,197,,George McNeill,17,"44' 7""",John Deere,2,16
197,198,,Ryan Armour,63,"44' 6""",The RSM Classic,1,13
198,199,,Sebastián Muñoz,51,"44' 5""",Sanderson Farms,4,4
199,200,,Cody Gribble,79,"44' 5""",Honda Classic,3,5
200,201,,Bobby Wyatt,49,"44' 5""",John Deere,2,16
201,202,,Chris Wood,31,"44' 4""",WGC-Bridgestone,3,5
202,203,,Frank Lickliter II,4,"44' 3""",Barbasol Champ,1,1
203,204,,Andres Romero,32,"44' 1""",WGC-Bridgestone,1,12
204,205,,Danny Lee,93,"44' 0""",Safeway Open,4,12
205,206,,Patrick Cantlay,52,"43' 11""",AT&T Pebble,3,9
206,207,,Mike Weir,7,"43' 7""",Canadian Open,1,5
207,208,,Rory Sabbatini,71,"43' 5""",The RSM Classic,4,3
208,209,,Will MacKenzie,49,"43' 5""",The RSM Classic,3,12
209,210,,Russell Knox,75,"43' 5""",Wyndham Champ,1,7
210,211,,Tyler Aldridge,37,"43' 4""",The RSM Classic,2,16
211,212,,Geoff Ogilvy,80,"43' 4""",Wyndham Champ,2,14
212,213,,Marcus Fraser,12,"43' 3""",WGC-Mexico,2,14
213,214,,Troy Merritt,82,"43' 2""",Wyndham Champ,3,7
214,215,,Charlie Danielson,10,"43' 1""",Valspar Champ,3,13
215,216,,James Hahn,96,"43' 0""",Shriners Hosp.,4,2
216,217,,John Peterson,42,"42' 10""",Honda Classic,1,16
217,218,,Mike Hendry,6,"42' 10""",WGC-Mexico,4,2
218,219,,Charl Schwartzel,63,"42' 8""",PGA Championshi,2,14
219,220,,Richy Werenski,81,"42' 7""",Wyndham Champ,1,6
220,221,,Francesco Molinari,75,"42' 7""",Dell Tech Champ,2,9
221,222,,Josh Teater,6,"42' 6""",The RSM Classic,4,18
222,223,,Scott Hend,22,"42' 6""",WGC-Bridgestone,3,10
223,224,,Kevin Streelman,90,"42' 5""",Shell Houston,1,15
224,225,,Dicky Pride,24,"42' 4""",Barbasol Champ,2,8
225,226,,Jason Bohn,75,"42' 3""",Quicken Loans,1,12
226,227,,Troy Kelly,5,"41' 10""",Wyndham Champ,1,17
227,228,,K.J. Choi,72,"41' 9""",Wyndham Champ,2,11
228,229,,Craig Barlow,11,"41' 7""",Sanderson Farms,2,16
229,230,,Chris Kirk,89,"41' 7""",The RSM Classic,2,9
230,231,,Mark Hensby,4,"41' 4""",Barbasol Champ,2,17
231,232,,Joel Dahmen,46,"41' 2""",CareerBuilder,1,16
232,233,,Julián Etulain,68,"41' 2""",Travelers Champ,2,8
233,234,,D.J. Trahan,15,"41' 2""",Barbasol Champ,2,3
234,235,,Steve Marino,39,"41' 1""",Phoenix Open,2,5
235,236,,Jason Schmuhl,2,"40' 11""",Safeway Open,2,11
236,237,,Matt Lee,2,"40' 10""",John Deere,1,8
237,238,,Greg Owen,47,"40' 9""",Sanderson Farms,1,14
238,239,,Johnson Wagner,71,"40' 6""",Quicken Loans,2,7
239,240,,Sahith Theegala,6,"40' 4""",Genesis Open,3,3
240,241,,Søren Kjeldsen,58,"40' 2""",WGC-Mexico,2,18
241,242,,Sam Saunders,76,"40' 2""",DEAN & DELUCA,3,9
242,243,,Chez Reavie,98,"40' 2""",Dell Tech Champ,2,13
243,244,,Grayson Murray,94,"40' 1""",CareerBuilder,2,8
244,245,,Ryan Ruffels,20,"40' 1""",Canadian Open,1,9
245,246,,Zach Johnson,81,"40' 0""",Arnold Palmer,1,8
246,247,,S.M. Lee,2,"39' 11""",Barbasol Champ,1,3
247,248,,Ángel Cabrera,39,"39' 10""",Shell Houston,3,2
248,249,,Phil Mickelson,85,"39' 10""",THE PLAYERS,4,6
249,250,,Michael Schoolcraft,2,"39' 9""",Phoenix Open,1,8
250,251,,Jonathan Byrd,31,"39' 8""",The Greenbrier,2,2
251,252,,Tim Petrovic,6,"39' 2""",Sanderson Farms,4,3
252,253,,Chip Deason,5,"39' 1""",St. Jude,2,11
253,254,,K.T. Kim,19,"38' 11""",PGA Championshi,3,2
254,255,,Bud Cauley,92,"38' 10""",Texas Open,2,2
255,256,,Omar Uresti,6,"38' 10""",PGA Championshi,1,3
256,257,,Jason Gore,12,"38' 8""",Sanderson Farms,2,7
257,258,,Henrik Norlander,18,"38' 8""",Sony Open,1,11
258,259,,Thorbjørn Olesen,20,"38' 4""",WGC-Bridgestone,1,1
259,260,,Satoshi Kodaira,16,"38' 4""",PGA Championshi,3,11
260,261,,Sergio Garcia,65,"38' 4""",TOUR Champ,1,1
261,262,,Willy Wilcox,36,"38' 3""",Phoenix Open,1,2
262,263,,Jim Furyk,54,"38' 1""",WGC-Mexico,3,14
263,264,,Steve Stricker,48,"38' 1""",PGA Championshi,2,11
264,265,,Rafa Cabrera Bello,63,"38' 0""",Dell Tech Champ,2,17
265,266,,Parker McLachlin,2,"37' 11""",Sony Open,2,17
266,267,,Ryan Brehm,83,"37' 11""",Texas Open,1,16
267,268,,Mike Genovese,2,"37' 11""",Barbasol Champ,1,3
268,269,,Aaron Wise,20,"37' 10""",CareerBuilder,3,7
269,270,,Lee Westwood,37,"37' 10""",WGC-Mexico,4,1
270,271,,Marc Turnesa,8,"37' 9""",Barbasol Champ,2,13
271,272,,Charley Hoffman,112,"37' 6""",Arnold Palmer,2,5
272,273,,Brian Harman,104,"37' 4""",The RSM Classic,1,1
273,274,,Boo Weekley,75,"37' 4""",THE PLAYERS,4,8
274,275,,Young-han Song,14,"36' 11""",PGA Championshi,1,9
275,276,,Gonzalo Fernandez-Castaño,63,"36' 10""",Safeway Open,2,5
276,277,,Carl Pettersson,63,"36' 10""",Sony Open,2,18
277,278,,Miguel Angel Carballo,63,"36' 9""",Wells Fargo,4,16
278,279,,Roberto Castro,70,"36' 7""",Farmers Ins.,2,16
279,280,,Zack Sucher,36,"36' 6""",Sanderson Farms,3,16
280,281,,Brendon Todd,21,"36' 5""",Byron Nelson,1,16
281,282,,Curtis Luck,37,"36' 4""",Quicken Loans,2,12
282,283,,Matthew Griffin,10,"35' 9""",the Memorial,4,18
283,284,,Adam Rainaud,2,"35' 9""",PGA Championshi,1,11
284,285,,Y.E. Yang,26,"35' 7""",Sony Open,2,12
285,286,,David Hronek,2,"35' 4""",Arnold Palmer,1,15
286,287,,Bernd Wiesberger,37,"35' 0""",Shell Houston,3,1
287,288,,Mark Wilson,39,"34' 8""",CareerBuilder,3,13
288,289,,Padraig Harrington,30,"34' 7""",the Memorial,3,15
289,290,,Branden Grace,70,"34' 3""",PGA Championshi,2,9
290,291,,Brett Coletta,9,"34' 1""",the Memorial,2,1
291,292,,Brian Rowell,2,"34' 0""",Sanderson Farms,2,2
292,293,,Shaun Micheel,7,"33' 11""",Barbasol Champ,1,12
293,294,,Colt Knost,11,"33' 10""",Safeway Open,2,9
294,295,,Thomas Pieters,37,"33' 10""",Genesis Open,4,9
295,296,,Adam Scott,58,"33' 9""",PGA Championshi,1,4
296,297,,HaoTong Li,16,"33' 8""",Wyndham Champ,2,8
297,298,,Mark Silvers,2,"33' 7""",The RSM Classic,2,15
298,299,,Kevin Hayashi,2,"33' 7""",Sony Open,1,12
299,300,,Sam Burns,4,"33' 7""",Barbasol Champ,2,2
300,301,,Matthew Fitzpatrick,41,"33' 5""",WGC-Mexico,2,8
301,302,,Tommy Gainey,20,"33' 3""",The Greenbrier,3,18
302,303,,Tim Herron,20,"33' 1""",John Deere,1,4
303,304,,Steven Alker,69,"33' 1""",Canadian Open,2,1
304,305,,Hugo Bernard,2,"33' 0""",Canadian Open,2,17
305,306,,Collin Morikawa,2,"32' 9""",Safeway Open,1,14
306,307,,Martin Kaymer,39,"32' 9""",RBC Heritage,4,10
307,308,,Paul Lawrie,6,"32' 9""",WGC-Bridgestone,2,10
308,309,,Charlie Wi,20,"32' 4""",Sanderson Farms,4,1
309,310,,Rick Lamb,54,"32' 4""",Wyndham Champ,4,8
310,311,,David Toms,8,"32' 2""",Sanderson Farms,4,18
311,312,,Richard Sterne,12,"32' 1""",WGC-Mexico,4,2
312,313,,Ross Fisher,35,"32' 1""",the Memorial,1,15
313,314,,Nicholas Thompson,5,"31' 11""",The RSM Classic,1,11
314,315,,Matthias Schwab,2,"31' 10""",Arnold Palmer,1,4
315,316,,Jared Sawada,4,"31' 8""",Sony Open,3,5
316,317,,Danny Willett,29,"31' 5""",PGA Championshi,1,16
317,318,,Wes Homan,2,"31' 3""",Barbasol Champ,1,16
318,319,,Jim Knous,2,"31' 2""",Phoenix Open,1,11
319,320,,Kevin Hall,2,"31' 2""",Genesis Open,2,3
320,321,,Justin Lower,4,"31' 1""",Wells Fargo,1,18
321,322,,Joseph Bramlett,4,"30' 10""",Safeway Open,3,11
322,323,,Rob Oppenheim,12,"30' 8""",Genesis Open,2,8
323,324,,Alan Cooke,2,"30' 8""",The Greenbrier,1,13
324,325,,Nick Hardy,4,"30' 5""",John Deere,2,18
325,326,,Freddie Jacobson,24,"30' 4""",Byron Nelson,2,14
326,327,,Daniel Obremski,4,"30' 3""",The Greenbrier,2,2
327,328,,Charlie Beljan,18,"30' 1""",The Greenbrier,1,8
328,329,,Fabrizio Zanotti,17,"29' 11""",Byron Nelson,2,12
329,330,,Derek Rende,2,"29' 11""",Barbasol Champ,1,10
330,331,,Heath Slocum,6,"29' 10""",Sanderson Farms,1,7
331,332,,Chase Koepka,6,"29' 7""",Wells Fargo,2,6
332,333,,Jerry Kelly,20,"29' 5""",Sanderson Farms,2,2
333,334,,Jordan L Smith,4,"29' 4""",PGA Championshi,4,7
334,335,,Pablo Larrazabal,8,"29' 2""",PGA Championshi,2,8
335,336,,Riley Arp,2,"29' 0""",Shell Houston,1,1
336,337,,Peter Uihlein,23,"29' 0""",St. Jude,1,8
337,338,,Kurt Kitayama,6,"28' 10""",Shriners Hosp.,2,8
338,339,,Miguel Tabuena,12,"28' 10""",Sony Open,4,17
339,340,,Joaquin Niemann,6,"28' 10""",The Greenbrier,2,2
340,341,,Brandon Stone,19,"28' 8""",PGA Championshi,1,17
341,342,,Sam Horsfield,16,"28' 5""",Wyndham Champ,1,7
342,343,,Joey Garber,2,"28' 4""",Honda Classic,2,9
343,344,,Gavin Kyle Green,8,"28' 4""",Quicken Loans,1,4
344,345,,David McNabb,2,"28' 2""",PGA Championshi,2,9
345,346,,Ben Willman,2,"27' 9""",Shell Houston,2,6
346,347,,Austin Smotherman,2,"27' 2""",Byron Nelson,2,16
347,348,,Jonathan Garrick,8,"27' 0""",Genesis Open,3,1
348,349,,Len Mattiace,2,"27' 0""",Barbasol Champ,1,2
349,350,,Justin Leonard,4,"26' 11""",Texas Open,2,9
350,351,,Maverick McNealy,12,"26' 11""",John Deere,4,13
351,352,,Renato Paratore,4,"26' 8""",WGC-Bridgestone,2,12
352,353,,Chris Smith,5,"26' 7""",Barbasol Champ,1,12
353,354,,Chase Seiffert,11,"26' 6""",Travelers Champ,1,16
354,355,,Andrew Johnston,42,"26' 5""",Phoenix Open,2,8
355,356,,Kurt Slattery,2,"26' 3""",John Deere,1,7
356,357,,Bill Lunde,20,"26' 2""",Barbasol Champ,2,3
357,358,,Garrett Rank,2,"25' 11""",Canadian Open,1,4
358,359,,Yusaku Miyazato,8,"25' 8""",Sony Open,1,5
359,360,,Brent Grant,2,"25' 8""",Sony Open,2,2
360,361,,Rich Beem,2,"25' 7""",PGA Championshi,1,5
361,362,,Alex Moon,4,"25' 0""",Byron Nelson,2,1
362,363,,Cameron Beckman,6,"25' 0""",Barbasol Champ,1,14
363,364,,Matt Atkins,4,"24' 11""",Sanderson Farms,3,7
364,365,,Stephen Gangluff,2,"24' 11""",Honda Classic,1,5
365,366,,John Daly,8,"24' 4""",The Greenbrier,1,16
366,367,,Jazz Janewattananond,2,"24' 0""",DEAN & DELUCA,1,9
367,368,,Max Rottluff,2,"23' 8""",Farmers Ins.,1,13
368,369,,Neal Lancaster,3,"23' 8""",AT&T Pebble,2,16
369,370,,Sihwan Kim,2,"23' 6""",Shriners Hosp.,1,18
370,371,,Alan Morin,4,"23' 6""",Honda Classic,2,3
371,372,,Jamie Sadlowski,2,"23' 3""",DEAN & DELUCA,1,16
372,373,,Lee McCoy,12,"23' 2""",Shriners Hosp.,1,2
373,374,,David Lawrence,2,"23' 1""",John Deere,2,4
374,375,,Josh Broadaway,2,"23' 0""",The RSM Classic,1,5
375,376,,Drew Goff,2,"22' 11""",Sanderson Farms,1,13
376,377,,Zach Wright,4,"22' 10""",The RSM Classic,1,14
377,378,,Robert Gamez,4,"22' 10""",Arnold Palmer,1,12
378,379,,Dru Love,11,"22' 8""",The Greenbrier,2,11
379,380,,Dudley Hart,2,"22' 8""",Barbasol Champ,2,15
380,381,,Derek Ernst,6,"22' 6""",Wells Fargo,1,13
381,382,,Alexander Levy,10,"22' 6""",PGA Championshi,2,18
382,383,,Michael Bradley,8,"22' 5""",Sanderson Farms,2,16
383,384,,Sam Brazel,8,"22' 3""",WGC-Mexico,2,6
384,385,,Brad Sill,2,"22' 1""",Barbasol Champ,2,10
385,386,,Sung Joon Park,3,"21' 9""",St. Jude,1,12
386,387,,Jamie Broce,2,"21' 5""",PGA Championshi,2,9
387,388,,Kramer Hickok,6,"21' 4""",Canadian Open,1,16
388,389,,Mike Small,2,"21' 4""",PGA Championshi,1,13
389,390,,Kevin Dougherty,6,"21' 3""",Genesis Open,2,12
390,391,,Trace Crowe,2,"21' 2""",Barbasol Champ,1,5
391,392,,Ryan Williams,2,"21' 1""",Canadian Open,2,1
392,393,,Marty Jertson,2,"21' 0""",Shriners Hosp.,1,4
393,394,,Chris Evans,4,"20' 10""",CareerBuilder,4,8
394,395,,Drew Nesbitt,2,"20' 9""",Canadian Open,2,18
395,396,,Grant Leaver,4,"20' 7""",Barbasol Champ,3,7
396,397,,Paul Claxton,2,"20' 6""",PGA Championshi,1,17
