,Birdie_or_Better_Conversion_Percentage_RANK THIS WEEK,Birdie_or_Better_Conversion_Percentage_RANK LAST WEEK,Birdie_or_Better_Conversion_Percentage_PLAYER NAME,Birdie_or_Better_Conversion_Percentage_ROUNDS,Birdie_or_Better_Conversion_Percentage_%,Birdie_or_Better_Conversion_Percentage_# BIRDIES,Birdie_or_Better_Conversion_Percentage_GREENS HIT
142,143,,Steven Alker,69,27.82,205,737
143,144,,Ernie Els,52,27.81,136,489
144,145,,James Hahn,96,27.78,317,1141
145,146,,Luke Donald,50,27.72,148,534
146,147,,Jim Herman,77,27.62,253,916
147,T148,,Tyrone Van Aswegen,105,27.57,319,1157
148,T148,,Steve Wheatcroft,51,27.57,142,515
149,150,,Julián Etulain,68,27.55,208,755
150,151,,Hunter Mahan,73,27.46,226,823
151,152,,D.A. Points,68,27.34,222,812
152,153,,Brett Drewitt,57,27.27,168,616
153,154,,K.J. Choi,72,27.24,204,749
154,155,,Cameron Percy,71,27.14,222,818
155,156,,Zac Blair,105,27.13,312,1150
156,157,,Brett Stegmaier,78,27.11,247,911
157,158,,Bill Haas,92,27.1,265,978
158,159,,John Huh,92,27.02,281,1040
159,160,,Ben Crane,86,27.01,252,933
160,T161,,Billy Horschel,88,26.92,277,1029
161,T161,,Scott Stallings,81,26.92,252,936
162,163,,Patrick Rodgers,76,26.91,236,877
163,164,,Mark Anderson,54,26.87,165,614
164,165,,David Hearn,93,26.77,265,990
165,166,,William McGirt,89,26.7,255,955
166,T167,,Martin Flores,88,26.68,274,1027
167,T167,,Michael Thompson,60,26.68,171,641
168,169,,Bryce Molder,74,26.67,219,821
169,170,,Ken Duke,77,26.63,216,811
170,171,,Shawn Stefani,72,26.61,219,823
171,172,,Boo Weekley,75,26.5,238,898
172,T173,,Johnson Wagner,71,26.46,200,756
173,T173,,Nick Watney,75,26.46,218,824
174,175,,Branden Grace,70,26.35,185,702
175,176,,C.T. Pan,88,26.08,266,1020
176,177,,Rod Pampling,71,26.07,213,817
177,178,,Chad Campbell,97,26.06,313,1201
178,179,,Spencer Levin,89,25.85,259,1002
179,180,,Ryan Armour,63,25.81,191,740
180,181,,Geoff Ogilvy,80,25.71,218,848
181,182,,Mark Hubbard,81,25.43,221,869
182,183,,Roberto Castro,70,25.33,192,758
183,184,,Ryan Palmer,61,25.17,152,604
184,185,,Alex Cejka,85,24.92,229,919
185,186,,Jim Furyk,54,24.73,137,554
186,187,,Kyle Reifers,96,24.18,252,1042
187,188,,J.J. Henry,92,23.93,257,1074
188,189,,Jason Bohn,75,23.45,189,806
189,190,,Steven Bowditch,59,23.02,122,530
