,Average_Distance_of_Eagle_putts_made_RANK THIS WEEK,Average_Distance_of_Eagle_putts_made_RANK LAST WEEK,Average_Distance_of_Eagle_putts_made_PLAYER NAME,Average_Distance_of_Eagle_putts_made_ROUNDS,Average_Distance_of_Eagle_putts_made_AVG,Average_Distance_of_Eagle_putts_made_TOT DIST (FT),Average_Distance_of_Eagle_putts_made_TOT EAGLES PUTTS MADE.,Average_Distance_of_Eagle_putts_made_LONGEST MADE (FT),Average_Distance_of_Eagle_putts_made_SHORTEST MADE (FT)
59,T59,T59,Adam Scott,60,"18' 8""",37.25,2,31,7
60,T61,T61,Martin Laird,77,"18' 3""",127.583,7,47,4
61,T61,T61,Brandt Snedeker,85,"18' 3""",91.25,5,37,3
62,T63,T63,Anthony Kim,72,"17' 11""",89.5,5,35,1
63,T63,T63,Andres Romero,77,"17' 11""",107.667,6,36,5
64,T63,T63,Kevin Stadler,88,"17' 11""",53.667,3,29,7
65,66,66,Lucas Glover,74,"17' 5""",139.333,8,40,4
66,T67,T67,Jason Bohn,74,"17' 4""",86.5,5,37,1
67,T67,T67,Shaun Micheel,77,"17' 4""",34.667,2,26,8
68,T67,T67,Kevin Streelman,90,"17' 4""",86.5,5,32,6
69,70,70,Boo Weekley,66,"17' 1""",68.25,4,28,6
70,T71,T71,Jason Day,76,"16' 10""",67.25,4,36,9
71,T71,T71,Padraig Harrington,60,"16' 10""",33.667,2,18,15
72,T71,T71,John Rollins,85,"16' 10""",151.333,9,49,2
73,74,74,Luke Donald,73,"16' 8""",33.333,2,25,9
74,75,75,Bio Kim,71,"16' 7""",16.583,1,17,17
75,76,76,Bobby Gates,82,"16' 6""",131.917,8,48,5
76,77,77,Chris Couch,73,"16' 5""",65.667,4,35,8
77,78,78,Brian Gay,90,"16' 3""",16.25,1,16,16
78,79,79,Billy Horschel,75,"16' 2""",64.667,4,44,"7"""
79,80,80,Brendan Steele,89,"16' 0""",96.167,6,27,5
80,T81,T81,Webb Simpson,98,"15' 11""",158.917,10,43,5
81,T81,T81,Josh Teater,104,"15' 11""",111.417,7,33,2
82,83,83,Justin Hicks,60,"15' 10""",31.666999999999998,2,23,9
83,84,84,Cameron Tringale,110,"15' 9""",78.833,5,27,7
84,85,85,George McNeill,69,"15' 7""",31.083000000000002,2,25,6
85,86,86,Matt Kuchar,94,"15' 6""",77.5,5,33,"11"""
86,87,87,Matt Jones,71,"15' 4""",46.083,3,18,11
87,88,88,Vaughn Taylor,89,"15' 3""",76.25,5,24,4
88,89,89,Briny Baird,60,"15' 2""",15.167,1,15,15
89,90,90,Rocco Mediate,53,"15' 1""",30.083000000000002,2,21,9
90,T91,T91,Kevin Kisner,70,"14' 10""",59.25,4,20,5
91,T91,T91,Jeff Overton,92,"14' 10""",88.75,6,42,"3"""
92,93,93,Jonathan Byrd,83,"14' 9""",73.833,5,21,5
93,94,94,Bo Van Pelt,92,"14' 8""",87.833,6,37,3
94,95,95,Kevin Na,84,"14' 5""",57.5,4,21,10
95,96,96,Scott Piercy,78,"14' 0""",84.0,6,33,4
96,97,97,Derek Lamely,65,"13' 11""",69.583,5,31,2
97,T98,T98,Tommy Gainey,104,"13' 10""",69.083,5,27,1
98,T98,T98,Chris Stroud,88,"13' 10""",69.25,5,31,3
99,T100,T100,Matt Bettencourt,84,"13' 8""",81.75,6,21,8
100,T100,T100,Bill Haas,93,"13' 8""",40.917,3,34,2
101,T100,T100,Chez Reavie,92,"13' 8""",41.083,3,34,3
102,103,103,Bill Lunde,92,"13' 7""",40.667,3,19,8
103,104,104,Nick O'Hern,89,"13' 6""",40.583,3,23,7
104,T105,T105,Aaron Baddeley,77,"13' 4""",53.333,4,25,4
105,T105,T105,Scott Gutschewski,67,"13' 4""",26.666999999999998,2,18,9
106,T107,T107,Ryan Moore,79,"13' 1""",26.083000000000002,2,19,7
107,T107,T107,Roland Thatcher,67,"13' 1""",52.25,4,36,3
108,109,109,Fabián Gómez,84,"13' 0""",52.0,4,32,4
109,110,110,Charles Howell III,108,"12' 10""",77.0,6,28,3
110,T111,T111,Spencer Levin,113,"12' 9""",38.333,3,18,6
111,T111,T111,Charl Schwartzel,58,"12' 9""",12.75,1,13,13
112,T111,T111,Daniel Summerhays,75,"12' 9""",76.417,6,31,6
113,114,114,Zack Miller,86,"12' 8""",50.667,4,17,4
114,115,115,Justin Leonard,82,"12' 6""",24.916999999999998,2,16,9
115,T116,T116,Ryuji Imada,83,"12' 5""",24.75,2,13,11
116,T116,T116,Lee Janzen,62,"12' 5""",37.25,3,20,7
117,118,118,Woody Austin,59,"12' 2""",12.167,1,12,12
118,119,119,Will Strickler,51,"12' 1""",60.333,5,28,"8"""
119,T120,T120,Greg Chalmers,88,"11' 6""",46.0,4,20,5
120,T120,T120,Chris Kirk,87,"11' 6""",45.917,4,27,3
121,T120,T120,Jimmy Walker,79,"11' 6""",68.833,6,16,8
122,T123,T123,Kevin Chappell,78,"11' 2""",55.667,5,24,1
123,T123,T123,Vijay Singh,79,"11' 2""",33.583,3,17,5
124,125,125,Camilo Villegas,69,"11' 1""",11.083,1,11,11
125,126,126,Alexandre Rocha,65,"10' 11""",21.75,2,15,7
126,T127,T127,Steve Flesch,88,"10' 10""",21.666999999999998,2,13,9
127,T127,T127,J.B. Holmes,57,"10' 10""",43.417,4,20,2
128,T127,T127,William McGirt,103,"10' 10""",43.417,4,16,4
129,T130,T130,Rickie Fowler,84,"10' 8""",63.917,6,20,4
130,T130,T130,Marc Leishman,87,"10' 8""",64.0,6,15,7
131,132,132,D.J. Trahan,91,"10' 7""",84.583,8,36,3
132,T133,T133,Jarrod Lyle,83,"10' 6""",52.333,5,15,2
133,T133,T133,Paul Stankowski,78,"10' 6""",10.5,1,11,11
134,135,135,Michael Connell,76,"10' 5""",10.417,1,10,10
135,136,136,Zach Johnson,79,"10' 4""",51.583,5,14,5
136,137,137,Andres Gonzales,60,"10' 2""",20.25,2,17,4
137,138,138,Blake Adams,116,"9' 11""",29.75,3,13,7
138,T139,T139,Michael Bradley,74,"9' 10""",39.167,4,18,2
139,T139,T139,Kent Jones,76,"9' 10""",39.167,4,26,3
140,T139,T139,Scott Stallings,84,"9' 10""",29.5,3,19,5
141,142,142,Michael Thompson,79,"9' 9""",29.333000000000002,3,13,7
142,143,143,D.J. Brigman,67,"9' 6""",28.416999999999998,3,14,6
143,144,144,Steve Marino,76,"9' 2""",55.0,6,22,4
144,145,145,Robert Karlsson,61,"9' 0""",35.917,4,15,4
145,146,146,Heath Slocum,89,"8' 9""",17.5,2,10,8
146,147,147,David Hearn,88,"8' 8""",34.667,4,21,4
147,148,148,Chris Riley,76,"8' 6""",16.917,2,11,6
148,T149,T149,Cameron Beckman,71,"8' 3""",16.5,2,14,3
149,T149,T149,Steve Stricker,70,"8' 3""",33.0,4,16,5
150,151,151,J.J. Henry,96,"8' 1""",24.25,3,12,5
151,152,152,Ricky Barnes,78,"7' 9""",15.5,2,15,"11"""
152,T153,T153,James Driscoll,71,"7' 6""",15.0,2,13,2
153,T153,T153,Ian Poulter,52,"7' 6""",14.917,2,8,7
154,T155,T155,David Toms,78,"7' 4""",14.667,2,10,5
155,T155,T155,Mark Wilson,89,"7' 4""",22.083000000000002,3,10,3
156,157,157,Kris Blanks,92,"6' 11""",20.833000000000002,3,15,3
157,158,158,Graeme McDowell,50,"6' 7""",13.167,2,8,6
158,159,159,Chad Campbell,99,"6' 3""",18.75,3,11,3
159,160,160,Alex Cejka,59,"5' 8""",16.917,3,8,3
160,161,161,Martin Piller,63,"5' 6""",5.5,1,6,6
161,162,162,Nate Smith,66,"5' 4""",21.25,4,9,3
162,163,163,Harrison Frazar,58,"5' 1""",5.083,1,5,5
163,164,164,Ben Crane,76,"5' 0""",15.0,3,13,"2"""
164,165,165,Ernie Els,71,"4' 9""",4.75,1,5,5
165,166,166,Joseph Bramlett,73,"4' 8""",4.667,1,5,5
166,167,167,David Duval,67,"4' 7""",9.083,2,9,"1"""
167,168,168,David Mathis,83,"4' 2""",8.25,2,7,1
168,169,169,Steve Elkington,50,"4' 0""",4.0,1,4,4
169,170,170,Stuart Appleby,65,"3' 5""",3.417,1,3,3
170,171,171,Rory Sabbatini,85,"2' 10""",2.833,1,3,3
171,172,172,Jim Herman,69,"2' 2""",6.582999999999999,3,4,"4"""
172,173,173,Geoff Ogilvy,69,"2' 0""",2.0,1,2,2
173,174,174,Retief Goosen,50,"1' 8""",1.6669999999999998,1,2,2
