,Total_1_Putts_-_Inside_5_RANK THIS WEEK,Total_1_Putts_-_Inside_5_RANK LAST WEEK,Total_1_Putts_-_Inside_5_PLAYER NAME,Total_1_Putts_-_Inside_5_ROUNDS,Total_1_Putts_-_Inside_5_TOTAL,Total_1_Putts_-_Inside_5_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-_Inside_5_PCT OF ALL 1-PUTTS
42,T43,T43,Jonathan Byrd,83,272,519,52.4
43,T43,T43,Bo Van Pelt,92,272,501,54.3
44,T45,T45,Keegan Bradley,91,269,526,51.1
45,T45,T45,Andres Romero,77,269,530,50.8
46,47,47,Kris Blanks,92,268,529,50.7
47,T48,T48,Michael Connell,76,267,491,54.4
48,T48,T48,Paul Goydos,81,267,502,53.2
49,T48,T48,Hunter Mahan,92,267,549,48.6
50,51,51,Chris Couch,73,266,499,53.3
51,52,52,J.J. Henry,96,265,502,52.8
52,53,53,Chris Stroud,88,264,532,49.6
53,T54,T54,Charley Hoffman,93,263,516,51.0
54,T54,T54,Nick O'Hern,89,263,521,50.5
55,56,56,Brendan Steele,89,260,505,51.5
56,T57,T57,Brandt Jobe,100,259,548,47.3
57,T57,T57,Zack Miller,86,259,503,51.5
58,T57,T57,Pat Perez,76,259,526,49.2
59,60,60,Matt Bettencourt,84,258,546,47.3
60,61,61,Vijay Singh,79,257,508,50.6
61,62,62,Colt Knost,80,255,462,55.2
62,63,63,Phil Mickelson,79,254,428,59.3
63,64,64,Jeff Overton,92,253,517,48.9
64,65,65,Ryan Palmer,82,250,438,57.1
65,66,66,Mark Wilson,89,249,504,49.4
66,67,67,Chris Riley,76,248,458,54.1
67,T68,T68,Matt Jones,71,246,459,53.6
68,T68,T68,Michael Thompson,79,246,497,49.5
69,T70,T70,Bio Kim,71,245,429,57.1
70,T70,T70,Bill Lunde,92,245,516,47.5
71,T70,T70,David Mathis,83,245,511,47.9
72,T73,T73,Bill Haas,93,244,485,50.3
73,T73,T73,John Senden,94,244,523,46.7
74,T75,T75,Rickie Fowler,84,243,502,48.4
75,T75,T75,Zach Johnson,79,243,488,49.8
76,T77,T77,Jim Furyk,87,242,464,52.2
77,T77,T77,Daniel Summerhays,75,242,442,54.8
78,79,79,Kevin Streelman,90,241,508,47.4
79,80,80,Robert Garrigus,83,240,475,50.5
80,81,81,Jerry Kelly,85,239,477,50.1
81,T82,T82,Jason Bohn,74,237,472,50.2
82,T82,T82,Paul Stankowski,78,237,475,49.9
83,84,84,Aaron Baddeley,77,236,470,50.2
84,85,85,Kevin Chappell,78,234,437,53.5
85,T86,T86,Jason Day,76,233,465,50.1
86,T86,T86,Scott Stallings,84,233,459,50.8
87,T88,T88,Ricky Barnes,78,232,421,55.1
88,T88,T88,Kevin Stadler,88,232,470,49.4
89,T90,T90,Ben Crane,76,231,438,52.7
90,T90,T90,Martin Laird,77,231,453,51.0
91,T90,T90,Joe Ogilvie,75,231,457,50.5
92,T93,T93,Bobby Gates,82,230,430,53.5
93,T93,T93,David Hearn,88,230,518,44.4
94,T93,T93,Garrett Willis,71,230,447,51.5
95,96,96,Stuart Appleby,65,229,422,54.3
96,T97,T97,Robert Allenby,84,228,469,48.6
97,T97,T97,Trevor Immelman,84,228,436,52.3
98,T99,T99,Cameron Beckman,71,227,455,49.9
99,T99,T99,Johnson Wagner,81,227,479,47.4
100,101,101,Rory Sabbatini,85,226,428,52.8
101,T102,T102,Scott Piercy,78,225,457,49.2
102,T102,T102,John Rollins,85,225,476,47.3
103,T104,T104,Roland Thatcher,67,224,446,50.2
104,T104,T104,Jhonattan Vegas,84,224,458,48.9
105,T104,T104,Gary Woodland,93,224,452,49.6
106,T107,T107,Shaun Micheel,77,223,447,49.9
107,T107,T107,Heath Slocum,89,223,450,49.6
108,T109,T109,Jason Dufner,78,222,450,49.3
109,T109,T109,Steve Marino,76,222,455,48.8
110,T109,T109,Nick Watney,80,222,470,47.2
111,112,112,James Driscoll,71,221,421,52.5
112,T113,T113,Fabián Gómez,84,218,452,48.2
113,T113,T113,Ryan Moore,79,218,447,48.8
114,T115,T115,Scott McCarron,65,217,397,54.7
115,T115,T115,Rod Pampling,72,217,424,51.2
116,117,117,Stephen Ames,69,216,420,51.4
117,118,118,George McNeill,69,214,409,52.3
118,119,119,Justin Rose,79,211,430,49.1
119,T120,T120,Joseph Bramlett,73,209,392,53.3
120,T120,T120,Geoff Ogilvy,69,209,421,49.6
121,122,122,Ben Martin,74,208,441,47.2
122,123,123,Alex Prugh,82,207,427,48.5
123,124,124,Joe Durant,71,206,397,51.9
124,125,125,Billy Horschel,75,205,417,49.2
125,T126,T126,D.J. Brigman,67,204,386,52.8
126,T126,T126,Bubba Watson,85,204,402,50.7
127,T128,T128,Anthony Kim,72,203,426,47.7
128,T128,T128,Kevin Kisner,70,203,404,50.2
129,T130,T130,Woody Austin,59,202,371,54.4
130,T130,T130,Ben Curtis,66,202,431,46.9
131,T130,T130,Troy Merritt,63,202,378,53.4
132,T130,T130,Camilo Villegas,69,202,402,50.2
133,T134,T134,Sean O'Hair,71,201,400,50.3
134,T134,T134,Nate Smith,66,201,395,50.9
135,T136,T136,Michael Bradley,74,199,384,51.8
136,T136,T136,Steve Stricker,70,199,426,46.7
137,T136,T136,Dean Wilson,62,199,410,48.5
138,139,139,Luke Donald,73,197,418,47.1
139,T140,T140,Lucas Glover,74,195,430,45.3
140,T140,T140,Jim Renner,65,195,383,50.9
141,142,142,Padraig Harrington,60,193,347,55.6
142,T143,T143,Shane Bertsch,62,192,376,51.1
143,T143,T143,David Duval,67,192,396,48.5
144,145,145,Kent Jones,76,191,444,43.0
145,T146,T146,Davis Love III,70,188,340,55.3
146,T146,T146,John Merrick,71,188,400,47.0
147,148,148,K.J. Choi,77,187,400,46.8
148,T149,T149,Stewart Cink,72,186,354,52.5
149,T149,T149,Scott Gutschewski,67,186,366,50.8
150,T151,T151,Lee Janzen,62,182,354,51.4
151,T151,T151,Michael Putnam,67,182,364,50.0
152,153,153,Derek Lamely,65,180,368,48.9
153,154,154,David Toms,78,179,419,42.7
154,155,155,Robert Karlsson,61,178,340,52.4
155,T156,T156,Jim Herman,69,177,354,50.0
156,T156,T156,Boo Weekley,66,177,337,52.5
157,T158,T158,J.P. Hayes,56,176,344,51.2
158,T158,T158,Richard Johnson,64,176,353,49.9
159,T158,T158,Dustin Johnson,72,176,356,49.4
160,161,161,Matt McQuillan,59,174,347,50.1
161,162,162,Ernie Els,71,167,350,47.7
162,163,163,Aron Price,58,165,332,49.7
163,T164,T164,Rich Beem,53,164,307,53.4
164,T164,T164,Tom Gillis,55,164,329,49.8
165,166,166,Sung Kang,63,163,340,47.9
166,T167,T167,Sergio Garcia,61,162,310,52.3
167,T167,T167,J.B. Holmes,57,162,313,51.8
168,169,169,Rocco Mediate,53,161,323,49.8
169,170,170,Harrison Frazar,58,156,299,52.2
170,T171,T171,Andres Gonzales,60,155,317,48.9
171,T171,T171,Ian Poulter,52,155,291,53.3
172,T171,T171,Will Strickler,51,155,307,50.5
173,174,174,Y.E. Yang,63,154,309,49.8
174,T175,T175,Briny Baird,60,153,317,48.3
175,T175,T175,Martin Piller,63,153,349,43.8
176,177,177,Adam Scott,60,152,310,49.0
177,178,178,Alex Cejka,59,151,300,50.3
178,179,179,Steve Elkington,50,148,292,50.7
179,180,180,Alexandre Rocha,65,140,301,46.5
180,181,181,Justin Hicks,60,138,274,50.4
181,182,182,Charl Schwartzel,58,137,279,49.1
182,183,183,Retief Goosen,50,134,279,48.0
183,184,184,Marc Turnesa,54,130,290,44.8
184,185,185,Ángel Cabrera,50,129,262,49.2
185,186,186,Graeme McDowell,50,122,272,44.9
