,One-Putt_Percentage_RANK THIS WEEK,One-Putt_Percentage_RANK LAST WEEK,One-Putt_Percentage_PLAYER NAME,One-Putt_Percentage_ROUNDS,One-Putt_Percentage_%,One-Putt_Percentage_# OF 1 PUTTS,One-Putt_Percentage_# OF HOLES
72,T72,T72,Garrett Willis,71,37.79,483,1278
73,74,74,Robert Garrigus,83,37.75,564,1494
74,75,75,Hunter Haas,96,37.73,652,1728
75,76,76,Sergio Garcia,61,37.7,414,1098
76,77,77,David Mathis,83,37.68,563,1494
77,78,78,Tim Herron,85,37.65,576,1530
78,T79,T79,Chris DiMarco,93,37.57,629,1674
79,T79,T79,Matt McQuillan,59,37.57,399,1062
80,81,81,Cameron Beckman,71,37.56,480,1278
81,82,82,Jason Dufner,78,37.54,527,1404
82,83,83,Chez Reavie,92,37.5,621,1656
83,84,84,Scott Piercy,78,37.46,526,1404
84,85,85,Steve Elkington,50,37.44,337,900
85,86,86,K.J. Choi,77,37.33,504,1350
86,87,87,J.B. Holmes,57,37.32,356,954
87,88,88,Jarrod Lyle,83,37.22,556,1494
88,89,89,Ricky Barnes,78,37.18,522,1404
89,90,90,Bio Kim,71,37.17,475,1278
90,91,91,Ángel Cabrera,50,37.11,334,900
91,92,92,Robert Allenby,84,37.08,554,1494
92,93,93,Woody Austin,59,37.01,393,1062
93,94,94,Jerry Kelly,85,36.99,566,1530
94,95,95,Sean O'Hair,71,36.98,466,1260
95,96,96,David Toms,78,36.97,519,1404
96,97,97,Stephen Ames,69,36.96,459,1242
97,T98,T98,Jim Furyk,87,36.95,572,1548
98,T98,T98,Nate Smith,66,36.95,439,1188
99,100,100,Rocco Mediate,53,36.9,352,954
100,T101,T101,Joe Ogilvie,75,36.89,498,1350
101,T101,T101,Paul Stankowski,78,36.89,518,1404
102,103,103,Jason Bohn,74,36.86,491,1332
103,104,104,Charley Hoffman,93,36.84,610,1656
104,105,105,Justin Rose,79,36.8,510,1386
105,106,106,Bill Haas,93,36.71,608,1656
106,107,107,Tommy Gainey,104,36.7,687,1872
107,108,108,Michael Putnam,67,36.65,442,1206
108,109,109,Bubba Watson,85,36.64,521,1422
109,110,110,Dustin Johnson,72,36.62,468,1278
110,111,111,Kevin Chappell,78,36.54,513,1404
111,112,112,Michael Thompson,79,36.5,519,1422
112,113,113,Keegan Bradley,91,36.45,597,1638
113,114,114,Alex Cejka,59,36.44,387,1062
114,115,115,Charles Howell III,108,36.42,708,1944
115,116,116,Brendan Steele,89,36.39,583,1602
116,117,117,Zack Miller,86,36.3,562,1548
117,118,118,Rich Beem,53,36.27,346,954
118,119,119,Chris Stroud,88,36.24,574,1584
119,120,120,Gary Woodland,93,36.2,606,1674
120,T121,T121,Shaun Micheel,77,36.15,501,1386
121,T121,T121,Daniel Summerhays,75,36.15,488,1350
122,123,123,Nick O'Hern,89,36.14,579,1602
123,T124,T124,Stewart Cink,72,36.11,455,1260
124,T124,T124,Trevor Immelman,84,36.11,546,1512
125,T124,T124,Billy Mayfair,94,36.11,611,1692
126,T127,T127,Cameron Tringale,110,36.01,713,1980
127,T127,T127,Johnson Wagner,81,36.01,525,1458
128,129,129,Troy Merritt,63,35.98,408,1134
129,130,130,Tom Gillis,55,35.96,356,990
130,131,131,Shane Bertsch,62,35.93,401,1116
131,132,132,Kevin Kisner,70,35.87,452,1260
132,133,133,Tag Ridings,87,35.76,560,1566
133,134,134,Ben Martin,74,35.74,476,1332
134,135,135,Will Strickler,51,35.73,328,918
135,136,136,Spencer Levin,113,35.69,726,2034
136,137,137,Sung Kang,63,35.63,404,1134
137,138,138,Troy Matteson,91,35.59,583,1638
138,T139,T139,Brandt Jobe,100,35.56,640,1800
139,T139,T139,Rory Sabbatini,85,35.56,544,1530
140,141,141,Bill Lunde,92,35.51,588,1656
141,142,142,Davis Love III,70,35.48,447,1260
142,143,143,William McGirt,103,35.44,657,1854
143,144,144,Chris Riley,76,35.38,484,1368
144,145,145,Martin Piller,63,35.36,401,1134
145,T146,T146,John Rollins,85,35.29,540,1530
146,T146,T146,D.J. Trahan,91,35.29,578,1638
147,148,148,Chad Campbell,99,35.19,627,1782
148,149,149,Lee Janzen,62,35.04,391,1116
149,150,150,D.J. Brigman,67,34.99,422,1206
150,151,151,James Driscoll,71,34.98,447,1278
151,152,152,John Senden,94,34.93,591,1692
152,153,153,Kris Blanks,92,34.84,577,1656
153,154,154,Colt Knost,80,34.79,501,1440
154,155,155,Scott Stallings,84,34.72,525,1512
155,156,156,Rod Pampling,72,34.65,449,1296
156,T157,T157,Derek Lamely,65,34.62,405,1170
157,T157,T157,George McNeill,69,34.62,430,1242
158,T157,T157,Jim Renner,65,34.62,405,1170
159,160,160,Josh Teater,104,34.56,647,1872
160,161,161,Jhonattan Vegas,84,34.52,522,1512
161,162,162,Kyle Stanley,98,34.35,606,1764
162,163,163,Billy Horschel,75,34.07,460,1350
163,164,164,David Hearn,88,34.03,539,1584
164,165,165,Kent Jones,76,33.92,464,1368
165,166,166,Marc Turnesa,54,33.85,329,972
166,167,167,Heath Slocum,89,33.78,535,1584
167,168,168,Aron Price,58,33.62,351,1044
168,169,169,Michael Bradley,74,33.41,445,1332
169,170,170,Andres Gonzales,60,33.33,360,1080
170,171,171,J.J. Henry,96,33.22,574,1728
171,172,172,Kevin Stadler,88,33.08,524,1584
172,173,173,Fabián Gómez,84,33.07,500,1512
173,174,174,John Merrick,71,32.86,420,1278
174,175,175,Richard Johnson,64,32.73,377,1152
175,176,176,Joe Durant,71,32.71,418,1278
176,177,177,Ernie Els,71,32.69,406,1242
177,178,178,Alex Prugh,82,32.52,480,1476
178,179,179,Bobby Gates,82,32.45,479,1476
179,180,180,Briny Baird,60,32.31,349,1080
180,181,181,Scott Gutschewski,67,32.26,389,1206
181,182,182,Joseph Bramlett,73,32.12,422,1314
182,183,183,Boo Weekley,66,31.31,372,1188
183,184,184,Justin Hicks,60,30.28,327,1080
184,185,185,Jim Herman,69,30.03,373,1242
185,186,186,Alexandre Rocha,65,28.55,334,1170
