,Putts_Per_Round_RANK THIS WEEK,Putts_Per_Round_RANK LAST WEEK,Putts_Per_Round_PLAYER NAME,Putts_Per_Round_ROUNDS,Putts_Per_Round_AVG,Putts_Per_Round_TOTAL PUTTS,Putts_Per_Round_TOTAL ROUNDS,Putts_Per_Round_LOW TOTAL PUTTS
82,T83,T83,Stephen Ames,69,29.15,1895,65,22
83,T83,T83,Tag Ridings,87,29.15,2361,81,23
84,T85,T85,K.J. Choi,77,29.17,2188,75,23
85,T85,T85,Steve Marino,76,29.17,2217,76,25
86,T87,T87,Cameron Beckman,71,29.18,1955,67,25
87,T87,T87,Jim Renner,65,29.18,1663,57,23
88,89,89,Sung Kang,63,29.19,1722,59,24
89,90,90,Garrett Willis,71,29.2,2015,69,23
90,T91,T91,Michael Connell,76,29.21,2220,76,22
91,T91,T91,Hunter Mahan,92,29.21,2600,89,23
92,T93,T93,Jason Bohn,74,29.23,2046,70,24
93,T93,T93,Justin Leonard,82,29.23,2397,82,24
94,95,95,Kevin Streelman,90,29.24,2632,90,21
95,T96,T96,Alex Cejka,59,29.25,1726,59,24
96,T96,T96,Charl Schwartzel,58,29.25,1638,56,25
97,T98,T98,Keegan Bradley,91,29.26,2546,87,25
98,T98,T98,Lucas Glover,74,29.26,2165,74,24
99,T98,T98,Nick O'Hern,89,29.26,2487,85,24
100,T98,T98,Will Strickler,51,29.26,1375,47,22
101,102,102,Michael Putnam,67,29.27,1844,63,24
102,T103,T103,Shaun Micheel,77,29.29,2138,73,22
103,T103,T103,Martin Piller,63,29.29,1728,59,24
104,T105,T105,J.B. Holmes,57,29.3,1553,53,22
105,T105,T105,Rory Sabbatini,85,29.3,2373,81,21
106,T107,T107,Andres Gonzales,60,29.31,1524,52,23
107,T107,T107,Charles Howell III,108,29.31,3048,104,20
108,T107,T107,Troy Matteson,91,29.31,2550,87,23
109,T107,T107,Chris Riley,76,29.31,2110,72,24
110,111,111,Jeff Overton,92,29.33,2669,91,24
111,T112,T112,Spencer Levin,113,29.34,3198,109,24
112,T112,T112,Ben Martin,74,29.34,2054,70,24
113,114,114,Jarrod Lyle,83,29.35,2319,79,24
114,115,115,Graeme McDowell,50,29.38,1381,47,24
115,T116,T116,Tommy Gainey,104,29.39,2939,100,23
116,T116,T116,Adam Scott,60,29.39,1734,59,25
117,T116,T116,Brendan Steele,89,29.39,2557,87,24
118,119,119,Robert Garrigus,83,29.4,2440,83,24
119,120,120,Charley Hoffman,93,29.41,2706,92,24
120,121,121,Ben Curtis,66,29.42,1942,66,24
121,T122,T122,Harrison Frazar,58,29.43,1707,58,23
122,T122,T122,Fabián Gómez,84,29.43,2237,76,24
123,T124,T124,Jason Dufner,78,29.44,2296,78,23
124,T124,T124,Paul Goydos,81,29.44,2385,81,24
125,T126,T126,Jim Furyk,87,29.45,2533,86,25
126,T126,T126,Zack Miller,86,29.45,2415,82,22
127,T128,T128,David Duval,67,29.46,1974,67,24
128,T128,T128,Aron Price,58,29.46,1532,52,24
129,T128,T128,Kyle Stanley,98,29.46,2651,90,23
130,T131,T131,Richard Johnson,64,29.47,1709,58,21
131,T131,T131,Cameron Tringale,110,29.47,3124,106,23
132,133,133,Chris Stroud,88,29.49,2477,84,25
133,T134,T134,Steve Elkington,50,29.5,1475,50,23
134,T134,T134,Josh Teater,104,29.5,2891,98,23
135,136,136,David Hearn,88,29.51,2361,80,22
136,137,137,Brandt Jobe,100,29.52,2834,96,24
137,T138,T138,Bill Haas,93,29.53,2717,92,24
138,T138,T138,Vijay Singh,79,29.53,2333,79,24
139,T140,T140,Ricky Barnes,78,29.54,2304,78,24
140,T140,T140,Derek Lamely,65,29.54,1861,63,21
141,T140,T140,Billy Mayfair,94,29.54,2659,90,23
142,T140,T140,Sean O'Hair,71,29.54,2068,70,25
143,T144,T144,Dustin Johnson,72,29.56,2099,71,22
144,T144,T144,William McGirt,103,29.56,2926,99,24
145,T144,T144,Johnson Wagner,81,29.56,2276,77,25
146,147,147,Bo Van Pelt,92,29.57,2661,90,24
147,T148,T148,Scott Gutschewski,67,29.58,1745,59,24
148,T148,T148,Chez Reavie,92,29.58,2721,92,21
149,150,150,Billy Horschel,75,29.59,2042,69,24
150,151,151,Trevor Immelman,84,29.61,2487,84,21
151,152,152,John Merrick,71,29.62,1866,63,25
152,153,153,Justin Rose,79,29.64,2282,77,25
153,154,154,Briny Baird,60,29.67,1602,54,25
154,T155,T155,Joseph Bramlett,73,29.68,1929,65,25
155,T155,T155,Kent Jones,76,29.68,2107,71,24
156,T155,T155,Rocco Mediate,53,29.68,1573,53,25
157,T158,T158,Marc Turnesa,54,29.69,1544,52,25
158,T158,T158,Gary Woodland,93,29.69,2761,93,23
159,T160,T160,Kris Blanks,92,29.7,2673,90,24
160,T160,T160,Daniel Summerhays,75,29.7,2168,73,23
161,T162,T162,Michael Bradley,74,29.71,2080,70,21
162,T162,T162,Kevin Stadler,88,29.71,2377,80,26
163,T162,T162,Scott Stallings,84,29.71,2317,78,24
164,165,165,Robert Allenby,84,29.72,2467,83,25
165,166,166,Troy Merritt,63,29.75,1815,61,24
166,167,167,Bill Lunde,92,29.77,2620,88,23
167,T168,T168,Bobby Gates,82,29.8,2205,74,23
168,T168,T168,John Rollins,85,29.8,2473,83,23
169,170,170,Rich Beem,53,29.81,1580,53,24
170,171,171,John Senden,94,29.84,2805,94,23
171,172,172,Bubba Watson,85,29.86,2359,79,24
172,T173,T173,Tom Gillis,55,29.95,1647,55,24
173,T173,T173,Jhonattan Vegas,84,29.95,2396,80,24
174,175,175,J.J. Henry,96,30.03,2763,92,23
175,176,176,Davis Love III,70,30.04,2103,70,25
176,177,177,Alex Prugh,82,30.05,2344,78,24
177,T178,T178,Chad Campbell,99,30.12,2922,97,25
178,T178,T178,D.J. Trahan,91,30.12,2741,91,24
179,180,180,Heath Slocum,89,30.16,2654,88,25
180,181,181,Jim Herman,69,30.23,1844,61,25
181,182,182,Ernie Els,71,30.39,2097,69,26
182,183,183,Alexandre Rocha,65,30.54,1741,57,26
183,184,184,Joe Durant,71,30.61,2112,69,25
184,185,185,Justin Hicks,60,30.63,1593,52,23
185,186,186,Boo Weekley,66,30.84,1912,62,26
