,Longest_Putts_RANK THIS WEEK,Longest_Putts_RANK LAST WEEK,Longest_Putts_PLAYER NAME,Longest_Putts_ROUNDS,Longest_Putts_DISTANCE,Longest_Putts_YEAR/TOURN#,Longest_Putts_ROUND,Longest_Putts_HOLE
32,33,33,Glen Hnatiuk,26,"65' 5""",The Honda Classic,3,17
33,34,34,Chris Smith,105,"65' 4""",Michelin Championship at Las Vegas,4,6
34,35,35,Matt Gogel,86,"65' 2""",Chrysler Classic of Tucson,1,9
35,36,36,Craig Perks,75,"65' 1""",Ford Championship at Doral,1,1
36,37,37,Dennis Paulson,71,"65' 0""",Chrysler Classic of Tucson,2,13
37,38,38,Nick Price,51,"64' 10""",Wachovia Championship,3,7
38,39,39,Camilo Villegas,30,"64' 9""",U.S. Bank Championship in Milwaukee,1,2
39,40,40,Jonathan Byrd,85,"64' 8""",Sony Open in Hawaii,1,8
40,T41,41,Dan Forsman,79,"64' 7""",HP Classic of New Orleans,1,9
41,T41,42,Chad Campbell,100,"64' 7""",Wachovia Championship,2,12
42,43,36,Craig Perks,75,"64' 2""",the Memorial Tournament,2,6
43,44,44,Roland Thatcher,66,"64' 1""",Southern Farm Bureau Classic,2,8
44,45,45,Tiger Woods,78,"63' 11""",Cialis Western Open,2,6
45,46,46,Tom Carter,113,"63' 8""",U.S. Bank Championship in Milwaukee,1,18
46,47,47,Stephen Leaney,84,"63' 0""",EDS Byron Nelson Championship,4,17
47,48,48,Scott Hend,81,"62' 9""",Deutsche Bank Championship,2,7
48,49,49,Billy Andrade,104,"62' 8""",Booz Allen Classic,2,2
49,50,50,Sergio Garcia,65,"62' 7""",Wachovia Championship,2,10
50,51,9,Jerry Kelly,113,"62' 3""",World Golf Championships-American Express Championship,3,6
51,52,52,Roger Tambellini,81,"62' 2""",Michelin Championship at Las Vegas,1,8
52,53,52,Roger Tambellini,81,"62' 1""",Sony Open in Hawaii,1,12
53,54,54,Jonathan Kaye,79,"62' 0""",Mercedes Championships,3,17
54,55,55,Jim Benepe,8,"61' 10""",Valero Texas Open,2,14
55,T56,24,José María Olazábal,56,"61' 9""",Buick Open,2,11
56,T56,56,Ben Crane,92,"61' 9""",Wachovia Championship,2,6
57,58,58,"Jim Gallagher, Jr.",22,"61' 7""",Southern Farm Bureau Classic,1,17
58,T59,31,Spike McRoy,93,"61' 6""",EDS Byron Nelson Championship,1,17
59,T59,59,Darren Clarke,54,"61' 6""",Mercedes Championships,1,10
60,T59,62,Ángel Cabrera,26,"61' 6""",World Golf Championships-NEC Invitational,2,15
61,T59,61,J.J. Henry,103,"61' 6""",EDS Byron Nelson Championship,1,17
62,63,63,Vijay Singh,112,"61' 3""",THE PLAYERS Championship,3,8
63,T64,65,David Toms,80,"61' 2""",Deutsche Bank Championship,4,9
64,T64,64,Mike Lavery,2,"61' 2""",Buick Invitational,1,17
65,66,66,Rocco Mediate,53,"60' 11""",Bank of America Colonial,4,14
66,67,67,Michael Clark II,39,"60' 9""",Booz Allen Classic,1,12
67,68,68,Ted Purdy,114,"60' 6""",Chrysler Classic of Tucson,4,9
68,69,69,Shaun Micheel,93,"60' 5""",Booz Allen Classic,3,9
69,70,54,Jonathan Kaye,79,"60' 4""",Wachovia Championship,2,2
70,71,71,Tim Petrovic,111,"60' 1""",MCI Heritage,1,14
71,72,72,Dan Olsen,75,"60' 0""",Chrysler Classic of Greensboro,1,9
72,T73,73,Cameron Beckman,99,"59' 11""",Wachovia Championship,1,11
73,T73,74,Jason Dufner,79,"59' 11""",Buick Championship,4,5
74,75,75,Steve Flesch,109,"59' 10""",THE TOUR Championship presented by Coca-Cola,1,8
75,76,76,Jeff Maggert,60,"59' 9""",Nissan Open,2,8
76,T77,38,Nick Price,51,"59' 8""",MCI Heritage,4,2
77,T77,69,Shaun Micheel,93,"59' 8""",Deutsche Bank Championship,1,3
78,T77,78,Edward Loar,4,"59' 8""",Shell Houston Open,4,8
79,80,10,Stewart Cink,103,"59' 7""",THE TOUR Championship presented by Coca-Cola,3,9
80,81,81,Harrison Frazar,86,"59' 6""",BellSouth Classic,4,17
81,T82,82,Corey Pavin,83,"59' 4""",Sony Open in Hawaii,3,18
82,T82,84,John Bermel,2,"59' 4""",John Deere Classic,1,18
83,T82,83,Ken Duke,89,"59' 4""",Shell Houston Open,1,3
84,T85,14,John Daly,79,"59' 3""",the Memorial Tournament,2,7
85,T85,85,Neal Lancaster,106,"59' 3""",Bank of America Colonial,3,17
86,T85,86,Brett Quigley,102,"59' 3""",Bank of America Colonial,4,13
87,88,88,Jerry Smith,2,"59' 2""",U.S. Bank Championship in Milwaukee,2,14
88,89,89,Ricky Barnes,18,"58' 11""",FBR Open,1,9
89,T90,91,Sean Murphy,4,"58' 10""",U.S. Bank Championship in Milwaukee,2,6
90,T90,90,Bo Van Pelt,107,"58' 10""",Shell Houston Open,4,1
91,92,86,Brett Quigley,102,"58' 9""",Bank of America Colonial,2,9
92,T93,9,Jerry Kelly,113,"58' 8""",Buick Championship,4,8
93,T93,95,Kevin Muncrief,50,"58' 8""",Deutsche Bank Championship,1,13
94,T93,93,Michelle Wie,2,"58' 8""",Sony Open in Hawaii,2,7
95,96,96,Curtis Strange,7,"58' 6""",Chrysler Classic of Greensboro,1,9
96,97,45,Tiger Woods,78,"58' 5""",Deutsche Bank Championship,2,17
97,T98,99,Brian Watts,25,"58' 4""",Valero Texas Open,1,10
98,T98,98,John Bungert,2,"58' 4""",The Honda Classic,2,10
99,100,100,Larry Mize,39,"58' 3""",Buick Open,2,5
100,101,101,Justin Rose,77,"58' 0""",Deutsche Bank Championship,3,10
101,T102,102,Joey Sindelar,100,"57' 11""",Shell Houston Open,1,1
102,T102,103,Freddie Jacobson,83,"57' 11""",Buick Classic,1,5
103,104,104,Jamie Rogers,2,"57' 9""",John Deere Classic,2,7
104,105,105,Bobby Kalinowski,4,"57' 8""",Sony Open in Hawaii,3,11
105,T106,106,David Branshaw,84,"57' 7""",Sony Open in Hawaii,1,1
106,T106,107,Zach Johnson,109,"57' 7""",Shell Houston Open,2,11
107,108,108,Peter Lonard,68,"57' 6""",BellSouth Classic,1,18
108,T109,109,Michael Bradley,22,"57' 4""",FedEx St. Jude Classic,1,11
109,T109,110,Fred Couples,54,"57' 4""",the Memorial Tournament,1,2
110,111,109,Michael Bradley,22,"57' 3""",Booz Allen Classic,3,12
111,T112,12,Greg Chalmers,70,"57' 2""",U.S. Bank Championship in Milwaukee,4,8
112,T112,112,Rich Barcelo,67,"57' 2""",Booz Allen Classic,4,6
113,114,114,Joe Ogilvie,104,"57' 0""",Michelin Championship at Las Vegas,3,18
114,115,75,Steve Flesch,109,"56' 10""",Bay Hill Invitational Presented by MasterCard,4,2
115,T116,71,Tim Petrovic,111,"56' 8""",Bob Hope Chrysler Classic,1,7
116,T116,117,Charles Warren,2,"56' 8""",Wachovia Championship,1,10
117,T118,118,Bernhard Langer,59,"56' 7""",Bay Hill Invitational Presented by MasterCard,2,13
118,T118,119,Charley Hoffman,4,"56' 7""",Booz Allen Classic,1,3
119,120,120,Steve Allan,102,"56' 6""",Reno-Tahoe Open,3,14
120,T121,122,Deane Pappas,72,"56' 3""",FUNAI Classic at the WALT DISNEY WORLD Resort,1,2
121,T121,121,Mike Weir,75,"56' 3""",World Golf Championships-NEC Invitational,4,16
122,123,90,Bo Van Pelt,107,"56' 2""",Buick Invitational,2,5
123,T124,124,Gene Sauers,83,"56' 1""",The Honda Classic,1,1
124,T124,25,Mark Wilson,62,"56' 1""",Booz Allen Classic,4,6
125,T126,127,Dudley Hart,60,"56' 0""",the Memorial Tournament,1,10
126,T126,126,Jesper Parnevik,86,"56' 0""",Buick Invitational,3,11
127,128,3,Jeff Brehaut,106,"55' 11""",Chrysler Classic of Greensboro,1,13
128,129,129,Mike Grob,37,"55' 10""",U.S. Bank Championship in Milwaukee,4,4
129,T130,131,David Frost,78,"55' 8""",Southern Farm Bureau Classic,3,17
130,T130,131,David Frost,78,"55' 8""",Chrysler Classic of Greensboro,4,17
131,T130,130,Bill Haas,38,"55' 8""",Booz Allen Classic,2,8
132,T133,134,Paul Goydos,8,"55' 7""",FUNAI Classic at the WALT DISNEY WORLD Resort,3,17
133,T133,90,Bo Van Pelt,107,"55' 7""",Bay Hill Invitational Presented by MasterCard,3,14
134,T135,135,Trevor Immelman,38,"55' 6""",World Golf Championships-American Express Championship,4,13
135,T135,136,Richard Johnson,102,"55' 6""",FUNAI Classic at the WALT DISNEY WORLD Resort,4,4
136,T137,12,Greg Chalmers,70,"55' 4""",Buick Open,3,8
137,T137,120,Steve Allan,102,"55' 4""",FUNAI Classic at the WALT DISNEY WORLD Resort,2,6
138,T139,140,Scott Verplank,92,"55' 2""",Buick Classic,3,8
139,T139,31,Spike McRoy,93,"55' 2""",Buick Championship,1,9
140,T139,139,Stuart Appleby,84,"55' 2""",Mercedes Championships,3,7
141,T142,142,Bart Bryant,73,"55' 1""",Booz Allen Classic,1,13
142,T142,75,Steve Flesch,109,"55' 1""",Bell Canadian Open,4,8
143,T142,8,Hirofumi Miyase,65,"55' 1""",John Deere Classic,1,7
144,T145,145,Stephen Ames,97,"55' 0""",Buick Open,1,3
145,T145,146,Michael Campbell,17,"55' 0""",World Golf Championships-American Express Championship,3,3
146,T145,147,Kevin Na,100,"55' 0""",Chrysler Classic of Greensboro,2,17
147,148,148,Mark O'Meara,58,"54' 11""",Buick Open,4,9
148,149,40,Jonathan Byrd,85,"54' 10""",EDS Byron Nelson Championship,4,3
149,150,150,Danny Briggs,85,"54' 9""",Michelin Championship at Las Vegas,4,10
150,T151,66,Rocco Mediate,53,"54' 8""",Buick Classic,1,18
151,T151,54,Jonathan Kaye,79,"54' 8""",MCI Heritage,3,14
152,T151,103,Freddie Jacobson,83,"54' 8""",FBR Open,1,5
153,T151,155,Aaron Barber,47,"54' 8""",Buick Championship,3,7
154,T151,61,J.J. Henry,103,"54' 8""",The Honda Classic,1,12
155,T151,156,S.K. Ho,14,"54' 8""",World Golf Championships-American Express Championship,3,3
156,T157,157,Alex Cejka,76,"54' 7""",U.S. Bank Championship in Milwaukee,1,4
157,T157,2,Daniel Chopra,108,"54' 7""",Buick Open,1,14
158,T159,66,Rocco Mediate,53,"54' 6""",Nissan Open,1,13
159,T159,120,Steve Allan,102,"54' 6""",84 LUMBER Classic,1,8
160,T159,25,Mark Wilson,62,"54' 6""",Deutsche Bank Championship,1,14
161,T162,165,Skip Kendall,99,"54' 5""",Deutsche Bank Championship,4,14
162,T162,162,Frank Lickliter II,89,"54' 5""",Sony Open in Hawaii,3,7
163,T162,21,José Coceres,68,"54' 5""",Shell Houston Open,1,17
164,T162,147,Kevin Na,100,"54' 5""",The Honda Classic,1,12
165,T166,27,Jay Delsing,76,"54' 4""",Chrysler Classic of Greensboro,1,10
166,T166,166,Woody Austin,94,"54' 4""",John Deere Classic,1,18
167,168,122,Deane Pappas,72,"54' 3""",Chrysler Classic of Tucson,4,4
168,T169,13,Jeff Sluman,98,"54' 2""",Chrysler Classic of Greensboro,4,8
169,T169,50,Sergio Garcia,65,"54' 2""",Bay Hill Invitational Presented by MasterCard,3,11
170,T171,21,José Coceres,68,"54' 1""",John Deere Classic,1,18
171,T171,172,Tjaart van der Walt,35,"54' 1""",Shell Houston Open,1,8
172,T171,2,Daniel Chopra,108,"54' 1""",Sony Open in Hawaii,1,18
173,174,174,Niclas Fasth,61,"54' 0""",FBR Open,1,17
174,T175,175,Billy Mayfair,109,"53' 11""",BellSouth Classic,1,17
175,T175,176,Dan Pohl,8,"53' 11""",Bank of America Colonial,2,8
176,T175,177,Pat Perez,102,"53' 11""",Buick Open,3,18
177,T178,19,J.L. Lewis,106,"53' 9""",EDS Byron Nelson Championship,2,8
178,T178,178,Brian Bateman,84,"53' 9""",Buick Invitational,2,3
179,T178,72,Dan Olsen,75,"53' 9""",Bay Hill Invitational Presented by MasterCard,2,3
180,T178,179,John Maginnes,29,"53' 9""",Chrysler Classic of Tucson,3,17
181,182,72,Dan Olsen,75,"53' 8""",Shell Houston Open,2,17
182,183,69,Shaun Micheel,93,"53' 6""",Mercedes Championships,2,17
183,T184,31,Spike McRoy,93,"53' 5""",Buick Classic,2,15
184,T184,186,Robert Damron,92,"53' 5""",Deutsche Bank Championship,3,8
185,T184,185,Brad Adamonis,4,"53' 5""",Buick Classic,3,3
186,187,187,Y.E. Yang,4,"53' 4""",World Golf Championships-American Express Championship,2,13
187,188,188,Brenden Pappas,111,"53' 3""",FBR Open,1,12
188,T189,190,Robin Freeman,29,"53' 2""",B.C. Open,1,14
189,T189,106,David Branshaw,84,"53' 2""",Buick Open,2,7
190,T189,189,Rory Sabbatini,89,"53' 2""",Bank of America Colonial,4,1
191,T192,193,Tom Lehman,70,"53' 1""",FUNAI Classic at the WALT DISNEY WORLD Resort,2,3
192,T192,76,Jeff Maggert,60,"53' 1""",the Memorial Tournament,2,8
193,194,194,Tommy Armour III,87,"52' 11""",the Memorial Tournament,3,13
194,T195,195,Per-Ulrik Johansson,36,"52' 10""",Nissan Open,1,15
195,T195,162,Frank Lickliter II,89,"52' 10""",Chrysler Championship,1,11
196,T197,140,Scott Verplank,92,"52' 8""",THE TOUR Championship presented by Coca-Cola,2,11
197,T197,197,Tom Watson,6,"52' 8""",Bay Hill Invitational Presented by MasterCard,2,10
198,T197,198,Brian Gay,96,"52' 8""",FedEx St. Jude Classic,1,8
199,T197,25,Mark Wilson,62,"52' 8""",Bell Canadian Open,1,1
