,Average_Distance_of_Putts_made_RANK THIS WEEK,Average_Distance_of_Putts_made_RANK LAST WEEK,Average_Distance_of_Putts_made_PLAYER NAME,Average_Distance_of_Putts_made_ROUNDS,Average_Distance_of_Putts_made_AVG,Average_Distance_of_Putts_made_TOTAL DIST. (INCHES),Average_Distance_of_Putts_made_TOTAL ROUNDS,Average_Distance_of_Putts_made_AVG DIST.,Average_Distance_of_Putts_made_BEST ROUND
68,T69,T69,Zac Blair,64,"74' 9""",41242,46,"4' 3""","110' 5"""
69,T69,T69,Cameron Tringale,67,"74' 9""",45767,51,"4' 2""","165' 8"""
70,T71,T71,Rickie Fowler,74,"74' 7""",54616,61,"4' 2""","168' 11"""
71,T71,T71,Jason Kokrak,99,"74' 7""",78732,88,"4' 2""","160' 2"""
72,T73,T73,Chesson Hadley,103,"74' 5""",79485,89,"4' 2""","150' 11"""
73,T73,T73,Patrick Rodgers,97,"74' 5""",65195,73,"4' 2""","167' 2"""
74,T73,T73,Sam Ryder,82,"74' 5""",62537,70,"4' 2""","156' 10"""
75,T73,T73,Conrad Shindler,60,"74' 5""",39290,44,"4' 2""","120' 3"""
76,T77,T77,Dominic Bozzelli,65,"74' 4""",54442,61,"4' 3""","169' 7"""
77,T77,T77,Billy Horschel,86,"74' 4""",68711,77,"4' 2""","154' 6"""
78,T79,T79,Matt Jones,70,"74' 2""",41822,47,"4' 2""","182' 6"""
79,T79,T79,D.A. Points,63,"74' 2""",42713,48,"4' 2""","150' 3"""
80,T79,T79,Scott Stallings,96,"74' 2""",71213,80,"4' 2""","133' 6"""
81,T82,T82,Tony Finau,105,"74' 1""",72027,81,"4' 2""","163' 0"""
82,T82,T82,Billy Hurley III,70,"74' 1""",50695,57,"4' 2""","129' 11"""
83,84,84,Troy Merritt,89,"74' 0""",64858,73,"4' 2""","116' 6"""
84,T85,T85,Cody Gribble,71,"73' 11""",47892,54,"4' 2""","118' 8"""
85,T85,T85,Sung Kang,89,"73' 11""",59398,67,"4' 2""","123' 5"""
86,T85,T85,Justin Thomas,91,"73' 11""",60345,68,"4' 2""","135' 2"""
87,T85,T85,Nick Watney,94,"73' 11""",70961,80,"4' 2""","146' 0"""
88,T89,T89,Ben Martin,64,"73' 10""",50528,57,"4' 2""","128' 6"""
89,T89,T89,Sean O'Hair,67,"73' 10""",50508,57,"4' 2""","128' 10"""
90,T89,T89,Harold Varner III,91,"73' 10""",65531,74,"4' 2""","151' 4"""
91,T92,T92,Shane Lowry,64,"73' 9""",45140,51,"4' 1""","138' 5"""
92,T92,T92,Sam Saunders,80,"73' 9""",59316,67,"4' 2""","137' 1"""
93,94,94,Peter Uihlein,83,"73' 8""",57472,65,"4' 2""","150' 9"""
94,95,95,Adam Hadwin,92,"73' 7""",58257,66,"4' 2""","141' 2"""
95,96,96,Andrew Putnam,97,"73' 6""",67894,77,"4' 1""","121' 9"""
96,97,97,Derek Fathauer,84,"73' 5""",59910,68,"4' 2""","148' 9"""
97,98,98,Daniel Berger,81,"73' 4""",54582,62,"4' 1""","160' 6"""
98,T99,T99,Kelly Kraft,94,"73' 3""",65039,74,"4' 1""","127' 4"""
99,T99,T99,Andrew Yun,51,"73' 3""",29877,34,"4' 1""","134' 7"""
100,T101,T101,Tyrrell Hatton,58,"73' 2""",36856,42,"4' 2""","130' 7"""
101,T101,T101,Ethan Tracy,72,"73' 2""",47418,54,"4' 1""","119' 7"""
102,T103,T103,Chris Kirk,108,"73' 1""",84150,96,"4' 1""","125' 3"""
103,T103,T103,Jordan Spieth,81,"73' 1""",57886,66,"4' 1""","133' 2"""
104,T105,T105,Zach Johnson,94,"73' 0""",63092,72,"4' 1""","132' 11"""
105,T105,T105,Marc Leishman,93,"73' 0""",63961,73,"4' 1""","153' 6"""
106,T107,T107,Ryan Armour,109,"72' 11""",83993,96,"4' 1""","155' 6"""
107,T107,T107,Patton Kizzire,92,"72' 11""",68213,78,"4' 1""","125' 1"""
108,T109,T109,Bronson Burgoon,69,"72' 10""",49792,57,"4' 1""","154' 0"""
109,T109,T109,Martin Piller,79,"72' 10""",58589,67,"4' 1""","130' 5"""
110,T111,T111,Ian Poulter,73,"72' 9""",43630,50,"4' 1""","121' 5"""
111,T111,T111,Brian Stuard,103,"72' 9""",76791,88,"4' 1""","188' 0"""
112,T113,T113,Russell Knox,94,"72' 8""",64557,74,"4' 1""","149' 8"""
113,T113,T113,Trey Mullinax,75,"72' 8""",51477,59,"4' 1""","150' 6"""
114,T115,T115,Charley Hoffman,87,"72' 7""",59247,68,"4' 1""","124' 9"""
115,T115,T115,Grayson Murray,72,"72' 7""",51409,59,"4' 1""","130' 0"""
116,T115,T115,Ollie Schniederjans,91,"72' 7""",67039,77,"4' 1""","115' 6"""
117,118,118,Ben Crane,65,"72' 6""",40004,46,"4' 1""","118' 6"""
118,119,119,Joel Dahmen,93,"72' 5""",61730,71,"4' 1""","132' 1"""
119,T120,T120,Talor Gooch,78,"72' 4""",53817,62,"4' 1""","133' 1"""
120,T120,T120,Jon Rahm,71,"72' 4""",44284,51,"4' 1""","128' 1"""
121,122,122,Kevin Chappell,77,"72' 3""",53752,62,"4' 1""","116' 2"""
122,123,123,Jamie Lovemark,92,"72' 2""",67550,78,"4' 1""","186' 4"""
123,124,124,Rory McIlroy,64,"72' 1""",44123,51,"4' 1""","137' 0"""
124,125,125,Charl Schwartzel,65,"72' 0""",36288,42,"4' 0""","163' 4"""
125,T126,T126,Chris Stroud,81,"71' 11""",50029,58,"4' 0""","138' 5"""
126,T126,T126,Steve Wheatcroft,60,"71' 11""",39707,46,"4' 0""","112' 7"""
127,T128,T128,Alex Cejka,77,"71' 9""",51689,60,"4' 0""","157' 0"""
128,T128,T128,Shawn Stefani,76,"71' 9""",51640,60,"4' 0""","129' 0"""
129,T130,T130,Lucas Glover,65,"71' 8""",39547,46,"4' 0""","157' 1"""
130,T130,T130,Hunter Mahan,67,"71' 8""",43879,51,"4' 0""","133' 3"""
131,132,132,Branden Grace,67,"71' 7""",37812,44,"4' 0""","130' 8"""
132,T133,T133,Chad Campbell,87,"71' 6""",57506,67,"4' 0""","129' 3"""
133,T133,T133,Andrew Landry,82,"71' 6""",62638,73,"4' 0""","148' 11"""
134,T133,T133,Nate Lashley,51,"71' 6""",30023,35,"4' 0""","115' 8"""
135,T133,T133,William McGirt,84,"71' 6""",64326,75,"4' 0""","139' 3"""
136,137,137,Stewart Cink,87,"71' 5""",57397,67,"4' 0""","128' 7"""
137,138,138,Richy Werenski,98,"71' 4""",63378,74,"4' 0""","141' 4"""
138,T139,T139,Zecheng Dou,53,"71' 3""",30780,36,"4' 0""","128' 9"""
139,T139,T139,Keith Mitchell,99,"71' 3""",70963,83,"4' 0""","158' 2"""
140,T141,T141,Patrick Reed,94,"71' 2""",53805,63,"4' 0""","136' 10"""
141,T141,T141,J.J. Spaun,85,"71' 2""",60603,71,"3' 12""","147' 3"""
142,T143,T143,Martin Flores,92,"71' 1""",61383,72,"3' 12""","160' 1"""
143,T143,T143,Fabián Gómez,88,"71' 1""",60555,71,"3' 12""","137' 0"""
144,T143,T143,Henrik Stenson,60,"71' 1""",37518,44,"3' 12""","133' 4"""
145,T143,T143,Kevin Tway,110,"71' 1""",76749,90,"4' 0""","138' 9"""
146,147,147,Satoshi Kodaira,51,"71' 0""",34096,40,"3' 12""","124' 4"""
147,148,148,J.B. Holmes,77,"70' 11""",57901,68,"4' 0""","123' 1"""
148,T149,T149,Bud Cauley,55,"70' 10""",34830,41,"3' 12""","133' 9"""
149,T149,T149,Mackenzie Hughes,80,"70' 10""",57800,68,"3' 12""","159' 0"""
150,T149,T149,Stephan Jaeger,81,"70' 10""",53565,63,"3' 12""","160' 2"""
151,T149,T149,Hudson Swafford,73,"70' 10""",44195,52,"3' 12""","116' 9"""
152,T149,T149,Jhonattan Vegas,92,"70' 10""",54372,64,"3' 12""","133' 10"""
153,154,154,Adam Scott,78,"70' 8""",50888,60,"3' 12""","141' 8"""
154,T155,T155,Corey Conners,97,"70' 7""",66935,79,"3' 12""","140' 0"""
155,T155,T155,Robert Streb,78,"70' 7""",50838,60,"3' 12""","156' 11"""
156,T157,T157,Abraham Ancer,98,"70' 6""",70180,83,"3' 11""","133' 6"""
157,T157,T157,Jonas Blixt,67,"70' 6""",40596,48,"3' 12""","139' 7"""
158,T157,T157,James Hahn,85,"70' 6""",58393,69,"3' 12""","114' 4"""
159,T157,T157,Xinjun Zhang,81,"70' 6""",48241,57,"3' 12""","117' 5"""
160,161,161,Charles Howell III,104,"70' 4""",65837,78,"3' 11""","132' 0"""
161,T162,T162,Bill Haas,76,"70' 3""",55610,66,"3' 11""","169' 4"""
162,T162,T162,Tyrone Van Aswegen,101,"70' 3""",69956,83,"3' 11""","163' 7"""
163,T164,T164,Matt Atkins,56,"70' 1""",33650,40,"3' 12""","144' 0"""
164,T164,T164,Si Woo Kim,108,"70' 1""",65620,78,"3' 11""","136' 7"""
165,T166,T166,Aaron Baddeley,84,"69' 11""",58745,70,"3' 12""","124' 0"""
166,T166,T166,Rod Pampling,62,"69' 11""",37756,45,"3' 11""","144' 4"""
167,168,168,Nick Taylor,94,"69' 10""",62046,74,"3' 11""","126' 2"""
168,169,169,Scott Brown,102,"69' 8""",67721,81,"3' 11""","144' 11"""
169,170,170,Cameron Smith,85,"69' 6""",50881,61,"3' 11""","112' 4"""
170,171,171,Byeong Hun An,86,"68' 11""",60404,73,"3' 11""","150' 3"""
171,172,172,Cameron Percy,56,"68' 10""",33886,41,"3' 10""","110' 4"""
172,173,173,C.T. Pan,104,"68' 9""",67654,82,"3' 10""","122' 0"""
173,T174,T174,Patrick Cantlay,87,"68' 7""",55165,67,"3' 10""","127' 1"""
174,T174,T174,Luke List,98,"68' 7""",64167,78,"3' 10""","136' 5"""
175,T176,T176,Keegan Bradley,98,"68' 6""",65735,80,"3' 10""","146' 1"""
176,T176,T176,Brice Garnett,99,"68' 6""",66588,81,"3' 10""","156' 5"""
177,178,178,Ryan Palmer,69,"68' 5""",49276,60,"3' 10""","136' 1"""
178,179,179,Matt Every,79,"68' 4""",50020,61,"3' 10""","110' 11"""
179,180,180,Ryan Moore,78,"67' 9""",53667,66,"3' 10""","113' 11"""
180,181,181,Louis Oosthuizen,62,"67' 8""",37361,46,"3' 10""","117' 4"""
181,182,182,Tyler Duncan,97,"67' 7""",65710,81,"3' 9""","117' 5"""
182,183,183,Paul Casey,74,"67' 5""",39650,49,"3' 10""","100' 3"""
183,184,184,Robert Garrigus,80,"67' 1""",54710,68,"3' 9""","114' 10"""
184,185,185,Scott Piercy,84,"67' 0""",54653,68,"3' 9""","115' 4"""
185,186,186,Brendan Steele,74,"66' 8""",43183,54,"3' 9""","125' 2"""
186,187,187,Bubba Watson,90,"66' 6""",54238,68,"3' 9""","107' 8"""
187,188,188,Francesco Molinari,73,"66' 3""",45324,57,"3' 9""","112' 7"""
188,T189,T189,Retief Goosen,60,"65' 11""",31637,40,"3' 8""","100' 9"""
189,T189,T189,Kevin Streelman,94,"65' 11""",64885,82,"3' 9""","117' 11"""
190,191,191,Jonathan Byrd,70,"65' 10""",37923,48,"3' 9""","98' 4"""
191,192,192,J.J. Henry,81,"64' 7""",48806,63,"3' 7""","143' 6"""
192,193,193,Kyle Thompson,50,"64' 4""",27775,36,"3' 7""","117' 10"""
