,Bonus_Putting_RANK THIS WEEK,Bonus_Putting_RANK LAST WEEK,Bonus_Putting_PLAYER NAME,Bonus_Putting_ROUNDS,Bonus_Putting_VALUE,Bonus_Putting_ATTEMPTS(<= 5'),Bonus_Putting_TOT MADE (>=20'),Bonus_Putting_TOT MADE (<= 5')
123,124,124,Jason Kokrak,99,99.38,1282,42,1232
124,125,125,Bryson DeChambeau,93,99.37,1105,30,1068
125,126,126,Ollie Schniederjans,91,99.36,1091,33,1051
126,127,127,Ryan Armour,109,99.35,1392,46,1337
127,128,128,Charl Schwartzel,65,99.34,609,16,589
128,T129,T129,Tyler Duncan,97,99.33,1192,33,1151
129,T129,T129,Matt Every,79,99.33,892,20,866
130,T129,T129,Tyrrell Hatton,58,99.33,596,16,576
131,T132,T132,Alex Cejka,77,99.31,871,25,840
132,T132,T132,Shawn Stefani,76,99.31,868,24,838
133,T134,T134,Lanto Griffin,80,99.29,850,28,816
134,T134,T134,Tiger Woods,68,99.29,840,24,810
135,136,136,Xinjun Zhang,81,99.28,836,26,804
136,137,137,Martin Flores,92,99.25,1067,31,1028
137,138,138,Zach Johnson,94,99.22,1030,33,989
138,139,139,Jordan Spieth,81,99.16,956,26,922
139,140,140,Tom Hoge,101,99.15,1182,41,1131
140,141,141,Matt Atkins,56,99.13,572,17,550
141,T142,T142,Ricky Barnes,65,99.07,642,21,615
142,T142,T142,Francesco Molinari,73,99.07,860,24,828
143,144,144,J.J. Spaun,85,99.03,1029,23,996
144,145,145,Hideki Matsuyama,75,99.0,801,25,768
145,T146,T146,Keegan Bradley,98,98.99,1189,28,1149
146,T146,T146,Tyrone Van Aswegen,101,98.99,1193,24,1157
147,148,148,Talor Gooch,78,98.98,881,26,846
148,149,149,Cameron Smith,85,98.96,866,20,837
149,150,150,Chez Reavie,93,98.95,859,29,821
150,T151,T151,Sam Ryder,82,98.92,1021,35,975
151,T151,T151,Jhonattan Vegas,92,98.92,925,24,891
152,153,153,Branden Grace,67,98.86,612,17,588
153,154,154,Rob Oppenheim,74,98.84,777,25,743
154,T155,T155,Bud Cauley,55,98.81,590,13,570
155,T155,T155,Cameron Percy,56,98.81,590,12,571
156,T157,T157,Nate Lashley,51,98.79,497,13,478
157,T157,T157,J.T. Poston,73,98.79,829,31,788
158,159,159,Ryan Palmer,69,98.77,892,19,862
159,160,160,Marc Leishman,93,98.75,1038,20,1005
160,161,161,Fabián Gómez,88,98.74,1030,25,992
161,T162,T162,Grayson Murray,72,98.7,849,25,813
162,T162,T162,Vaughn Taylor,83,98.7,1000,26,961
163,T164,T164,Stewart Cink,87,98.68,988,32,943
164,T164,T164,Zecheng Dou,53,98.68,530,18,505
165,166,166,Sean O'Hair,67,98.52,810,23,775
166,167,167,Patrick Cantlay,87,98.49,993,22,956
167,168,168,Ryan Moore,78,98.46,972,19,938
168,T169,T169,Chad Campbell,87,98.38,985,30,939
169,T169,T169,Jason Dufner,71,98.38,740,22,706
170,171,171,Jon Rahm,71,98.36,731,20,699
171,172,172,J.J. Henry,81,98.32,954,22,916
172,173,173,Luke List,98,98.29,1168,32,1116
173,T174,T174,Jonathan Byrd,70,98.28,697,9,676
174,T174,T174,Paul Casey,74,98.28,699,12,675
175,176,176,Corey Conners,97,98.27,1157,32,1105
176,177,177,Keith Mitchell,99,98.26,1209,30,1158
177,T178,T178,Retief Goosen,60,98.17,602,9,582
178,T178,T178,Nick Taylor,94,98.17,1091,30,1041
179,180,180,Aaron Baddeley,84,98.15,1028,23,986
180,181,181,Adam Scott,78,98.08,885,23,845
181,182,182,Ben Crane,65,97.99,646,16,617
182,183,183,Brendan Steele,74,97.9,808,18,773
183,184,184,Louis Oosthuizen,62,97.88,659,9,636
184,T185,T185,Rod Pampling,62,97.75,666,15,636
185,T185,T185,Kyle Thompson,50,97.75,533,8,513
186,187,187,Kiradech Aphibarnrat,51,97.46,472,13,447
187,188,188,J.B. Holmes,77,97.45,981,26,930
188,189,189,Lucas Glover,65,97.41,696,20,658
189,190,190,Sung Kang,89,97.19,961,21,913
190,191,191,Scott Piercy,84,97.15,1016,18,969
191,192,192,Robert Garrigus,80,97.07,991,18,944
192,193,193,Satoshi Kodaira,51,96.54,578,10,548
