,GIR_Putting_-_15-20_RANK THIS WEEK,GIR_Putting_-_15-20_RANK LAST WEEK,GIR_Putting_-_15-20_PLAYER NAME,GIR_Putting_-_15-20_ROUNDS,GIR_Putting_-_15-20_%,GIR_Putting_-_15-20_ATTEMPTS,GIR_Putting_-_15-20_PUTTS MADE
161,162,162,Troy Merritt,89,15.32,111,17
162,163,163,Patrick Cantlay,87,15.2,125,19
163,164,164,Luke List,98,15.18,112,17
164,T165,T165,Adam Schenk,86,15.0,100,15
165,T165,T165,Henrik Stenson,60,15.0,60,9
166,167,167,Byeong Hun An,86,14.91,114,17
167,168,168,Dominic Bozzelli,65,14.89,94,14
168,169,169,Kevin Streelman,94,14.81,162,24
169,170,170,Martin Piller,79,14.71,102,15
170,171,171,Abraham Ancer,98,14.67,150,22
171,172,172,Cameron Tringale,67,14.63,82,12
172,173,173,Bubba Watson,90,14.53,117,17
173,174,174,Jordan Spieth,81,14.5,131,19
174,175,175,Justin Thomas,91,14.29,112,16
175,176,176,Chris Stroud,81,13.98,93,13
176,177,177,Daniel Berger,81,13.89,108,15
177,178,178,Kyle Thompson,50,13.79,58,8
178,179,179,Beau Hossler,104,13.61,147,20
179,180,180,Corey Conners,97,13.18,129,17
180,181,181,Andrew Putnam,97,12.98,131,17
181,T182,T182,Tyler Duncan,97,12.5,144,18
182,T182,T182,Bill Haas,76,12.5,88,11
183,184,184,Fabián Gómez,88,12.4,129,16
184,185,185,Brendan Steele,74,12.22,90,11
185,186,186,Joel Dahmen,93,11.97,117,14
186,187,187,Justin Rose,70,11.76,85,10
187,188,188,Trey Mullinax,75,11.32,106,12
188,189,189,Richy Werenski,98,9.62,104,10
189,190,190,Zecheng Dou,53,8.93,56,5
190,191,191,Steve Wheatcroft,60,8.86,79,7
191,192,192,Satoshi Kodaira,51,7.81,64,5
192,193,193,Nate Lashley,51,6.67,60,4
