,One-Putt_Percentage_-_Round_1_RANK THIS WEEK,One-Putt_Percentage_-_Round_1_RANK LAST WEEK,One-Putt_Percentage_-_Round_1_PLAYER NAME,One-Putt_Percentage_-_Round_1_ROUNDS,One-Putt_Percentage_-_Round_1_%,One-Putt_Percentage_-_Round_1_# OF 1 PUTTS,One-Putt_Percentage_-_Round_1_# OF HOLES
34,35,35,Derek Fathauer,84,40.95,199,486
35,36,36,Brian Harman,94,40.74,176,432
36,37,37,Alex Cejka,77,40.66,161,396
37,T38,T38,Johnson Wagner,75,40.64,139,342
38,T38,T38,Steve Wheatcroft,60,40.64,139,342
39,40,40,Si Woo Kim,108,40.56,219,540
40,41,41,Alex Noren,67,40.52,124,306
41,T42,T42,Abraham Ancer,98,40.48,204,504
42,T42,T42,Aaron Wise,90,40.48,204,504
43,44,44,Jimmy Walker,81,40.4,160,396
44,45,45,Xander Schauffele,96,40.38,189,468
45,46,46,Zach Johnson,94,40.34,167,414
46,T47,T47,Marc Leishman,93,40.28,174,432
47,T47,T47,Vaughn Taylor,83,40.28,174,432
48,49,49,Austin Cook,107,40.23,210,522
49,50,50,Talor Gooch,78,40.22,181,450
50,T51,T51,Tony Finau,105,40.17,188,468
51,T51,T51,Troy Merritt,89,40.17,188,468
52,T51,T51,Jhonattan Vegas,92,40.17,188,468
53,T54,T54,Jason Day,75,40.12,130,324
54,T54,T54,Michael Thompson,62,40.12,130,324
55,56,56,Jonathan Randolph,71,40.1,166,414
56,57,57,Chris Kirk,108,40.08,202,504
57,58,58,Matt Atkins,56,40.06,137,342
58,T59,T59,Dominic Bozzelli,65,40.0,144,360
59,T59,T59,Jason Dufner,71,40.0,144,360
60,61,61,Joel Dahmen,93,39.96,187,468
61,62,62,J.T. Poston,73,39.95,151,378
62,63,63,Matt Kuchar,88,39.9,158,396
63,64,64,J.B. Holmes,77,39.86,165,414
64,T65,T65,Zac Blair,64,39.81,129,324
65,T65,T65,Shawn Stefani,76,39.81,172,432
66,67,67,Rickie Fowler,74,39.72,143,360
67,68,68,Jim Furyk,50,39.68,100,252
68,69,69,Patrick Rodgers,97,39.66,207,522
69,T70,T70,Bud Cauley,55,39.58,114,288
70,T70,T70,D.A. Points,63,39.58,171,432
71,72,72,Retief Goosen,60,39.51,128,324
72,73,73,Ben Crane,65,39.47,135,342
73,74,74,Harris English,84,39.46,206,522
74,75,75,Ben Martin,64,39.44,142,360
75,76,76,Phil Mickelson,90,39.37,163,414
76,77,77,Adam Hadwin,92,39.35,170,432
77,T78,T78,Kiradech Aphibarnrat,51,39.32,92,234
78,T78,T78,Michael Kim,74,39.32,184,468
79,80,80,Martin Piller,79,39.3,191,486
80,T81,T81,John Huh,94,39.29,198,504
81,T81,T81,Cameron Percy,56,39.29,99,252
82,83,83,Henrik Stenson,60,39.26,106,270
83,84,84,Conrad Shindler,60,39.18,134,342
84,85,85,Byeong Hun An,86,39.13,162,414
85,T86,T86,Rob Oppenheim,74,39.12,169,432
86,T86,T86,Patrick Reed,94,39.12,169,432
87,88,88,Billy Horschel,86,39.11,176,450
88,T89,T89,Aaron Baddeley,84,38.89,175,450
89,T89,T89,Jonathan Byrd,70,38.89,154,396
90,T89,T89,Kevin Chappell,77,38.89,154,396
91,T89,T89,Roberto Díaz,72,38.89,161,414
92,T89,T89,Lucas Glover,65,38.89,119,306
93,T89,T89,Rory McIlroy,64,38.89,119,306
94,T89,T89,Peter Uihlein,83,38.89,168,432
95,T89,T89,Tyrone Van Aswegen,101,38.89,203,522
96,97,97,Kevin Tway,110,38.7,202,522
97,98,98,Sung Kang,89,38.69,195,504
98,99,99,Matt Every,79,38.49,194,504
99,T100,T100,Jordan Spieth,81,38.36,145,378
100,T100,T100,Justin Thomas,91,38.36,145,378
101,102,102,Ryan Palmer,69,38.33,138,360
102,103,103,Nick Taylor,94,38.31,200,522
103,104,104,"Ted Potter, Jr.",87,38.29,193,504
104,105,105,Andrew Putnam,97,38.25,179,468
105,106,106,Sam Ryder,82,38.22,172,450
106,107,107,Sam Saunders,80,38.19,165,432
107,108,108,Nicholas Lindheim,77,38.16,158,414
108,109,109,Ryan Blaum,81,38.03,178,468
109,110,110,Billy Hurley III,70,38.0,171,450
110,111,111,J.J. Spaun,85,37.96,164,432
111,112,112,Kevin Kisner,89,37.92,157,414
112,113,113,Branden Grace,67,37.91,116,306
113,114,114,Jonas Blixt,67,37.83,143,378
114,115,115,Fabián Gómez,88,37.82,177,468
115,116,116,Louis Oosthuizen,62,37.78,102,270
116,117,117,Brandt Snedeker,84,37.73,163,432
117,118,118,Cody Gribble,71,37.68,156,414
118,119,119,Ben Silverman,90,37.61,176,468
119,120,120,Tyler Duncan,97,37.59,203,540
120,121,121,Kyle Stanley,93,37.56,169,450
121,T122,T122,Nate Lashley,51,37.5,108,288
122,T122,T122,Hudson Swafford,73,37.5,135,360
123,124,124,Scott Brown,102,37.46,209,558
124,125,125,Rod Pampling,62,37.43,128,342
125,126,126,Kelly Kraft,94,37.41,202,540
126,127,127,Chesson Hadley,103,37.36,195,522
127,T128,T128,Stewart Cink,87,37.33,168,450
128,T128,T128,James Hahn,85,37.33,168,450
129,130,130,Lanto Griffin,80,37.27,161,432
130,131,131,Justin Rose,70,37.25,114,306
131,132,132,Denny McCarthy,71,37.22,134,360
132,133,133,Cameron Smith,85,37.12,147,396
133,134,134,Scott Stallings,96,37.1,187,504
134,T135,T135,Rafa Cabrera Bello,75,37.04,120,324
135,T135,T135,Martin Flores,92,37.04,180,486
136,T135,T135,Pat Perez,82,37.04,140,378
137,T135,T135,Jon Rahm,71,37.04,120,324
138,T139,T139,Russell Knox,94,36.97,173,468
139,T139,T139,Jason Kokrak,99,36.97,193,522
140,141,141,Charley Hoffman,87,36.96,153,414
141,142,142,Charles Howell III,104,36.83,179,486
142,143,143,Stephan Jaeger,81,36.81,159,432
143,144,144,Sean O'Hair,67,36.77,139,378
144,145,145,Graeme McDowell,67,36.73,119,324
145,146,146,Brian Stuard,103,36.67,198,540
146,T147,T147,Patton Kizzire,92,36.51,184,504
147,T147,T147,Robert Streb,78,36.51,184,504
148,149,149,Nick Watney,94,36.44,164,450
149,150,150,Ian Poulter,73,36.42,118,324
150,151,151,Andrew Landry,82,36.32,170,468
151,152,152,C.T. Pan,104,36.31,183,504
152,153,153,Richy Werenski,98,36.3,196,540
153,154,154,Zecheng Dou,53,36.24,137,378
154,T155,T155,Bill Haas,76,36.11,156,432
155,T155,T155,Mackenzie Hughes,80,36.11,169,468
156,T155,T155,Cameron Tringale,67,36.11,156,432
157,T155,T155,Harold Varner III,91,36.11,169,468
158,T155,T155,Xinjun Zhang,81,36.11,169,468
159,160,160,Keegan Bradley,98,36.0,162,450
160,161,161,Kyle Thompson,50,35.83,129,360
161,162,162,Charl Schwartzel,65,35.8,116,324
162,163,163,Bronson Burgoon,69,35.65,154,432
163,164,164,Trey Mullinax,75,35.61,141,396
164,T165,T165,Robert Garrigus,80,35.56,160,450
165,T165,T165,Hideki Matsuyama,75,35.56,128,360
166,167,167,Corey Conners,97,35.47,166,468
167,168,168,Patrick Cantlay,87,35.45,134,378
168,169,169,William McGirt,84,35.42,153,432
169,170,170,Paul Casey,74,35.38,121,342
170,171,171,Tom Lovelady,87,35.26,165,468
171,172,172,Brice Garnett,99,35.25,184,522
172,173,173,Chad Campbell,87,35.04,164,468
173,174,174,Francesco Molinari,73,34.5,118,342
174,175,175,Tyrrell Hatton,58,34.44,93,270
175,176,176,Scott Piercy,84,34.0,153,450
176,177,177,Tommy Fleetwood,73,33.99,104,306
177,178,178,Brett Stegmaier,67,33.92,116,342
178,179,179,Brendan Steele,74,33.89,122,360
179,180,180,Adam Schenk,86,33.76,158,468
180,181,181,Daniel Berger,81,33.6,127,378
181,T182,T182,Blayne Barber,69,33.33,126,378
182,T182,T182,Shane Lowry,64,33.33,102,306
183,T182,T182,Gary Woodland,96,33.33,150,450
184,185,185,Luke List,98,33.13,167,504
185,186,186,Kevin Streelman,94,33.12,155,468
186,187,187,Satoshi Kodaira,51,33.01,101,306
187,188,188,Russell Henley,77,32.83,130,396
188,189,189,Adam Scott,78,32.8,124,378
189,190,190,Andrew Yun,51,31.94,115,360
190,191,191,J.J. Henry,81,31.84,149,468
191,192,192,Ethan Tracy,72,31.82,126,396
192,193,193,Bubba Watson,90,30.05,119,396
