,Birdie_or_Better_Conversion_Percentage_RANK THIS WEEK,Birdie_or_Better_Conversion_Percentage_RANK LAST WEEK,Birdie_or_Better_Conversion_Percentage_PLAYER NAME,Birdie_or_Better_Conversion_Percentage_ROUNDS,Birdie_or_Better_Conversion_Percentage_%,Birdie_or_Better_Conversion_Percentage_# BIRDIES,Birdie_or_Better_Conversion_Percentage_GREENS HIT
129,T130,T130,Stewart Cink,87,28.82,309,1072
130,T130,T130,Steve Wheatcroft,60,28.82,200,694
131,132,132,Ryan Armour,109,28.79,378,1313
132,133,133,Kevin Kisner,89,28.74,263,915
133,134,134,Brice Garnett,99,28.71,327,1139
134,135,135,Sean O'Hair,67,28.63,207,723
135,136,136,Xinjun Zhang,81,28.57,258,903
136,137,137,D.A. Points,63,28.53,188,659
137,138,138,Andrew Landry,82,28.51,268,940
138,139,139,Michael Thompson,62,28.45,208,731
139,140,140,Scott Stallings,96,28.44,302,1062
140,141,141,Corey Conners,97,28.41,333,1172
141,142,142,C.T. Pan,104,28.35,355,1252
142,143,143,Denny McCarthy,71,28.33,219,773
143,144,144,Zac Blair,64,28.32,196,692
144,145,145,Jhonattan Vegas,92,28.31,295,1042
145,146,146,Lucas Glover,65,28.26,208,736
146,147,147,Conrad Shindler,60,28.23,188,666
147,148,148,Ethan Tracy,72,28.21,222,787
148,149,149,Jason Dufner,71,28.18,208,738
149,150,150,Adam Hadwin,92,28.15,306,1087
150,151,151,Tyrone Van Aswegen,101,28.14,307,1091
151,152,152,Ben Crane,65,28.13,193,686
152,T153,T153,Retief Goosen,60,28.08,162,577
153,T153,T153,Ryan Moore,78,28.08,271,965
154,155,155,Stephan Jaeger,81,28.07,254,905
155,156,156,Brendan Steele,74,28.06,234,834
156,157,157,Scott Piercy,84,28.04,281,1002
157,158,158,Tyler Duncan,97,27.97,325,1162
158,159,159,Jonathan Randolph,71,27.94,197,705
159,160,160,Shane Lowry,64,27.93,193,691
160,T161,T161,Aaron Baddeley,84,27.91,247,885
161,T161,T161,Harold Varner III,91,27.91,302,1082
162,163,163,Billy Hurley III,70,27.9,202,724
163,T164,T164,Kyle Thompson,50,27.85,144,517
164,T164,T164,Richy Werenski,98,27.85,308,1106
165,166,166,Charles Howell III,104,27.77,346,1246
166,167,167,Nick Taylor,94,27.76,304,1095
167,168,168,Andrew Putnam,97,27.68,312,1127
168,169,169,Graeme McDowell,67,27.63,189,684
169,T170,T170,Kelly Kraft,94,27.61,291,1054
170,T170,T170,Brian Stuard,103,27.61,323,1170
171,T172,T172,Jonathan Byrd,70,27.54,209,759
172,T172,T172,Louis Oosthuizen,62,27.54,176,639
173,174,174,Russell Knox,94,27.43,308,1123
174,175,175,Henrik Stenson,60,27.4,203,741
175,176,176,Satoshi Kodaira,51,27.36,142,519
176,177,177,Fabián Gómez,88,27.34,280,1024
177,178,178,Robert Streb,78,27.31,236,864
178,179,179,Jonas Blixt,67,27.21,185,680
179,180,180,Cameron Tringale,67,27.13,201,741
180,181,181,Rod Pampling,62,27.11,177,653
181,182,182,Roberto Díaz,72,26.99,210,778
182,183,183,Andrew Yun,51,26.95,135,501
183,184,184,Tyrrell Hatton,58,26.82,173,645
184,185,185,Zecheng Dou,53,26.79,150,560
185,186,186,Nate Lashley,51,26.74,154,576
186,187,187,Adam Schenk,86,26.56,259,975
187,188,188,William McGirt,84,26.53,251,946
188,189,189,Kevin Streelman,94,26.35,312,1184
189,190,190,Chad Campbell,87,26.21,244,931
190,191,191,Jim Furyk,50,26.01,142,546
191,192,192,Bill Haas,76,25.29,218,862
192,193,193,J.J. Henry,81,24.89,237,952
