,3-Putt_Avoidance__25_RANK THIS WEEK,3-Putt_Avoidance__25_RANK LAST WEEK,3-Putt_Avoidance__25_PLAYER NAME,3-Putt_Avoidance__25_ROUNDS,3-Putt_Avoidance__25_%,3-Putt_Avoidance__25_TOTAL 3 PUTTS,3-Putt_Avoidance__25_ATTEMPTS,3-Putt_Avoidance__25_2 PUTT OR BETTER %
70,T71,T71,Rafa Cabrera Bello,75,8.5,17,200,91.5
71,T71,T71,Talor Gooch,78,8.5,21,247,91.5
72,73,73,Ben Silverman,90,8.51,28,329,91.4
73,74,74,Adam Schenk,86,8.53,29,340,91.4
74,75,75,Trey Mullinax,75,8.55,23,269,91.4
75,76,76,Brian Gay,103,8.56,34,397,91.4
76,77,77,Ollie Schniederjans,91,8.57,27,315,91.4
77,78,78,Robert Streb,78,8.58,23,268,91.4
78,79,79,Justin Thomas,91,8.59,22,256,91.4
79,T80,T80,Tyrrell Hatton,58,8.6,19,221,91.4
80,T80,T80,Sean O'Hair,67,8.6,19,221,91.4
81,82,82,Alex Cejka,77,8.63,22,255,91.3
82,T83,T83,Austin Cook,107,8.68,35,403,91.3
83,T83,T83,Kelly Kraft,94,8.68,27,311,91.3
84,T85,T85,Emiliano Grillo,94,8.7,26,299,91.3
85,T85,T85,Patton Kizzire,92,8.7,32,368,91.3
86,87,87,Jordan Spieth,81,8.73,24,275,91.2
87,88,88,Phil Mickelson,90,8.75,26,297,91.2
88,89,89,Bronson Burgoon,69,8.76,24,274,91.2
89,90,90,Tyrone Van Aswegen,101,8.77,32,365,91.2
90,91,91,Sung Kang,89,8.78,23,262,91.2
91,92,92,Brice Garnett,99,8.81,34,386,91.1
92,93,93,Matt Kuchar,88,8.82,24,272,91.1
93,94,94,Adam Hadwin,92,8.84,29,328,91.1
94,95,95,J.J. Spaun,85,8.87,29,327,91.1
95,96,96,Charley Hoffman,87,8.92,24,269,91.0
96,97,97,J.B. Holmes,77,8.93,25,280,91.0
97,T98,T98,Ryan Armour,109,8.94,37,414,91.0
98,T98,T98,Blayne Barber,69,8.94,27,302,91.0
99,100,100,Mackenzie Hughes,80,8.97,28,312,91.0
100,101,101,Andrew Putnam,97,8.99,33,367,91.0
101,102,102,Jason Kokrak,99,9.03,41,454,90.9
102,103,103,J.J. Henry,81,9.12,29,318,90.8
103,104,104,Kiradech Aphibarnrat,51,9.15,13,142,90.8
104,105,105,Dominic Bozzelli,65,9.17,22,240,90.8
105,106,106,Marc Leishman,93,9.25,32,346,90.7
106,107,107,John Huh,94,9.31,31,333,90.6
107,108,108,David Lingmerth,82,9.32,26,279,90.6
108,109,109,"Ted Potter, Jr.",87,9.33,28,300,90.6
109,T110,T110,J.T. Poston,73,9.35,23,246,90.6
110,T110,T110,Harold Varner III,91,9.35,30,321,90.6
111,T110,T110,Aaron Wise,90,9.35,36,385,90.6
112,113,113,Richy Werenski,98,9.37,34,363,90.6
113,114,114,Kevin Na,91,9.45,26,275,90.5
114,115,115,Jonathan Byrd,70,9.48,20,211,90.5
115,T116,T116,Byeong Hun An,86,9.51,29,305,90.4
116,T116,T116,Aaron Baddeley,84,9.51,29,305,90.4
117,118,118,Lanto Griffin,80,9.52,26,273,90.4
118,119,119,Chris Stroud,81,9.54,23,241,90.4
119,120,120,Anirban Lahiri,82,9.56,26,272,90.4
120,121,121,Rob Oppenheim,74,9.59,21,219,90.4
121,122,122,Xander Schauffele,96,9.63,29,301,90.3
122,T123,T123,Tommy Fleetwood,73,9.68,24,248,90.3
123,T123,T123,Cameron Smith,85,9.68,21,217,90.3
124,125,125,Martin Piller,79,9.73,29,298,90.2
125,126,126,Martin Laird,73,9.79,28,286,90.2
126,127,127,Patrick Reed,94,9.8,24,245,90.2
127,128,128,Abraham Ancer,98,9.82,33,336,90.1
128,T129,T129,Troy Merritt,89,9.84,30,305,90.1
129,T129,T129,Jonathan Randolph,71,9.84,25,254,90.1
130,131,131,Russell Knox,94,9.86,35,355,90.1
131,132,132,Retief Goosen,60,9.88,17,172,90.1
132,133,133,Ryan Blaum,81,9.91,34,343,90.0
133,134,134,Derek Fathauer,84,9.94,32,322,90.0
134,135,135,Nicholas Lindheim,77,10.04,28,279,89.9
135,136,136,Brandon Harkins,101,10.19,38,373,89.8
136,T137,T137,Bryson DeChambeau,93,10.24,39,381,89.7
137,T137,T137,Matt Every,79,10.24,26,254,89.7
138,T139,T139,James Hahn,85,10.26,32,312,89.7
139,T139,T139,Rory Sabbatini,91,10.26,36,351,89.7
140,141,141,Tom Lovelady,87,10.29,32,311,89.7
141,142,142,Patrick Cantlay,87,10.3,31,301,89.7
142,T143,T143,Jimmy Walker,81,10.31,27,262,89.6
143,T143,T143,Gary Woodland,96,10.31,33,320,89.6
144,145,145,Roberto Díaz,72,10.42,27,259,89.5
145,146,146,Shawn Stefani,76,10.45,28,268,89.5
146,147,147,Cameron Tringale,67,10.51,27,257,89.4
147,T148,T148,Brooks Koepka,64,10.53,24,228,89.4
148,T148,T148,Andrew Yun,51,10.53,16,152,89.4
149,150,150,Justin Rose,70,10.57,24,227,89.4
150,151,151,Lucas Glover,65,10.71,24,224,89.2
151,152,152,Francesco Molinari,73,10.78,25,232,89.2
152,153,153,Branden Grace,67,10.8,19,176,89.2
153,154,154,Daniel Berger,81,10.83,30,277,89.1
154,155,155,Vaughn Taylor,83,10.86,33,304,89.1
155,156,156,Rod Pampling,62,10.92,19,174,89.0
156,157,157,Conrad Shindler,60,10.94,21,192,89.0
157,T158,T158,Matt Jones,70,10.96,24,219,89.0
158,T158,T158,Luke List,98,10.96,39,356,89.0
159,160,160,Sam Ryder,82,10.97,34,310,89.0
160,161,161,Martin Flores,92,11.11,37,333,88.8
161,162,162,Graeme McDowell,67,11.17,23,206,88.8
162,163,163,Hideki Matsuyama,75,11.3,27,239,88.7
163,164,164,Chad Campbell,87,11.37,34,299,88.6
164,165,165,Louis Oosthuizen,62,11.62,23,198,88.3
165,166,166,Shane Lowry,64,11.69,29,248,88.3
166,167,167,Joel Dahmen,93,11.71,37,316,88.2
167,168,168,Nick Taylor,94,11.75,39,332,88.2
168,169,169,Corey Conners,97,11.8,42,356,88.2
169,170,170,Tyler Duncan,97,12.06,45,373,87.9
170,171,171,David Hearn,66,12.09,26,215,87.9
171,172,172,Brendan Steele,74,12.16,31,255,87.8
172,173,173,Jon Rahm,71,12.18,29,238,87.8
173,174,174,Jason Dufner,71,12.29,29,236,87.7
174,175,175,Charl Schwartzel,65,12.35,21,170,87.6
175,176,176,Ethan Tracy,72,12.36,32,259,87.6
