,One-Putt_Percentage_RANK THIS WEEK,One-Putt_Percentage_RANK LAST WEEK,One-Putt_Percentage_PLAYER NAME,One-Putt_Percentage_ROUNDS,One-Putt_Percentage_%,One-Putt_Percentage_# OF 1 PUTTS,One-Putt_Percentage_# OF HOLES
46,47,47,D.A. Points,63,40.07,440,1098
47,48,48,Brandt Snedeker,84,40.04,591,1476
48,49,49,Harris English,84,39.96,561,1404
49,T50,T50,Austin Cook,107,39.93,769,1926
50,T50,T50,Troy Merritt,89,39.93,611,1530
51,52,52,Ben Crane,65,39.92,424,1062
52,T53,T53,Cody Gribble,71,39.91,467,1170
53,T53,T53,Zach Johnson,94,39.91,625,1566
54,55,55,Marc Leishman,93,39.88,646,1620
55,56,56,Rickie Fowler,74,39.86,531,1332
56,57,57,Patrick Rodgers,97,39.78,666,1674
57,58,58,Beau Hossler,104,39.74,744,1872
58,59,59,Matt Jones,70,39.7,443,1116
59,60,60,John Huh,94,39.69,643,1620
60,61,61,Ryan Palmer,69,39.68,450,1134
61,62,62,Sam Saunders,80,39.64,528,1332
62,63,63,Alex Noren,67,39.63,428,1080
63,64,64,Jordan Spieth,81,39.55,541,1368
64,65,65,Vaughn Taylor,83,39.52,562,1422
65,66,66,Anirban Lahiri,82,39.5,583,1476
66,67,67,Hideki Matsuyama,75,39.43,511,1296
67,68,68,Chez Reavie,93,39.41,610,1548
68,69,69,Nicholas Lindheim,77,39.37,489,1242
69,70,70,Sean O'Hair,67,39.33,446,1134
70,T71,T71,Matt Atkins,56,39.32,368,936
71,T71,T71,Retief Goosen,60,39.32,368,936
72,73,73,Bryson DeChambeau,93,39.31,658,1674
73,74,74,J.T. Poston,73,39.28,502,1278
74,75,75,Kelly Kraft,94,39.19,649,1656
75,76,76,Aaron Wise,90,39.14,620,1584
76,77,77,J.B. Holmes,77,39.11,528,1350
77,78,78,Louis Oosthuizen,62,39.09,380,972
78,T79,T79,Hunter Mahan,67,39.07,443,1134
79,T79,T79,Xander Schauffele,96,39.07,654,1674
80,81,81,Billy Hurley III,70,39.06,450,1152
81,82,82,Talor Gooch,78,39.04,506,1296
82,83,83,Tyrone Van Aswegen,101,39.01,653,1674
83,84,84,Chris Kirk,108,38.99,744,1908
84,85,85,Brian Harman,94,38.95,631,1620
85,86,86,Si Woo Kim,108,38.94,729,1872
86,T87,T87,Kiradech Aphibarnrat,51,38.89,322,828
87,T87,T87,Aaron Baddeley,84,38.89,546,1404
88,T87,T87,Graeme McDowell,67,38.89,413,1062
89,T87,T87,Jon Rahm,71,38.89,462,1188
90,91,91,Brian Stuard,103,38.83,678,1746
91,92,92,Ben Silverman,90,38.82,587,1512
92,93,93,Paul Casey,74,38.81,496,1278
93,94,94,Sung Kang,89,38.76,593,1530
94,95,95,Charley Hoffman,87,38.75,558,1440
95,T96,T96,Rory Sabbatini,91,38.7,620,1602
96,T96,T96,Steve Wheatcroft,60,38.7,404,1044
97,98,98,Joel Dahmen,93,38.69,592,1530
98,99,99,Kevin Kisner,89,38.68,543,1404
99,100,100,Tony Finau,105,38.66,682,1764
100,101,101,Jonas Blixt,67,38.62,424,1098
101,102,102,Ryan Moore,78,38.6,542,1404
102,103,103,Roberto Díaz,72,38.56,472,1224
103,104,104,Chesson Hadley,103,38.55,687,1782
104,105,105,Shawn Stefani,76,38.44,512,1332
105,106,106,Brice Garnett,99,38.42,657,1710
106,107,107,Conrad Shindler,60,38.39,387,1008
107,108,108,Peter Uihlein,83,38.25,537,1404
108,109,109,Matt Every,79,38.22,516,1350
109,110,110,Scott Stallings,96,38.21,619,1620
110,111,111,Martin Flores,92,38.18,591,1548
111,112,112,Tommy Fleetwood,73,38.13,453,1188
112,113,113,Zac Blair,64,38.12,398,1044
113,114,114,Denny McCarthy,71,38.1,432,1134
114,T115,T115,Robert Garrigus,80,38.08,521,1368
115,T115,T115,Trey Mullinax,75,38.08,473,1242
116,T117,T117,Branden Grace,67,38.02,438,1152
117,T117,T117,Ian Poulter,73,38.02,438,1152
118,119,119,Kevin Tway,110,37.98,711,1872
119,120,120,Andrew Landry,82,37.92,546,1440
120,121,121,Rafa Cabrera Bello,75,37.86,477,1260
121,T122,T122,Jason Dufner,71,37.85,436,1152
122,T122,T122,Satoshi Kodaira,51,37.85,327,864
123,124,124,Rod Pampling,62,37.84,395,1044
124,T125,T125,Andrew Putnam,97,37.83,606,1602
125,T125,T125,Jhonattan Vegas,92,37.83,606,1602
126,127,127,Scott Brown,102,37.81,667,1764
127,128,128,Ryan Armour,109,37.8,728,1926
128,T129,T129,David Hearn,66,37.78,408,1080
129,T129,T129,Nick Taylor,94,37.78,612,1620
130,131,131,Chad Campbell,87,37.76,537,1422
131,132,132,Billy Horschel,86,37.74,557,1476
132,133,133,Lanto Griffin,80,37.69,502,1332
133,T134,T134,Ryan Blaum,81,37.61,528,1404
134,T134,T134,William McGirt,84,37.61,528,1404
135,136,136,Nick Watney,94,37.59,609,1620
136,137,137,Kevin Chappell,77,37.54,500,1332
137,T138,T138,Byeong Hun An,86,37.5,567,1512
138,T138,T138,Ethan Tracy,72,37.5,459,1224
139,140,140,Pat Perez,82,37.48,506,1350
140,141,141,Kyle Thompson,50,37.44,310,828
141,142,142,Richy Werenski,98,37.38,619,1656
142,T143,T143,Daniel Berger,81,37.35,511,1368
143,T143,T143,Tyrrell Hatton,58,37.35,363,972
144,T145,T145,Adam Hadwin,92,37.33,598,1602
145,T145,T145,James Hahn,85,37.33,551,1476
146,T145,T145,Cameron Percy,56,37.33,336,900
147,148,148,Bubba Watson,90,37.27,530,1422
148,149,149,Fabián Gómez,88,37.24,563,1512
149,150,150,Lucas Glover,65,37.16,408,1098
150,151,151,Mackenzie Hughes,80,37.13,508,1368
151,152,152,Bill Haas,76,37.09,494,1332
152,153,153,Cameron Tringale,67,37.04,420,1134
153,154,154,Harold Varner III,91,36.95,592,1602
154,155,155,Brett Stegmaier,67,36.89,405,1098
155,156,156,Nate Lashley,51,36.88,312,846
156,157,157,Keith Mitchell,99,36.71,641,1746
157,158,158,Patton Kizzire,92,36.7,588,1602
158,T159,T159,Stephan Jaeger,81,36.67,495,1350
159,T159,T159,Xinjun Zhang,81,36.67,495,1350
160,161,161,Jonathan Byrd,70,36.65,409,1116
161,162,162,Tom Lovelady,87,36.63,534,1458
162,163,163,Blayne Barber,69,36.57,441,1206
163,164,164,Jason Kokrak,99,36.53,651,1782
164,165,165,J.J. Spaun,85,36.5,519,1422
165,166,166,Patrick Cantlay,87,36.46,525,1440
166,T167,T167,Luke List,98,36.43,623,1710
167,T167,T167,Francesco Molinari,73,36.43,459,1260
168,169,169,Robert Streb,78,36.41,485,1332
169,T170,T170,Zecheng Dou,53,36.39,321,882
170,T170,T170,Charles Howell III,104,36.39,655,1800
171,172,172,Michael Thompson,62,36.3,379,1044
172,173,173,Russell Knox,94,36.23,587,1620
173,174,174,Stewart Cink,87,36.21,567,1566
174,175,175,Corey Conners,97,35.78,599,1674
175,T176,T176,Scott Piercy,84,35.76,515,1440
176,T176,T176,Sam Ryder,82,35.76,515,1440
177,178,178,Bronson Burgoon,69,35.67,443,1242
178,179,179,Hudson Swafford,73,35.57,429,1206
179,180,180,Keegan Bradley,98,35.48,594,1674
180,181,181,Adam Scott,78,35.47,498,1404
181,182,182,Kyle Stanley,93,35.42,561,1584
182,183,183,Adam Schenk,86,35.35,509,1440
183,184,184,Shane Lowry,64,35.32,356,1008
184,185,185,Russell Henley,77,35.21,469,1332
185,186,186,C.T. Pan,104,35.2,621,1764
186,187,187,Gary Woodland,96,34.92,572,1638
187,188,188,Kevin Streelman,94,34.84,577,1656
188,189,189,Tyler Duncan,97,34.59,579,1674
189,190,190,Andrew Yun,51,33.95,275,810
190,191,191,Brendan Steele,74,33.91,409,1206
191,192,192,Henrik Stenson,60,33.63,339,1008
192,193,193,J.J. Henry,81,33.11,447,1350
