,Carry_Distance_RANK THIS WEEK,Carry_Distance_RANK LAST WEEK,Carry_Distance_PLAYER NAME,Carry_Distance_ROUNDS,Carry_Distance_AVG.,Carry_Distance_TOTAL DIST. TO IMPACT,Carry_Distance_TOTAL ATTEMPTS,Carry_Distance_LONGEST CARRY DISTANCE,Carry_Distance_SHORTEST CARRY DISTANCE
45,T45,T45,Camilo Villegas,76,276.8,13009.2,47,320.1,209.8
46,47,47,Sean O'Hair,80,276.5,15208.0,55,324.3,233.5
47,48,48,Kevin Sutherland,96,276.4,16305.4,59,302.8,249.7
48,49,49,Ernie Els,70,276.1,12978.9,47,330.9,217.0
49,T50,T50,Matt Bettencourt,98,275.9,20418.9,74,309.4,199.9
50,T50,T50,Nicholas Thompson,96,275.9,20140.1,73,323.2,229.5
51,52,52,Webb Simpson,94,275.4,19001.5,69,310.5,235.4
52,53,53,J.J. Henry,97,275.2,19536.8,71,320.9,226.3
53,T54,T54,Hunter Mahan,94,275.1,17605.0,64,316.9,239.7
54,T54,T54,Pat Perez,74,275.1,17332.0,63,324.9,244.5
55,56,56,Ted Purdy,101,275.0,20902.3,76,305.0,224.4
56,T57,T57,Rory Sabbatini,81,274.5,17018.2,62,312.0,235.3
57,T57,T57,Chris Stroud,88,274.5,15095.4,55,328.8,230.9
58,T59,T59,Brett Quigley,92,274.4,16465.3,60,309.8,233.6
59,T59,T59,Kevin Stadler,65,274.4,12075.0,44,298.7,252.6
60,T59,T59,D.J. Trahan,96,274.4,18657.7,68,319.9,213.7
61,62,62,Kenny Perry,92,274.2,19744.4,72,322.1,206.3
62,63,63,Greg Owen,97,274.1,21107.0,77,322.7,245.3
63,64,64,Michael Letzig,96,273.6,21618.0,79,298.8,230.4
64,T65,T65,Robert Allenby,71,273.5,14766.8,54,310.9,235.8
65,T65,T65,John Rollins,92,273.5,20513.4,75,305.8,245.1
66,67,67,Aaron Baddeley,66,273.1,11470.4,42,316.2,227.1
67,68,68,Boo Weekley,79,273.0,19384.6,71,335.4,238.5
68,69,69,Jason Gore,74,272.2,14153.5,52,300.2,225.7
69,70,70,Padraig Harrington,66,272.1,11970.3,44,322.1,239.2
70,71,71,Ryan Moore,89,272.0,17406.8,64,320.0,239.1
71,72,72,Stuart Appleby,79,271.9,16044.2,59,304.2,233.8
72,T73,T73,Tim Herron,87,271.6,20095.8,74,306.6,237.9
73,T73,T73,Bill Lunde,83,271.6,19284.1,71,315.0,241.9
74,75,75,Will MacKenzie,69,271.5,16019.4,59,319.4,217.2
75,T76,T76,Chad Campbell,90,271.2,17901.8,66,302.4,241.1
76,T76,T76,Y.E. Yang,83,271.2,16270.2,60,310.3,241.2
77,78,78,Joe Ogilvie,85,271.0,17345.8,64,304.6,231.5
78,79,79,Brendon de Jonge,90,270.7,17324.0,64,294.9,238.7
79,80,80,Brian Bateman,55,270.6,11635.8,43,296.6,245.9
80,T81,T81,Ricky Barnes,67,270.5,12172.7,45,301.0,219.4
81,T81,T81,Steve Lowery,83,270.5,18126.3,67,318.7,222.2
82,T83,T83,James Nitties,86,270.4,14872.3,55,295.9,225.1
83,T83,T83,Brian Vranesh,51,270.4,8651.7,32,312.2,243.3
84,85,85,Charles Howell III,99,270.3,21623.7,80,313.2,236.0
85,86,86,Steve Stricker,81,269.9,16735.2,62,308.6,247.2
86,87,87,Jeff Overton,92,269.6,17523.3,65,313.6,214.4
87,88,88,Mark Calcavecchia,72,268.9,13174.6,49,308.1,243.3
88,89,89,Rich Beem,77,268.8,12366.7,46,301.4,241.0
89,T90,T90,Justin Rose,71,268.7,13973.8,52,293.6,237.6
90,T90,T90,Matt Weibring,65,268.7,11821.0,44,294.2,241.4
91,92,92,Bob Heintz,59,268.2,10459.0,39,293.4,242.0
92,93,93,Johnson Wagner,81,267.9,18217.2,68,330.9,227.2
93,94,94,Derek Fathauer,63,267.8,10444.7,39,298.2,242.1
94,95,95,Woody Austin,84,267.5,20065.2,75,305.6,232.8
95,T96,T96,Brad Adamonis,70,267.3,12296.9,46,294.0,239.1
96,T96,T96,Carl Pettersson,86,267.3,18978.6,71,296.6,207.2
97,98,98,Parker McLachlin,71,267.2,15231.1,57,317.5,218.7
98,99,99,Ian Poulter,59,267.1,12018.2,45,306.6,234.6
99,100,100,Jarrod Lyle,65,267.0,12280.4,46,290.0,240.0
100,101,101,Scott McCarron,91,266.9,18947.4,71,289.0,247.8
101,102,102,Vaughn Taylor,88,266.6,15730.1,59,298.4,229.8
102,103,103,Todd Hamilton,83,266.5,15459.4,58,300.5,233.1
103,104,104,Jason Bohn,88,266.4,20512.8,77,291.4,236.2
104,T105,T105,Cameron Beckman,87,265.7,19128.8,72,297.8,229.0
105,T105,T105,Bryce Molder,69,265.7,12489.3,47,302.4,228.7
106,107,107,Stephen Ames,77,265.6,14873.3,56,309.9,239.1
107,108,108,Steve Elkington,70,265.5,13804.1,52,301.1,232.8
108,109,109,David Toms,98,265.2,20155.1,76,295.3,236.4
109,110,110,Lee Janzen,74,265.1,15109.2,57,292.9,230.7
110,111,111,Darron Stiles,52,264.9,8475.4,32,285.4,242.5
111,112,112,Heath Slocum,95,264.8,19857.8,75,302.5,230.0
112,T113,T113,Rod Pampling,72,264.5,16133.8,61,290.3,232.3
113,T113,T113,Mark Wilson,99,264.5,19573.8,74,293.7,184.5
114,115,115,Nathan Green,104,264.2,20873.5,79,291.7,224.7
115,116,116,K.J. Choi,65,264.0,13992.3,53,302.6,227.6
116,117,117,Aron Price,89,263.9,17682.1,67,286.6,199.2
117,118,118,Jeff Maggert,79,263.8,18465.0,70,293.3,209.2
118,119,119,D.A. Points,99,263.7,21887.8,83,300.7,233.6
119,T120,T120,Billy Mayfair,83,263.4,16856.7,64,285.8,221.3
120,T120,T120,Casey Wittenberg,71,263.4,11852.9,45,282.4,242.8
121,122,122,Ben Crane,93,263.0,20514.6,78,303.8,236.6
122,123,123,Briny Baird,89,262.7,18126.3,69,296.0,226.7
123,124,124,Mike Weir,85,262.5,16797.7,64,298.3,234.8
124,T125,T125,Ben Curtis,63,262.4,11020.6,42,288.1,234.2
125,T125,T125,Brian Davis,103,262.4,23092.8,88,294.7,236.6
126,127,127,Rick Price,54,262.3,9965.9,38,285.6,243.5
127,T128,T128,Kris Blanks,60,262.2,9701.1,37,291.9,231.9
128,T128,T128,Luke Donald,79,262.2,15732.6,60,288.7,233.7
129,130,130,Jeff Klauk,97,262.0,20957.5,80,307.9,229.6
130,131,131,Marc Turnesa,77,261.8,19374.0,74,294.0,204.3
131,T132,T132,John Mallinger,90,261.7,18582.3,71,287.8,222.7
132,T132,T132,Rocco Mediate,79,261.7,14129.9,54,303.0,229.6
133,T134,T134,Jason Dufner,90,261.6,19095.1,73,289.1,234.6
134,T134,T134,Jay Williamson,69,261.6,13866.3,53,290.0,232.1
135,T136,T136,Cliff Kresge,78,261.4,16204.2,62,293.0,233.3
136,T136,T136,Brandt Snedeker,81,261.4,15945.7,61,284.9,236.7
137,138,138,Greg Chalmers,85,261.3,15677.8,60,291.0,224.3
138,T139,T139,Chris DiMarco,97,261.1,19843.2,76,299.5,216.4
139,T139,T139,Kent Jones,73,261.1,13317.7,51,299.6,219.8
140,T139,T139,Tim Petrovic,97,261.1,21412.8,82,292.7,233.2
141,T142,T142,Ryuji Imada,85,260.9,16958.5,65,307.2,219.5
142,T142,T142,Jerry Kelly,90,260.9,18264.7,70,293.1,228.3
143,144,144,Joe Durant,62,260.8,11212.9,43,281.8,237.9
144,145,145,Tommy Armour III,58,260.7,12515.8,48,290.6,225.5
145,146,146,Tom Pernice Jr.,82,260.6,17717.8,68,289.8,220.3
146,T147,T147,Jim Furyk,86,260.0,15599.4,60,296.5,222.8
147,T147,T147,Freddie Jacobson,83,260.0,15862.0,61,304.5,220.9
148,T147,T147,Kirk Triplett,60,260.0,12218.3,47,283.5,238.7
149,T147,T147,Charlie Wi,92,260.0,17677.2,68,285.5,216.1
150,151,151,Steve Flesch,77,259.8,13511.0,52,289.5,229.9
151,152,152,Zach Johnson,94,259.5,23353.4,90,307.2,225.9
152,153,153,Scott Verplank,88,259.3,19709.0,76,285.3,223.3
153,154,154,Bob Estes,78,258.8,17854.1,69,291.1,227.3
154,T155,T155,Alex Cejka,82,258.7,17073.2,66,291.7,227.8
155,T155,T155,Matt Kuchar,82,258.7,15781.0,61,295.2,227.1
156,157,157,David Mathis,82,258.6,16550.9,64,289.9,219.8
157,158,158,Kevin Na,91,258.4,17574.6,68,291.0,227.9
158,T159,T159,Michael Allen,73,257.8,12114.4,47,287.5,222.7
159,T159,T159,Colt Knost,71,257.8,13406.7,52,287.0,220.2
160,T161,T161,Eric Axley,71,256.9,12072.3,47,286.3,207.9
161,T161,T161,Chez Reavie,81,256.9,16957.1,66,289.4,209.1
162,T163,T163,Richard Johnson,85,256.8,18488.3,72,311.5,211.8
163,T163,T163,Peter Lonard,86,256.8,17978.3,70,293.4,191.5
164,165,165,Brendon Todd,53,256.1,11526.2,45,290.7,190.3
165,166,166,Ken Duke,87,255.9,12538.2,49,285.7,217.9
166,167,167,Patrick Sheehan,51,255.7,7670.3,30,278.4,222.4
167,168,168,Tom Lehman,55,255.2,8420.3,33,293.4,228.3
168,169,169,Tim Clark,81,255.1,16325.2,64,287.6,222.2
169,170,170,Paul Goydos,79,255.0,17082.7,67,282.2,224.5
170,171,171,Spencer Levin,75,254.7,16299.9,64,290.0,218.9
171,172,172,Justin Leonard,95,254.6,19861.4,78,314.3,214.7
172,173,173,Scott Sterling,51,254.5,9926.3,39,296.4,218.9
173,174,174,Glen Day,79,253.9,12695.8,50,296.9,234.3
174,175,175,Nick O'Hern,90,253.3,20771.2,82,296.3,214.6
175,176,176,Jeff Quinney,78,253.0,16699.8,66,285.6,216.3
176,177,177,Chris Riley,77,252.6,14148.1,56,287.6,227.7
177,178,178,Dean Wilson,81,252.1,14119.7,56,291.2,175.8
178,179,179,Greg Kraft,51,251.7,9313.7,37,296.4,222.5
179,180,180,Mark Brooks,55,244.3,7818.4,32,274.4,202.5
180,181,181,Bart Bryant,58,242.8,13838.6,57,269.7,212.0
181,182,182,Brian Gay,96,242.7,20145.6,83,289.2,212.7
182,183,183,Brad Faxon,59,242.4,13087.3,54,282.1,206.6
183,184,184,Corey Pavin,73,235.2,11526.7,49,263.6,201.4
