,Total_Driving_Efficiency_RANK THIS WEEK,Total_Driving_Efficiency_RANK LAST WEEK,Total_Driving_Efficiency_PLAYER NAME,Total_Driving_Efficiency_ROUNDS,Total_Driving_Efficiency_COMBINED RANK,Total_Driving_Efficiency_CARRY EFFICIENCY RANK,Total_Driving_Efficiency_TOTAL DIST. EFFIC. RANK
50,T50,T50,Martin Laird,72,108,19,89
51,52,52,Alex Cejka,82,110,70,40
52,53,53,Bill Lunde,83,116,58,58
53,54,54,Billy Mayfair,83,119,48,71
54,55,55,Zach Johnson,94,120,94,26
55,56,56,Nicholas Thompson,96,122,34,88
56,T57,T57,Tom Pernice Jr.,82,123,89,34
57,T57,T57,Jay Williamson,69,123,89,34
58,T59,T59,Daniel Chopra,89,126,79,47
59,T59,T59,Greg Kraft,51,126,111,15
60,61,61,Rich Beem,77,128,54,74
61,62,62,Jason Day,61,131,21,110
62,T63,T63,Kevin Stadler,65,136,41,95
63,T63,T63,Chris Stroud,88,136,45,91
64,65,65,Marc Leishman,91,137,19,118
65,66,66,Scott Verplank,88,140,85,55
66,67,67,Colt Knost,71,141,98,43
67,T68,T68,Phil Mickelson,66,142,37,105
68,T68,T68,Bryce Molder,69,142,64,78
69,70,70,Matt Jones,56,143,21,122
70,71,71,Brian Bateman,55,144,63,81
71,72,72,Ted Purdy,101,146,48,98
72,73,73,Scott Piercy,85,148,27,121
73,74,74,Steve Lowery,83,149,89,60
74,75,75,Peter Lonard,86,150,80,70
75,76,76,Ben Crane,93,151,82,69
76,77,77,Cameron Beckman,87,153,93,60
77,T78,T78,Tim Clark,81,154,114,40
78,T78,T78,Rory Sabbatini,81,154,80,74
79,80,80,Pat Perez,74,159,58,101
80,81,81,Ben Curtis,63,160,84,76
81,T82,T82,John Rollins,92,161,85,76
82,T82,T82,Charles Warren,63,161,66,95
83,84,84,Rocco Mediate,79,164,85,79
84,85,85,Mark Brooks,55,165,105,60
85,86,86,Paul Goydos,79,167,109,58
86,87,87,David Mathis,82,169,140,29
87,88,88,Justin Rose,71,173,123,50
88,T89,T89,Lucas Glover,93,175,121,54
89,T89,T89,Boo Weekley,79,175,132,43
90,91,91,Charley Hoffman,97,176,41,135
91,92,92,Matt Kuchar,82,177,130,47
92,93,93,Tommy Armour III,58,178,123,55
93,T94,T94,Rick Price,54,180,66,114
94,T94,T94,Steve Stricker,81,180,66,114
95,96,96,Michael Letzig,96,183,75,108
96,97,97,Tag Ridings,50,188,66,122
97,98,98,Justin Leonard,95,189,163,26
98,99,99,Brian Gay,96,190,162,28
99,100,100,Marc Turnesa,77,192,111,81
100,101,101,Jeff Quinney,78,193,127,66
101,102,102,Tim Herron,87,195,82,113
102,T103,T103,Kent Jones,73,200,99,101
103,T103,T103,Jerry Kelly,90,200,109,91
104,T103,T103,Brian Vranesh,51,200,105,95
105,T106,T106,Troy Matteson,95,203,75,128
106,T106,T106,Sean O'Hair,80,203,117,86
107,108,108,Brett Quigley,92,206,64,142
108,T109,T109,Todd Hamilton,83,209,129,80
109,T109,T109,Padraig Harrington,66,209,95,114
110,T111,T111,D.J. Trahan,96,210,126,84
111,T111,T111,Casey Wittenberg,71,210,85,125
112,113,113,Leif Olson,51,217,78,139
113,114,114,Johnson Wagner,81,218,134,84
114,115,115,Brendon de Jonge,90,222,102,120
115,116,116,Robert Allenby,71,224,95,129
116,117,117,George McNeill,82,225,74,151
117,118,118,Will MacKenzie,69,227,122,105
118,T119,T119,Ángel Cabrera,55,228,99,129
119,T119,T119,Chad Campbell,90,228,102,126
120,121,121,Kevin Streelman,97,230,95,135
121,122,122,Patrick Sheehan,51,232,141,91
122,123,123,Jeff Klauk,97,233,89,144
123,124,124,Bubba Watson,73,234,73,161
124,T125,T125,Tim Petrovic,97,239,148,91
125,T125,T125,Mike Weir,85,239,130,109
126,127,127,Richard Johnson,85,244,146,98
127,128,128,Adam Scott,53,245,135,110
128,129,129,Ryan Moore,89,246,145,101
129,130,130,Brendon Todd,53,248,119,129
130,131,131,Mark Calcavecchia,72,251,111,140
131,132,132,Rod Pampling,72,254,156,98
132,T133,T133,Luke Donald,79,255,107,148
133,T133,T133,Freddie Jacobson,83,255,166,89
134,T135,T135,Stuart Appleby,79,261,119,142
135,T135,T135,Woody Austin,84,261,123,138
136,137,137,Chris DiMarco,97,262,116,146
137,138,138,Spencer Levin,75,264,159,105
138,T139,T139,Jonathan Byrd,89,265,102,163
139,T139,T139,David Duval,56,265,99,166
140,T141,T141,Brad Adamonis,70,270,152,118
141,T141,T141,Briny Baird,89,270,114,156
142,143,143,Steve Flesch,77,280,158,122
143,144,144,Gary Woodland,53,284,118,166
144,145,145,Jim Furyk,86,285,138,147
145,146,146,Nathan Green,104,288,148,140
146,147,147,Ryuji Imada,85,289,154,135
147,T148,T148,Brad Faxon,59,290,180,110
148,T148,T148,Jimmy Walker,74,290,107,183
149,150,150,Scott Sterling,51,292,178,114
150,T151,T151,Eric Axley,71,296,163,133
151,T151,T151,Greg Owen,97,296,138,158
152,T151,T151,Chris Riley,77,296,170,126
153,154,154,Lee Janzen,74,297,142,155
154,155,155,Jarrod Lyle,65,298,128,170
155,156,156,Y.E. Yang,83,299,151,148
156,157,157,Greg Chalmers,85,301,144,157
157,158,158,Jason Dufner,90,306,172,134
158,159,159,Tiger Woods,64,307,136,171
159,T160,T160,Derek Fathauer,63,308,132,176
160,T160,T160,Corey Pavin,73,308,179,129
161,162,162,Jeff Overton,92,309,161,148
162,163,163,Nick Watney,86,310,146,164
163,164,164,Retief Goosen,74,316,136,180
164,165,165,James Nitties,86,318,166,152
165,166,166,Dean Wilson,81,319,159,160
166,167,167,Tom Lehman,55,320,168,152
167,168,168,J.J. Henry,97,321,148,173
168,T169,T169,Aaron Baddeley,66,323,142,181
169,T169,T169,John Senden,100,323,152,171
170,171,171,Ken Duke,87,326,181,145
171,172,172,Scott McCarron,91,328,154,174
172,173,173,Charles Howell III,99,329,177,152
173,174,174,Charlie Wi,92,330,171,159
174,175,175,Bill Haas,91,332,156,176
175,176,176,Kevin Na,91,338,173,165
176,T177,T177,Ricky Barnes,67,343,175,168
177,T177,T177,Sergio Garcia,59,343,169,174
178,179,179,Stephen Ames,77,344,165,179
179,180,180,Michael Allen,73,346,184,162
180,181,181,Kris Blanks,60,350,174,176
181,182,182,Bart Bryant,58,352,183,169
182,183,183,Joe Durant,62,357,175,182
183,184,184,Bob Estes,78,366,182,184
