,Distance_from_Center_of_Fairway_RANK THIS WEEK,Distance_from_Center_of_Fairway_RANK LAST WEEK,Distance_from_Center_of_Fairway_PLAYER NAME,Distance_from_Center_of_Fairway_EVENTS,Distance_from_Center_of_Fairway_AVG,Distance_from_Center_of_Fairway_TOTAL DISTANCE (FEET),Distance_from_Center_of_Fairway_TOTAL STROKES
148,T149,T149,Charley Hoffman,27,"26' 10""",18012.5,672
149,T149,T149,Davis Love III,27,"26' 10""",16967.917,632
150,T149,T149,Will MacKenzie,24,"26' 10""",14767.167,551
151,T149,T149,Tag Ridings,16,"26' 10""",8350.0,311
152,T149,T149,Chris Riley,22,"26' 10""",17852.75,665
153,154,154,J.B. Holmes,25,"26' 11""",10368.917,385
154,T155,T155,Lee Janzen,23,"27' 0""",14319.0,530
155,T155,T155,Bill Lunde,27,"27' 0""",17671.333,655
156,T155,T155,Brandt Snedeker,26,"27' 0""",16988.333,630
157,T158,T158,Steve Elkington,23,"27' 1""",15675.667,578
158,T158,T158,Brian Gay,27,"27' 1""",22237.667,821
159,160,160,Andres Romero,20,"27' 2""",8194.25,302
160,161,161,Jeff Overton,28,"27' 6""",15270.0,556
161,162,162,Daniel Chopra,28,"27' 7""",17964.417,651
162,T163,T163,Brian Bateman,25,"27' 8""",10068.583,364
163,T163,T163,Mathew Goggin,26,"27' 8""",14897.667,539
164,T165,T165,Parker McLachlin,25,"27' 9""",13777.75,497
165,T165,T165,Ryan Moore,27,"27' 9""",18588.167,669
166,T165,T165,Corey Pavin,23,"27' 9""",14752.083,531
167,T168,T168,Stephen Ames,23,"27' 11""",14444.167,517
168,T168,T168,David Duval,22,"27' 11""",8479.167,304
169,T170,T170,Ernie Els,19,"28' 0""",13365.5,478
170,T170,T170,Dustin Johnson,25,"28' 0""",13516.917,483
171,T170,T170,Johnson Wagner,26,"28' 0""",18198.167,649
172,173,173,Cameron Beckman,26,"28' 1""",17817.667,634
173,T174,T174,Mark Brooks,17,"28' 4""",11091.0,391
174,T174,T174,Adam Scott,19,"28' 4""",9566.417,338
175,T174,T174,D.J. Trahan,30,"28' 4""",20464.583,722
176,177,177,Brad Faxon,23,"28' 5""",12148.833,427
177,T178,T178,Greg Kraft,21,"28' 6""",10226.75,359
178,T178,T178,Ryan Palmer,26,"28' 6""",16477.333,578
179,180,180,Richard Johnson,26,"28' 7""",20094.833,704
180,181,181,K.J. Choi,22,"28' 10""",13395.75,464
181,182,182,Ryuji Imada,25,"29' 0""",16575.0,571
182,183,183,Marc Turnesa,30,"29' 1""",19093.833,656
183,184,184,Bubba Watson,24,"29' 2""",11892.25,408
