,Missed_Fairway_Percent_-_Other_RANK THIS WEEK,Missed_Fairway_Percent_-_Other_RANK LAST WEEK,Missed_Fairway_Percent_-_Other_PLAYER NAME,Missed_Fairway_Percent_-_Other_ROUNDS,Missed_Fairway_Percent_-_Other_%,Missed_Fairway_Percent_-_Other_TOTAL MISSED,Missed_Fairway_Percent_-_Other_TOTAL FWYS,Missed_Fairway_Percent_-_Other_RELATIVE TO PAR
72,T73,T73,Ted Purdy,101,2.2,27,1227,+0.56
73,T73,T73,John Senden,100,2.2,28,1272,+0.64
74,75,75,Ian Poulter,59,2.21,13,587,+0.46
75,76,76,Jason Gore,74,2.23,19,853,+0.84
76,77,77,Michael Allen,73,2.24,18,804,+0.50
77,T78,T78,Kent Jones,73,2.25,19,845,+0.47
78,T78,T78,Jeff Quinney,78,2.25,22,979,+0.68
79,80,80,Greg Chalmers,85,2.26,22,973,+0.82
80,T81,T81,Greg Kraft,51,2.29,13,568,+1.08
81,T81,T81,John Rollins,92,2.29,25,1091,+0.92
82,T83,T83,Ryuji Imada,85,2.32,22,950,+0.55
83,T83,T83,Jarrod Lyle,65,2.32,16,689,+0.75
84,85,85,Retief Goosen,74,2.33,18,773,+0.28
85,T86,T86,Steve Elkington,70,2.35,20,852,+0.90
86,T86,T86,Kevin Na,91,2.35,25,1066,+0.24
87,T86,T86,Sean O'Hair,80,2.35,19,810,+0.63
88,89,89,Vijay Singh,71,2.39,17,710,+0.65
89,90,90,Steve Marino,98,2.41,28,1163,+0.43
90,91,91,Troy Matteson,95,2.42,29,1198,+0.24
91,92,92,Stewart Cink,79,2.44,20,821,+0.50
92,93,93,Casey Wittenberg,71,2.45,18,735,+0.61
93,94,94,Greg Owen,97,2.47,28,1135,+0.36
94,95,95,Bo Van Pelt,100,2.48,28,1129,+0.50
95,T96,T96,Luke Donald,79,2.49,21,843,+0.76
96,T96,T96,Y.E. Yang,83,2.49,24,965,+0.88
97,T98,T98,Todd Hamilton,83,2.51,22,878,+0.82
98,T98,T98,Matt Weibring,65,2.51,19,758,+0.74
99,100,100,Brian Vranesh,51,2.53,15,594,+0.73
100,T101,T101,Mathew Goggin,76,2.54,21,826,+0.76
101,T101,T101,Nathan Green,104,2.54,32,1259,+0.63
102,T101,T101,Steve Lowery,83,2.54,27,1063,+0.63
103,T101,T101,Peter Tomasulo,61,2.54,16,630,+0.44
104,105,105,Aron Price,89,2.55,27,1058,+0.74
105,T106,T106,Freddie Jacobson,83,2.58,26,1009,+0.65
106,T106,T106,John Merrick,91,2.58,24,929,+0.63
107,T108,T108,Ricky Barnes,67,2.59,18,696,+0.39
108,T108,T108,Brendon de Jonge,90,2.59,28,1082,+0.50
109,110,110,Dean Wilson,81,2.6,25,960,+1.00
110,T111,T111,Chris DiMarco,97,2.66,32,1201,+0.59
111,T111,T111,Matt Jones,56,2.66,16,601,+0.81
112,T111,T111,Bryce Molder,69,2.66,20,753,+0.55
113,114,114,Rod Pampling,72,2.71,24,885,+0.54
114,115,115,Alex Cejka,82,2.74,27,986,+0.70
115,T116,T116,Chad Campbell,90,2.76,27,979,+0.63
116,T116,T116,Kevin Streelman,97,2.76,33,1197,+0.39
117,118,118,Michael Letzig,96,2.79,33,1181,+0.30
118,119,119,Nick Watney,86,2.8,26,929,+0.12
119,T120,T120,Woody Austin,84,2.81,29,1032,+0.55
120,T120,T120,Pat Perez,74,2.81,24,854,+0.75
121,T122,T122,Billy Mayfair,83,2.83,27,953,+0.89
122,T122,T122,Camilo Villegas,76,2.83,22,777,+0.50
123,124,124,Will MacKenzie,69,2.84,24,845,+0.42
124,125,125,Nicholas Thompson,96,2.85,34,1194,+0.50
125,126,126,J.J. Henry,97,2.86,33,1154,+0.55
126,127,127,Charles Warren,63,2.88,21,730,+0.14
127,T128,T128,Cameron Beckman,87,2.89,30,1039,+0.40
128,T128,T128,Steve Flesch,77,2.89,25,864,+0.48
129,T128,T128,Padraig Harrington,66,2.89,19,658,+0.79
130,131,131,Carl Pettersson,86,2.94,30,1020,+0.60
131,T132,T132,Brad Faxon,59,2.95,21,713,+0.86
132,T132,T132,James Nitties,86,2.95,31,1051,+0.55
133,T132,T132,Adam Scott,53,2.95,17,577,+0.76
134,135,135,Brendon Todd,53,2.97,19,640,+0.63
135,136,136,Geoff Ogilvy,78,2.99,24,802,+0.75
136,137,137,Brad Adamonis,70,3.0,25,833,+0.60
137,138,138,Tag Ridings,50,3.03,17,561,+0.41
138,T139,T139,Webb Simpson,94,3.04,36,1184,+0.92
139,T139,T139,Charlie Wi,92,3.04,33,1085,+0.76
140,141,141,Spencer Levin,75,3.05,28,919,+0.46
141,142,142,Kris Blanks,60,3.09,20,647,+0.45
142,143,143,Bill Lunde,83,3.1,32,1032,+0.47
143,144,144,Kevin Stadler,65,3.12,23,738,+0.61
144,T145,T145,Ryan Moore,89,3.21,33,1027,+0.76
145,T145,T145,Vaughn Taylor,88,3.21,35,1091,+0.74
146,147,147,Jonathan Byrd,89,3.22,35,1086,+0.20
147,148,148,Johnson Wagner,81,3.23,33,1022,+0.58
148,149,149,Rich Beem,77,3.26,26,797,+0.35
149,150,150,Sergio Garcia,59,3.29,20,608,+0.75
150,151,151,Harrison Frazar,93,3.31,38,1149,+0.74
151,T152,T152,Tim Herron,87,3.35,37,1104,+0.54
152,T152,T152,Joe Ogilvie,85,3.35,35,1044,+0.74
153,154,154,George McNeill,82,3.36,35,1043,+0.66
154,155,155,Rory Sabbatini,81,3.37,31,921,+0.52
155,156,156,Fred Couples,54,3.49,20,573,+0.60
156,157,157,Marc Leishman,91,3.5,40,1142,+0.75
157,158,158,Phil Mickelson,66,3.53,23,651,+0.39
158,159,159,Stuart Appleby,79,3.72,33,888,+0.70
159,160,160,Mark Calcavecchia,72,3.75,32,854,+0.69
160,161,161,Robert Garrigus,83,3.81,37,970,+0.68
161,162,162,Chris Stroud,88,3.84,40,1043,+0.88
162,163,163,Jimmy Walker,74,3.86,33,855,+0.70
163,164,164,Aaron Baddeley,66,3.91,31,792,+0.42
164,165,165,Jeff Overton,92,3.92,41,1047,+0.78
165,166,166,Parker McLachlin,71,3.93,36,916,+0.64
166,167,167,Matt Bettencourt,98,3.96,47,1188,+0.60
167,168,168,Martin Laird,72,3.97,34,857,+0.53
168,169,169,Scott Piercy,85,3.98,41,1030,+0.61
169,170,170,Daniel Chopra,89,4.03,46,1142,+0.61
170,171,171,Brett Quigley,92,4.04,41,1016,+0.39
171,172,172,Ryan Palmer,78,4.08,39,956,+0.33
172,173,173,Charley Hoffman,97,4.12,49,1189,+0.37
173,174,174,Andres Romero,58,4.26,25,587,+0.40
174,175,175,Leif Olson,51,4.45,26,584,+0.85
175,176,176,Dustin Johnson,85,4.49,39,868,+0.46
176,177,177,J.B. Holmes,74,4.52,37,818,+0.38
177,178,178,Ángel Cabrera,55,4.63,24,518,+0.29
178,179,179,Bubba Watson,73,4.66,36,773,+0.19
179,180,180,Brian Bateman,55,4.7,31,660,+0.77
180,181,181,Anthony Kim,76,5.1,42,823,+0.43
181,182,182,Gary Woodland,53,5.3,26,491,+0.73
182,183,183,Eric Axley,71,6.46,51,789,+0.92
183,184,184,David Duval,56,7.13,42,589,+0.67
