,Launch_Angle_RANK THIS WEEK,Launch_Angle_RANK LAST WEEK,Launch_Angle_PLAYER NAME,Launch_Angle_ROUNDS,Launch_Angle_AVG.,Launch_Angle_TOTAL VERT. LAUNCH ANGLE,Launch_Angle_TOTAL ATTEMPTS,Launch_Angle_LOWEST LAUNCH ANGLE,Launch_Angle_STEEPEST LAUNCH ANGLE
81,82,82,Robert Allenby,71,11.44,629.37,55,8.0,14.53
82,83,83,Richard Johnson,85,11.43,879.99,77,8.42,15.96
83,84,84,Bill Lunde,83,11.41,867.08,76,7.67,14.72
84,T85,T85,Briny Baird,89,11.4,889.11,78,8.73,14.83
85,T85,T85,Matt Kuchar,82,11.4,763.47,67,6.56,15.53
86,T87,T87,Luke Donald,79,11.38,751.01,66,8.52,15.39
87,T87,T87,Michael Letzig,96,11.38,1035.5,91,6.24,15.31
88,T87,T87,Marc Turnesa,77,11.38,887.7,78,8.31,15.19
89,T90,T90,Fred Couples,54,11.37,489.02,43,7.7,15.64
90,T90,T90,Casey Wittenberg,71,11.37,614.13,54,9.46,13.97
91,92,92,John Rollins,92,11.35,896.62,79,6.77,15.18
92,93,93,Charles Warren,63,11.34,521.59,46,9.17,14.1
93,T94,T94,Rory Sabbatini,81,11.31,769.2,68,2.86,14.2
94,T94,T94,Steve Stricker,81,11.31,780.42,69,8.45,13.79
95,96,96,Mathew Goggin,76,11.3,655.39,58,8.0,15.61
96,97,97,Davis Love III,89,11.28,778.43,69,6.86,14.13
97,98,98,Dean Wilson,81,11.25,708.58,63,7.66,14.23
98,99,99,Matt Bettencourt,98,11.23,920.51,82,6.88,16.03
99,T100,T100,Pat Perez,74,11.2,728.05,65,7.77,15.69
100,T100,T100,Camilo Villegas,76,11.2,660.78,59,2.3,16.87
101,T102,T102,Bo Van Pelt,100,11.18,827.33,74,6.97,14.08
102,T102,T102,Jay Williamson,69,11.18,625.95,56,7.47,14.01
103,104,104,Parker McLachlin,71,11.15,702.62,63,7.49,15.8
104,105,105,Stewart Cink,79,11.13,723.57,65,8.5,14.03
105,T106,T106,Jonathan Byrd,89,11.12,689.16,62,8.0,17.35
106,T106,T106,Jeff Klauk,97,11.12,990.01,89,8.5,14.07
107,108,108,Justin Rose,71,11.09,620.97,56,4.24,16.46
108,109,109,Troy Matteson,95,11.08,931.0,84,7.11,16.54
109,110,110,Jeff Quinney,78,11.06,763.07,69,6.77,15.39
110,111,111,David Duval,56,11.04,397.4,36,6.44,14.45
111,112,112,Brian Vranesh,51,11.03,397.05,36,8.91,17.05
112,113,113,Leif Olson,51,11.02,418.58,38,7.43,14.55
113,T114,T114,Spencer Levin,75,10.98,746.45,68,1.76,14.51
114,T114,T114,Brett Quigley,92,10.98,812.56,74,4.04,14.43
115,T116,T116,Brendon de Jonge,90,10.92,764.22,70,4.72,15.05
116,T116,T116,Gary Woodland,53,10.92,349.41,32,8.64,14.74
117,118,118,Matt Jones,56,10.88,424.28,39,7.67,12.86
118,119,119,Tag Ridings,50,10.85,444.87,41,3.61,14.53
119,T120,T120,Dustin Johnson,85,10.82,703.08,65,8.18,14.26
120,T120,T120,Kevin Streelman,97,10.82,908.58,84,5.29,15.61
121,122,122,Charley Hoffman,97,10.81,875.84,81,5.65,14.41
122,123,123,D.J. Trahan,96,10.8,831.85,77,6.84,15.82
123,124,124,Lee Janzen,74,10.79,647.37,60,3.78,14.45
124,125,125,Sean O'Hair,80,10.77,624.76,58,5.29,13.15
125,126,126,Scott Sterling,51,10.76,441.19,41,6.83,15.67
126,127,127,Retief Goosen,74,10.71,599.86,56,6.32,16.89
127,128,128,Tom Lehman,55,10.7,385.2,36,8.73,14.11
128,129,129,Todd Hamilton,83,10.69,673.4,63,5.78,13.31
129,130,130,Chad Campbell,90,10.62,754.26,71,6.45,13.71
130,131,131,Corey Pavin,73,10.59,550.67,52,1.35,16.03
131,T132,T132,Ryuji Imada,85,10.58,814.71,77,5.0,18.27
132,T132,T132,George McNeill,82,10.58,804.1,76,6.96,17.5
133,T134,T134,Martin Laird,72,10.54,537.44,51,6.93,12.53
134,T134,T134,Steve Lowery,83,10.54,821.81,78,5.67,16.41
135,136,136,David Mathis,82,10.53,726.43,69,6.53,14.79
136,137,137,James Nitties,86,10.51,620.1,59,6.22,16.13
137,138,138,Ian Poulter,59,10.49,513.88,49,7.38,12.57
138,139,139,Daniel Chopra,89,10.46,930.65,89,7.33,17.31
139,T140,T140,Stuart Appleby,79,10.45,700.45,67,7.01,13.72
140,T140,T140,Scott McCarron,91,10.45,815.18,78,6.48,13.31
141,142,142,Will MacKenzie,69,10.32,629.59,61,8.12,13.53
142,143,143,Jim Furyk,86,10.27,718.92,70,6.83,14.79
143,144,144,Bubba Watson,73,10.25,492.06,48,0.14,15.86
144,145,145,Charlie Wi,92,10.21,816.85,80,3.58,17.27
145,146,146,Justin Leonard,95,10.2,887.34,87,6.8,14.65
146,147,147,Woody Austin,84,10.19,815.46,80,4.44,12.92
147,148,148,Johnson Wagner,81,10.12,748.89,74,5.63,15.37
148,149,149,Ángel Cabrera,55,10.1,383.78,38,5.3,13.01
149,150,150,Jarrod Lyle,65,10.06,502.8,50,3.29,14.39
150,151,151,Aaron Baddeley,66,10.05,502.34,50,5.24,12.28
151,T152,T152,Derek Fathauer,63,10.0,470.04,47,7.17,13.22
152,T152,T152,Mike Weir,85,10.0,680.07,68,5.94,13.74
153,154,154,Steve Flesch,77,9.97,558.19,56,4.79,12.78
154,155,155,Chris Riley,77,9.96,587.45,59,7.02,15.21
155,156,156,Tim Petrovic,97,9.94,864.73,87,2.6,14.0
156,157,157,Kris Blanks,60,9.92,446.3,45,7.79,12.83
157,T158,T158,Greg Chalmers,85,9.9,673.2,68,2.71,12.85
158,T158,T158,Nathan Green,104,9.9,891.33,90,4.74,15.98
159,T160,T160,Brad Adamonis,70,9.85,580.96,59,5.76,14.48
160,T160,T160,Tiger Woods,64,9.85,393.99,40,5.05,14.83
161,162,162,Ryan Moore,89,9.84,698.86,71,2.32,13.68
162,163,163,J.J. Henry,97,9.83,815.78,83,4.81,13.14
163,164,164,Bart Bryant,58,9.8,558.37,57,3.33,13.07
164,165,165,Rod Pampling,72,9.76,604.88,62,6.5,16.18
165,166,166,Lucas Glover,93,9.73,671.61,69,2.55,14.91
166,167,167,Y.E. Yang,83,9.66,676.12,70,6.2,15.13
167,168,168,Stephen Ames,77,9.6,595.24,62,5.39,13.87
168,169,169,John Senden,100,9.57,774.88,81,4.75,13.37
169,170,170,Bill Haas,91,9.49,758.88,80,6.77,12.65
170,T171,T171,Joe Durant,62,9.45,434.83,46,0.12,12.19
171,T171,T171,Freddie Jacobson,83,9.45,652.23,69,1.66,12.72
172,173,173,Kevin Na,91,9.35,701.47,75,1.03,14.92
173,174,174,Greg Owen,97,9.34,794.03,85,5.5,13.61
174,175,175,Boo Weekley,79,9.3,697.58,75,6.76,12.85
175,T176,T176,Jason Dufner,90,9.29,733.91,79,1.4,14.33
176,T176,T176,Adam Scott,53,9.29,389.98,42,5.36,15.22
177,178,178,Bob Estes,78,9.21,663.25,72,3.88,13.64
178,179,179,Ricky Barnes,67,9.11,464.41,51,3.66,13.91
179,180,180,Sergio Garcia,59,8.67,372.66,43,0.61,12.24
180,181,181,Nick Watney,86,8.49,611.23,72,4.75,10.92
181,182,182,Ken Duke,87,8.12,479.28,59,2.95,11.92
182,183,183,Charles Howell III,99,7.91,664.73,84,2.59,15.18
183,184,184,Michael Allen,73,5.96,303.75,51,0.69,11.26
