,Distance_from_Edge_of_Fairway_RANK THIS WEEK,Distance_from_Edge_of_Fairway_RANK LAST WEEK,Distance_from_Edge_of_Fairway_PLAYER NAME,Distance_from_Edge_of_Fairway_EVENTS,Distance_from_Edge_of_Fairway_AVG,Distance_from_Edge_of_Fairway_TOTAL DISTANCE (FEET),Distance_from_Edge_of_Fairway_TOTAL STROKES
146,147,147,Jeff Overton,28,"28' 0""",12670.667,452
147,148,148,Joe Ogilvie,29,"28' 1""",11931.917,425
148,149,149,Luke Donald,21,"28' 2""",8823.667,313
149,150,150,Brendon Todd,21,"28' 3""",6529.4169999999995,231
150,T151,T151,Matt Bettencourt,31,"28' 4""",12972.75,458
151,T151,T151,Vijay Singh,21,"28' 4""",7348.3330000000005,259
152,153,153,Tag Ridings,16,"28' 6""",6442.3330000000005,226
153,154,154,Troy Matteson,30,"28' 7""",13289.75,465
154,155,155,Tim Herron,27,"28' 8""",12793.5,446
155,156,156,Ryan Palmer,26,"28' 9""",10066.5,350
156,157,157,Leif Olson,21,"29' 2""",6918.75,237
157,158,158,Marc Leishman,28,"29' 5""",12669.583,431
158,159,159,Webb Simpson,30,"29' 6""",13542.083,459
159,160,160,Brett Quigley,28,"29' 7""",11870.167,401
160,161,161,Adam Scott,19,"29' 8""",6612.5,223
161,162,162,Derek Fathauer,25,"29' 10""",8799.083,295
162,163,163,Aaron Baddeley,23,"29' 11""",9795.0,327
163,164,164,Brian Bateman,25,"30' 1""",8279.917,275
164,165,165,Daniel Chopra,28,"30' 2""",13699.75,454
165,166,166,Charley Hoffman,27,"30' 3""",14291.417,472
166,T167,T167,Jason Day,18,"30' 5""",7942.8330000000005,261
167,T167,T167,Harrison Frazar,28,"30' 5""",15499.5,510
168,T167,T167,Andres Romero,20,"30' 5""",7506.6669999999995,247
169,T170,T170,Ángel Cabrera,17,"30' 7""",7436.0,243
170,T170,T170,Parker McLachlin,25,"30' 7""",12317.917,403
171,172,172,Scott Piercy,28,"30' 10""",13243.75,429
172,173,173,Dustin Johnson,25,"31' 0""",10571.417,341
173,174,174,Robert Garrigus,25,"31' 1""",12227.583,393
174,T175,T175,Phil Mickelson,18,"31' 6""",9318.25,296
175,T175,T175,Bubba Watson,24,"31' 6""",10496.917,333
176,177,177,Padraig Harrington,20,"32' 2""",9039.333,281
177,178,178,Matt Jones,17,"32' 9""",8617.417,263
178,T179,T179,David Duval,22,"32' 10""",8574.667,261
179,T179,T179,Anthony Kim,22,"32' 10""",11299.667,344
180,181,181,Eric Axley,30,"34' 4""",12588.833,367
181,182,182,Jimmy Walker,24,"35' 3""",13373.667,379
182,183,183,Gary Woodland,18,"36' 1""",7573.3330000000005,210
183,184,184,J.B. Holmes,25,"36' 11""",15342.0,416
