,One-Putt_Percentage_RANK THIS WEEK,One-Putt_Percentage_RANK LAST WEEK,One-Putt_Percentage_PLAYER NAME,One-Putt_Percentage_ROUNDS,One-Putt_Percentage_%,One-Putt_Percentage_# OF 1 PUTTS,One-Putt_Percentage_# OF HOLES
182,183,183,Tommy Armour III,81,33.74,492,1458
183,184,184,Greg Owen,81,33.68,491,1458
184,185,185,Robert Gamez,88,33.59,532,1584
185,186,186,Jeff Gove,103,33.55,622,1854
186,187,187,Tom Byrum,50,33.44,301,900
187,188,188,Jeff Sluman,60,33.43,361,1080
188,189,189,John Merrick,92,33.39,553,1656
189,190,190,Michael Putnam,96,33.04,571,1728
190,191,191,Darron Stiles,65,32.99,386,1170
191,192,192,Mark Brooks,53,32.81,313,954
192,193,193,Joe Durant,88,32.63,511,1566
193,194,194,Anders Hansen,55,32.22,319,990
194,195,195,Kevin Stadler,95,31.75,543,1710
195,196,196,Jim Rutledge,59,31.73,337,1062
