,3_Putts_per_Round_RANK THIS WEEK,3_Putts_per_Round_RANK LAST WEEK,3_Putts_per_Round_PLAYER NAME,3_Putts_per_Round_ROUNDS,3_Putts_per_Round_AVG,3_Putts_per_Round_TOTAL 3+ PUTTS,3_Putts_per_Round_TOTAL ROUNDS
73,T56,T56,J.J. Henry,86,0.01,1,85
74,T56,T56,Tim Herron,98,0.01,1,98
75,T56,T56,Charles Howell III,89,0.01,1,86
76,T56,T56,Tom Johnson,74,0.01,1,74
77,T56,T56,Zach Johnson,76,0.01,1,75
78,T56,T56,Craig Kanada,109,0.01,1,109
79,T56,T56,Jerry Kelly,101,0.01,1,101
80,T56,T56,Anthony Kim,93,0.01,1,93
81,T56,T56,Matt Kuchar,85,0.01,1,85
82,T56,T56,Doug LaBelle II,104,0.01,1,104
83,T56,T56,Justin Leonard,95,0.01,1,95
84,T56,T56,Jarrod Lyle,77,0.01,1,77
85,T56,T56,Will MacKenzie,100,0.01,1,100
86,T56,T56,Jeff Maggert,79,0.01,1,79
87,T56,T56,Hunter Mahan,91,0.01,1,91
88,T56,T56,John Mallinger,96,0.01,1,96
89,T56,T56,Steve Marino,106,0.01,1,106
90,T56,T56,Rocco Mediate,72,0.01,1,72
91,T56,T56,Phil Mickelson,73,0.01,1,71
92,T56,T56,Sean O'Hair,98,0.01,1,98
93,T56,T56,Greg Owen,81,0.01,1,81
94,T56,T56,Ryan Palmer,91,0.01,1,91
95,T56,T56,Jesper Parnevik,88,0.01,1,88
96,T56,T56,Corey Pavin,81,0.01,1,81
97,T56,T56,Tom Pernice Jr.,104,0.01,1,104
98,T56,T56,Carl Pettersson,111,0.01,1,110
99,T56,T56,Ted Purdy,102,0.01,1,102
100,T56,T56,Kyle Reifers,71,0.01,1,71
101,T56,T56,Rory Sabbatini,81,0.01,1,79
102,T56,T56,Adam Scott,69,0.01,1,68
103,T56,T56,Kevin Stadler,95,0.01,1,95
104,T56,T56,Kevin Sutherland,85,0.01,1,85
105,T56,T56,Vaughn Taylor,91,0.01,1,91
106,T56,T56,Johnson Wagner,97,0.01,1,97
107,T56,T56,Mike Weir,82,0.01,1,81
