,SG_Putting_RANK THIS WEEK,SG_Putting_RANK LAST WEEK,SG_Putting_PLAYER NAME,SG_Putting_ROUNDS,SG_Putting_AVERAGE,SG_Putting_TOTAL SG:PUTTING,SG_Putting_MEASURED ROUNDS
151,152,152,Lee Janzen,79,-0.196,-13.321,68
152,153,153,Bubba Dickerson,98,-0.203,-17.453,86
153,154,154,Mathias Grönberg,92,-0.204,-16.125,79
154,155,155,Fred Couples,52,-0.214,-6.862,32
155,T156,T156,Carlos Franco,86,-0.215,-16.535999999999998,77
156,T156,T156,Paul Goydos,72,-0.215,-13.743,64
157,158,158,Patrick Sheehan,104,-0.223,-19.410999999999998,87
158,159,159,Robert Damron,91,-0.225,-18.409000000000002,82
159,160,160,Bill Haas,99,-0.228,-20.057000000000002,88
160,161,161,Mathew Goggin,72,-0.23399999999999999,-13.552999999999999,58
161,162,162,Bob May,65,-0.23800000000000002,-12.832,54
162,163,163,Billy Andrade,78,-0.248,-14.909,60
163,164,164,Jeff Gove,91,-0.26,-21.086,81
164,165,165,Bubba Watson,83,-0.268,-19.262,72
165,166,166,Mark Calcavecchia,94,-0.276,-21.787,79
166,167,167,Camilo Villegas,95,-0.278,-22.788,82
167,168,168,Scott Gutschewski,53,-0.28800000000000003,-12.942,45
168,169,169,Craig Barlow,77,-0.292,-16.928,58
169,170,170,Heath Slocum,96,-0.299,-25.135,84
170,171,171,Roger Tambellini,64,-0.306,-16.211,53
171,172,172,Charles Warren,93,-0.311,-25.154,81
172,173,173,Jon Mills,68,-0.325,-17.544,54
173,174,174,Kenny Perry,73,-0.33,-19.785999999999998,60
174,175,175,Steve Elkington,52,-0.33399999999999996,-15.369000000000002,46
175,176,176,Greg Owen,79,-0.348,-21.596999999999998,62
176,177,177,Robert Garrigus,85,-0.37,-27.35,74
177,178,178,J.B. Holmes,81,-0.374,-23.552,63
178,179,179,Joey Sindelar,90,-0.381,-28.95,76
179,180,180,Chris Couch,75,-0.386,-25.89,67
180,181,181,Joe Durant,101,-0.401,-38.499,96
181,182,182,"Wes Short, Jr.",96,-0.41100000000000003,-34.951,85
182,183,183,Brian Davis,92,-0.42,-34.04,81
183,184,184,Michael Connell,51,-0.44,-18.483,42
184,185,185,Peter Lonard,77,-0.442,-29.194000000000003,66
185,186,186,Will MacKenzie,91,-0.44299999999999995,-33.234,75
186,187,187,Mark Brooks,90,-0.508,-37.619,74
187,188,188,Jonathan Kaye,95,-0.563,-48.453,86
188,189,189,John Daly,51,-0.5660000000000001,-23.186,41
189,190,190,Omar Uresti,61,-0.57,-29.09,51
190,191,191,Tim Herron,82,-0.579,-35.919000000000004,62
191,192,192,Pat Perez,50,-0.585,-24.559,42
192,193,193,Thomas Levet,53,-0.703,-33.723,48
193,194,194,Matt Hansen,68,-0.722,-41.883,58
194,195,195,Alex Cejka,93,-0.7340000000000001,-58.71,80
195,196,196,Nicholas Thompson,96,-0.875,-68.25,78
