,Longest_Putts_RANK THIS WEEK,Longest_Putts_RANK LAST WEEK,Longest_Putts_PLAYER NAME,Longest_Putts_ROUNDS,Longest_Putts_DISTANCE,Longest_Putts_YEAR/TOURN#,Longest_Putts_ROUND,Longest_Putts_HOLE
48,49,49,Stephen Leaney,84,"61' 10""",Deutsche Bank Championship,4,12
49,50,50,Tjaart van der Walt,60,"61' 8""",Reno-Tahoe Open,2,3
50,T51,49,Stephen Leaney,84,"61' 7""",EDS Byron Nelson Championship,1,17
51,T51,34,Justin Rose,98,"61' 7""",Sony Open in Hawaii,2,7
52,53,53,Heath Slocum,96,"61' 6""",Mercedes Championships,1,4
53,T54,27,Mathew Goggin,72,"61' 3""",Sony Open in Hawaii,1,15
54,T54,55,Gavin Coles,17,"61' 3""",Chrysler Classic of Tucson,3,11
55,56,56,Ryan Moore,68,"61' 2""",the Memorial Tournament,2,6
56,57,57,Andrew Magee,49,"61' 1""",Frys.com Open,2,8
57,T58,46,Corey Pavin,74,"60' 11""",Canadian Open,1,11
58,T58,60,Scott McCarron,47,"60' 11""",Wachovia Championship,1,12
59,T58,10,Brent Geiberger,99,"60' 11""",Buick Invitational,4,10
60,T58,58,Hidemichi Tanaka,74,"60' 11""",Sony Open in Hawaii,1,9
61,T62,62,Todd Hamilton,72,"60' 9""",Bay Hill Invitational Presented by MasterCard,3,6
62,T62,63,Carlos Franco,86,"60' 9""",Reno-Tahoe Open,2,7
63,64,64,Camilo Villegas,95,"60' 8""",Canadian Open,2,15
64,T65,65,Tiger Woods,55,"60' 7""",Buick Invitational,2,13
65,T65,66,Darron Stiles,44,"60' 7""",FedEx St. Jude Classic,4,14
66,T67,67,Paul Azinger,87,"60' 6""",The Honda Classic,1,15
67,T67,47,K.J. Choi,93,"60' 6""",Shell Houston Open,3,6
68,69,69,D.A. Points,82,"60' 4""",Buick Invitational,1,17
69,70,70,Chris Riley,86,"60' 3""",Chrysler Championship,2,17
70,T71,72,Alex Cejka,93,"60' 2""",Chrysler Classic of Greensboro,2,16
71,T71,71,Ryan Palmer,101,"60' 2""",FBR Open,1,10
72,73,73,Roger Tambellini,64,"60' 1""",Valero Texas Open,1,6
73,T74,20,Shigeki Maruyama,94,"59' 11""",THE PLAYERS Championship,1,5
74,T74,27,Mathew Goggin,72,"59' 11""",EDS Byron Nelson Championship,4,10
75,T76,76,Duffy Waldorf,96,"59' 9""",Bank of America Colonial,2,3
76,T76,78,Vaughn Taylor,88,"59' 9""",the Memorial Tournament,4,1
77,T76,77,Tag Ridings,103,"59' 9""",FedEx St. Jude Classic,4,12
78,79,79,Brian Bateman,69,"59' 8""",EDS Byron Nelson Championship,4,12
79,80,71,Ryan Palmer,101,"59' 7""",Chrysler Classic of Greensboro,2,11
80,81,81,Ben Curtis,86,"59' 5""",Buick Invitational,1,3
81,T82,83,John Cook,67,"59' 3""",Reno-Tahoe Open,1,12
82,T82,82,Brian McCann,2,"59' 3""",Buick Open,1,18
83,84,43,Brett Quigley,109,"59' 2""",Verizon Heritage,4,3
84,85,85,Arron Oberholser,82,"59' 1""",Frys.com Open,4,6
85,T86,37,Daniel Chopra,110,"59' 0""",Booz Allen Classic,3,15
86,T86,86,Trevor Immelman,86,"59' 0""",Nissan Open,3,2
87,T86,88,Jason Dufner,6,"59' 0""",Cialis Western Open,2,3
88,89,89,Mark Wilson,79,"58' 10""",Chrysler Classic of Tucson,1,7
89,90,90,Greg Kraft,79,"58' 9""",Reno-Tahoe Open,1,14
90,T91,92,Dan Forsman,43,"58' 8""",Reno-Tahoe Open,1,14
91,T91,91,Bob Tway,81,"58' 8""",Bank of America Colonial,1,7
92,T91,13,Brandt Jobe,91,"58' 8""",Valero Texas Open,4,8
93,94,94,Arjun Atwal,97,"58' 7""",Chrysler Classic of Greensboro,4,4
94,95,95,Joel Edwards,10,"58' 4""",Reno-Tahoe Open,1,8
95,T96,44,"Wes Short, Jr.",96,"58' 3""",EDS Byron Nelson Championship,4,3
96,T96,27,Mathew Goggin,72,"58' 3""",Shell Houston Open,2,17
97,T96,18,Charles Howell III,96,"58' 3""",Canadian Open,1,4
98,99,99,Robert Boisvert,2,"58' 1""",EDS Byron Nelson Championship,2,10
99,100,53,Heath Slocum,96,"57' 11""",Verizon Heritage,3,5
100,101,101,Ron Whittaker,81,"57' 6""",Frys.com Open,3,8
101,102,102,David McKenzie,82,"57' 4""",Canadian Open,1,4
102,103,23,John Senden,96,"57' 2""",Deutsche Bank Championship,3,6
103,104,3,Charl Schwartzel,28,"57' 1""",World Golf Championships-Bridgestone Invitational,4,11
104,105,105,Dean Wilson,115,"57' 0""",FBR Open,4,14
105,106,25,Aaron Baddeley,78,"56' 11""",Zurich Classic of New Orleans,2,14
106,T107,14,Chris Smith,67,"56' 8""",U.S. Bank Championship in Milwaukee,1,15
107,T107,107,Harrison Frazar,95,"56' 8""",Bay Hill Invitational Presented by MasterCard,2,1
108,T109,109,Paul Goydos,72,"56' 5""",Shell Houston Open,3,5
109,T109,53,Heath Slocum,96,"56' 5""",FUNAI Classic at the WALT DISNEY WORLD Resort,4,10
110,T109,15,Eric Axley,91,"56' 5""",Valero Texas Open,3,14
111,T112,112,Davis Love III,85,"56' 4""",Wachovia Championship,1,5
112,T112,113,Briny Baird,81,"56' 4""",Chrysler Classic of Greensboro,2,11
113,114,114,Padraig Harrington,54,"56' 3""",BellSouth Classic,1,18
114,115,115,Mike Sposa,68,"56' 1""",Buick Championship,1,8
115,116,116,Ted Purdy,103,"56' 0""",Valero Texas Open,2,5
116,T117,34,Justin Rose,98,"55' 10""",Cialis Western Open,1,5
117,T117,118,Hunter Mahan,98,"55' 10""",Canadian Open,2,14
118,119,119,Shane Bertsch,104,"55' 8""",AT&T Pebble Beach National Pro-Am,4,18
119,120,120,Tim Petrovic,95,"55' 7""",Nissan Open,1,2
120,T121,121,Kirk Triplett,58,"55' 5""",the Memorial Tournament,1,12
121,T121,122,Nathan Green,108,"55' 5""",Canadian Open,3,14
122,123,123,David Peoples,9,"55' 4""",Valero Texas Open,1,8
123,T124,124,Jeff Gove,91,"55' 3""",Sony Open in Hawaii,1,13
124,T124,89,Mark Wilson,79,"55' 3""",Ford Championship at Doral,1,13
125,T124,126,Joe Ogilvie,95,"55' 3""",Deutsche Bank Championship,4,16
126,127,126,Joe Ogilvie,95,"55' 2""",Cialis Western Open,3,12
127,T128,60,Scott McCarron,47,"55' 0""",THE PLAYERS Championship,2,14
128,T128,130,Phil Tataurangi,46,"55' 0""",Deutsche Bank Championship,2,9
129,T128,129,Ryuji Imada,105,"55' 0""",Barclays Classic,1,14
130,T131,132,Olin Browne,108,"54' 10""",Chrysler Classic of Greensboro,2,7
131,T131,17,Rod Pampling,89,"54' 10""",the Memorial Tournament,2,16
132,T133,133,Vijay Singh,103,"54' 9""",EDS Byron Nelson Championship,2,3
133,T133,18,Charles Howell III,96,"54' 9""",Booz Allen Classic,2,9
134,135,135,Greg Owen,79,"54' 6""",FUNAI Classic at the WALT DISNEY WORLD Resort,3,4
135,136,15,Eric Axley,91,"54' 5""",FUNAI Classic at the WALT DISNEY WORLD Resort,3,11
136,T137,137,Todd Fischer,101,"54' 4""",THE PLAYERS Championship,3,1
137,T137,138,Mathias Grönberg,92,"54' 4""",John Deere Classic,1,2
138,T137,139,Jimmy Walker,60,"54' 4""",Buick Open,3,10
139,140,6,Bernhard Langer,77,"54' 3""",THE PLAYERS Championship,3,3
140,T141,141,Chad Campbell,91,"54' 2""",THE PLAYERS Championship,3,5
141,T141,142,Vance Veazey,59,"54' 2""",Booz Allen Classic,1,6
142,T141,143,Scott Piercy,20,"54' 2""",Frys.com Open,4,17
143,144,144,Sean O'Hair,100,"54' 1""",BellSouth Classic,3,5
144,145,81,Ben Curtis,86,"53' 10""",Wachovia Championship,1,18
145,T146,137,Todd Fischer,101,"53' 9""",Southern Farm Bureau Classic,1,8
146,T146,146,Peter Lonard,77,"53' 9""",Deutsche Bank Championship,1,11
147,T148,151,Mark O'Meara,52,"53' 8""",Chrysler Championship,4,1
148,T148,107,Harrison Frazar,95,"53' 8""",THE PLAYERS Championship,1,9
149,T148,150,Henrik Bjornstad,97,"53' 8""",Southern Farm Bureau Classic,4,8
150,T148,148,Charles Warren,93,"53' 8""",Bay Hill Invitational Presented by MasterCard,3,17
151,T152,26,Kent Jones,103,"53' 6""",U.S. Bank Championship in Milwaukee,4,6
152,T152,153,Notah Begay III,31,"53' 6""",Southern Farm Bureau Classic,1,4
153,T154,156,Tom Byrum,28,"53' 5""",Zurich Classic of New Orleans,1,3
154,T154,6,Bernhard Langer,77,"53' 5""",FBR Open,3,10
155,T154,43,Brett Quigley,109,"53' 5""",Buick Open,1,14
156,T154,155,James Driscoll,80,"53' 5""",THE PLAYERS Championship,2,10
157,T158,15,Eric Axley,91,"53' 2""",Chrysler Classic of Greensboro,3,8
158,T158,69,D.A. Points,82,"53' 2""",Deutsche Bank Championship,1,18
159,160,160,Danny Ellis,68,"53' 1""",Valero Texas Open,3,3
160,161,161,Dudley Hart,83,"53' 0""",U.S. Bank Championship in Milwaukee,2,6
161,T162,162,Bob Burns,23,"52' 11""",Reno-Tahoe Open,1,8
162,T162,155,James Driscoll,80,"52' 11""",Chrysler Championship,2,14
163,T162,2,Nick Watney,97,"52' 11""",Chrysler Classic of Greensboro,1,16
164,165,165,Brian Davis,92,"52' 9""",84 LUMBER Classic,4,2
165,T166,167,Phil Mickelson,74,"52' 8""",the Memorial Tournament,3,7
166,T166,109,Paul Goydos,72,"52' 8""",Wachovia Championship,2,17
167,T166,118,Hunter Mahan,98,"52' 8""",Chrysler Classic of Greensboro,1,8
168,169,169,Zach Johnson,98,"52' 7""",Cialis Western Open,2,15
169,T170,170,Scott Gump,28,"52' 5""",U.S. Bank Championship in Milwaukee,1,14
170,T170,171,José María Olazábal,62,"52' 5""",World Golf Championships-American Express Championship,4,9
171,T172,172,Joe Durant,101,"52' 3""",Barclays Classic,4,1
172,T172,28,Troy Matteson,101,"52' 3""",Chrysler Classic of Greensboro,2,11
173,T172,64,Camilo Villegas,95,"52' 3""",Chrysler Championship,4,9
174,T175,161,Dudley Hart,83,"52' 2""",Verizon Heritage,1,7
175,T175,176,Stewart Cink,93,"52' 2""",Cialis Western Open,2,4
176,T175,177,Jason Schultz,77,"52' 2""",John Deere Classic,1,12
177,T178,6,Bernhard Langer,77,"52' 1""",EDS Byron Nelson Championship,4,12
178,T178,37,Daniel Chopra,110,"52' 1""",Canadian Open,2,15
179,T180,14,Chris Smith,67,"52' 0""",FedEx St. Jude Classic,1,17
180,T180,146,Peter Lonard,77,"52' 0""",Chrysler Championship,4,3
181,T180,180,J.J. Henry,96,"52' 0""",EDS Byron Nelson Championship,3,2
182,T183,183,Brett Wetterich,82,"51' 11""",EDS Byron Nelson Championship,2,9
183,T183,78,Vaughn Taylor,88,"51' 11""",Buick Open,3,11
184,T183,185,Ryan Hietala,61,"51' 11""",Deutsche Bank Championship,3,1
185,T186,151,Mark O'Meara,52,"51' 10""",Bay Hill Invitational Presented by MasterCard,2,1
186,T186,189,Bob May,65,"51' 10""",Deutsche Bank Championship,2,14
187,T186,18,Charles Howell III,96,"51' 10""",The Honda Classic,3,11
188,T186,188,Will MacKenzie,91,"51' 10""",Reno-Tahoe Open,1,4
189,T190,190,Loren Roberts,14,"51' 9""",Sony Open in Hawaii,2,14
190,T190,2,Nick Watney,97,"51' 9""",Shell Houston Open,3,9
191,T192,192,Billy Andrade,78,"51' 7""",THE PLAYERS Championship,1,13
192,T192,193,Bubba Dickerson,98,"51' 7""",Valero Texas Open,1,3
193,T194,142,Vance Veazey,59,"51' 6""",Shell Houston Open,4,18
194,T194,49,Stephen Leaney,84,"51' 6""",Booz Allen Classic,1,18
195,196,92,Dan Forsman,43,"51' 5""",John Deere Classic,1,7
196,197,160,Danny Ellis,68,"51' 4""",Buick Open,1,9
197,T198,192,Billy Andrade,78,"51' 2""",Shell Houston Open,3,11
198,T198,200,Craig Parry,44,"51' 2""",THE PLAYERS Championship,2,2
199,T198,199,Paul Stankowski,70,"51' 2""",Nissan Open,4,1
