,Putting_Average_RANK THIS WEEK,Putting_Average_RANK LAST WEEK,Putting_Average_PLAYER NAME,Putting_Average_ROUNDS,Putting_Average_AVG,Putting_Average_GIR PUTTS,Putting_Average_GREENS HIT,Putting_Average_BIRDIE CONVERSION,Putting_Average_GIR RANK
137,T138,T138,Chris Couch,75,1.7930000000000001,1601,893,30.53,72
138,T138,T138,Paul Goydos,72,1.7930000000000001,1517,846,26.98,T104
139,T138,T138,Ian Leggatt,80,1.7930000000000001,1551,865,27.93,151
140,T138,T138,Jeff Overton,95,1.7930000000000001,1960,1093,28.41,T102
141,T138,T138,John Senden,96,1.7930000000000001,2136,1191,27.23,3
142,143,143,Chad Campbell,91,1.795,1895,1056,28.02,38
143,T144,T144,Jason Gore,86,1.796,1712,953,29.97,T158
144,T144,T144,Billy Mayfair,94,1.796,2022,1126,26.65,T55
145,T144,T144,Ted Purdy,103,1.796,2189,1219,28.62,47
146,T144,T144,Kevin Sutherland,100,1.796,2119,1180,27.15,20
147,T148,T148,Jason Bohn,104,1.797,2216,1233,27.89,T84
148,T148,T148,Charles Warren,93,1.797,1978,1101,27.51,28
149,T148,T148,Bubba Watson,83,1.797,1705,949,30.66,50
150,151,151,Ben Curtis,86,1.798,1816,1010,26.36,107
151,T152,T152,Mark Brooks,90,1.7990000000000002,1813,1008,23.86,T161
152,T152,T152,Tim Petrovic,95,1.7990000000000002,1806,1004,27.35,182
153,T152,T152,Joey Sindelar,90,1.7990000000000002,2000,1112,27.09,17
154,T155,T155,Henrik Bjornstad,97,1.8,1982,1101,27.3,125
155,T155,T155,Mathias Grönberg,92,1.8,1919,1066,29.17,57
156,T155,T155,Sean O'Hair,100,1.8,2056,1142,29.74,117
157,T158,T158,Sergio Garcia,59,1.8019999999999998,1204,668,30.43,37
158,T158,T158,Tim Herron,82,1.8019999999999998,1645,913,27.17,169
159,T158,T158,J.B. Holmes,81,1.8019999999999998,1631,905,31.56,101
160,T158,T158,J.L. Lewis,57,1.8019999999999998,1159,643,26.37,T167
161,T162,T162,Troy Matteson,101,1.8030000000000002,2174,1206,28.12,66
162,T162,T162,Larry Mize,53,1.8030000000000002,1062,589,23.17,132
163,T162,T162,Duffy Waldorf,96,1.8030000000000002,1978,1097,28.35,T68
164,165,165,Chris Smith,67,1.806,1510,836,27.01,10
165,166,166,Omar Uresti,61,1.807,1274,705,25.89,64
166,T167,T167,Brian Bateman,69,1.808,1365,755,25.53,T120
